,Unnamed: 0,"2. In the picture below, boys and girls are talking about different cultures. What advice do you need to be given to change the attitude of two people toward another country's culture into a desirable one?",Unnamed: 0,", q57_diversity, q57_respect"
699,699,"When culture is defined as a collection of behaviors and attitudes shared by group members, different values, attitudes, and behaviors that various groups constituting a society may have are called cultural differences. In modern society, cultural differences are inevitable as exchanges between countries and groups increase due to globalization and the development of information and communication technology. Therefore, we should have the flexibility to understand and respect these cultural differences between groups. When various cultures collide in society, it can be a serious social problem if cultural differences are not recognized and other cultures are suppressed as a dominant governing system. Therefore, it will be necessary to know that all cultures are valuable, to understand and not reject other cultures without prejudice. Also, culture should not be divided into superior and inferior.",699.0,"723,0,0"
700,700,"There are so many countries, so many people, so many languages and so many cultures in the world.And all of those cultures are made up of the experiences of the people of that country and many other things.But if you judge and ignore many of those things by your own standards, it can be an act of ignoring all of the country's history, not just its culture.So it would be better to understand and respect each other's culture.",700.0,"724,0,0"
701,701,"""Although we are used to our own culture, we can feel that our culture is right and that other cultures are wrong and awkward. For example, there are so many different things from our cultures, such as the issue of racism, such as black and white, and the unique customs and customs of the country. However, we should never ignore or belittle Korea because it is different from us, or because it is a backward country.",701.0,"725,0,0"
702,702,"We should understand everything that can be called the country's own culture and try to match each other.""",702.0,"726,0,0"
703,703,"Rather than a self-culture-centered attitude that despises other cultures, a cultural relativistic attitude that can respect other cultures is needed.",703.0,"727,0,0"
704,704,We should respect each other because we have different cultures.,704.0,"728,0,0"
705,705,"It is necessary not to say that the culture of other countries is wrong, but to understand that culture there is",705.0,"729,0,0"
706,706,We should also understand and respect the cultures of other countries.,706.0,"730,0,0"
707,707,We should understand and appreciate the culture of other countries.,707.0,"731,0,0"
708,708,Let's be nice.,708.0,"732,0,0"
709,709,You should not evaluate other cultures based on your own culture.,709.0,"733,0,0"
710,710,societies related to different culturesWe should understand the historical situation and look at the culture from the perspective of other countries.,710.0,"734,0,0"
711,711,societies related to different culturesWe should understand the historical situation and look at the culture from the perspective of other countries.,711.0,"735,0,0"
712,712,People in other countries should respect them because they follow their culture,712.0,"736,0,0"
713,713,"""",713.0,"737,0,0"
714,714,It is important to understand the process of forming different cultures.,714.0,"738,0,0"
715,715,I respect you,715.0,"739,0,0"
716,716,"There is no standard for judging culture, and all cultures must be understood and accepted. However, if you accept culture without criticism, you can do something wrong, so you should accept it after criticizing it.",716.0,"740,0,0"
717,717,That's what we look like to the people of the country.,717.0,"741,0,0"
718,718,You should try to understand the culture of other countries without rejecting it.,718.0,"742,0,0"
719,719,Respect the culture of other countries,719.0,"743,0,0"
720,720,You have to respect the culture of other countries.,720.0,"744,0,0"
721,721,We must respect other cultures,721.0,"745,0,0"
722,722,Look again at the history of the country or its background from a holistic perspective.,722.0,"746,0,0"
723,723,"""You have to understand other people in different countries It's not discrimination.",723.0,"747,0,0"
724,724,"""",724.0,"748,0,0749,0,0"
725,725,"Friends, I don't want you to blame us for our different lifestyles or think we're weird people. Shouldn't they understand that because they have their own culture? And when I saw a letter earlier, it said that the shape was strange, but the letter was also made very difficult, so shouldn't we understand this as well? I hope you don't blame us for being weird because it's different from what we use.",725.0,"750,0,0"
726,726,"You should have an attitude that recognizes, understands, and does not reject the differences between others or other cultures.",726.0,"751,0,0"
727,727,You should know how to accommodate the cultures of different countries.,727.0,"752,0,0"
728,728,It is necessary to learn the culture of other countries by obtaining information through computers.,728.0,"753,0,0"
729,729,The diversity of culture must be recognized.,729.0,"754,0,0"
730,730,You should understand and respect the culture of others.,730.0,"755,0,0"
731,731,Say that to yourself.,731.0,"756,0,0"
732,732,Let's not look at it from a beta perspective,732.0,"757,0,0"
733,733,"Don't put the difference between countries in words, think about it",733.0,"758,0,0"
734,734,cultural understanding of other countries,734.0,"759,0,0"
735,735,Divest prejudice from your mind.,735.0,"760,0,0"
736,736,"Being different doesn't mean you're wrong. Don't think it's weird just because it's different from me, but you need an attitude to understand the culture.",736.0,"761,0,0"
737,737,I heard you eat dog meat in your country,737.0,"762,0,0"
738,738,"We should look at it from a different perspective, not from a strange or wrong perspective.",738.0,"763,0,0"
739,739,"We need to respect other things, not wrong",739.0,"764,0,0"
740,740,You need to understand culture and know how to hug.,740.0,"765,0,0"
741,741,"When we look at us from the perspective of people from other countries, we can also look amazing. Let's put ourselves in a different position.",741.0,"766,0,0"
742,742,It should be advised to understand and respect the culture of other countries.,742.0,"767,0,0"
743,743,putting on the other's shoe,743.0,"768,0,0"
744,744,"Even if it is a culture that shows a different appearance from itself, it should be respected and respected.",744.0,"769,0,0"
745,745,"If you want to be respected for your country's culture, respect it first",745.0,"770,0,0"
746,746,You're the same to others,746.0,"771,0,0"
747,747,Let's find out why you eat it with your hands and how it looks like,747.0,"772,0,0"
748,748,"The attitude is very desirable. I am curious about the culture of other countries. It is not known whether the above people ignore or belittle the attitudes of other countries. Therefore, there is no problem and it is desirable. People who think it's cultural discrimination too sensitively are sensitive.",748.0,"773,0,0"
749,749,I accept the difference.,749.0,"774,0,0"
750,750,Respect and consideration are needed.,750.0,"775,0,0"
751,751,"Each country has a different culture, not a different culture or a culture.",751.0,"776,0,0"
752,752,Let's respect the difference,752.0,"777,0,0"
753,753,Let's put ourselves in the shoes of the people of the country,753.0,"778,0,0779,0,0"
754,754,Foreigners will think so when they see you,754.0,"780,0,0"
755,755,Diversity must be recognized regardless of cultural superiority.,755.0,"781,0,0"
756,756,You have to have a strong stance. People in other countries will think strange when they see me.,756.0,"782,0,0"
757,757,There's nothing better or better than the rest of the country and our country is different,757.0,"783,0,0"
758,758,"Have an inclusive mindset that says, ""That country is like that.""",758.0,"784,0,0"
759,759,"Culture reflects the characteristics of the country, so if you live in different regions, you have to respect and acknowledge different cultures",759.0,"785,0,0"
760,760,Be tolerant of other countries' cultural backgrounds,760.0,"786,0,0"
761,761,"People in other countries will have their own culture like us. You should recognize and accept that it is not a wrong culture, but a different culture.",761.0,"787,0,0"
762,762,It is necessary to understand and respect the values pursued by each country and the culture accordingly.,762.0,"788,0,0"
763,763,We need an attitude with cultural relativity,763.0,"789,0,0"
764,764,"Cultural development has been relatively carried out according to regional and temporal characteristics, so an attitude of understanding and respecting cultures different from their own culture is necessary.",764.0,"790,0,0"
765,765,"As important as Korea's culture, other countries' cultures are also important, and in order for their own culture to be recognized, advice is needed to respect the other's culture.",765.0,"791,0,0"
766,766,Let's understand other cultures,766.0,"792,0,0"
767,767,You should have an attitude of understanding other countries' cultures.,767.0,"793,0,0"
768,768,How will our culture be seen by people in other countries?I ask a reverse question.,768.0,"794,0,0"
769,769,"It's another country's culture, so understand it with a different country's mind",769.0,"795,0,0"
770,770,We need to be aware of the culture of other countries without eyeglasses,770.0,"796,0,0"
771,771,You shouldn't say that you're different from us. Let's respect other cultures.,771.0,"797,0,0"
772,772,You should develop an attitude to understand and respect other cultures.,772.0,"798,0,0"
773,773,It is necessary to have an attitude of respecting each other's culture.,773.0,"799,0,0"
774,774,Every country has its own culture. It's not wrong,774.0,"800,0,0"
775,775,The attitude of criticizing other people's culture just because they are different from me is not correct.,775.0,"801,0,0"
776,776,You have to understand because it is a culture of another country.,776.0,"802,0,0"
777,777,We need a cultural relativistic attitude to understand the culture of other countries,777.0,"803,0,0"
778,778,Each country should respect its culture because it occurs according to its environment.,778.0,"804,0,0"
779,779,Other countries' cultures are also recognized.,779.0,"805,0,0"
780,780,I have to think positively about the culture of the country,780.0,"806,0,0"
781,781,"We should not despise and ignore other cultures, but have an attitude of understanding and embracing them.",781.0,"807,0,0"
782,782,"""Each country has its own culture, so we should respect it.",782.0,"808,0,0809,0,0"
783,783,"Do you want people from other countries to have a prejudice and think weirdly about our country's unique culture?""",783.0,"810,0,0"
784,784,"It is necessary to take the difference between different environments and cultures as natural, not strange.",784.0,"811,0,0"
785,785,"Your culture may also seem strange from the perspective of people from other countries. It's because the way we grew up is different, so I think it's better to respect each other",785.0,"812,0,0"
786,786,You should have an attitude of respect for other cultures.,786.0,"813,0,0"
787,787,Your culture can feel that way to others,787.0,"814,0,0"
788,788,We should develop an attitude that respects the culture of other countries,788.0,"815,0,0"
789,789,Accept the culture of other countries.,789.0,"816,0,0"
790,790,You should respect and understand other cultures.,790.0,"817,0,0"
791,791,"They change their position as if the culture of other countries is their own.You have to understand, embrace, and care about other cultures",791.0,"818,0,0"
792,792,You have to understand the culture,792.0,"819,0,0"
793,793,"There are various cultures all over the world, so you should know how to accommodate them.",793.0,"820,0,0"
794,794,"Each country has its own culture, so we should respect each other's culture",794.0,"821,0,0"
795,795,Different countries have different cultures,795.0,"822,0,0"
796,796,I don't know,796.0,"823,0,0"
797,797,"Don't curse at me for being different, but understand",797.0,"824,0,0"
798,798,"It will be the same as the current situation if people from other countries see it However, it is wrong to act like that with prejudice, so we should understand and respect different cultures",798.0,"825,0,0"
799,799,"Just as Korea eats rice with chopsticks and spoons, other countries should respect rice with their hands and understand and respect their own language.",799.0,"826,0,0"
800,800,A community can be formed only by respecting and understanding the cultures of other countries.,800.0,"827,0,0"
801,801,You should understand the environment of other countries and respect their culture,801.0,"828,0,0"
802,802,We need advice to understand and respect the culture of other countries,802.0,"829,0,0"
803,803,We should respect the culture of other countries.,803.0,"830,0,0"
804,804,"In other countries, we are strange, too.",804.0,"831,0,0"
805,805,Don't look at the culture of other countries with the culture of our country,805.0,"832,0,0"
806,806,You have to understand the culture of other countries.,806.0,"833,0,0"
807,807,They also respect the cultures of other countries.,807.0,"834,0,0"
808,808,"""Every country is culturally different, so we should try to understand it. (And on the fingerprints, male students are only curious about other cultures and are not making disparaging remarks.The student's fingerprints... ""What's that? Why are you eating it with your hands?"" It would be better to say ""dirty"".)""",808.0,"835,,"
809,809,"Each country has a different culture, so you should have an attitude of respect.",809.0,"836,,"
810,810,Understand the culture of other countries,810.0,"837,5.1%,57.6%"
811,811,Recognize the culture of other countries,,
812,812,We need cultural relativism that respects the culture of other countries,,
813,813,Look at people without prejudice,,
814,814,Let's think about it in reverse,,
815,815,Let's understand and respect each other's differences,,
816,816,We have to look at every country's culture in a relativistic way,,
817,817,It's just that we have different cultures They'll find it strange that we use chopsticks,,
818,818,You have to respect and understand the culture of other countries,,
819,819,cultivate a culture-relativistic attitude,,
820,820,We should respect each other's culture.,,
821,821,Respect it,,
822,822,"You must be aware of, understand, and accept differences in other countries' cultures from an ethical perspective.",,
823,823,You have to think about cultural relativism,,
824,824,Don't try to understand. Just think they're like that,,
825,825,Let's understand all cultures,,
826,826,How would you feel if a person from another country looked at you with the same eyes as you just now? Put yourself in a different position,,
827,827,"There are many countries, and each country has a different geography, climate, history, and culture, so the way of eating food and letters can be different",,
828,828,You should accept and respect other cultures.,,
829,829,It is necessary to understand the background of each other's culture and to understand the cause of the culture.,,
830,830,We should teach through education that we should understand and respect the culture of other countries.,,
831,831,You should have an attitude to embrace different cultures.,,
832,832,I don't know,,
833,833,acknowledge and understand the difference in culture,,
834,834,Do you look down on the people of the country?,,
835,835,You have to think that each country has its own culture,,
836,836,Different countries have different cultures,,
837,837,Let's understand the culture of other countries,,
838,838,M and D,,
839,839,Try to understand other people's culture,,
840,840,I accept and accept that I am different,,
841,841,"""Every country has a different culture, so please understand that",,
842,842,"""",,
843,843,"If you don't do anything, you'll get half done",,
844,844,It smells like a damn kimchi,,
845,845,"Because different countries have different cultures, we should not look at them with strange eyes",,
846,846,Don't think of other countries' cultures as strange and respect them,,
847,847,"It's not wrong that the culture of the country is different from ours, it's different and we have to respect and understand it",,
848,848,Don't think it's weird that it's different from us. We should respect the culture of other countries,,
849,849,You're doing great. You're being criticized,,
850,850,You have to respect and understand the culture of other countries,,
851,851,Advice,,
852,852,You have to understand the difference.,,
853,853,I respect you,,
854,854,It provides activity-oriented education for cultural understanding. This is because education with only ppt is not fun and there are not many listeners.,,
855,855,"People who have a different culture from themselves because they live or feel different from me, not people who recognize their own culture, know how to admit it, and don't think only their culture is right.",,
856,856,e,,
857,857,They say we should respect all cultures,,
858,858,We need to create a multicultural family,,
859,859,It should be aware of and accept the appearance of other countries' cultures.,,
860,860,We should abandon the prejudice that only our own culture is right and respect the culture of other countries as well.,,
861,861,It is not strange that we are different.,,
862,862,It's not right to think it's weird just because it's different from our culture. What do you think it would be like if people from different cultures thought our culture was weird?,,
863,863,Skip liberal arts as much as possible.,,
864,864,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,
