,Unnamed: 0,1) Stars are still in the sky during the day. But why can't we see stars during the day? ,Unnamed: 0,", q47_sunlight, q47_sunlight.1"
814,814,The sun is too bright to see the stars.,814.0,"842,1,"
815,815,.It's too bright to see.,815.0,"843,1,"
816,816,The reason why we can't see stars during the day is because the sun is bright and we can't see relatively dark light.,816.0,"844,0,"
817,817,Because the earth revolves,817.0,"845,1,"
818,818,"The reason why we can't see stars during the day is because of the strong light of the sun, which makes it impossible to observe them with the naked eye.",818.0,"846,1,"
819,819,The reason why we can't see stars during the day is because the sun is too bright to see stars.,819.0,"847,1,"
820,820,"Even during the day, stars are floating in the sky. However, the sun's light is brighter than the stars' brightness, making them invisible.",820.0,"848,1,"
821,821,a shortage of time,821.0,"849,0,"
822,822,"As the earth rotates, each zodiacal palace looks different depending on the season, because the seasons change because of the rotation of the earth",822.0,"850,1,"
823,823,It is because the clouds are hidden. This is because the sun is shining on the opposite side.,823.0,"851,1,"
824,824,"There are many stars that are much brighter than the sun in our solar system. However, the relative brightness of the star we see is the square of the distance by the number that the star will move away, so the brightness decreases exponentially. Therefore, our sun, which is relatively small in brightness but very close in distance, covers all the light of the stars, so that the stars are invisible.",824.0,"852,1,"
825,825,This is because the sunlight is bright and prevents us from seeing the wavelengths of light from other light.,825.0,"853,1,"
826,826,I'm sorry.,826.0,"854,1,"
827,827,",,,",827.0,"855,0,"
828,828,The stars are covered by the sunlight,828.0,"856,1,"
829,829,The sun is so bright,829.0,"857,1,"
830,830,"It's supposed to be visible, but it's too bright to be seen",830.0,"858,1,"
831,831,It's because starlight is weaker than the sun's light,831.0,"859,1,"
832,832,You can't see the stars during the day because it's bright.,832.0,"860,0,"
833,833,Because the sun's light is too bright to see stars.,833.0,"861,1,"
834,834,in a whirlwindling manner,834.0,"862,1,"
835,835,This is because stars are obscured by the influence of sunlight.,835.0,"863,1,"
836,836,The sun's light is strong,836.0,"864,1,"
837,837,M and D,837.0,"865,1,"
838,838,It's because the sunlight is too strong.,838.0,"866,1,"
839,839,"Because of the strong sunlight,",839.0,"867,1,"
840,840,Because the sun is up and it's bright,840.0,"868,1,869,1,"
841,841,The sun's light is too strong.,841.0,"870,1,"
842,842,Because I can't see it.,842.0,"871,1,"
843,843,Because of the sun,843.0,"872,0,"
844,844,It's too bright,844.0,"873,1,"
845,845,The sun is brighter than the stars,845.0,"874,1,"
846,846,the rotation of the earth,846.0,"875,1,"
847,847,The sun is up,847.0,"876,1,"
848,848,Because the light blocks the stars,848.0,"877,0,"
849,849,Because the sun is brighter than the stars,849.0,"878,1,"
850,850,Because the earth rotates,850.0,"879,1,"
851,851,The sun is so bright,851.0,"880,0,"
852,852,In the sun,852.0,"881,0,"
853,853,The sky is bright. Because of the sun,853.0,"882,1,"
854,854,Taeyalli to blot out the golden rays of the stars.,854.0,"883,1,"
855,855,Does not look for the light it.,855.0,"884,1,"
856,856,The sky is bright for,856.0,"885,1,"
857,857,Due to the light of the year,857.0,"886,1,"
858,858,Sunlight is too strong and obscure the light of the stars.,858.0,"887,1,"
859,859,The sun was dancing it up so much debt not look bright.,859.0,"888,1,"
860,860,Due to the light of the year.,860.0,"889,1,"
861,861,As we go to school.,861.0,"890,0,"
862,862,The sun is athletics is more than a star.,862.0,"891,0,"
863,863,The light is too because of the sun.,863.0,"892,0,"
864,864,There is so bright sun.,864.0,"893,1,"
865,865,Due to sunlight.,865.0,"894,1,"
866,866,To the Earth spin around its axis,866.0,"895,1,"
867,867,The sun is so bright,867.0,"896,0,"
868,868,The sun is so bright,868.0,"897,1,"
869,869,It's because the light passes by during the day,869.0,"898,1,899,1,"
870,870,Because the sun is too bright to see the stars,870.0,"900,0,"
871,871,Because the sun is too bright.,871.0,"901,1,"
872,872,The sun is stronger,872.0,"902,1,"
873,873,It's because the sun is too bright,873.0,"903,0,"
874,874,Because the sunlight is too bright,874.0,"904,1,"
875,875,Because of the sun,875.0,"905,1,"
876,876,Because the sun is too bright.,876.0,"906,1,"
877,877,Because it covers the sky with the light of sunlight.,877.0,"907,1,"
878,878,To the Earth spin around its axis,878.0,"908,1,"
879,879,It's sunny,879.0,"909,1,"
880,880,Because of the sunlight,880.0,"910,0,"
881,881,The sun is too bright to see stars,881.0,"911,1,"
882,882,This is because light on stars is weaker than light on the sun.,882.0,"912,1,"
883,883,This is because the earth revolves.,883.0,"913,1,"
884,884,The sun's light is strong,884.0,"914,1,"
885,885,Because the sun is much brighter than the stars.,885.0,"915,1,"
886,886,"When the Earth orbits and looks at the sun, it seems that the direction of the Earth's light is bright and invisible.",886.0,"916,1,"
887,887,It's because the Earth revolves,887.0,"917,1,"
888,888,The power of the sun's light is stronger than the power of the star's light,888.0,"918,1,"
889,889,It is not visible because it is bright because of the sunlight,889.0,"919,1,"
890,890,"The night sky is dark, so stars can shine, but during the day, the sky is bright, so stars cannot shineBecause the sky is bright, the stars are not visible, and the day and night are changed by rotation",890.0,"920,1,"
891,891,It's because the sunlight covers the light,891.0,"921,1,"
892,892,"The sun's light is much brighter than the stars, so you can't see it.",892.0,"922,1,"
893,893,"Because the sun is bright and you can't see the stars, you can't even see the constellations",893.0,"923,1,"
894,894,The sunlight is so bright,894.0,"924,1,"
895,895,"Because the Earth rotates, stars cannot be seen during the day, and stars become more visible in the evening",895.0,"925,0,"
896,896,You can't see the stars during the day because the earth rotates.,896.0,"926,0,"
897,897,"Because the earth rotates, it is divided into night and day, and both day and night, although the sun and stars are floating, Korea is on the opposite side of the sun at night, so it does not receive light. Stars are visible only at night when there is no sunlight because they can be seen well when it is dark.",897.0,"927,1,"
898,898,I can't see because the sun is up.,898.0,"928,1,929,1,"
899,899,"Stars are always bright, but because the sky is dark at night, you can see the stars that were floating brightly, and during the day, the sky is as bright as a star, so you can't see the stars.",899.0,"930,1,"
900,900,"Because the sun is stronger,",900.0,"931,1,"
901,901,This is because the Earth orbits and receives a lot of sun heat during the day and does not receive the sun's light at night.,901.0,"932,1,"
902,902,"Because the earth rotates, it becomes bright during the day, so the stars are not visible",902.0,"933,1,"
903,903,Because the sky is bright,903.0,"934,1,"
904,904,Because there is sunlight.,904.0,"935,1,"
905,905,Stars are shiny,905.0,"936,0,"
906,906,Because of the sun,906.0,"937,0,"
907,907,The sunlight is so strong,907.0,"938,0,"
908,908,:(,908.0,"939,0,"
909,909,under the light,909.0,"940,1,"
910,910,The sunlight is strong,910.0,"941,1,"
911,911,It's bright,911.0,"942,1,"
912,912,Because the sun is bright,912.0,"943,1,"
913,913,under the light,913.0,"944,1,"
914,914,"The bright shape of the sun gives off light, but you can't see it because it's light everywhere",914.0,"945,1,"
915,915,"Because of the time difference,",915.0,"946,1,"
916,916,It's too bright,916.0,"947,0,"
917,917,Because the sun is too bright.,917.0,"948,1,"
918,918,Because the sun cannot be seen by light.,918.0,"949,0,"
919,919,Because of the sunlight,919.0,"950,1,"
920,920,It's bright,920.0,"951,1,"
921,921,Because it's the day. It's daytime,921.0,"952,1,"
922,922,The starlight is weaker than the sun',922.0,"953,1,"
923,923,The sun's light is brighter than the stars,923.0,"954,1,"
924,924,"Because the sun is shining, it is too bright to be seen.",924.0,"955,1,"
925,925,It's bright because of the sun,925.0,"956,1,"
926,926,The sunlight is stronger,926.0,"957,1,"
927,927,The sun is so strong that I can't see the starlight,927.0,"958,0,959,1,"
928,928,Because the sunlight is too bright,928.0,"960,1,"
929,929,The sun is stronger than the stars,929.0,"961,1,"
930,930,"The Earth is orbiting and invisible, and when stars in space are affected by the sun, they are invisible, and the universe is black and dark, which is visible at night and invisible at day",930.0,"962,1,"
931,931,The sunlight is reflected,931.0,"963,1,"
932,932,The sun is brighter than the stars,932.0,"964,1,"
933,933,"Just as the sun is so bright that the dark sky looks bright, the stars become too bright to look.",933.0,"965,1,"
934,934,The sunlight is so strong,934.0,"966,1,"
935,935,The sunlight is so strong,935.0,"967,1,"
936,936,The sunlight is so strong,936.0,"968,1,"
937,937,The sunlight is so strong,937.0,"969,1,"
938,938,It's because the sun is too bright,938.0,"970,1,"
939,939,The sun's light is stronger in the morning than in the starlight,939.0,"971,1,"
940,940,"Because the sunlight is stronger,",940.0,"972,0,"
941,941,Because I couldn't see the stars because my friend called me.,941.0,"973,1,"
942,942,.,942.0,"974,1,"
943,943,I don't know,943.0,"975,1,"
944,944,Stars are invisible to our eyes when it's bright,944.0,"976,0,"
945,945,Because of the sunlight,945.0,"977,1,"
946,946,The sun is too bright to see.,946.0,"978,1,"
947,947,The sun is so strong that starlight cannot reach the eye.,947.0,"979,1,"
948,948,The sun is too bright to see,948.0,"980,0,"
949,949,The sun's light is too strong to see stars during the day.,949.0,"981,1,"
950,950,The sunlight from the sun is bright,950.0,"982,1,"
951,951,The sun's light is so bright that the star's light cannot be seen.,951.0,"983,1,"
952,952,I don't know,952.0,"984,1,"
953,953,The sunlight is so bright,953.0,"985,1,"
954,954,I don't know,954.0,"986,0,"
955,955,Because the sunlight is strong,955.0,"987,1,"
956,956,It's bright,956.0,"988,0,989,0,"
957,957,The sun is covering me,957.0,"990,1,"
958,958,Because the sun is brighter than the stars.,958.0,"991,1,"
959,959,It's because the sun is blocking me,959.0,"992,0,"
960,960,Because the sun is too bright to see,960.0,"993,1,"
961,961,It's because the sunlight is brighter,961.0,"994,1,"
962,962,"Because the sun's light is bright,",962.0,"995,1,"
963,963,I didn't see it either.,963.0,"996,1,"
964,964,"The sunlight is very bright compared to the starlight, so the starlight is covered, so you can't see the stars during the day.",964.0,"997,1,"
965,965,It's because the sunlight is brighter,965.0,"998,1,"
966,966,The sun is too bright to see,966.0,"999,1,"
967,967,It's sunny,967.0,"1000,1,"
968,968,Because of the sun's light,968.0,"1001,1,"
969,969,The sunlight is so bright,969.0,"1002,1,"
970,970,Because the light from the sun is so intense.,970.0,"1003,1,"
971,971,It's because the sun is too bright,971.0,"1004,0,"
972,972,"Even during the day, stars are shining in the sun, but they cannot be seen during the day because the light they are shining is overwhelmingly weaker than the light of the solar radiation energy they are spending directly.",972.0,"1005,1,"
973,973,Because of the sun,973.0,"1006,1,"
974,974,The sunlight is so strong,974.0,"1007,1,"
975,975,The sun is so bright,975.0,"1008,1,"
976,976,It's because it's too bright.,976.0,"1009,1,"
977,977,I don't know,977.0,"1010,1,"
978,978,covered by the sun's light,978.0,"1011,1,"
979,979,Because of the sunlight,979.0,"1012,0,"
980,980,"Because of the sun, the world is so bright that you can't see the twinkling stars",980.0,"1013,1,"
981,981,I don't know,981.0,"1014,0,"
982,982,"If it's bright, the clouds block the stars, so you can't see it well, and you can see it at night",982.0,"1015,1,"
983,983,Because no other star is visible because of the sun's light,983.0,"1016,0,"
984,984,I don't think it's going to be visible under the sun.,984.0,"1017,1,"
985,985,"""Because it's too dark to see the stars at night.",985.0,"1018,1,1019,0,"
986,986,"""",986.0,"1020,1,"
987,987,"The stars are bright, but the sunlight is much brighter, so I don't think they're visible.",987.0,"1021,1,"
988,988,The sun shines brightly,988.0,"1022,1,"
989,989,"In the morning, it's covered by the sunI can't see because of the sun's light.",989.0,"1023,0,"
990,990,It's too bright,990.0,"1024,1,"
991,991,"The stars are white and the sunlight is white, so I don't think I can see the stars.",991.0,"1025,1,"
992,992,It's because of the debt,992.0,"1026,0,"
993,993,Because there's no moon,993.0,"1027,1,"
994,994,I don't know.,994.0,"1028,0,"
995,995,Because it's bright during the day.,995.0,"1029,1,"
996,996,"The sun and stars are the same color, so the sun is brighter, so the stars are covered by the sun, so I don't think I can see them.",996.0,"1030,1,"
997,997,?,997.0,"1031,1,"
998,998,I can't see it because of the sunlight,998.0,"1032,1,"
999,999,It's because the sun's light comes in,999.0,"1033,0,"
1000,1000,Because the sky is bright,1000.0,"1034,1,"
1001,1001,It's covered by the sun,1001.0,"1035,1,"
1002,1002,Because of the sun,1002.0,"1036,1,"
1003,1003,It's too bright,1003.0,"1037,1,"
1004,1004,Because of the sun,1004.0,"1038,1,"
1005,1005,Because it's bright,1005.0,"1039,1,"
1006,1006,Because the sun is too bright,1006.0,"1040,1,"
1007,1007,Because the sun is bright and I can't see the starlight,1007.0,"1041,0,"
1008,1008,Because the sun is bright,1008.0,"1042,0,"
1009,1009,The earth rotates and is in a different position,1009.0,"1043,1,"
1010,1010,The sunlight is brighter,1010.0,"1044,1,"
1011,1011,The sun is too strong to see other stars,1011.0,"1045,1,"
1012,1012,"Because of the strong sunlight,",1012.0,"1046,1,"
1013,1013,Because of the sunlight,1013.0,"1047,1,"
1014,1014,I can't see because I'm covered by the sun's light.,1014.0,"1048,1,1049,1,"
1015,1015,You can't see the brightness of the sun because it is stronger than the brightness of the stars,1015.0,"1050,1,"
1016,1016,Because the sun's light is strong,1016.0,"1051,1,"
1017,1017,Stars are reflected by the sun or the moon and can be seen with our eyes.,1017.0,"1052,1,"
1018,1018,in the sun,1018.0,"1053,1,"
1019,1019,"""I don't know",1019.0,"1054,1,"
1020,1020,"""",1020.0,"1055,1,"
1021,1021,because of the sun,1021.0,"1056,1,"
1022,1022,I don't know. Hehe,1022.0,"1057,1,"
1023,1023,"During the day, the sun is too strong to see stars.",1023.0,"1058,1,"
1024,1024,be invisible because of the sun,1024.0,"1059,1,"
1025,1025,Well,1025.0,"1060,1,"
1026,1026,This is because the brightness of sunlight is stronger than that of stars.,1026.0,"1061,1,"
1027,1027,This is because the light intensity of the sun is too large.,1027.0,"1062,1,"
1028,1028,It's because the sun is strong,1028.0,"1063,1,"
1029,1029,Because of the bald man's reflection on his hair,1029.0,"1064,1,"
1030,1030,Sun,1030.0,"1065,1,"
1031,1031,The sun is so strong,1031.0,"1066,1,"
1032,1032,The question is wrong. I can see the sun.,1032.0,"1067,1,"
1033,1033,"Because the sun's light is much stronger than the light of other stars, it blocks the sun is also a star",1033.0,"1068,1,"
1034,1034,Hatnim is jealous,1034.0,"1069,1,"
1035,1035,Because the sun is too bright.,1035.0,"1070,1,"
1036,1036,Because the sunlight is too strong.,1036.0,"1071,1,"
1037,1037,This is because the light emitted by the sun is brighter than the light emitted by stars.,1037.0,"1072,1,"
1038,1038,The light from the star body overlaps with the light from the sun and is invisible.,1038.0,"1073,1,"
1039,1039,太陽之 光,1039.0,"1074,1,"
1040,1040,"Because the sunlight is so strong, the stars are not visible because they are covered by the sunlight.",1040.0,"1075,1,"
1041,1041,"Daytime is the time when the sun is in the sky, so you can't see the stars because of the sun's light.",1041.0,"1076,1,"
1042,1042,"During the day, stars float like the sun and lose like the sun, and the brightness of the sun is relatively much greater than the brightness of the light, so we can only observe the light of the sun. If that happens, constellations cannot be observed during the day.",1042.0,"1077,1,"
1043,1043,The sun's light is so strong that we can't detect it even when the starlight reaches it.,1043.0,"1078,1,1079,1,"
1044,1044,That's because the sun's light is so powerful that it covers all the stars' light.,1044.0,"1080,1,"
1045,1045,The sun is so bright,1045.0,"1081,1,"
1046,1046,The sun is up,1046.0,"1082,1,"
1047,1047,Because I can't reflect the sunlight,1047.0,"1083,1,"
1048,1048,To the Earth spin around its axis,1048.0,"1084,1,"
1049,1049,Because the sun is stronger than the stars,1049.0,"1085,1,"
1050,1050,Because of the sun's light,1050.0,"1086,1,"
1051,1051,The sun is so bright,1051.0,"1087,1,"
1052,1052,Because of the sunlight,1052.0,"1088,1,"
1053,1053,Because the sun is too bright.,1053.0,"1089,1,"
1054,1054,The sunlight is so strong,1054.0,"1090,1,"
1055,1055,The sun is so bright,1055.0,"1091,1,"
1056,1056,This is because the sun's light is brighter than the stars' light.,1056.0,"1092,1,"
1057,1057,The light emitted by the sun is stronger than the light emitted by the stars,1057.0,"1093,1,"
1058,1058,The sunlight is so bright that the light of other stars is swallowed up by the sun and cannot be seen.,1058.0,"1094,1,"
1059,1059,because of the sun,1059.0,"1095,1,"
1060,1060,The sun is too bright to see the stars,1060.0,"1096,1,"
1061,1061,Because the sun's light is stronger than the star's light,1061.0,"1097,0,"
1062,1062,This is because the sun's light is so strong that the light of stars with relatively little light is invisible.,1062.0,"1098,1,"
1063,1063,"During the day, the sun is so bright that stars with relatively low brightness and other planets and stars do not emit light on their own, but we do not recognize light accurately.",1063.0,"1099,1,"
1064,1064,"Because of the strong sunlight,",1064.0,"1100,1,"
1065,1065,"Because of the atmosphere and the sunlight,",1065.0,"1101,0,"
1066,1066,The sun is so bright,1066.0,"1102,0,"
1067,1067,Sunlight is too strong for starlight to see stars.,1067.0,"1103,1,"
1068,1068,I can't see well because it's not bright enough for the sun,1068.0,"1104,1,"
1069,1069,The sun is stronger,1069.0,"1105,1,"
1070,1070,The sun is so strong,1070.0,"1106,1,"
1071,1071,The sun is brighter than other stars,1071.0,"1107,1,"
1072,1072,Invisible because the sun is near the stars,1072.0,"1108,1,1109,1,"
1073,1073,The sun is so bright,1073.0,"1110,0,"
1074,1074,The sun's light is strong,1074.0,"1111,0,"
1075,1075,be invisible by the relatively brighter sun,1075.0,"1112,0,"
1076,1076,It's covered by the sun,1076.0,"1113,1,"
1077,1077,Because the sunlight is too bright,1077.0,"1114,1,"
1078,1078,Because the sun's light is relatively bright,1078.0,"1115,1,"
1079,1079,obscured by sunlight,1079.0,"1116,1,"
1080,1080,Because it is invisible because of the light.,1080.0,"1117,1,"
1081,1081,Because the sunlight is so strong that I can't see the stars shining,1081.0,"1118,1,"
1082,1082,covered by the clouds and the sun,1082.0,"1119,1,"
1083,1083,The sunlight is too bright.,1083.0,"1120,1,"
1084,1084,Because the sun is so bright that the stars of light are buried,1084.0,"1121,1,"
1085,1085,"The sun shines on us during the day, so of course, the bright stars are hard to see in the bright sky. Why bother looking at them during the day?",1085.0,"1122,1,"
1086,1086,This is because the sun's rays are stronger than the light produced by stars.,1086.0,"1123,1,"
1087,1087,"The sun's light is strong, so you can't see things that aren't brighter than that light.",1087.0,"1124,1,"
1088,1088,"The sun is so strong and hot that it is reflected in the atmosphere and invisible even though the star is floating because its light is stronger than the star's light.I think the reason why stars are shining is because they are reflected by the light from the sun. However, during the day when the sun is up, there is no weak starlight due to the strong sunlight.",1088.0,"1125,1,"
1089,1089,I can't see because I'm covered by the sun's light.,1089.0,"1126,1,"
1090,1090,"The Earth orbits around the sun, but the stars in space seem to be fixed from Earth because they are far away from Earth. Observing these stars as the Earth orbits creates visible and invisible stars depending on the location of the Earth, because the sun's light is too bright to observe the stars when they are located on the sun's side.",1090.0,"1127,1,"
1091,1091,"This is because the sunlight is relatively too strong. For us, low means that the surface of the Earth where we live is facing the sun. So the night, on the contrary, means that the Earth's surface is facing the opposite of the sun. In the case of night, stars can shine because the sun is not facing the earth's surface, but as I said earlier, the sun's light is stronger during the day, so it can be said that the star's light is hidden.",1091.0,"1128,1,"
1092,1092,"Even during the day, stars are floating in the sky, but the light emitted by the sun is too bright to cover the light of the stars. Therefore, we do not recognize stars even though they are floating. However, at night, the intensity of the sun's light is relatively weak compared to the intensity of the light that the star represents, so it can be recognized that the star is floating in the sky.",1092.0,"1129,1,"
1093,1093,"Stars don't shine on their own, they reflect and shine. During the day, the bright sunlight scatters, and starlight is buried in it is invisible.",1093.0,"1130,1,"
1094,1094,"The earth rotates once a day. At this time, the time when there is a lot of sunlight is called day, and the time when there is no sunlight is called night, and the star is always in a constant position, but when there is a lot of sunlight during the day, it is covered by bright sunlight nearby, so a weakly shining star is not noticeable.",1094.0,"1131,1,"
1095,1095,"Stars emit the same amount of light as day or night, but during the day, stars are invisible because the sun's light is stronger than the star's light, and on the contrary, stars are visible because they are not covered by the sun's light at night.",1095.0,"1132,1,"
1096,1096,The sun's light is so intense that it is relatively weak that the stars are obscured.,1096.0,"1133,1,"
1097,1097,"As the Earth rotates, the surface of the earth we are on during the day faces the sun, so we can see the sun. The reason why stars cannot be seen at this time is that the light of the sun we see is brighter than the light of stars. Of course, the light of other stars can be bright, but the sun looks brighter because it is close to Earth.",1097.0,"1134,1,"
1098,1098,"Since the sun is also floating while the stars are floating, relatively weaker starlight than the sun's light is not visible.",1098.0,"1135,1,"
1099,1099,"Stars are always floating. The actual star rating is called the absolute rating. However, even stars of the same brightness look different depending on the distance, which is called apparent grade. It is said that the smaller the apparent grade, the brighter it is. However, because the sun is much brighter than other stars, these ratings are ignored and stars are not visible only during the daytime when the sun is active.",1099.0,"1136,1,"
1100,1100,"Because it faces the sun during the day, it is covered by strong sunlight and cannot see the light of the star.",1100.0,"1137,1,"
1101,1101,"In order for us to see something, the object must be brighter than the surrounding background. If the light around it becomes brighter than the light emitted by the star, we cannot see the star. During the day, the light from the sun is brighter than the light that the star can make, so we cannot see the star because it is covered by the light. However, it is dark at night after sunset, so we can see the stars easily.  This is the same reason why you can find more stars in the countryside than in cities where lights don't go out at night.",1101.0,"1138,1,1139,0,"
1102,1102,"We are apt to observe stars in the night sky. However, the reason why it is difficult to observe stars during the day is that even stars with brighter brightness than the sun are difficult to recognize the brightness of stars by the light of the sun, which is relatively close to the distance.",1102.0,"1140,1,"
1103,1103,"During the day, the stars are not visible because of the sunlight. For example, the glow of a glow-in-the-dark sticker is only visible when the light is turned off and not visible when turned on. However, this is because the glow of the light is brighter than the glow of the light, not the glow of the light goes out. Like this, there is light during the day, so the stars are not visible because it is bright.",1103.0,"1141,1,"
1104,1104,The sun rises in the middle of the day. You can't see stars during the day because the brightness of sunlight is much brighter than that of stars.,1104.0,"1142,1,"
1105,1105,"During the day, the sun rises, but the sunlight is so strong that the light of the stars is hidden from the sun.",1105.0,"1143,1,"
1106,1106,h,1106.0,"1144,1,"
1107,1107,What's the point of knowing that?,1107.0,"1145,1,"
1108,1108,Because the sunlight is too strong to see the light of the stars,1108.0,"1146,1,"
1109,1109,Because the stars are covered by the sun,1109.0,"1147,0,"
1110,1110,It is because it is covered by the sun.,1110.0,"1148,1,"
1111,1111,Because the stars are covered by the sun,1111.0,"1149,1,"
1112,1112,Because it's covered by the sun,1112.0,"1150,1,"
1113,1113,Because stars are covered by the sun,1113.0,"1151,,"
1114,1114,"Because the sun is brighter than the stars,",1114.0,"1152,,"
1115,1115,Because the earth rotates,1115.0,"1153,83.4%,"
1116,1116,This is because the earth rotates.,,
1117,1117,Because the earth rotates,,
1118,1118,The sunlight is so strong,,
1119,1119,Because the sun and clouds cover the moon.,,
1120,1120,It's because it's covered by the sun,,
1121,1121,Because the sun is stronger,,
1122,1122,Because the sun is stronger,,
1123,1123,Because the sunlight is too strong,,
1124,1124,The sunlight is too bright during the day,,
1125,1125,This is because stars are covered by sunlight.,,
1126,1126,"During the day, stars are not visible because the sky is bright.",,
1127,1127,The stars are covered by the sunlight,,
1128,1128,"During the day, stars are not visible because the sky is bright.",,
1129,1129,"Stars reflect sunlight and shine in the night sky, and the reflected light is recognized in our eyes so that we can see the stars. Stars are in the sky all day, but the reason why we can only see stars at night is because the sun is floating together during the day. Sunlight is so bright that we only recognize sunlight and cannot see stars.",,
1130,1130,It's bright during the day,,
1131,1131,The sun is so bright,,
1132,1132,Because it's bright,,
1133,1133,The sunlight is so bright that I can't see the stars,,
1134,1134,The sunlight is so bright,,
1135,1135,It's because it's rays,,
1136,1136,Because the sun's light is brighter during the day,,
1137,1137,Stars are hard to see because the sun is up.,,
1138,1138,The sun is too bright to see,,
1139,1139,He's bright,,
1140,1140,Because the light is brighter than the stars during the day,,
1141,1141,You can't see the stars during the day because of the sunlight,,
1142,1142,The sun is so bright,,
1143,1143,It's because the sun is so bright,,
1144,1144,I don't know.,,
1145,1145,The light in the sun is so strong that stars are not seen by the light.,,
1146,1146,The sun is up,,
1147,1147,It's too bright,,
1148,1148,The sun is too bright to see the stars.,,
1149,1149,It's because of the sun,,
1150,1150,Because the sky is bright because of the sunlight,,
1151,1151,The sunlight is so strong,,
1152,1152,"Not because the sun is bright, but because the earth's atmosphere is bright.",,
1153,1153,Because the sky doesn't look bright by the sun's light.,,
1154,1154,"Because the star's light is weak, it must be dark to see it",,
1155,1155,Because the sun's light is too light.,,
1156,1156,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,
