,Unnamed: 0,"14. A thermos is a bottle designed to keep the temperature of water constant. If you put warm water in a thermos, you can drink warm water even in cold weather. Why do thermos bottles keep water warm even in cold winter? Let's explain in detail using our knowledge of the characteristics of heat. ",Unnamed: 0,",q14_heat blocking,q14_convection,q14_structure,q14_material,q14_heat blocking.1,q14_convection.1,q14_structure.1,q14_material.1"
495,495,"""The insulation bottle is designed to be as insulated from the outside as possible. The interior walls are mirrors, reflecting heat and trapping it in a thermos. There is also a vacuum between the outer and inner walls that blocks convection and conduction of air-borne heat.This can cause the heat to remain for a long time.""",495.0,"512,0,0,0,0,,,,"
496,496,It's too thick,496.0,"513,0,0,0,0,,,,"
497,497,"ㅇㅅㄱ6ㅛㅡㅏㅇㅅ려ㅛ흐ㅏ79ㅇ쇼,8ㅑ쇼ㅕ",497.0,"514,0,0,0,0,,,,"
498,498,"Because the heat goes around the thermos,",498.0,"515,0,0,0,1,,,,"
499,499,Covering,499.0,"516,0,0,0,0,,,,"
500,500,44765353ㅗ,500.0,"517,0,0,0,0,,,,"
501,501,"The thermos keeps the warmth inside from going outside, so when the warm air goes up, it gets cold, and when it goes down, it gets warm again, and it keeps repeating",501.0,"518,0,0,0,1,,,,"
502,502,ㅇㅅㅇ,502.0,"519,0,0,0,0,,,,"
503,503,It's a substance that prevents heat loss,503.0,"520,0,0,0,0,,,,"
504,504,I don't know.,504.0,"521,0,0,0,0,,,,"
505,505,It's warm,505.0,"522,0,0,0,0,,,,"
506,506,That's what I made you... Why are you curious about that?,506.0,"523,0,0,0,0,,,,"
507,507,The fever is going up because it keeps spinning.,507.0,"524,0,0,0,1,,,,"
508,508,The heat's in the thermos,508.0,"525,0,0,0,1,,,,"
509,509,"Air has the property that cold heat and warm heat make each other's temperatures the same. Therefore, use a thermos to block it.",509.0,"526,0,0,0,0,,,,"
510,510,It's a characteristic of a teacher,510.0,"527,0,0,0,0,,,,"
511,511,Because it maintains the temperature,511.0,"528,0,0,0,0,,,,"
512,512,"This is because if you put hot water in a thermos, heat cannot escape.",512.0,"529,1,0,0,0,,,,"
513,513,It won't be hot even if you touch it with hot water,513.0,"530,0,0,0,0,,,,"
514,514,The principle of a thermos is to store it in a warm place and take it out.,514.0,"531,0,0,0,0,,,,"
515,515,It's the season inside. The water is hot even if you leave it alone.,515.0,"532,0,0,0,0,,,,"
516,516,I don't know.,516.0,"533,0,0,0,1,,,,"
517,517,Don't know,517.0,"534,0,0,0,1,,,,"
518,518,I don't know,518.0,"535,0,0,0,0,,,,"
519,519,Don't know,519.0,"536,0,0,1,0,,,,"
520,520,Because the temperature of the thermos won't escape.,520.0,"537,0,0,0,0,,,,"
521,521,Hotness,521.0,"538,0,0,0,0,,,,539,0,0,0,1,,,,"
522,522,Don't know,522.0,"540,0,0,0,0,,,,"
523,523,Thermos store heat,523.0,"541,0,0,0,1,,,,"
524,524,Thermos give you heat,524.0,"542,0,0,0,0,,,,"
525,525,The thermos keeps the heat out.,525.0,"543,0,0,0,0,,,,"
526,526,.,526.0,"544,0,0,0,1,,,,"
527,527,"Heat moves from a warm place to a cold place, and heat moves from a cold place to place.",527.0,"545,0,0,0,0,,,,"
528,528,Because the heat is stored.,528.0,"546,0,0,0,0,,,,"
529,529,Don't know,529.0,"547,1,0,0,0,,,,"
530,530,The purpose of the thermos is to maintain the temperature.,530.0,"548,1,1,1,0,,,,"
531,531,It prevents the heat from going out,531.0,"549,0,1,0,0,,,,"
532,532,Thermos are literally thermos,532.0,"550,0,0,0,0,,,,"
533,533,"Thermos are different from other diseases, and because greater pressure is passed on, the warmth remains intact",533.0,"551,1,0,0,0,,,,"
534,534,The role of thermos is to prevent the two from meeting because the properties of the two change when warm heat and cold things meet. Warm heat goes up in the air and cold heat goes down.,534.0,"552,1,0,0,0,,,,"
535,535,The substances in the thermos don't let the heat escape.Because (?),535.0,"553,0,0,0,1,,,,"
536,536,Because surrounding a thermos bottle keeps the warmth of the warm water from escaping.,536.0,"554,0,0,0,0,,,,"
537,537,This is because thermos absorbs heat energy.,537.0,"555,0,0,0,0,,,,"
538,538,"The material used in the thermos is used to keep the temperature, so the water in the thermos can be kept warm.",538.0,"556,0,0,0,1,,,,"
539,539,Don't know,539.0,"557,0,0,1,0,,,,"
540,540,thickened,540.0,"558,0,0,0,0,,,,"
541,541,?,541.0,"559,0,0,0,0,,,,"
542,542,It's warm,542.0,"560,0,0,0,0,,,,"
543,543,You can ask the person who made the name,543.0,"561,0,0,1,1,,,,"
544,544,The metal in the thermos allows the onto to be maintained.,544.0,"562,0,0,0,0,,,,"
545,545,"Wooden chopsticks do not carry heat, but thorough chopsticks carry heat well",545.0,"563,0,0,0,0,,,,"
546,546,Don't know,546.0,"564,0,0,1,0,,,,"
547,547,You put it in from the hot place?,547.0,"565,0,0,0,0,,,,"
548,548,Unknowingness,548.0,"566,0,0,1,1,,,,"
549,549,It prevents the heat from going out,549.0,"567,0,0,0,0,,,,"
550,550,"Thermos are slow to transfer heat from outside the thermos to the thermos, and heat transfer is difficult because there is no air in between.",550.0,"568,0,0,0,0,,,,569,1,1,1,0,,,,"
551,551,Unknowingness,551.0,"570,0,0,0,0,,,,"
552,552,I don't know.,552.0,"571,0,0,0,0,,,,"
553,553,It's because the iron is kept in the thermos,553.0,"572,0,0,0,1,,,,"
554,554,This is because there is something in the thermos that prevents heat from escaping easily.,554.0,"573,1,0,0,0,,,,"
555,555,There's a deformity that prevents temperature changes,555.0,"574,0,0,0,1,,,,"
556,556,It is stacked in layers to prevent heat from going out.,556.0,"575,0,0,0,0,,,,"
557,557,Metal is embedded in the thermos,557.0,"576,0,0,0,0,,,,"
558,558,I don't know,558.0,"577,0,0,0,0,,,,"
559,559,Thermos are made of materials that block the outside temperature.,559.0,"578,0,0,0,0,,,,"
560,560,It keeps it warm as it keeps oxygen warm.,560.0,"579,0,0,0,0,,,,"
561,561,I remember making a thermos wrapped in foil to protect against heat,561.0,"580,0,0,0,1,,,,"
562,562,Thermos keep the temperature of the water constant by heating themselves.,562.0,"581,0,0,0,0,,,,"
563,563,"Thermos aren't usually made of plastic, but iron? It's the same kind of water bottle, but if you put hot water in an iron bowl, it gets much hotter and stays hot for a long time",563.0,"582,0,0,0,0,,,,"
564,564,Because the thermos has elements that prevent heat from escaping,564.0,"583,0,0,0,0,,,,"
565,565,It's blocked from the heat outside,565.0,"584,0,0,0,0,,,,"
566,566,It's related to the specific gravity,566.0,"585,0,0,0,0,,,,"
567,567,"By making the inside of the thermos bottle surrounding the liquid using insulation, heat exchange between the outside and the inside is blocked to maintain the temperature.",567.0,"586,1,0,1,0,,,,"
568,568,Use insulation and vacuum to prevent heat conduction.,568.0,"587,0,0,0,0,,,,"
569,569,Thermos are possible by preventing heat damage caused by conduction and radiation because a thermal insulation device is placed in the bottle to prevent heat transfer and radiation in the water,569.0,"588,0,0,0,0,,,,"
570,570,I am~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,570.0,"589,0,0,0,0,,,,"
571,571,This is because the temperature of the water does not go outside due to the insulation inside the thermos.,571.0,"590,1,0,0,0,,,,"
572,572,prevent heat from escaping,572.0,"591,0,0,0,0,,,,"
573,573,Thermos hold heat with substances that prevent heat transfer.,573.0,"592,0,0,0,0,,,,"
574,574,I don't use a thermos often ^^,574.0,"593,0,0,0,0,,,,"
575,575,I don't know,575.0,"594,0,0,0,0,,,,"
576,576,Thermos store heat by inserting substances or air that prevent heat from moving so that heat cannot move.,576.0,"595,0,1,1,1,,,,"
577,577,There is an empty space in the bottle to prevent heat release.,577.0,"596,0,0,0,0,,,,"
578,578,Aluminum protects heat,578.0,"597,1,0,0,0,,,,"
579,579,It's because aluminum absorbs heat,579.0,"598,0,0,0,0,,,,599,0,0,0,0,,,,"
580,580,"In order to generate heat, molecular motion is required, which preserves the motion of these molecules without killing them.",580.0,"600,1,0,0,0,,,,"
581,581,"Thermos have substances or empty spaces in the bottle that prevent heat from moving, so heat cannot move.",581.0,"601,0,0,1,0,,,,"
582,582,Thermos can interpolate hot water,582.0,"602,1,0,0,0,,,,"
583,583,It's a thermos that keeps you warm. It's a disease that keeps you from getting a fever,583.0,"603,1,0,0,0,,,,"
584,584,Thermos have substances or empty spaces in the bottle that prevent heat from moving so that heat cannot move,584.0,"604,0,1,0,0,,,,"
585,585,The warmth in the thermos keeps the water warm,585.0,"605,0,0,0,0,,,,"
586,586,"Thermos have substances or empty spaces in the bottle that prevent heat from moving, so heat cannot move.",586.0,"606,0,1,0,0,,,,"
587,587,"Thermos keep the heat inside from moving. Therefore, you can keep the water warm even in the cold winter.",587.0,"607,1,0,0,0,,,,"
588,588,This is because the thermos prevents heat from moving inside.,588.0,"608,1,0,1,0,,,,"
589,589,"The thermos bottle is separated from the outer bottle to prevent ""conduction"", to prevent heat transfer by ""radiation"", and to prevent heat transfer by ""convection"" by vacuum treatment between them to prevent heat transfer from the thermos to keep the water warm.",589.0,"609,0,1,1,0,,,,"
590,590,"""Because it keeps warm particles in a thermos for a long time,",590.0,"610,1,0,0,0,,,,"
591,591,"""",591.0,"611,0,1,0,0,,,,"
592,592,f,592.0,"612,0,0,1,0,,,,"
593,593,"Thermos have substances that prevent heat escaping, so they can keep the water warm even in cold winter.",593.0,"613,1,0,0,0,,,,"
594,594,"Heat flows from high to low, and when insulation is placed on the inner and outer walls of the thermos, it does not occur well.This is because there is a material in the thermos that prevents heat from escaping.",594.0,"614,0,0,1,0,,,,"
595,595,Unknowingness,595.0,"615,1,0,0,0,,,,"
596,596,The substance that made the thermos doesn't react much to the cold and keeps it warm,596.0,"616,0,0,0,0,,,,"
597,597,I don't know...,597.0,"617,0,0,0,0,,,,"
598,598,Unknowingness,598.0,"618,0,0,0,0,,,,"
599,599,???,599.0,"619,0,0,0,1,,,,"
600,600,This is because the bottle is made of a material that maintains heat well.,600.0,"620,0,0,0,1,,,,"
601,601,"""I don't know",601.0,"621,1,0,0,0,,,,"
602,602,"""",602.0,"622,0,0,0,0,,,,"
603,603,I have no idea.,603.0,"623,0,0,0,0,,,,"
604,604,"This is because heat moves from the hot side to the cold side, but prevents heat from moving to the heat insulating material.",604.0,"624,0,0,0,0,,,,"
605,605,Unknowingness,605.0,"625,0,0,0,0,,,,"
606,606,Do.,606.0,"626,0,1,1,0,,,,"
607,607,"The outer surface and the inner surface are separated, but the gap is vacuumed, so the heat does not escape and remains intact",607.0,"627,0,0,0,0,,,,"
608,608,I don't understand.,608.0,"628,0,0,1,0,,,,629,0,0,0,0,,,,"
609,609,This is because the principle of thermos is unique.,609.0,"630,0,0,1,0,,,,"
610,610,I don't know.,610.0,"631,0,0,1,1,,,,"
611,611,This is because the principle of thermos helps keep heat from escaping,611.0,"632,1,0,0,0,,,,"
612,612,Unknowingness,612.0,"633,0,0,0,0,,,,"
613,613,Blocking air from entering 4,613.0,"634,1,0,0,0,,,,"
614,614,I don't know.,614.0,"635,1,0,0,0,,,,"
615,615,Jeff... Solitude... Get ahead of yourself! Kim Sunwoo is the best!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,615.0,"636,1,0,0,0,,,,"
616,616,""" In 1892, James Dewer, a British scientist, said,",616.0,"637,0,0,1,0,,,,"
617,617,We developed a thermos bottle to store liquid oxygen.,617.0,"638,0,0,0,0,,,,"
618,618,"He glazed the inner container and between the inner and outer containers,",618.0,"639,1,0,0,0,,,,"
619,619,We put a vacuum where there is almost no air.,619.0,"640,1,0,0,0,,,,"
620,620,,620.0,"641,0,1,1,0,,,,"
621,621,"In this vacuum thermos that he made, the heat doesn't work.",621.0,"642,0,0,0,0,,,,"
622,622,The reason is that it has blocked almost all of the paths through which heat is transferred.,622.0,"643,0,0,0,0,,,,"
623,623,,623.0,"644,0,0,0,0,,,,"
624,624,"There are three methods of heat transfer: conduction, convection, and radiation.",624.0,"645,0,0,0,0,,,,"
625,625,,625.0,"646,0,0,0,0,,,,"
626,626,,626.0,"647,0,0,0,0,,,,"
627,627,1. evangelism,627.0,"648,0,0,0,0,,,,"
628,628,,628.0,"649,0,0,0,0,,,,"
629,629,Conduction is a method of transferring heat energy in order between molecules nearby.,629.0,"650,0,0,0,0,,,,"
630,630,The vacuum of the thermos bottle is a space where there are almost no molecules,630.0,"651,0,0,0,0,,,,"
631,631,There are no molecules placed close together.,631.0,"652,0,0,0,0,,,,"
632,632,"Therefore, heat transfer by conduction is not possible in the vacuum bottle.",632.0,"653,0,0,0,0,,,,"
633,633,,633.0,"654,0,0,0,0,,,,"
634,634,,634.0,"655,0,0,0,0,,,,"
635,635,2. Convection,635.0,"656,0,0,0,0,,,,"
636,636,,636.0,"657,0,0,0,0,,,,"
637,637,Convection refers to the direct migration of molecules to transfer heat,637.0,"658,0,0,0,0,,,,659,0,0,0,0,,,,"
638,638,Water bubbles rising from the bottom of a boiling kettle serve as such.,638.0,"660,0,0,0,0,,,,"
639,639,"However, the thermos is completely blocked from the outside, so convection is impossible.",639.0,"661,0,0,1,0,,,,"
640,640,,640.0,"662,0,0,0,0,,,,"
641,641,,641.0,"663,0,0,0,0,,,,"
642,642,3. Copy,642.0,"664,0,0,0,0,,,,"
643,643,,643.0,"665,0,0,1,0,,,,"
644,644,"But unlike conduction and convection, radiation doesn't go through molecules",644.0,"666,0,0,1,0,,,,"
645,645,Everything passes through and transfers heat like a wave.,645.0,"667,0,0,1,0,,,,"
646,646,,646.0,"668,0,0,0,0,,,,"
647,647,There's a radiation of heat in everything,647.0,"669,0,0,0,0,,,,"
648,648,"The hotter the heat source, the greater the heat radiation.",648.0,"670,0,0,0,0,,,,"
649,649,The way the sun transmits heat to the Earth is also radiation.,649.0,"671,1,0,0,0,,,,"
650,650,"(There's no conduction, no convection, of course, because it's almost a vacuum between the sun and the Earth.)",650.0,"672,0,0,0,0,,,,"
651,651,,651.0,"673,0,0,0,0,,,,"
652,652,Thermos prevent even radiant heat.,652.0,"674,0,0,0,0,,,,"
653,653,The inside and outside of the thermos are silver plated.,653.0,"675,0,0,0,0,,,,"
654,654,"(If you look inside, the glitter is silver plated.)",654.0,"676,0,0,0,0,,,,"
655,655,,655.0,"677,0,0,0,0,,,,"
656,656,The radiant energy from hot coffee or water is like a mirror,656.0,"678,0,0,0,1,,,,"
657,657,Reflect to prevent heat from leaking out.,657.0,"679,0,0,0,0,,,,"
658,658,,658.0,"680,0,0,0,0,,,,"
659,659,,659.0,"681,0,0,0,0,,,,"
660,660,[Organizing],660.0,"682,0,0,0,0,,,,"
661,661,,661.0,"683,0,0,0,0,,,,"
662,662,"Eventually, the vacuum of the thermos bottle and the combination of silver plating",662.0,"684,0,0,0,0,,,,"
663,663,"When it's hot, it prevents heat from dissipating from the inner container",663.0,"685,0,0,0,0,,,,"
664,664,"If there is something cold in it, it blocks heat transfer from outside to inside.""",664.0,"686,0,1,0,0,,,,"
665,665,Unknowingness,665.0,"687,0,1,0,0,,,,"
666,666,It's because it has an insulating effect,666.0,"688,1,0,0,0,,,,689,0,0,0,0,,,,"
667,667,I don't know.,667.0,"690,1,0,0,0,,,,"
668,668,You can't get out of a thermos with a hard heat,668.0,"691,0,0,0,0,,,,"
669,669,Insulation effect,669.0,"692,0,0,0,1,,,,"
670,670,"Heat needs a medium, but the thermos is vacuumed, so it cannot be cut off.",670.0,"693,0,0,0,0,,,,"
671,671,It creates a layer of insulation between the water in the thermos and the cold outside air to keep it warm.,671.0,"694,0,0,0,1,,,,"
672,672,It forms an insulation layer that prevents heat from escaping,672.0,"695,0,0,0,0,,,,"
673,673,It blocks the conduction of heat to keep the heat.,673.0,"696,0,0,0,1,,,,"
674,674,It prevents heat movement so that hot heat inside does not escape to the outside where the temperature is low.,674.0,"697,0,0,0,0,,,,"
675,675,This is because thermos prevents conductive convective heat radiation from going out.,675.0,"698,0,0,0,0,,,,"
676,676,It's probably due to the insulation effect. Probably.,676.0,"699,1,0,0,0,,,,"
677,677,There's a vacuum insulation layer,677.0,"700,0,0,0,0,,,,"
678,678,"Thermos have a double wall structureHeat conduction is not possible, so heat is not taken away.",678.0,"701,0,0,0,0,,,,"
679,679,This is because it has a good insulation effect and prevents heat release,679.0,"702,0,0,0,1,,,,"
680,680,This is because thermos prevents conductive convective heat radiation from going out.,680.0,"703,1,0,0,0,,,,"
681,681,"Heat is not transferred well from the gas, so double thermal insulation is installed.",681.0,"704,0,0,0,0,,,,"
682,682,Thermos have insulation to prevent heat release,682.0,"705,0,0,0,1,,,,"
683,683,"""It minimizes the release of heat",683.0,"706,0,0,0,1,,,,"
684,684,"Because of the empty space between the outer rim and the inner rim.""",684.0,"707,0,0,0,0,,,,"
685,685,It prevents the heat from escaping,685.0,"708,0,0,0,0,,,,"
686,686,It's made up of a triple membrane,686.0,"709,0,0,0,1,,,,"
687,687,"I don't know the principle, but a thermos can store warm water",687.0,"710,0,0,0,0,,,,"
688,688,"""It has the property of moving from high temperature (hot (cold).",688.0,"711,0,0,0,1,,,,"
689,689,"There's the property of trying to be equal to the surroundings.""",689.0,"712,0,0,0,0,,,,"
690,690,"""The inside and outside are plated with silver",690.0,"713,0,0,0,0,,,,"
691,691,"The heat won't go away.""",691.0,"714,0,0,0,0,,,,"
692,692,"""The inside and outside are plastered with silver",692.0,"715,0,0,0,0,,,,"
693,693,"The heat won't escape.""It keeps the heat from escaping",693.0,"716,0,0,0,0,,,,"
694,694,A mirror in a thermos reflects zero and preserves heat,694.0,"717,1,0,0,0,,,,"
695,695,It absorbs heat,695.0,"718,0,0,0,0,,,,719,0,1,1,0,,,,"
696,696,"Because the air cannot take away the heat inside the thermos, it can keep the water warm even in the cold winter",696.0,"720,0,0,1,0,,,,"
697,697,This is because it prevents the heat of the water in the thermos from escaping.,697.0,"721,1,0,0,0,,,,"
698,698,"Thermos are made into two layers of bottles, so they are vacuumed between the two. Air, a medium of heat, is required to transfer heat, but heat is not transferred well in a vacuum state with little air, so heat is not easily transferred from the inside and heat is not easily transferred from the outside.",698.0,"722,0,0,0,0,,,,"
699,699,"Thermos are made into two layers of bottles, so the two are kept in a vacuum.",699.0,"723,0,0,0,0,,,,"
700,700,"Thermos are made of two layers of bottles, so air, which is a medium of heat, is required to transfer heat between the two cylinders, but heat is not transferred well in a vacuum with little air, so heat is not released from the inside and heat from the outside.",700.0,"724,0,0,0,0,,,,"
701,701,It blocks heat damage or heat.,701.0,"725,0,0,0,0,,,,"
702,702,"The vacuum between the double walls prevents heat transfer, so the temperature can be kept warm",702.0,"726,0,0,0,0,,,,"
703,703,"""",703.0,"727,0,0,0,1,,,,"
704,704,,704.0,"728,0,0,0,0,,,,"
705,705,Cover the surface with silver to prevent radiation,705.0,"729,0,0,0,0,,,,"
706,706,,706.0,"730,0,0,0,1,,,,"
707,707,The vacuum between the double walls prevents heat transfer,707.0,"731,0,0,0,0,,,,"
708,708,,708.0,"732,0,0,0,1,,,,"
709,709,"""",709.0,"733,0,0,0,1,,,,"
710,710,It blocks heat transfer,710.0,"734,0,0,0,0,,,,"
711,711,There's no heat inside. There's no heat outside,711.0,"735,0,0,0,0,,,,"
712,712,Because the membrane of the thermos was made so that the heat inside was not allowed to go out and the heat outside was made to be kept out of the inside,712.0,"736,0,0,0,1,,,,"
713,713,"Because the heat inside does not go out and the heat outside does not come in, you can drink warm water when you put it in a thermos.",713.0,"737,0,0,0,0,,,,"
714,714,This is because the membrane of the thermos bottle prevents the heat inside from going out and the heat outside from going inside.,714.0,"738,0,0,0,1,,,,"
715,715,"Thermos are made of two layers of bottles, so they can't escape through the two cylinders",715.0,"739,0,0,0,0,,,,"
716,716,"As the bottle becomes thicker, it prevents the heat from going out as much as possible and keeps the water vapor from going out.",716.0,"740,0,0,0,0,,,,"
717,717,The heat inside can't go out and the heat outside can't go out,717.0,"741,0,0,0,0,,,,"
718,718,Because the heat inside can't go out and the heat outside can't come in,718.0,"742,0,0,0,0,,,,"
719,719,"Thermos are made of two layers of bottles, so air, which is a medium of heat, is needed to transfer heat between the two, but in a vacuum with little air, heat is not transferred well, so heat cannot be generated inside or outside",719.0,"743,0,0,0,0,,,,"
720,720,I don't know.,720.0,"744,0,0,0,0,,,,"
721,721,Unknowingness,721.0,"745,0,0,0,1,,,,"
722,722,Mr,722.0,"746,0,0,0,0,,,,"
723,723,I don't understand.,723.0,"747,0,0,0,1,,,,"
724,724,Mr,724.0,"748,0,0,0,0,,,,749,0,0,0,0,,,,"
725,725,"""",725.0,"750,0,0,0,0,,,,"
726,726,I don't understand.,726.0,"751,0,0,0,0,,,,"
727,727,"""",727.0,"752,0,0,0,0,,,,"
728,728,"C, C, C, D",728.0,"753,0,0,0,0,,,,"
729,729,Mr,729.0,"754,0,0,0,0,,,,"
730,730,I don't understand.,730.0,"755,0,0,0,0,,,,"
731,731,Mall,731.0,"756,0,0,0,0,,,,"
732,732,I don't know,732.0,"757,0,0,0,0,,,,"
733,733,I don't understand.,733.0,"758,0,0,0,0,,,,"
734,734,I don't understand.,734.0,"759,0,0,0,0,,,,"
735,735,Mr,735.0,"760,0,0,0,0,,,,"
736,736,I don't understand.,736.0,"761,0,0,0,0,,,,"
737,737,I don't know.,737.0,"762,0,0,0,0,,,,"
738,738,That's true,738.0,"763,0,0,0,0,,,,"
739,739,It's hot,739.0,"764,0,0,0,0,,,,"
740,740,Mr,740.0,"765,0,0,0,0,,,,"
741,741,They shut off the outside air and vacuumed it,741.0,"766,0,0,0,1,,,,"
742,742,I don't understand.,742.0,"767,0,0,0,0,,,,"
743,743,This is because the heat inside cannot go outside and the heat outside cannot go inside,743.0,"768,1,0,0,0,,,,"
744,744,Water is kept warm by the movement of heat,744.0,"769,0,1,0,0,,,,"
745,745,"It's in the vacuum layer of the thermos. In terms of heat transfer, if there is a solid, liquid, gas, or vacuum, the ability to transfer heat in the order of solid>liquid>gas>vacuum decreases. In other words, solids carry the best temperature, but vacuum carries the least temperature",745.0,"770,0,1,1,0,,,,"
746,746,There are two layers of thermos because the bottle prevents the temperature from going out in hot water.,746.0,"771,1,0,0,0,,,,"
747,747,"Thermos are made into two layers of bottles. Air, which is a medium of heat, is required to transfer heat. In a vacuum with little air, heat is not transferred well, so heat cannot be generated from the inside and outside",747.0,"772,1,0,0,0,,,,"
748,748,.,748.0,"773,1,0,0,0,,,,"
749,749,Mr,749.0,"774,0,1,0,0,,,,"
750,750,I don't know.,750.0,"775,1,0,0,0,,,,"
751,751,There is no movement of heat inside and outside.,751.0,"776,0,0,0,0,,,,"
752,752,Don't know,752.0,"777,0,1,1,0,,,,"
753,753,I don't know,753.0,"778,1,0,0,0,,,,779,1,0,0,0,,,,"
754,754,"Because it protects the outside with glass,",754.0,"780,0,1,1,0,,,,"
755,755,Because you have to drink warm water on a cold day,755.0,"781,0,0,0,0,,,,"
756,756,It's because the heat is kept from escaping from the thermos,756.0,"782,0,0,1,0,,,,"
757,757,There are many layers of thermos.,757.0,"783,0,0,0,0,,,,"
758,758,Heat travels in substances such as iron and copper,758.0,"784,0,0,1,0,,,,"
759,759,I don't know.,759.0,"785,1,0,1,0,,,,"
760,760,It's because there are layers.,760.0,"786,1,1,0,0,,,,"
761,761,Thermos keep the water warm,761.0,"787,0,0,0,0,,,,"
762,762,Thermos warm the waterWest,762.0,"788,0,0,0,0,,,,"
763,763,Is it good to cook ramen in a thermos?,763.0,"789,0,0,0,0,,,,"
764,764,The bottle is holding her back,764.0,"790,0,0,0,0,,,,"
765,765,ㅍㅊㅍㅊㅍ,765.0,"791,1,0,0,0,,,,"
766,766,Thermal conductivity,766.0,"792,0,0,0,0,,,,"
767,767,Thermal conductivity,767.0,"793,0,0,0,1,,,,"
768,768,The characteristic of the thermos is that it prevents the heat from going out,768.0,"794,0,0,0,0,,,,"
769,769,....,769.0,"795,0,0,1,0,,,,"
770,770,Keep the heat in the thermos from escaping,770.0,"796,0,0,0,0,,,,"
771,771,Because the heat is maintained,771.0,"797,0,0,0,1,,,,"
772,772,It is made by adding substances that protect heat,772.0,"798,1,0,0,0,,,,"
773,773,Move the heat outside to the inside?,773.0,"799,0,0,1,0,,,,"
774,774,"I'm going to use substances that are not heat-resistant,",774.0,"800,0,0,0,0,,,,"
775,775,The noodles are thick,775.0,"801,0,0,0,0,,,,"
776,776,It's because there's more in the thermos,776.0,"802,0,0,1,1,,,,"
777,777,"""?????",777.0,"803,1,0,0,0,,,,"
778,778,"""",778.0,"804,0,1,0,0,,,,"
779,779,Because there are some shields,779.0,"805,1,0,0,0,,,,"
780,780,Put the insulation in the bottle.,780.0,"806,1,0,1,0,,,,"
781,781,Heat is used to cover the temperature of the water,781.0,"807,0,1,0,0,,,,"
782,782,Thermos maintain the temperature of the substances in them,782.0,"808,1,0,0,0,,,,809,0,0,0,0,,,,"
783,783,"Thermos have heat-preserving substances, so you can drink warm water even in winter.",783.0,"810,0,0,0,0,,,,"
784,784,Thermos are designed to keep warm heat from going outside,784.0,"811,0,1,1,0,,,,"
785,785,I made it so that warm smoke wouldn',785.0,"812,0,0,0,0,,,,"
786,786,Thermos have heat and thermos have some kind of substance,786.0,"813,0,1,0,0,,,,"
787,787,There's something in the thermos that keeps the water warm,787.0,"814,0,0,0,0,,,,"
788,788,Because the water gets cold,788.0,"815,0,0,0,0,,,,"
789,789,The walls of the thermos are thick. It doesn't get rid of heat,789.0,"816,0,0,0,0,,,,"
790,790,I put it in a bottle that's made of substances that don't let the heat go away,790.0,"817,0,0,0,0,,,,"
791,791,I don't know,791.0,"818,1,0,0,0,,,,"
792,792,You can make a bottle with a substance that doesn't drain the heatI don't know.,792.0,"819,0,0,1,0,,,,"
793,793,PASS,793.0,"820,0,0,0,1,,,,"
794,794,It's because the fever doesn't go away,794.0,"821,0,0,0,0,,,,"
795,795,"""All""",795.0,"822,0,0,0,1,,,,"
796,796,"Heat""",796.0,"823,0,0,0,1,,,,"
797,797,"First of all, a thermos can be considered to have another com. Therefore, the temperature is maintained to some extent by passing through once again without receiving the temperature directly from the gourd.",797.0,"824,1,0,0,0,,,,"
798,798,"It is made of insulating material, which traps heat, and is made of global warming-like properties",798.0,"825,1,0,0,0,,,,"
799,799,It's hard to explain.,799.0,"826,1,0,0,0,,,,"
800,800,There is an empty space between the inside and the outside to prevent heat conduction.,800.0,"827,1,0,0,0,,,,"
801,801,"Heat needs a transfer medium, but the thermos maintains a vacuum and does not transfer heat.",801.0,"828,1,1,0,0,,,,"
802,802,"The insulation effect, double, will be able to be kept warm using air or insulation between them.",802.0,"829,0,1,1,0,,,,"
803,803,Thermos can keep warm even in cold winter because they block heat exchange inside and outside the thermos as much as possible.,803.0,"830,0,0,0,0,,,,"
804,804,This is because the water in the thermos makes the thermos warm so that the temperature can be maintained well,804.0,"831,0,0,0,0,,,,"
805,805,1234,805.0,"832,1,0,0,0,,,,"
806,806,I don't know,806.0,"833,0,0,0,0,,,,"
807,807,123,807.0,"834,0,1,0,0,,,,"
808,808,There's something inside that warms you up,808.0,"835,0,0,0,0,,,,"
809,809,It's warm,809.0,"836,1,0,0,0,,,,"
810,810,"Yes, it is",810.0,"837,0,0,0,0,,,,"
811,811,Because there's something warm inside,811.0,"838,0,0,1,0,,,,839,0,0,1,0,,,,"
812,812,There was a substance that kept the cold stuff out of the bottle,812.0,"840,0,0,0,0,,,,"
813,813,Iron reflects,813.0,"841,0,1,1,1,,,,"
814,814,The temperature is maintained as the iron warms,814.0,"842,0,0,0,0,,,,"
815,815,The thermos is so thick that the heat doesn't go away quickly,815.0,"843,0,0,0,0,,,,"
816,816,"To keep the water warm, hot water keeps the water warm with hot air for a long time",816.0,"844,0,0,0,0,,,,"
817,817,It is warm when it is cold because it is made of material like a thermos iron,817.0,"845,0,1,0,1,,,,"
