,Unnamed: 0,1) What does the court do? ,Unnamed: 0,", q33_trial, q33_legislative, q33_check, q33_trial.1,q33_Legisposition1.q33_Check.1"
724,724,"The laws that have been created, conflict between individuals and groups, conflict between individuals and groups.It solves various conflicts and also maintains social order by punishing those who commit crimes.",724.0,"748,0,1,0,,,749,1,0,0,,,"
725,725,Practice the law to remind the people of the spirit of compliance.,725.0,"750,0,0,0,,,"
726,726,make a trial,726.0,"751,0,0,0,,,"
727,727,"""",727.0,"752,0,0,0,,,"
728,728,"Courts play a role in defending social justice and order in the National Assembly, conducting criminal trials to punish those who commit crimes under laws made by lawmakers or civil trials to resolve various disputes between people.""",728.0,"753,1,1,0,,,"
729,729,"The court serves as a judicial branch that enforces various laws enacted by the National Assembly, including civil law and criminal law. A trial is a representative exercise of judicial power, and when it is legally necessary to judge whether it is right or wrong, the court listens to both opinions and makes a judgment according to the law. In the case of criminal trials related to legal punishment, the perpetrator, the lawyer, and the prosecutor and the victim are at odds with each other. If legal judgment is required when resolving disputes between individuals such as inheritance issues, it is divided into the plaintiff who filed the lawsuit and the defendant who was filed. There will be a civil trial. There are also courts related to patent registration.",729.0,"754,0,0,0,,,"
730,730,Trial,730.0,"755,1,1,0,,,"
731,731,"It is judged and judged in accordance with the law made by the National Assembly. Resolve conflicts between people by judging right and wrong, and help people who have been damaged by individuals or countries. In other words, it seems to be working to maintain social order.",731.0,"756,0,0,0,,,"
732,732,"Our country divided the power of the state into three organizations. Since it is the National Assembly in charge of legislation, it was divided into the judiciary in charge of judicial law and the government in charge of administration. The reason for this division is to prevent the human rights of the people from being violated by the biased power of state agencies by checking each other. Among them, the job of the court is to practically apply the law when it is enacted in the National Assembly.",732.0,"757,0,0,0,,,"
733,733,"According to the law, criminal cases or various social disputes are judged and adjusted through trial.",733.0,"758,1,0,0,,,"
734,734,Implement legislation made by the National Assembly,734.0,"759,0,0,0,,,"
735,735,"The court is the body in charge of the function of the judiciary, which is one of the legislative judiciary administrations that divides the country's power into three. The court also manages and judges the country in accordance with the law, and checks the administration and legislature. Through the judgment of the court, people try to obey the law well, and our society works in an orderly manner.",735.0,"760,1,0,0,,,"
736,736,"The court is a place where a law made by the National Assembly is judged on matters such as crime through various editions. In addition, since each institution is an independent institution, the court also checks and monitors each other.",736.0,"761,1,0,0,,,"
737,737,Where to Make the Law,737.0,"762,1,0,0,,,"
738,738,The court shall be tried according to justice,738.0,"763,1,1,0,,,"
739,739,"It's a place where victims, perpetrators, witnesses, etc. gather to make judgments",739.0,"764,1,1,0,,,"
740,740,Help those who are innocent,740.0,"765,0,1,0,,,"
741,741,have a trial,741.0,"766,1,0,0,,,"
742,742,the act of punishing a criminal,742.0,"767,1,0,0,,,"
743,743,It's a place where criminals are judged,743.0,"768,1,0,0,,,"
744,744,judge the law,744.0,"769,1,1,0,,,"
745,745,I think it's the place where you can judge the wrong thing and punish the punishment,745.0,"770,0,0,0,,,"
746,746,Where to make the law,746.0,"771,1,0,0,,,"
747,747,It's where the defendant's fault is judged,747.0,"772,1,0,0,,,"
748,748,It's where the law is made,748.0,"773,1,1,0,,,"
749,749,"It keeps the National Assembly and the government in check, and proceeds with the trial.",749.0,"774,0,0,0,,,"
750,750,Making a criminal. Checking the institution,750.0,"775,1,0,0,,,"
751,751,sentencing measurement,751.0,"776,1,0,0,,,"
752,752,Legislation of laws issued by the National Assembly.,752.0,"777,1,0,0,,,"
753,753,It's about enforcing the laws that were made in everyday life,753.0,"778,1,0,0,,,779,1,0,0,,,"
754,754,Deal with the wrong thing.,754.0,"780,1,0,0,,,"
755,755,I don't understand.,755.0,"781,1,0,0,,,"
756,756,an uninteresting task,756.0,"782,1,0,0,,,"
757,757,They decide on the law and make a trial,757.0,"783,1,0,0,,,"
758,758,I didn't learn it.,758.0,"784,0,1,0,,,"
759,759,They decide on the law and make a trial,759.0,"785,1,0,0,,,"
760,760,all at once in a time,760.0,"786,1,0,0,,,"
761,761,I don't know.,761.0,"787,1,0,0,,,"
762,762,I'm having a trial,762.0,"788,1,0,0,,,"
763,763,Making the law,763.0,"789,0,1,0,,,"
764,764,have a trial,764.0,"790,1,0,0,,,"
765,765,holding a trial,765.0,"791,1,0,0,,,"
766,766,judge a criminal,766.0,"792,1,0,0,,,"
767,767,The law is established and judged.,767.0,"793,0,1,0,,,"
768,768,Make a law and judge it,768.0,"794,1,0,0,,,"
769,769,the act of setting the law,769.0,"795,1,0,0,,,"
770,770,"The sentence is determined by judging a crime, and litigation and accusations are also handled.",770.0,"796,1,0,0,,,"
771,771,a place of judgment,771.0,"797,1,0,0,,,"
772,772,It's a place to judge punishment and decide guilt,772.0,"798,1,0,0,,,"
773,773,"It's like changing the law, or making a trial.",773.0,"799,0,0,0,,,"
774,774,No learning,774.0,"800,1,0,0,,,"
775,775,"""judging and evaluating people and their fairness",775.0,"801,1,0,0,,,"
776,776,(Do justice to a man from the law.,776.0,"802,1,0,0,,,"
777,777,"However, those who break the law are punished accordingly.)""",777.0,"803,1,0,0,,,"
778,778,a judge by law,778.0,"804,1,0,0,,,"
779,779,Make a punishment and make a trial.,779.0,"805,1,0,0,,,"
780,780,put to death,780.0,"806,1,0,0,,,"
781,781,platemaking,781.0,"807,0,1,0,,,"
782,782,A trial is conducted on the basis of law.,782.0,"808,1,0,0,,,809,1,0,0,,,"
783,783,Enforce the laws of the country.,783.0,"810,1,0,0,,,"
784,784,Enforce the law.,784.0,"811,1,0,0,,,"
785,785,Enforce the law.,785.0,"812,1,0,0,,,"
786,786,Judgment is made in accordance with the law.,786.0,"813,1,0,0,,,"
787,787,Enforce the law.,787.0,"814,1,0,0,,,"
788,788,Enforce the law.,788.0,"815,1,0,0,,,"
789,789,It serves to enforce the law.,789.0,"816,0,1,0,,,"
790,790,law administration,790.0,"817,1,0,0,,,"
791,791,Enforce the law.law enforcement,791.0,"818,1,0,0,,,"
792,792,law enforcement,792.0,"819,1,1,0,,,"
793,793,make appropriate judgments according to the law,793.0,"820,0,1,0,,,"
794,794,pass the law,794.0,"821,1,0,0,,,"
795,795,Enforce the law.,795.0,"822,0,0,0,,,"
796,796,Enforce the law.,796.0,"823,0,1,0,,,"
797,797,a trial with laws enacted by the National Assembly,797.0,"824,1,0,1,,,"
798,798,Make the law,798.0,"825,0,1,0,,,"
799,799,to judge and judge the wrongs of society,799.0,"826,1,0,0,,,"
800,800,"The court will play the role of the judiciary, which will proceed with the trial according to the law.",800.0,"827,1,0,0,,,"
801,801,judge a crime or offense in accordance with the law,801.0,"828,1,0,0,,,"
802,802,make a trial,802.0,"829,0,0,0,,,"
803,803,Implement what makes the law.,803.0,"830,1,0,0,,,"
804,804,I don't know,804.0,"831,1,0,0,,,"
805,805,have a trial,805.0,"832,0,0,1,,,"
806,806,It's a trial.,806.0,"833,1,0,0,,,"
807,807,Enforce the law.,807.0,"834,0,1,0,,,"
808,808,Enforce the law.,808.0,"835,1,0,0,,,"
809,809,Use the law to adjudicate a case.,809.0,"836,1,0,0,,,"
810,810,Enforce the law.,810.0,"837,1,0,0,,,"
811,811,Enforce the law.,811.0,"838,1,0,0,,,839,1,0,0,,,"
812,812,It is possible to submit a bill and request a trial of unconstitutional law from the Constitutional Court.,812.0,"840,1,1,0,,,"
813,813,It is ruled by laws made by the government and the National Assembly.,813.0,"841,1,0,0,,,"
814,814,make a trial,814.0,"842,1,0,0,,,"
815,815,It is judged by law.,815.0,"843,0,0,1,,,"
816,816,exercise judicial power,816.0,"844,1,0,0,,,"
817,817,a constitutional state agency,817.0,"845,0,0,1,,,"
818,818,enforce the law,818.0,"846,0,0,1,,,"
819,819,make judgments on laws made by the National Assembly and the government,819.0,"847,1,0,0,,,"
820,820,Judge and judge in accordance with the law.,820.0,"848,1,0,0,,,"
821,821,Make a law.,821.0,"849,1,0,0,,,"
822,822,Enforce the law as a judicial branch.,822.0,"850,1,0,0,,,"
823,823,Enforce the law.,823.0,"851,0,0,0,,,"
824,824,It is a place to make a system for trial and fairness in the trial.,824.0,"852,1,0,0,,,"
825,825,Make a law.,825.0,"853,1,0,0,,,"
826,826,make a trial,826.0,"854,0,0,0,,,"
827,827,What do you think you're doing on your own? Let's eat and buy something. What do you think?,827.0,"855,0,0,0,,,"
828,828,"In terms of cross-section, the court is in charge of the country's legal addition in addition to enacting and revising the law, and in general, in a large framework, I think it is one of the main pillars of the separation of the three powers. The court will have a clearer meaning of existence to prevent power from being concentrated on one side and to distribute stable power.",828.0,"856,1,0,0,,,"
829,829,It exercises judicial power and checks the government through decisions to impeach the president.,829.0,"857,0,0,0,,,"
830,830,pick a criminal,830.0,"858,1,0,0,,,"
831,831,Trial,831.0,"859,1,0,0,,,"
832,832,law enforcement,832.0,"860,1,0,0,,,"
833,833,judge a person wrongly by law,833.0,"861,1,0,0,,,"
834,834,A place where money is eaten. It encourages a society where money is centered rather than people,834.0,"862,1,0,0,,,"
835,835,"Through trial, it is done to determine right and wrong according to the law.",835.0,"863,1,0,0,,,"
836,836,It is to judge an action based on the law.,836.0,"864,1,0,0,,,"
837,837,Observe the laws created by the National Assembly and monitor whether the government abides by them,837.0,"865,1,0,0,,,"
838,838,audit,838.0,"866,1,0,0,,,"
839,839,Making the law,839.0,"867,0,0,0,,,"
840,840,"The court, as an institution with jurisdiction among the three powers, judges right and wrong with the law.",840.0,"868,1,0,0,,,869,1,0,0,,,"
841,841,a place that rules a person's life,841.0,"870,1,0,0,,,"
842,842,Trial in equality on the basis of established laws,842.0,"871,1,0,0,,,"
843,843,Trial,843.0,"872,1,0,0,,,"
844,844,Trial,844.0,"873,0,0,0,,,"
845,845,legislation and rulings,845.0,"874,1,1,0,,,"
846,846,I'm in charge of the area of law enforcement.,846.0,"875,0,0,1,,,"
847,847,Trial,847.0,"876,0,0,0,,,"
848,848,Keep an eye on each other,848.0,"877,1,0,0,,,"
849,849,The courts are where the law of the state and the people is addressed,849.0,"878,1,0,0,,,"
850,850,The court monitors whether the National Assembly is doing well.,850.0,"879,1,0,0,,,"
851,851,The court plays a role in monitoring whether the National Assembly is doing well.,851.0,"880,1,0,0,,,"
852,852,the use of the law,852.0,"881,1,0,0,,,"
853,853,It's a matter of using the law to print,853.0,"882,0,0,1,,,"
854,854,dealing with and judging the law,854.0,"883,0,1,0,,,"
855,855,dealing with and judging the law,855.0,"884,1,0,0,,,"
856,856,do it under the law,856.0,"885,1,0,0,,,"
857,857,a state agency that judges and judges in accordance with the laws of the state,857.0,"886,0,1,0,,,"
858,858,Where national law is enforced and judged,858.0,"887,1,0,1,,,"
859,859,k,859.0,"888,1,0,0,,,"
860,860,I don't know.,860.0,"889,1,0,0,,,"
861,861,have a trial,861.0,"890,0,0,0,,,"
862,862,.,862.0,"891,1,0,0,,,"
863,863,Enforce the law.,863.0,"892,1,0,0,,,"
864,864,It gives a ridiculous sentence to enforce the law,864.0,"893,1,0,0,,,"
865,865,a judicial decision,865.0,"894,1,0,0,,,"
866,866,Enforce the law.,866.0,"895,1,1,0,,,"
867,867,Judgment is made on the basis of the law,867.0,"896,1,0,0,,,"
868,868,judgment based on the law,868.0,"897,1,0,0,,,"
869,869,enforce the law,869.0,"898,1,0,0,,,899,0,0,0,,,"
870,870,Enforce the law through the laws enacted,870.0,"900,1,0,0,,,"
871,871,have a trial,871.0,"901,1,0,0,,,"
872,872,Catch the bad guy,872.0,"902,1,0,1,,,"
873,873,Trial,873.0,"903,0,0,0,,,"
874,874,have a trial,874.0,"904,1,0,0,,,"
875,875,a place where laws made by the National Assembly are realized,875.0,"905,1,0,0,,,"
876,876,Where the law is used to judge and determine the guilt of a person who has committed a crime,876.0,"906,1,0,0,,,"
877,877,judge the law,877.0,"907,1,0,0,,,"
878,878,.,878.0,"908,0,0,0,,,"
879,879,a court of law,879.0,"909,1,0,0,,,"
880,880,It keeps the government and the National Assembly in check.,880.0,"910,0,0,0,,,"
881,881,Ankimchi. (Ankimchi in Korean),881.0,"911,1,0,0,,,"
882,882,make a trial,882.0,"912,1,0,0,,,"
883,883,The law shall be applied to the law,883.0,"913,0,1,0,,,"
884,884,law enforcement,884.0,"914,1,0,0,,,"
885,885,Trial,885.0,"915,0,0,0,,,"
886,886,judge the law,886.0,"916,0,0,0,,,"
887,887,The power of the government and the National Assembly is shared to preserve the separation of the three powers of the Republic of Korea.,887.0,"917,1,0,0,,,"
888,888,Make the law,888.0,"918,1,0,0,,,"
889,889,Judge the law.,889.0,"919,1,0,0,,,"
890,890,Judge and judge the law.Make a law.,890.0,"920,0,0,0,,,"
891,891,It is ruled by a law handed down by the National Assembly and monitors and checks the National Assembly and the government,891.0,"921,1,0,0,,,"
892,892,to do the work of enforcing the law enforcement,892.0,"922,1,0,0,,,"
893,893,Judgment is made by existing laws.,893.0,"923,1,0,0,,,"
894,894,A place that is weak against the strong and strong against the weak,894.0,"924,1,0,0,,,"
895,895,Punish those who commit crimes by enforcing the law.,895.0,"925,1,0,0,,,"
896,896,to do the job of punishment,896.0,"926,1,0,0,,,"
897,897,The work of judging a sinner's sins.,897.0,"927,1,0,0,,,"
898,898,"a trial, the execution of the law",898.0,"928,1,0,0,,,929,1,0,0,,,"
899,899,Review and adjudicate the legislation enacted by the National Assembly.,899.0,"930,1,0,0,,,"
900,900,"""We judge a crime according to the law.",900.0,"931,1,0,0,,,"
901,901,"""",901.0,"932,1,0,0,,,"
902,902,It's where the law was enacted by the National Assembly,902.0,"933,1,0,0,,,"
903,903,The law judges right and wrong,903.0,"934,1,0,0,,,"
904,904,Protect the human rights of the people,904.0,"935,1,0,0,,,"
905,905,have a trial,905.0,"936,1,0,0,,,"
906,906,judging a crime,906.0,"937,1,0,0,,,"
907,907,The law enacted by the National Assembly is exercised by the court. It also checks the government and the National Assembly through this.,907.0,"938,0,1,0,,,"
908,908,Get rid of bad people,908.0,"939,1,0,0,,,"
909,909,The criminals are judged according to the law based on the legislation enacted by the National Assembly.,909.0,"940,1,0,0,,,"
910,910,It is judged according to the Constitution.,910.0,"941,0,1,0,,,"
911,911,rule of law,911.0,"942,0,0,1,,,"
912,912,Declaring to follow this side of the opinion conflict between private human institutions,912.0,"943,1,0,0,,,"
913,913,I don't know,913.0,"944,1,0,0,,,"
914,914,to judge the crimes of criminals,914.0,"945,1,0,0,,,"
915,915,the government,915.0,"946,0,0,0,,,"
916,916,A court is a place where a trial is conducted and where a crime is determined,916.0,"947,0,0,0,,,"
917,917,"a trial with a judge, a lawyer, etc",917.0,"948,0,0,0,,,"
918,918,lay down the law,918.0,"949,1,0,0,,,"
919,919,"The court is a state agency that exercises judicial power under the Constitution, and the jurisdiction belongs to a court composed of judges, judges all legal disputes, and supervises or supervises affairs concerning registration, family register, deposit, bailiff, and judicial affairs (Article 101 of the Constitution, Article 2 of the Court Organization Act)",919.0,"950,1,0,0,,,"
920,920,I don't know,920.0,"951,0,0,0,,,"
921,921,Helping the country go smoothly,921.0,"952,1,0,0,,,"
922,922,judge a person by law,922.0,"953,0,0,0,,,"
923,923,Who's in charge of making plates?,923.0,"954,1,0,0,,,"
924,924,make a plate,924.0,"955,1,1,0,,,"
925,925,I don't know.,925.0,"956,1,0,0,,,"
926,926,To judge the people involved in the case.,926.0,"957,1,0,0,,,"
927,927,The judge is good at solving difficult problems,927.0,"958,1,0,0,,,959,1,0,0,,,"
928,928,"According to the law, come and choose pus",928.0,"960,1,0,0,,,"
929,929,a state agency exercising jurisdiction for the constitution,929.0,"961,1,0,0,,,"
930,930,They do what is right and wrong according to the law.,930.0,"962,0,0,0,,,"
931,931,"""We resolve conflicts among people by judging right from wrong according to the law.",931.0,"963,1,0,0,,,"
932,932,It helps people who have been damaged by individuals or countries.,932.0,"964,1,0,0,,,"
933,933,"We punish those who harm society to maintain social order.""",933.0,"965,1,0,0,,,"
934,934,Make a law.,934.0,"966,1,0,0,,,"
935,935,The law judges right from wrong.,935.0,"967,1,0,0,,,"
936,936,We judge right from wrong according to the law judges right from wrong,936.0,"968,1,0,0,,,"
937,937,The law determines right from wrong,937.0,"969,0,0,0,,,"
938,938,The place where you judge right and wrong,938.0,"970,1,1,0,,,"
939,939,The law determines right from wrong.,939.0,"971,1,0,0,,,"
940,940,They judge according to right and wrong.,940.0,"972,1,0,0,,,"
941,941,"Judging right from wrong, private and institutional conflicts",941.0,"973,0,0,0,,,"
942,942,What the court does is to establish justice in the law and help the victim who judges right from wrong.,942.0,"974,0,0,0,,,"
943,943,"According to the law, it is to resolve conflicts between people based on right and wrong, to help those affected by individuals or countries, and to punish those who have harmed in society to maintain social order.",943.0,"975,0,1,0,,,"
944,944,a trial of the law according to the circumstances of conflict,944.0,"976,1,0,0,,,"
945,945,Make and overhaul laws.,945.0,"977,0,1,0,,,"
946,946,Trial of the law according to the circumstances of conflict,946.0,"978,1,0,0,,,"
947,947,"Civil trial criminal trial administrative trial administrative trial maintenance of correctional facilities, such as floating register management detention center, foreign immigration management, constitution, and other legal unconstitutional examination activities",947.0,"979,0,1,0,,,"
948,948,Make the law,948.0,"980,1,0,0,,,"
949,949,Check if what the government does is the right thing,949.0,"981,1,0,0,,,"
950,950,a trial of a person who has been punished legally,950.0,"982,1,0,0,,,"
951,951,The judge judges the crime,951.0,"983,1,0,0,,,"
952,952,"""The court shall judge according to the law",952.0,"984,0,1,0,,,"
953,953,"The court, in accordance with the law, determines whether it is right or wrong to resolve conflicts between the saras",953.0,"985,1,0,0,,,"
954,954,"punish others or those who have harmed society to maintain social order.""",954.0,"986,0,1,0,,,"
955,955,I don't know,955.0,"987,1,1,0,,,"
956,956,I don't know,956.0,"988,1,0,0,,,989,1,1,0,,,"
957,957,I don't know.,957.0,"990,1,0,0,,,"
958,958,You're going to have a trial?,958.0,"991,1,0,0,,,"
959,959,publishing a crime,959.0,"992,1,0,0,,,"
960,960,"What the Government can't handle, working on the laws of the country.",960.0,"993,1,1,0,,,"
961,961,an institution that judges right from wrong according to the law,961.0,"994,0,1,0,,,"
962,962,I don't know,962.0,"995,0,1,0,,,"
963,963,an agency responsible for trials under the law in various conflict situations,963.0,"996,1,0,0,,,"
964,964,"As people live, there are many conflicts, and the place where these conflicts and problems are solved is called the court Courts punish or punish crimes committed by people, as well as make laws with the National Assembly or the government.",964.0,"997,0,1,0,,,"
965,965,"""1 - Resolve conflicts among people by judging right from wrong according to the law.",965.0,"998,0,1,0,,,"
966,966,2 - Help people affected by individuals or countries.,966.0,"999,1,0,0,,,"
967,967,"3 - Punish those who damage society to maintain social order.""",967.0,"1000,0,1,0,,,"
968,968,"""The courts are where people who commit crimes are acquitted and convicted and how many sentences they have.",968.0,"1001,0,0,0,,,"
969,969,"Or where legal professionals work.""",969.0,"1002,1,0,0,,,"
970,970,People live through various conflicts in their daily lives. It is an institution in charge of trials in accordance with the law in these various conflict situations.,970.0,"1003,0,0,0,,,"
971,971,The trial is conducted with the contents requested by the prosecution.,971.0,"1004,1,0,1,,,"
972,972,They seem to judge according to the law and punish those who hurt people.,972.0,"1005,1,0,0,,,"
973,973,Courts also resolve people's conflicts and judge right and wrong according to the law.,973.0,"1006,1,0,0,,,"
974,974,liquidation of enemy territory,974.0,"1007,1,0,0,,,"
975,975,platemaking,975.0,"1008,1,0,0,,,"
976,976,The law judges right from wrong.,976.0,"1009,1,0,0,,,"
977,977,platemaking,977.0,"1010,1,0,0,,,"
978,978,Where to judge the defendant's fault,978.0,"1011,1,0,0,,,"
979,979,platemaking,979.0,"1012,0,0,0,,,"
980,980,a place of law,980.0,"1013,1,0,0,,,"
981,981,I don't know.,981.0,"1014,1,1,0,,,"
982,982,a place where a person is punished for setting a law or doing something wrong,982.0,"1015,1,0,0,,,"
983,983,It's a matter of course,983.0,"1016,1,1,0,,,"
984,984,Anyone who tells me if I'm innocent or guilty?,984.0,"1017,1,1,0,,,"
985,985,Don't know,985.0,"1018,0,1,0,,,1019,0,0,0,,,"
986,986,I don't know,986.0,"1020,1,0,0,,,"
987,987,lay down the law,987.0,"1021,1,0,0,,,"
988,988,"a trial, punishment",988.0,"1022,1,0,0,,,"
989,989,It's like making and setting lawsa judge of innocence and guilt,989.0,"1023,1,0,0,,,"
990,990,"""Make and manage laws",990.0,"1024,1,0,0,,,"
991,991,"""",991.0,"1025,1,0,0,,,"
992,992,alternating whether someone is guilty or not,992.0,"1026,1,0,0,,,"
993,993,Trial,993.0,"1027,1,0,0,,,"
994,994,have a trial,994.0,"1028,1,0,0,,,"
995,995,a person who determines whether someone has committed a crime,995.0,"1029,0,1,0,,,"
996,996,the work of making laws,996.0,"1030,1,0,0,,,"
997,997,a criminal in prison,997.0,"1031,1,0,0,,,"
998,998,a law-making place,998.0,"1032,1,0,0,,,"
999,999,Make laws and elect members of the National Assembly.Solve the problem/decide whether it is innocent or guilty.,999.0,"1033,1,0,0,,,"
1000,1000,Where to judge if there is a crime or what punishment to be imposed,1000.0,"1034,1,0,0,,,"
1001,1001,Make laws or punish those who do wrong.,1001.0,"1035,1,0,0,,,"
1002,1002,It is a place to judge whether a person has committed a crime or not.,1002.0,"1036,1,0,0,,,"
1003,1003,The place where sinners are punished for how much they commit,1003.0,"1037,1,0,0,,,"
1004,1004,to judge the law,1004.0,"1038,1,0,0,,,"
1005,1005,Make new laws or obey them.,1005.0,"1039,1,0,0,,,"
1006,1006,Make a law,1006.0,"1040,1,0,0,,,"
1007,1007,be in charge of legislation,1007.0,"1041,0,0,0,,,"
1008,1008,Trial,1008.0,"1042,0,0,0,,,"
1009,1009,the act of enacting a law,1009.0,"1043,0,0,0,,,"
1010,1010,Making the law,1010.0,"1044,0,0,0,,,"
1011,1011,It's ruled by law,1011.0,"1045,0,0,0,,,"
1012,1012,Make a law,1012.0,"1046,0,0,0,,,"
1013,1013,Discuss the government's affairs in the National Assembly.,1013.0,"1047,0,0,0,,,"
1014,1014,judgment,1014.0,"1048,1,0,0,,,1049,1,0,0,,,"
1015,1015,Judge the law.,1015.0,"1050,1,0,1,,,"
1016,1016,Law enforcement and observation of misconduct in the government and the National Assembly,1016.0,"1051,0,0,0,,,"
1017,1017,"As an institution of justice, it serves to enforce the law.",1017.0,"1052,1,0,0,,,"
1018,1018,Trial is conducted using laws made by the National Assembly.,1018.0,"1053,1,0,0,,,"
1019,1019,It's a trial,1019.0,"1054,1,0,0,,,"
1020,1020,Apply the law.,1020.0,"1055,0,1,0,,,"
1021,1021,Punish those who do wrong,1021.0,"1056,1,0,0,,,"
1022,1022,Trial,1022.0,"1057,1,0,0,,,"
1023,1023,constitutional peoplehold a criminal trial,1023.0,"1058,1,0,0,,,"
1024,1024,to administer the law using the law made,1024.0,"1059,1,0,0,,,"
1025,1025,I think it is decided to solve the problem.,1025.0,"1060,1,0,0,,,"
1026,1026,Make and apply laws,1026.0,"1061,0,0,0,,,"
1027,1027,a trial using the use,1027.0,"1062,1,0,0,,,"
1028,1028,Making a law of separation of three powers,1028.0,"1063,0,0,0,,,"
1029,1029,Making a law of separation of three powers,1029.0,"1064,1,0,0,,,"
1030,1030,make and enact laws,1030.0,"1065,1,0,0,,,"
1031,1031,Politicians fight among themselves,1031.0,"1066,0,0,0,,,"
1032,1032,judge the law,1032.0,"1067,0,1,0,,,"
1033,1033,the punishment of a person who commits a crime by committing a crime accordingly,1033.0,"1068,1,0,0,,,"
1034,1034,I'm going to judge,1034.0,"1069,0,1,0,,,"
1035,1035,enforce the law,1035.0,"1070,1,0,0,,,"
1036,1036,Trial,1036.0,"1071,1,0,1,,,"
1037,1037,make a trial by law,1037.0,"1072,1,0,0,,,"
1038,1038,a judicial decision,1038.0,"1073,1,0,0,,,"
1039,1039,Where to judge and enforce the laws necessary for society,1039.0,"1074,1,0,0,,,"
1040,1040,Trial,1040.0,"1075,1,0,0,,,"
1041,1041,enact a law,1041.0,"1076,1,0,0,,,"
1042,1042,the enforcement of the law,1042.0,"1077,1,0,0,,,"
1043,1043,Trial,1043.0,"1078,1,0,0,,,1079,1,0,0,,,"
1044,1044,I'm having a trial,1044.0,"1080,1,0,0,,,"
1045,1045,make a trial,1045.0,"1081,1,0,0,,,"
1046,1046,Where to rule on the law,1046.0,"1082,0,1,0,,,"
1047,1047,enforce the law,1047.0,"1083,1,0,0,,,"
1048,1048,enforce the law,1048.0,"1084,1,0,0,,,"
1049,1049,Punishing criminals by using the law,1049.0,"1085,1,0,0,,,"
1050,1050,He is in charge of judicial power and divides right from wrong by law,1050.0,"1086,1,0,0,,,"
1051,1051,Apply the law,1051.0,"1087,1,0,0,,,"
1052,1052,Justice is realized by applying the laws enacted by the National Assembly.,1052.0,"1088,1,0,0,,,"
1053,1053,I don't know,1053.0,"1089,1,0,0,,,"
1054,1054,h,1054.0,"1090,1,0,0,,,"
1055,1055,h,1055.0,"1091,1,0,0,,,"
1056,1056,I work with the law,1056.0,"1092,1,0,0,,,"
1057,1057,.,1057.0,"1093,1,0,0,,,"
1058,1058,address the events that occur within the country,1058.0,"1094,1,0,0,,,"
1059,1059,help a person who is falsely accused,1059.0,"1095,1,0,0,,,"
1060,1060,ruling according to the law,1060.0,"1096,1,0,0,,,"
1061,1061,Judge according to the law,1061.0,"1097,1,0,0,,,"
1062,1062,"""Dictatorial Surveillance of the National Assembly and Government",1062.0,"1098,1,0,0,,,"
1063,1063,"Criminal punishment by constitution""",1063.0,"1099,1,0,0,,,"
1064,1064,Eating money,1064.0,"1100,1,0,0,,,"
1065,1065,have a trial,1065.0,"1101,0,0,0,,,"
1066,1066,to judge a crime by applying the law,1066.0,"1102,1,1,0,,,"
1067,1067,I'm having a trial,1067.0,"1103,0,1,0,,,"
1068,1068,Make a law.,1068.0,"1104,1,0,0,,,"
1069,1069,judging the law It is to judge whether a person is right or wrong by law.,1069.0,"1105,1,0,0,,,"
1070,1070,settle disputes arising from the law,1070.0,"1106,1,0,0,,,"
1071,1071,the act of judging a wrongdoer,1071.0,"1107,1,0,0,,,"
1072,1072,Trial,1072.0,"1108,1,0,0,,,1109,1,0,0,,,"
1073,1073,Trial,1073.0,"1110,1,0,0,,,"
1074,1074,matters concerning the law,1074.0,"1111,1,0,0,,,"
1075,1075,a judge of the law,1075.0,"1112,1,0,0,,,"
1076,1076,I don't know.,1076.0,"1113,1,0,0,,,"
1077,1077,Trial,1077.0,"1114,1,0,0,,,"
1078,1078,rule the law,1078.0,"1115,1,0,0,,,"
1079,1079,M,1079.0,"1116,1,0,0,,,"
1080,1080,I'll make laws and fix them first,1080.0,"1117,1,0,0,,,"
1081,1081,trial and judgment,1081.0,"1118,1,0,0,,,"
1082,1082,enact a law,1082.0,"1119,0,0,0,,,"
1083,1083,Trial,1083.0,"1120,1,0,0,,,"
1084,1084,It checks the trial and the government and the National Assembly,1084.0,"1121,0,1,0,,,"
1085,1085,I judge by law,1085.0,"1122,0,1,0,,,"
1086,1086,Punishment is imposed if there is a quarrel between people or if there is a violation of the law,1086.0,"1123,1,0,0,,,"
1087,1087,Innocent and guilty,1087.0,"1124,1,0,0,,,"
1088,1088,The court rules and settles the disputeVarious trials are conducted.,1088.0,"1125,1,1,0,,,"
1089,1089,have a trial,1089.0,"1126,1,0,0,,,"
1090,1090,I work in the application of the law.,1090.0,"1127,0,1,0,,,"
1091,1091,"As the judiciary, the court plays a role of separating the three powers to check the government, which is the administration, and the National Assembly, which is the legislature The court plays a role in applying laws such as trials.",1091.0,"1128,0,1,0,,,"
1092,1092,enforce the law,1092.0,"1129,1,0,0,,,"
1093,1093,Trial,1093.0,"1130,0,1,0,,,"
1094,1094,Make or deal with laws,1094.0,"1131,1,0,0,,,"
1095,1095,a place where the law is enforced,1095.0,"1132,0,1,0,,,"
1096,1096,have a trial,1096.0,"1133,1,0,0,,,"
1097,1097,have a trial,1097.0,"1134,0,1,0,,,"
1098,1098,a place to judge the law,1098.0,"1135,1,0,0,,,"
1099,1099,It solves the problems of citizens,1099.0,"1136,1,0,0,,,"
