,Unnamed: 0,"2) As in the example of Hong Gil-dong, one case can be tried up to three times in our country. What is the reason for running this system?",Unnamed: 0,", q32_process, q32_process.1"
834,834,"If you continue to be tried in one case, you can't be tried in another case",834.0,"862,1,"
835,835,Because a person can be falsely accused.,835.0,"863,1,"
836,836,Isn't it because you have that much right? I don't know,836.0,"864,1,"
837,837,I don't know.,837.0,"865,1,"
838,838,I don't know.,838.0,"866,0,"
839,839,"To make it fair and not unfair,",839.0,"867,1,"
840,840,It might be unfair if I do it once,840.0,"868,1,869,1,"
841,841,"Because every time, the statements are different",841.0,"870,1,"
842,842,It could be unfair,842.0,"871,1,"
843,843,in order to make an accurate judgment,843.0,"872,0,"
844,844,It's because the perpetrator may be falsely accused,844.0,"873,1,"
845,845,to be able to judge fairly,845.0,"874,1,"
846,846,"And if you do more, you have to continue the wrong trial without grounds",846.0,"875,1,"
847,847,"To be fair to the people who are really innocent,",847.0,"876,1,"
848,848,You don't like the trial or it could go wrong,848.0,"877,1,"
849,849,I don't know.,849.0,"878,1,"
850,850,I'll tell you to do 0 evaluationIn,850.0,"879,0,"
851,851,It's because you have to be so careful,851.0,"880,0,"
852,852,This is because one trial can cause unfair damage.,852.0,"881,0,"
853,853,"Unlike the first trial, the next trial may have other evidence or clues or may be considered different",853.0,"882,0,"
854,854,"To make sure that something unfair doesn't happen,",854.0,"883,1,"
855,855,I don't know,855.0,"884,1,"
856,856,"This is because the evidence may not be accurate, and if you do it once, the victim may be judged unfairly.",856.0,"885,0,"
857,857,"""",857.0,"886,1,"
858,858,One verdict could be either the perpetrator or the victim,858.0,"887,1,"
859,859,"In order to make a more accurate trial,",859.0,"888,1,"
860,860,One trial alone can lead to a wrong trial,860.0,"889,0,"
861,861,Because the trial could go wrong.,861.0,"890,0,"
862,862,..............,862.0,"891,1,"
863,863,The trial could go wrong,863.0,"892,0,"
864,864,It takes into account that the outcome of the trial may have been wrong,864.0,"893,0,"
865,865,"Because if you do the first trial, you can raise questions and complaints, and the trial may not be right",865.0,"894,0,"
866,866,"To prevent the victim from receiving an unfair judgment,",866.0,"895,0,"
867,867,.,867.0,"896,1,"
868,868,"If a decision is made in one trial, it may be unfair for the reason of losing once.",868.0,"897,1,"
869,869,It could be unfair because you lost once,869.0,"898,0,899,1,"
870,870,"Because once the trial is over, there's a possibility of unfairness",870.0,"900,0,"
871,871,"This is because if the trial is over once, something unfair may happen.",871.0,"901,0,"
872,872,This is because unfair victims can come out.,872.0,"902,0,"
873,873,We need to hear a lot of opinions,873.0,"903,0,"
874,874,To make it more obvious,874.0,"904,0,"
875,875,"To get a better trial,",875.0,"905,1,"
876,876,It could be unfair,876.0,"906,1,"
877,877,Because there could be something unfair.,877.0,"907,1,"
878,878,It could be unfair,878.0,"908,0,"
879,879,It could be unfair,879.0,"909,1,"
880,880,"To treat the disabled equally,",880.0,"910,0,"
881,881,a three-seam system,881.0,"911,0,"
882,882,jurisdiction,882.0,"912,1,"
883,883,"In the case of three trials, Hong Gil-dong can be tried three times to reduce prison time and reduce fines",883.0,"913,1,"
884,884,The reason why we run this system is because it can lead to people who are depressed because of the wrong manufacturing,884.0,"914,0,"
885,885,The reason for this is to punish those who are innocent by commutation and those who are guilty of a great crime,885.0,"915,0,"
886,886,"Because once you're done with the plate, you can't hear what happened later, or you can give a rough account of it",886.0,"916,1,"
887,887,To make sure that the people don't feel wronged,887.0,"917,0,"
888,888,"If you make a wrong decision in the first trial, you can make a proper decision again in the second trial, so such a system is operated.",888.0,"918,0,"
889,889,Because a fair trial cannot be done once it is finished.,889.0,"919,0,"
890,890,"The three-trial system is not enoughYou can't judge a crime accurately with just one trial, so you have to get three trials",890.0,"920,0,"
891,891,"Since it is not possible to accurately judge a crime with just one time, it can be tried up to three times.",891.0,"921,1,"
892,892,"You can't judge a crime once, so you do it up to three times.",892.0,"922,1,"
893,893,"You can't judge a crime once, so you do it up to three times.",893.0,"923,1,"
894,894,It's a short time to decide on a small trial,894.0,"924,1,"
895,895,a three-seam system,895.0,"925,0,"
896,896,"After watching the trial, it seems to run a system that runs three times in a case that leaves no one falsely accused.",896.0,"926,0,"
897,897,It seems that the trial is conducted up to three times in order to make it as fair as possible because there could be people who are falsely accused.,897.0,"927,1,"
898,898,This is because the people have the right to freedom and equality.,898.0,"928,1,929,0,"
899,899,To make a fair trial.,899.0,"930,1,"
900,900,Don't know,900.0,"931,1,"
901,901,Don't know,901.0,"932,1,"
902,902,People with disabilities are not comfortable with economic life,902.0,"933,1,"
903,903,:(,903.0,"934,0,"
904,904,the constitutional system,904.0,"935,1,"
905,905,This is because each judge has a different perspective.(Because the outcome of the trial may differ),905.0,"936,0,"
906,906,"If I do it once, it might end up being unfair",906.0,"937,0,"
907,907,in order to give an accurate judgment,907.0,"938,0,"
908,908,I really want to join the company,908.0,"939,0,"
909,909,a solid plate,909.0,"940,1,"
910,910,The situation can change at any time,910.0,"941,1,"
911,911,"Even if it's hard, I have to return to Korea",911.0,"942,0,"
912,912,This is because it may have been misjudged and new evidence may be found.,912.0,"943,1,"
913,913,This is because it is possible to make an unfair or wrong trial.,913.0,"944,1,"
914,914,Because I made a mistake,914.0,"945,1,"
915,915,I don't know,915.0,"946,1,"
916,916,You can't tell for sure or for sure if you try it once,916.0,"947,0,"
917,917,It is to respect the rights of the people.,917.0,"948,0,"
918,918,These systems are operated to respect the rights of the people.,918.0,"949,0,"
919,919,I don't know.,919.0,"950,0,"
920,920,This system is operated to respect the rights of the people.,920.0,"951,1,"
921,921,"Once a child is over, it's unfair, and once it's over, it's not accurate",921.0,"952,1,"
922,922,I'm trying to get a better trial,922.0,"953,1,"
923,923,in order to be precise,923.0,"954,1,"
924,924,in order to be fair,924.0,"955,1,"
925,925,Not to lose money,925.0,"956,1,"
926,926,because of the law,926.0,"957,1,"
927,927,To prevent an innocent person from appearing?,927.0,"958,1,959,1,"
928,928,It's because I can get rid of my unfairness.,928.0,"960,1,"
929,929,For all men to be tried equally,929.0,"961,1,"
930,930,"To reduce the possibility of misjudgment,",930.0,"962,0,"
931,931,"To reduce the possibility of misjudgment,",931.0,"963,1,"
932,932,"To reduce the possibility of misjudgment,",932.0,"964,1,"
933,933,It's to reduce the possibility of misjudgment,933.0,"965,1,"
934,934,It's because the trial can proceed and the results can come out contrary to your own opinion,934.0,"966,1,"
935,935,To give people the chance to turn the tables so that nothing is wrong,935.0,"967,1,"
936,936,"I wanted to work for the company, but Hong Gil-dong went back to the company after a trial because he was disabled.",936.0,"968,0,"
937,937,.,937.0,"969,1,"
938,938,I don't know,938.0,"970,0,"
939,939,I don't know,939.0,"971,0,"
940,940,It's unfair,940.0,"972,0,"
941,941,This is because it can lead to wrong results.,941.0,"973,0,"
942,942,I don't know.,942.0,"974,1,"
943,943,"To judge more accurately,",943.0,"975,0,"
944,944,It seems that the three-trial system is operated to ensure the basic rights of the people by making the trial fair.,944.0,"976,0,"
945,945,To create a happy society where no one gets wronged,945.0,"977,0,"
946,946,"The three-trial system. There may be an unfair defendant in one judgment, and even though he/she has been really unfair like Gil-dong, he/she may not be able to make a good judgment because he/she is not used to it yet in society.",946.0,"978,0,"
947,947,I don't know,947.0,"979,0,"
948,948,I don't know.,948.0,"980,0,"
949,949,I don't know,949.0,"981,0,"
950,950,It's because it's a three-syllable system,950.0,"982,1,"
951,951,I don't want to be upset,951.0,"983,0,"
952,952,People who are innocent can do this,952.0,"984,0,"
953,953,To run a fair trial.,953.0,"985,1,"
954,954,This is because some people may have been judged unfairly.,954.0,"986,0,"
955,955,To make sure no one is punished unjustly,955.0,"987,0,"
956,956,"In order to prevent unfair trials,",956.0,"988,0,989,0,"
957,957,for a fair trial,957.0,"990,1,"
958,958,This is to appeal the injustice as much as possible.,958.0,"991,0,"
959,959,It seems that it was done to make it less likely to be unjustly guilty by several trials.,959.0,"992,0,"
960,960,"For those who have been tried unjustly,",960.0,"993,0,"
961,961,So that nothing unfair will happen,961.0,"994,1,"
962,962,I don't know.,962.0,"995,0,"
963,963,for the sake of an accurate judgment,963.0,"996,1,"
964,964,This is to prevent the occurrence of people who are unjustified and damaged by the Samsim system.,964.0,"997,1,"
965,965,To make a fairer and more reasonable legal judgment.,965.0,"998,1,"
966,966,It's to reduce the possibility of misjudgment,966.0,"999,1,"
967,967,"If a judgment is made in one trial, the result can be unfair, and in order to produce a clearer and fairer result through three trials, that is, to take care of citizens' rights.",967.0,"1000,1,"
968,968,I'm gonna go through a couple of times,968.0,"1001,0,"
969,969,"To reduce the possibility of misjudgment,",969.0,"1002,0,"
970,970,I don't know,970.0,"1003,0,"
971,971,I don't know,971.0,"1004,1,"
972,972,I don't know,972.0,"1005,1,"
973,973,I don't know,973.0,"1006,1,"
974,974,To make sure the victim doesn't feel wronged,974.0,"1007,0,"
975,975,I don't know.,975.0,"1008,1,"
976,976,I don't know,976.0,"1009,1,"
977,977,I don't know because I didn't learn it,977.0,"1010,1,"
978,978,Men usually play 3 rounds,978.0,"1011,1,"
979,979,This is because trials or trials can be additional.,979.0,"1012,1,"
980,980,I don't know,980.0,"1013,0,"
981,981,I don't know,981.0,"1014,0,"
982,982,"To avoid unfairness,",982.0,"1015,0,"
983,983,I'm trying to listen to the minority's opinion,983.0,"1016,0,"
984,984,on account of the rights of the people,984.0,"1017,1,"
985,985,I have to dig into Hong Gil Dong's heart like it's unfair,985.0,"1018,1,1019,1,"
986,986,I don't know,986.0,"1020,1,"
987,987,I don't know.,987.0,"1021,0,"
988,988,"To make disabled people have jobs,",988.0,"1022,1,"
989,989,I don't know.It's unfair if you do it once,989.0,"1023,1,"
990,990,I don't know,990.0,"1024,1,"
991,991,?,991.0,"1025,1,"
992,992,I don't think so,992.0,"1026,1,"
993,993,To save the wrong people,993.0,"1027,1,"
994,994,Wish the country good luck,994.0,"1028,0,"
995,995,In order to make a fair trial,995.0,"1029,1,"
996,996,Don't be upset,996.0,"1030,1,"
997,997,in order to prevent a fraudulent trial,997.0,"1031,0,"
998,998,"For the exact results of the trial,",998.0,"1032,0,"
999,999,in order to be fair,999.0,"1033,1,"
1000,1000,It is to protect the basic rights of the people,1000.0,"1034,1,"
1001,1001,the three-trial system,1001.0,"1035,1,"
1002,1002,for redemption,1002.0,"1036,1,"
1003,1003,To make sure you don't feel wronged,1003.0,"1037,1,"
1004,1004,The judge may not be able to look at him objectively because he's a human being,1004.0,"1038,0,"
1005,1005,For a fairer trial,1005.0,"1039,1,"
1006,1006,in order to be equal,1006.0,"1040,1,"
1007,1007,For fairness,1007.0,"1041,1,"
1008,1008,For a more accurate and fair trial,1008.0,"1042,0,"
1009,1009,It is operated to obtain a fairer trial through several trials,1009.0,"1043,0,"
1010,1010,It's for good judgment,1010.0,"1044,0,"
1011,1011,"There may be something unfair when being tried, so the three-trial system is implemented to check.",1011.0,"1045,0,"
1012,1012,no,1012.0,"1046,1,"
1013,1013,I don't know,1013.0,"1047,1,"
1014,1014,"I don't know, you punk",1014.0,"1048,1,1049,1,"
1015,1015,You should explore for yourself --ㅡㅡ,1015.0,"1050,1,"
1016,1016,This is to ensure fairness in the judgment.,1016.0,"1051,1,"
1017,1017,"To make sure there's nothing unfair,",1017.0,"1052,0,"
1018,1018,Because there may be cases where the outcome of the trial is unfair,1018.0,"1053,1,"
1019,1019,"It is a gate that if a ruling is made at once, unfair cases can occur.",1019.0,"1054,1,"
1020,1020,To give the judges a big salary,1020.0,"1055,0,"
1021,1021,He's upset,1021.0,"1056,1,"
1022,1022,Bold hair can't be unfair,1022.0,"1057,0,"
1023,1023,Fairness,1023.0,"1058,1,"
1024,1024,It's because it's human to do a trial and humans can make mistakes and errors,1024.0,"1059,1,"
1025,1025,There's a possibility that the court will misjudge him,1025.0,"1060,1,"
1026,1026,To prevent a wrong decision,1026.0,"1061,1,"
1027,1027,Because a judge can be a judge,1027.0,"1062,1,"
1028,1028,"This is because if you conclude at once, someone may receive unreasonable results.",1028.0,"1063,1,"
1029,1029,"Since it is not known whether the victim is guilty or innocent by one trial, the victim's injustice can be relieved by going through three trials.",1029.0,"1064,1,"
1030,1030,the three-trial system,1030.0,"1065,1,"
1031,1031,"I don't use a brain like law and politics, and I don't do subjects that are stuck.",1031.0,"1066,1,"
1032,1032,Implementation of a three-trial system to prevent unfairness,1032.0,"1067,1,"
1033,1033,"If it is decided by a single trial, there can be people who are falsely accused in the process, and if someone intentionally manipulates the evidence, it cannot be revealed later, and human rights can be violated.",1033.0,"1068,1,"
1034,1034,For a more accurate judgment by three trials,1034.0,"1069,1,"
1035,1035,"Since a single trial can be judged unfair, it can liberate those who have been judged unfairly through various evidence through several trials.,",1035.0,"1070,1,"
1036,1036,It seems that such a system is implemented to prevent unfair victims because the process or content of the trial may be unreasonable.,1036.0,"1071,1,"
1037,1037,"To lobby the court to lower his sentence if the owners of large corporations or other criminals are strongly sentenced to the first sentence. In fact, the heads of large corporations sometimes eliminate punishment, and criminals lower their sentences for all kinds of mental illness or strange reasons.",1037.0,"1072,1,"
1038,1038,There could be a wrong decision,1038.0,"1073,1,"
1039,1039,For those who are falsely accused,1039.0,"1074,1,"
1040,1040,for the sake of an accurate judgment,1040.0,"1075,1,"
1041,1041,To be equal,1041.0,"1076,0,"
1042,1042,I don't understand.,1042.0,"1077,1,"
1043,1043,I don't know,1043.0,"1078,1,1079,1,"
1044,1044,the three-trial system,1044.0,"1080,1,"
1045,1045,Because the trial went wrong or it was unfair,1045.0,"1081,1,"
1046,1046,"For fairness, trials are conducted in the order of the district court, the high court, and the Supreme Court.",1046.0,"1082,1,"
1047,1047,The court's ruling might have been wrong,1047.0,"1083,1,"
1048,1048,It's hard to tell the truth with just one trial,1048.0,"1084,1,"
1049,1049,"This is because if the results of the two previous trials are wrong, the right judgment must be made.",1049.0,"1085,1,"
1050,1050,"If you judge that the trial results have not been made fairly, you can review them",1050.0,"1086,1,"
1051,1051,the three-trial system,1051.0,"1087,1,"
1052,1052,Bad call,1052.0,"1088,1,"
1053,1053,in order not to be unjustly punished,1053.0,"1089,1,"
1054,1054,Don't know,1054.0,"1090,1,"
1055,1055,We try to prevent innocent victims as much as possible by using the three-trial system because a single trial may result in an innocent victim due to the wrong judgment.,1055.0,"1091,1,"
1056,1056,Appeal of the Third Instance,1056.0,"1092,1,"
1057,1057,There could be cases where the judge makes a wrong decision and is falsely accused,1057.0,"1093,1,"
1058,1058,To make a fairer and more accurate trial,1058.0,"1094,1,"
1059,1059,"In order to reduce the injustice as much as possible through multiple trials,",1059.0,"1095,1,"
1060,1060,It reduces the number of people who have received unfair rulings as much as possible.,1060.0,"1096,1,"
1061,1061,Prevent misjudgment by doing it multiple times,1061.0,"1097,1,"
1062,1062,I'm trying to make sure there's no wrongdoing,1062.0,"1098,1,"
1063,1063,There could be a misjudgment in the previous trial,1063.0,"1099,1,"
1064,1064,To prevent a false trial,1064.0,"1100,1,"
1065,1065,Preventing people from being wronged by the outcome of the trial,1065.0,"1101,0,"
1066,1066,for objective judgment,1066.0,"1102,0,"
1067,1067,It's to bail out the victim with a wrong ruling,1067.0,"1103,1,"
1068,1068,for a fair trial,1068.0,"1104,1,"
1069,1069,To solve the problem and increase the accuracy of the trial,1069.0,"1105,1,"
1070,1070,for the fairness of the trial,1070.0,"1106,1,"
1071,1071,One trial could have gone wrong,1071.0,"1107,1,"
1072,1072,To listen to the people's unjustified voices,1072.0,"1108,1,1109,1,"
1073,1073,It's to minimize injustice.,1073.0,"1110,1,"
1074,1074,It's not accurate if we play just one round,1074.0,"1111,1,"
1075,1075,It's because we have to be equal.,1075.0,"1112,1,"
1076,1076,It's to get a fair trial.,1076.0,"1113,0,"
1077,1077,"The right to receive up to three times for a case is the three-trial system. The reason for running the three-trial system is for a fair trial. If a judge makes a wrong decision or the party fails to accept the outcome of the trial, an appeal/appeal may be filed based on the three-trial system.",1077.0,"1114,1,"
1078,1078,To make sure that no one feels wronged by the outcome of the trial~~!,1078.0,"1115,1,"
1079,1079,It is for the fairness of the trial.,1079.0,"1116,0,"
1080,1080,for a fair trial,1080.0,"1117,0,"
1081,1081,"This system is called the third trial system, and if it is unfair in the first trial and cannot be changed, it will be judged again in the second trial, and if it is still unfair, it will be allowed to do it again. Since the presiding judge is a person, he can make a misjudgment and make mistakes with wrong physical evidence and psychology. Also, depending on the situation, you can make a strange ruling. We run these systems to improve fairness and prevent people from sacrificing themselves.",1081.0,"1118,0,"
1082,1082,"Even if a criminal is a criminal, he or she cannot completely rule out various irregularities or misunderstandings in the process of filing a complaint and investigating the case, so he or she can be tried up to three times to enhance the fairness of the trial as much as possible.",1082.0,"1119,0,"
1083,1083,"If a trial is judged unfairly, the system is operated to reduce unfair cases by giving up to three chances.",1083.0,"1120,0,"
1084,1084,This is to ensure that the people receive a fairer trial.,1084.0,"1121,1,"
1085,1085,"The system that allows up to three trials is called the three-trial system. This three-trial system was designed for those who were unfairly punished by wrong judges and jurors. If you want a retrial after receiving the first trial in the district court, you will receive the second trial in the high court. If you do it until the last three trials, you'll be tried by the Supreme Court.",1085.0,"1122,1,"
1086,1086,"It provides three opportunities because there is a possibility that unfair power or irregularities may have worked in the judgment. Judgment is also the case because multiple checks on math problems can minimize mistakes. Since the judgment is also made directly by the person, it is because personal emotions or relationships can work without looking objectively in the process of making the judgment.",1086.0,"1123,1,"
1087,1087,"If it is deemed unfair to be judged by the court, it is appealed and judged by the High Court, but if it is deemed unfair, it is appealed to the Supreme Court and judged again to ensure the basic rights of the people.",1087.0,"1124,1,"
1088,1088,"Judges, lawyers, and prosecutors who conduct trials are all people, so they can make enough mistakes. In order to ensure a fair trial so that the parties to the trial do not suffer damage due to their mistakes, three opportunities are provided for one case.If there is only one trial, there is a system that allows up to three trials because the trial may result in a wrong judgment or results that the defendant thinks are unfair.",1088.0,"1125,0,"
1089,1089,The three-trial system is implemented to guarantee the freedom and rights of the people and to ensure a fairer trial.,1089.0,"1126,1,"
1090,1090,"This system is operated to prevent irrationality that can be received once in a trial while being tried up to three times, and to make a fairer trial.",1090.0,"1127,0,"
1091,1091,"Trials may not always be right, and there may be citizens who are put in an unfair situation due to wrong trials. Therefore, it gives three chances to ensure the basic rights and human rights of the people as much as possible and to receive a fair trial.",1091.0,"1128,0,"
1092,1092,"If you are dissatisfied with the outcome of the trial and cannot do it again, you violate the right to claim, which is the right to demand from the state. It can also make a fairer trial by giving people a chance to do it again if they think it is unfair.",1092.0,"1129,1,"
1093,1093,This is to protect the freedom and rights of the people by giving the court itself a chance to correct the wrong judgment and by giving the victim who received the wrong judgment a chance to stand trial again.,1093.0,"1130,0,"
1094,1094,"In the end, since the judge who makes the judgment of the case is also a person, he or she can commit the error of the accident, and it is natural that there will be people who suffer damage from the case. In order to reduce this damage, Korea is implementing a three-trial system. Also, even if it is true about the incident, it may lose if it is not prepared properly.",1094.0,"1131,1,"
1095,1095,The reason for implementing the three-trial system in Korea is to ensure the basic rights of the people as much as possible without the court making false judgments.,1095.0,"1132,1,"
1096,1096,The three-trial system is being implemented to prevent the public from being unfair due to unfair judgment by judges.,1096.0,"1133,0,"
1097,1097,"In case of failure to receive a fair trial, a three-trial system is operated, which guarantees the right of the people to receive a fair trial.",1097.0,"1134,1,"
1098,1098,"The reason for operating the three-trial system is that the court is also ultimately done by a ""person"" who is a judge, so there may be mistakes. It is to provide a system that can be judged once again so that fairer results can be produced.",1098.0,"1135,0,"
1099,1099,h,1099.0,"1136,0,"
1100,1100,Don't know,1100.0,"1137,1,"
1101,1101,To make sure you don't get punished unfairly,1101.0,"1138,1,1139,0,"
1102,1102,"To reduce the number of cases of unfair judgment,",1102.0,"1140,0,"
1103,1103,It is to reduce the number of people who are punished unfairly.,1103.0,"1141,1,"
1104,1104,In order to prevent unfair judgments from occurring,1104.0,"1142,1,"
1105,1105,To make sure it's not unfair,1105.0,"1143,1,"
1106,1106,To make sure it's not unfair,1106.0,"1144,1,"
1107,1107,to be fair,1107.0,"1145,1,"
1108,1108,There might be people who are upset,1108.0,"1146,1,"
1109,1109,To make the trial more accurate,1109.0,"1147,1,"
1110,1110,It is to ensure that no one is punished unfairly.,1110.0,"1148,1,"
1111,1111,I can have mercy or something like that,1111.0,"1149,1,"
1112,1112,"To ensure a fair trial,",1112.0,"1150,1,"
1113,1113,I'm not going to make it unfair,1113.0,"1151,,"
1114,1114,I don't know,1114.0,"1152,,"
1115,1115,h,1115.0,"1153,60.7%,"
1116,1116,I don't know.,,
1117,1117,for mercy's sake,,
1118,1118,There's a 3rd trial system,,
1119,1119,To make sure there are no people who are upset,,
1120,1120,"People can make mistakes, so trials can make mistakes",,
1121,1121,"To make sure that there are no people who feel unfair,",,
1122,1122,"Judges can also make mistakes because they are human. However, a trial can be a significant decision that has a great impact on a person's life, and the importance of a fair and just trial is very great. Therefore, Korea secures the legitimacy and fairness of the judgment result by enabling up to three trials on a case, and reduces the range of errors as much as possible.",,
1123,1123,the three-trial system,,
1124,1124,For a fair trial,,
1125,1125,"To solve people's complaints and problems,",,
1126,1126,the three-plate system,,
1127,1127,I might have made a wrong conclusion,,
1128,1128,.,,
1129,1129,Because one trial can lead to an unfair person,,
1130,1130,This is because it makes a more accurate trial.,,
1131,1131,Because everyone has to be fair,,
1132,1132,To determine exactly which way he's not biased,,
1133,1133,the three-trial system,,
1134,1134,I don't know,,
1135,1135,To ensure that the people receive a fair trial,,
1136,1136,It is to ensure that the people receive a fair trial,,
1137,1137,I don't know.,,
1138,1138,.,,
1139,1139,Not to make a bad decision,,
1140,1140,in order to be fair,,
1141,1141,One trial doesn't give me the exact answer.,,
1142,1142,"To produce a fairer result,",,
1143,1143,It's because it could be judged unfairly,,
1144,1144,in order to make a fair judgment,,
1145,1145,No. 1 is because the people can be unfair and wrong.,,
1146,1146,So that you don't feel wronged,,
1147,1147,It's because of the right to a fair trial,,
1148,1148,Not to be falsely accused,,
1149,1149,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,
