,Unnamed: 0,1) Why do bags of snacks swell up on high mountains?,Unnamed: 0,", q37_pressure, q37_air, q37_altitude, q37_temperature, q37_pressure.1,q37_Air.1,q37_altitude.1,q37_temperature.1"
486,486,"Since the air in the bag is pushed by pressure inside, the high mountain with relatively low outside pressure swells up.",486.0,"502,0,1,1,0,,,,"
487,487,It is because of the difference in air pressure.,487.0,"503,1,1,1,0,,,,"
488,488,Because of the difference in air pressure,488.0,"504,0,1,1,0,,,,"
489,489,be due to increased pressure,489.0,"505,1,0,0,0,,,,"
490,490,"On high mountains, the atmospheric pressure weakens and the bag of snacks swells.",490.0,"506,1,0,0,0,,,,"
491,491,It's because the air pressure is lowered,491.0,"507,1,0,0,0,,,,"
492,492,air pressure and temperature difference,492.0,"508,1,0,0,0,,,,509,0,0,0,1,,,,"
493,493,"High mountains have low air density, lower atmospheric pressure, and at low altitudes, the pressure inside the snack is relatively high, causing the bag to swell.",493.0,"510,0,1,0,1,,,,"
494,494,"Because of the high atmospheric pressureAs the altitude increases, the air pressure decreases, and the pressure in the snack bag is stable to be equal to the external pressure, which is the pressure, so the pressure decreases and the volume increases.",494.0,"511,0,1,0,0,,,,"
495,495,This is because the air pressure decreases as it goes up higher.,495.0,"512,0,0,1,0,,,,"
496,496,"As it rises up and the pressure decreases, the volume, which is inversely proportional, increases.",496.0,"513,1,0,0,0,,,,"
497,497,Don't know,497.0,"514,0,1,0,0,,,,"
498,498,"The higher the mountain, the higher the air pressure, so the bag of snacks swells.",498.0,"515,0,0,1,0,,,,"
499,499,"In high mountains, the pressure increases and the volume expands",499.0,"516,0,1,1,1,,,,"
500,500,"The air pressure on the high mountains is weak, so the volume expands",500.0,"517,1,0,0,0,,,,"
501,501,This is because the air pressure is lowered.,501.0,"518,1,0,0,0,,,,"
502,502,It's because the air goes up,502.0,"519,1,0,0,0,,,,"
503,503,"As the altitude increases, the air pressure decreases, and the force of the gas in the snack increases and swells.",503.0,"520,0,0,1,0,,,,"
504,504,"The less pressing force an object has, the more it expands, so the bag of confectionery swells on a high mountain.",504.0,"521,1,0,0,0,,,,"
505,505,Because of the high atmospheric pressure,505.0,"522,1,0,1,0,,,,"
506,506,"Because of the foresight of the high places,",506.0,"523,1,0,0,0,,,,"
507,507,"High mountains have less air, so the air in the bag of snacks is about to go out.",507.0,"524,1,0,0,0,,,,"
508,508,"When you go up high, the gas swells under pressure",508.0,"525,1,0,0,0,,,,"
509,509,The mountain is high and there's not much air,509.0,"526,1,0,0,0,,,,"
510,510,The pressure was so strong that I was surprised,510.0,"527,1,1,0,0,,,,"
511,511,This is because the air pressure has decreased.,511.0,"528,1,0,0,0,,,,"
512,512,Because of the pressure,512.0,"529,1,0,0,0,,,,"
513,513,This is because the air pressure has decreased.,513.0,"530,0,0,0,0,,,,"
514,514,"Because the temperature is high and the volume gets bigger,",514.0,"531,1,0,0,0,,,,"
515,515,The air is cold,515.0,"532,1,0,0,0,,,,"
516,516,There's a lot of air in it,516.0,"533,1,0,0,0,,,,"
517,517,"When I'm at the bottom of the mountain, it's not very windy and when I go up, there's a lot of wind",517.0,"534,1,0,0,0,,,,"
518,518,"When the front of the bag is weakened, the force holding the bag is weakened, and the bag is becoming more squalid",518.0,"535,1,0,0,0,,,,"
519,519,There's no air.,519.0,"536,1,0,0,0,,,,"
520,520,Because I went from low to high.,520.0,"537,1,0,0,0,,,,"
521,521,This is because the air is cold on the mountain.,521.0,"538,1,0,1,0,,,,539,1,0,1,0,,,,"
522,522,The atmospheric pressure is low,522.0,"540,1,0,0,0,,,,"
523,523,It's high pressure,523.0,"541,1,0,1,0,,,,"
524,524,under pressure,524.0,"542,0,0,0,0,,,,"
525,525,Because it's high up there,525.0,"543,1,0,0,0,,,,"
526,526,Because of the atmospheric pressure,526.0,"544,1,0,0,0,,,,"
527,527,"This is because the higher the altitude, the lower the air pressure.",527.0,"545,1,0,1,0,,,,"
528,528,Because the pressure's getting higher,528.0,"546,1,1,0,0,,,,"
529,529,at a low air pressure,529.0,"547,0,0,0,0,,,,"
530,530,Because the air pressure is low,530.0,"548,0,1,0,0,,,,"
531,531,The pressure is low,531.0,"549,0,0,1,0,,,,"
532,532,"As the pressure increases, the volume of the gas increases.",532.0,"550,0,1,1,0,,,,"
533,533,The air pressure's high. Let's go to Earth,533.0,"551,1,0,0,0,,,,"
534,534,This is because the air pressure has been lowered.,534.0,"552,0,0,0,0,,,,"
535,535,Don't know,535.0,"553,0,0,0,0,,,,"
536,536,The pressure is low,536.0,"554,0,1,1,0,,,,"
537,537,under pressure,537.0,"555,1,1,1,0,,,,"
538,538,Because the cancer power has decreased.,538.0,"556,0,0,0,0,,,,"
539,539,high pressure,539.0,"557,1,0,0,0,,,,"
540,540,be due to high air pressure,540.0,"558,0,0,0,0,,,,"
541,541,Because of the high air pressure,541.0,"559,1,1,1,0,,,,"
542,542,The pressure is low,542.0,"560,1,0,1,0,,,,"
543,543,"As we go up to the mountain, the air pressure gets stronger",543.0,"561,0,1,0,0,,,,"
544,544,"The air pressure is weak at a high place, and the force to press the bag of snacks is weak",544.0,"562,1,0,1,0,,,,"
545,545,Because of the high atmospheric pressure,545.0,"563,1,0,0,1,,,,"
546,546,"As you go up to the mountain, the air pressure gets stronger",546.0,"564,0,1,0,0,,,,"
547,547,I don't know.,547.0,"565,0,0,0,0,,,,"
548,548,This is because the pressure has been lowered.,548.0,"566,0,0,0,1,,,,"
549,549,Because of the high atmospheric pressure,549.0,"567,0,1,1,0,,,,"
550,550,"Low places and high mountains are under heavy pressure, so bags of snacks swell up in high mountains.",550.0,"568,0,0,0,0,,,,569,0,1,0,0,,,,"
551,551,It seems to be caused by the expansion of air due to the difference in atmospheric pressure.,551.0,"570,1,0,0,0,,,,"
552,552,This is because the wind goes into the bag of cookies.,552.0,"571,1,0,0,0,,,,"
553,553,Nitrogen,553.0,"572,0,0,0,0,,,,"
554,554,Because it's so high,554.0,"573,1,0,0,0,,,,"
555,555,"The altitude is high, so there's a lot of air",555.0,"574,0,1,0,0,,,,"
556,556,The pressure is strong.,556.0,"575,1,0,0,0,,,,"
557,557,I don't know.,557.0,"576,0,0,0,0,,,,"
558,558,I don't know,558.0,"577,1,0,0,0,,,,"
559,559,"The high mountains lack air, so the nitrogen in the bag of snacks seems to swell.",559.0,"578,1,0,1,0,,,,"
560,560,"This is because when you go up to a high place, the air pressure increases and swells.",560.0,"579,0,1,1,0,,,,"
561,561,I don't know.,561.0,"580,0,0,1,0,,,,"
562,562,This is because air pressure increases.,562.0,"581,1,0,0,0,,,,"
563,563,It's so windy.,563.0,"582,1,0,0,0,,,,"
564,564,"Because the air pressure is stronger in the higher mountains than in the lower mountains,",564.0,"583,1,1,1,0,,,,"
565,565,"The higher the pressure, the higher the pressure",565.0,"584,0,1,0,0,,,,"
566,566,Because there is air,566.0,"585,0,1,0,1,,,,"
567,567,"In the mountains, less pressure is applied to the bag of snacks",567.0,"586,0,0,1,0,,,,"
568,568,It is because the pressure is low and cold.,568.0,"587,0,0,0,0,,,,"
569,569,There's air inside,569.0,"588,0,1,0,0,,,,"
570,570,It's because it's windy,570.0,"589,0,0,0,0,,,,"
571,571,Because it's hot,571.0,"590,0,0,0,0,,,,"
572,572,"If you go up, there's a lot of air",572.0,"591,1,0,0,0,,,,"
573,573,I don't understand.,573.0,"592,1,0,0,0,,,,"
574,574,It's because of lack of air.,574.0,"593,0,0,0,0,,,,"
575,575,Because the air pressure is strong,575.0,"594,1,1,0,1,,,,"
576,576,Because of the high atmospheric pressure,576.0,"595,1,0,1,0,,,,"
577,577,How can I be Ana?,577.0,"596,1,1,1,0,,,,"
578,578,It's because the pressure is high,578.0,"597,1,0,0,0,,,,"
579,579,with reduced oxygen,579.0,"598,1,0,0,0,,,,599,1,1,0,0,,,,"
580,580,Because of the air pressure,580.0,"600,1,0,0,0,,,,"
581,581,I don't know,581.0,"601,0,1,0,0,,,,"
582,582,Because of the high air pressure...?,582.0,"602,1,0,1,0,,,,"
583,583,"As the altitude increases, the pressure increases",583.0,"603,1,0,0,0,,,,"
584,584,"The higher the mountain, the less air there is",584.0,"604,1,0,0,0,,,,"
585,585,Gravity is less than the bottom,585.0,"605,0,1,0,0,,,,"
586,586,Because of the high pressure,586.0,"606,1,0,0,0,,,,"
587,587,It's because of the atmospheric pressure.,587.0,"607,1,0,1,0,,,,"
588,588,"Air pressure decreases as the place increases. Therefore, it swells up because the air pressure to press the bag becomes weak.",588.0,"608,1,0,0,0,,,,"
589,589,There's a lot of nitrogen,589.0,"609,0,0,0,0,,,,"
590,590,This is because the volume of air expands when the temperature drops.,590.0,"610,1,0,0,0,,,,"
591,591,This is because the altitude is high.,591.0,"611,1,0,0,0,,,,"
592,592,Compression,592.0,"612,1,0,0,0,,,,"
593,593,There's not much air?,593.0,"613,1,0,0,0,,,,"
594,594,???,594.0,"614,0,1,1,0,,,,"
595,595,This is because air pressure increases.,595.0,"615,0,1,0,0,,,,"
596,596,The air pressure went up,596.0,"616,0,1,1,0,,,,"
597,597,There's a wind. A door,597.0,"617,0,1,0,0,,,,"
598,598,The air is cold because the air pressure is lowered.,598.0,"618,0,1,1,1,,,,"
599,599,"Since there is no air pressure at high places, the force of pushing inside the snack becomes stronger.",599.0,"619,0,0,0,0,,,,"
600,600,Air swells up because air pressure is higher in high places,600.0,"620,0,0,0,0,,,,"
601,601,Because of the high atmospheric pressure,601.0,"621,0,1,0,0,,,,"
602,602,The amount of low pressure and air pressure is different,602.0,"622,1,0,0,0,,,,"
603,603,It is because the air is about to come out because of the air pressure.,603.0,"623,1,0,0,0,,,,"
604,604,"It's too high, so the pressure...",604.0,"624,1,1,0,0,,,,"
605,605,This is because the air expands.,605.0,"625,0,1,1,0,,,,"
606,606,This is because the air pressure is different between low and high altitudes.,606.0,"626,1,0,0,0,,,,"
607,607,It's because of the high pressure,607.0,"627,0,1,0,0,,,,"
608,608,at a low air pressure,608.0,"628,1,0,0,0,,,,629,1,0,0,0,,,,"
609,609,be due to the nature of the gas,609.0,"630,1,0,0,0,,,,"
610,610,It swells up because of the high pressure.,610.0,"631,1,0,1,0,,,,"
611,611,"Because the higher you go, the lower the front",611.0,"632,1,0,0,0,,,,"
612,612,It's because of the high pressure.,612.0,"633,1,0,0,0,,,,"
613,613,I don't know,613.0,"634,1,0,0,0,,,,"
614,614,at a low air pressure,614.0,"635,1,0,0,0,,,,"
615,615,The air pressure went up,615.0,"636,1,0,0,0,,,,"
616,616,It's because of the high pressure,616.0,"637,1,0,0,0,,,,"
617,617,"The pressure is lowered, so the cookie uprising swells more.",617.0,"638,1,0,0,0,,,,"
618,618,It's because air goes into a bag in a high place,618.0,"639,1,0,0,0,,,,"
619,619,Because of the nature of the gas.,619.0,"640,1,0,0,0,,,,"
620,620,"When you go to a high mountain, there is less altitude or oxygen",620.0,"641,1,0,1,0,,,,"
621,621,The air next to it fills up,621.0,"642,1,1,1,0,,,,"
622,622,"This is because when you go to a high mountain, the altitude and the amount of oxygen are smaller.When the air temperature is high, it swells up.",622.0,"643,1,0,0,0,,,,"
623,623,I don't know,623.0,"644,1,1,0,0,,,,"
624,624,I don't know.,624.0,"645,0,1,0,0,,,,"
625,625,I'm running low on oxygen,625.0,"646,1,0,1,0,,,,"
626,626,It is because of the difference in air pressure.,626.0,"647,1,0,0,0,,,,"
627,627,under pressure,627.0,"648,1,0,0,0,,,,"
628,628,"The lack of oxygen, the force of gravity,",628.0,"649,1,0,0,0,,,,"
629,629,"If you go up high, the bag expands due to lack of oxygen.",629.0,"650,1,0,0,0,,,,"
630,630,Because of the pressure,630.0,"651,1,0,0,0,,,,"
631,631,"Because of the air in the snack bag,",631.0,"652,1,0,1,0,,,,"
632,632,It's because the air pressure rises.,632.0,"653,1,0,0,0,,,,"
633,633,The air pressure rises and the bag of snacks swells up.,633.0,"654,1,1,1,0,,,,"
634,634,a difference in atmospheric pressure,634.0,"655,0,0,0,0,,,,"
635,635,"The higher you go, the lower the pressure, so the bag of snacks swells.",635.0,"656,1,0,0,0,,,,"
636,636,on a high note,636.0,"657,1,0,0,0,,,,"
637,637,It's because the air pressure gets smaller,637.0,"658,1,0,1,0,,,,659,1,0,0,0,,,,"
638,638,Because the air pressure is low,638.0,"660,1,0,1,0,,,,"
639,639,"The higher the pressure, the higher the air pressure, and the bag of snacks swells.",639.0,"661,1,0,0,0,,,,"
640,640,because of the pressure,640.0,"662,1,1,1,0,,,,"
641,641,There's a difference in air pressure,641.0,"663,1,0,0,0,,,,"
642,642,It's because the air pressure is lowered,642.0,"664,1,1,1,0,,,,"
643,643,This is because the air pressure is lowered.,643.0,"665,1,0,0,0,,,,"
644,644,Because of the difference in air pressure,644.0,"666,1,0,0,0,,,,"
645,645,The pressure gets higher as it goes up,645.0,"667,0,0,0,0,,,,"
646,646,"High places have low atmospheric pressure, so the bag of snacks will swell due to the nature of air moving to places with low atmospheric pressure.",646.0,"668,0,0,1,0,,,,"
647,647,Because of the high atmospheric pressure,647.0,"669,1,0,0,0,,,,"
648,648,We're getting more atmospheric pressure from the atmosphere,648.0,"670,1,0,0,0,,,,"
649,649,"Lack of oxygen, reaction",649.0,"671,0,0,0,0,,,,"
650,650,The bag of snacks swells up due to the difference in atmospheric pressure between the bag of snacks and the high mountain.,650.0,"672,1,1,0,0,,,,"
651,651,Because of the high atmospheric pressure,651.0,"673,1,0,1,1,,,,"
652,652,This is because the pressure is lowered.,652.0,"674,0,0,0,0,,,,"
653,653,The pressure is low,653.0,"675,1,0,1,0,,,,"
654,654,The pressure is low,654.0,"676,1,0,1,1,,,,"
655,655,The pressure is low,655.0,"677,1,0,0,0,,,,"
656,656,It's because the pressure gets stronger as you go up,656.0,"678,0,1,0,0,,,,"
657,657,It's because the pressure,657.0,"679,0,0,1,0,,,,"
658,658,The air pressure in the bag of snacks increases because oxygen is thin in the high mountains and the air pressure decreases.,658.0,"680,1,0,0,0,,,,"
659,659,due to convection,659.0,"681,1,0,0,0,,,,"
660,660,This is because air pressure increases.,660.0,"682,0,1,0,0,,,,"
661,661,This is because ambient pressure increases.,661.0,"683,0,0,1,0,,,,"
662,662,"The higher the pressure, the higher the pressure.",662.0,"684,0,1,0,0,,,,"
663,663,This is because the pressure increases.,663.0,"685,0,0,0,0,,,,"
664,664,This is because high mountains have high pressure.,664.0,"686,0,0,0,0,,,,"
665,665,Because the pressure decreases and the volume expands,665.0,"687,0,1,0,0,,,,"
666,666,"Because of the low air pressure in the mountain, the pressure of pressing the bag of confectionary decreases, and the air in the bag of confectionary expands",666.0,"688,1,0,1,0,,,,689,0,0,0,0,,,,"
667,667,The bag of snacks swells up due to the decrease in air pressure.,667.0,"690,0,0,0,1,,,,"
668,668,"This is because the air pressure in the mountain is low, so the pressure of pressing the bag of snacks decreases, and the air in the bag expands.",668.0,"691,0,0,0,0,,,,"
669,669,The pressure is lowered and swells up.,669.0,"692,1,0,0,0,,,,"
670,670,This is because the air pressure is lowered.,670.0,"693,1,0,0,0,,,,"
671,671,d,671.0,"694,1,0,0,0,,,,"
672,672,It's so high,672.0,"695,0,1,0,0,,,,"
673,673,Because the pressure is higher.,673.0,"696,1,0,0,0,,,,"
674,674,I don't have a lot of oxygen,674.0,"697,0,0,0,0,,,,"
675,675,Why?,675.0,"698,1,0,0,0,,,,"
676,676,under the pressure of the air,676.0,"699,0,0,1,0,,,,"
677,677,"The higher the mountain, the lower the temperature, so the higher the pressure",677.0,"700,0,1,0,0,,,,"
678,678,........,678.0,"701,0,0,0,0,,,,"
679,679,"The higher the height, the stronger the pressure",679.0,"702,0,0,1,0,,,,"
680,680,The bag of snacks swells up because of the high atmospheric pressure,680.0,"703,0,1,1,0,,,,"
681,681,under pressure,681.0,"704,0,0,0,0,,,,"
682,682,There's a lot of nitrogen,682.0,"705,0,0,0,0,,,,"
683,683,It's very high,683.0,"706,0,1,0,0,,,,"
684,684,It's because the air pressure has risen.,684.0,"707,0,0,0,0,,,,"
685,685,The pressure is low,685.0,"708,0,1,1,0,,,,"
686,686,Nitrogen,686.0,"709,1,0,1,0,,,,"
687,687,Because the sea level is high,687.0,"710,0,0,1,1,,,,"
688,688,Oxygen,688.0,"711,1,1,1,0,,,,"
689,689,I don't know,689.0,"712,1,0,0,0,,,,"
690,690,My dream is to get zero science!,690.0,"713,1,0,0,0,,,,"
691,691,It's nitrogen,691.0,"714,0,1,1,0,,,,"
692,692,This is because air pressure is high in high mountains./,692.0,"715,0,1,1,0,,,,"
693,693,It's because the temperature is high.,693.0,"716,1,1,1,0,,,,"
694,694,It's because people throw away trash at any time.,694.0,"717,1,0,0,0,,,,"
695,695,There's a lot of air pressure,695.0,"718,1,0,1,0,,,,719,1,1,1,0,,,,"
696,696,Because the air pressure is low,696.0,"720,1,1,1,0,,,,"
697,697,Because of the atmospheric pressure,697.0,"721,1,1,1,0,,,,"
698,698,There's a lot of air in it,698.0,"722,1,1,1,0,,,,"
699,699,Because of the atmospheric pressure,699.0,"723,0,0,1,0,,,,"
700,700,issue,700.0,"724,0,1,1,0,,,,"
701,701,on the verge of,701.0,"725,1,1,1,0,,,,"
702,702,It will be windy because the mountain is high,702.0,"726,1,0,0,0,,,,"
703,703,Because there's less air,703.0,"727,1,1,1,0,,,,"
704,704,Hah!,704.0,"728,1,1,1,0,,,,"
705,705,Because there's more air up there?,705.0,"729,1,0,1,0,,,,"
706,706,This is because there is more air in the mountains than on the ground.,706.0,"730,1,1,1,0,,,,"
707,707,It's really windy,707.0,"731,1,1,1,0,,,,"
708,708,in the wind,708.0,"732,1,0,1,0,,,,"
709,709,due to the large volume of the gas,709.0,"733,0,1,0,0,,,,"
710,710,d,710.0,"734,1,0,0,0,,,,"
711,711,Because high places have more air,711.0,"735,1,0,0,0,,,,"
712,712,High mountains are more pressurized than the ground,712.0,"736,1,0,0,1,,,,"
713,713,This is because the temperature of the square between the land and the mountain is different.,713.0,"737,1,0,0,0,,,,"
714,714,"The higher you go, the more pressure you get from the atmosphere",714.0,"738,1,0,1,0,,,,"
715,715,I'm going up,715.0,"739,0,0,0,1,,,,"
716,716,Because the air pressure is different,716.0,"740,1,0,0,0,,,,"
717,717,There is more air in the mountains than in the ground,717.0,"741,0,1,0,0,,,,"
718,718,Sane has more air than the ground,718.0,"742,0,1,1,0,,,,"
719,719,"In high mountains, the air pressure is high, so the nitrogen in the bag of snacks swells.",719.0,"743,0,1,0,0,,,,"
720,720,There's pressure,720.0,"744,0,0,0,0,,,,"
721,721,"If it's high, the pressure gets stronger and expands",721.0,"745,1,0,0,0,,,,"
722,722,"As you go up the mountain, the air pressure decreases, and the bag of snacks swells up because the gases in the bag of snacks try to spread out",722.0,"746,1,0,0,0,,,,"
723,723,"High mountains have lower atmospheric pressure due to less air due to weaker gravity than the surface. Because of the low air pressure, the air in the bag expands, causing the bag to swell.",723.0,"747,1,1,0,0,,,,"
724,724,The air in the bag swells up as it tries to go out because it tries to move more when it goes up high and the air pressure is lowered.,724.0,"748,1,0,0,0,,,,749,1,0,1,0,,,,"
725,725,"The higher the altitude, the thinner the amount of air, which lowers the air pressure. Due to the lowered air pressure, the air pressure in the snack bag becomes relatively large and the snack bag swells.",725.0,"750,0,0,1,0,,,,"
726,726,"The higher you go,",726.0,"751,0,0,0,0,,,,"
727,727,"High mountains also have lower air pressure because they have less air than flat land. Therefore, the bag of snacks swells up because the air pressure in the bag of snacks rises relatively.",727.0,"752,0,0,0,0,,,,"
728,728,"The bag is filled with nitrogen gas to prevent deterioration and crushing of the snack. Because there is an atmosphere on Earth, atmospheric pressure acts on it. However, as the altitude increases from the ground, the air becomes thinner, so the air pressure decreases. When the external air pressure decreases, the pressure of pressing the nitrogen gas inside the snack bag disappears, increasing the volume of the nitrogen gas, causing the snack bag to swell.",728.0,"753,0,1,0,0,,,,"
729,729,"It does not swell because of the difference between the air pressure inside and outside the bag at low places, and on high mountains, the air volume is relatively smaller than that in low places, so it swells up because the difference between the air pressure inside and outside the bag is smaller",729.0,"754,0,0,0,0,,,,"
730,730,"The air pressure on flat land and the air pressure on high places are different from each other, but the higher the air pressure goes, the weaker the air pressure becomes, and the air in the bag becomes tight, and the bag of snacks swells.",730.0,"755,0,1,0,0,,,,"
731,731,"Every object on the ground is subjected to constant air pressure. The higher the area, the thinner the air becomes, and the lower the air pressure. When the air pressure is lowered, it receives less pressure than usual, so the movement of the gas molecules becomes more active than when they were below. That's why when you climb a high mountain and the air pressure decreases, the bag of snacks swells.",731.0,"756,0,0,0,0,,,,"
732,732,"While the atmospheric pressure in the bag of snacks is constant, the higher the altitude above sea level, the smaller the atmospheric pressure, so the bag of snacks swells.",732.0,"757,0,0,0,0,,,,"
733,733,"The bag of snacks has as much air in the bag to have enough pressure to maintain its shape under pressure of 1 atmosphere above the surface. However, if the bag is carried to a high mountain, the air pressure in the bag will be relatively higher than the air pressure in the mountain due to the falling air pressure as the altitude increases. Therefore, when the balance of power inside and outside the bag is found, the bag of snacks swells up on the high mountain as the bag gradually swells.",733.0,"758,0,1,0,0,,,,"
734,734,"When you climb a high mountain, the pressure of the air decreases. Since the volume of the gas is inversely proportional to the pressure, the pressure of external air is small in high mountains, and thus the volume of the gas in the snack bag increases.",734.0,"759,1,0,0,0,,,,"
735,735,"The higher the mountain, the lower the air pressure, so it expands to the outside where the air pressure is lowered in the bag of confectionery that had the original air pressure.",735.0,"760,0,0,0,0,,,,"
736,736,Nitrogen,736.0,"761,1,0,0,0,,,,"
737,737,It's because I'm under pressure.,737.0,"762,0,0,0,0,,,,"
738,738,be under pressure,738.0,"763,0,1,0,0,,,,"
739,739,It's because the temperature difference is a little different and the pressure is different,739.0,"764,0,1,0,0,,,,"
740,740,Because I was under pressure.,740.0,"765,0,0,1,0,,,,"
741,741,High mountains have higher air pressure,741.0,"766,1,0,0,0,,,,"
742,742,Because of the temperature difference,742.0,"767,1,0,0,0,,,,"
743,743,high in the corporate ladder,743.0,"768,1,0,0,0,,,,"
744,744,There's a lot of oxygen,744.0,"769,1,0,1,0,,,,"
745,745,High altitudes and high altitudes lack breathing and lack of air and swell,745.0,"770,0,0,0,0,,,,"
746,746,This is because the volume of the gas rises,746.0,"771,1,0,1,0,,,,"
747,747,Because of the buoyancy,747.0,"772,1,0,0,0,,,,"
748,748,"Since the air pressure is lowered, the air pressure inside the snack bag is higher than the surrounding area and expands.",748.0,"773,1,0,0,0,,,,"
749,749,Because the air pressure is low,749.0,"774,0,0,0,0,,,,"
750,750,The external pressure decreases and the air inside expands.,750.0,"775,1,1,0,0,,,,"
751,751,This is because the atmospheric pressure is lowered.,751.0,"776,1,0,1,1,,,,"
752,752,"As you go up, the pressure decreases, and the molecular motion of the air inside becomes faster, so it's upsetting",752.0,"777,1,0,0,0,,,,"
753,753,Because it's high,753.0,"778,1,0,1,0,,,,779,1,0,0,0,,,,"
754,754,I don't know because I didn't learn.,754.0,"780,1,0,1,0,,,,"
755,755,Just.,755.0,"781,1,0,1,0,,,,"
756,756,Because there's no air.,756.0,"782,1,0,1,0,,,,"
757,757,I didn't learn it.,757.0,"783,1,1,0,0,,,,"
758,758,Because there's no air.,758.0,"784,1,0,0,0,,,,"
759,759,I don't know,759.0,"785,1,0,0,0,,,,"
760,760,I don't know.,760.0,"786,1,0,0,0,,,,"
761,761,"Since there's a lot of air coming in,",761.0,"787,1,0,0,0,,,,"
762,762,under pressure,762.0,"788,1,0,0,0,,,,"
763,763,Moe.,763.0,"789,1,0,0,0,,,,"
764,764,It's because the air pressure is high,764.0,"790,1,0,0,0,,,,"
765,765,I don't know,765.0,"791,1,0,0,0,,,,"
766,766,There's more air,766.0,"792,1,0,0,0,,,,"
767,767,Because of the influence of the atmosphere,767.0,"793,0,1,0,0,,,,"
768,768,There's a lot of wind in the mountains,768.0,"794,1,0,0,0,,,,"
769,769,at a low air pressure,769.0,"795,1,1,1,0,,,,"
770,770,because of the pressure,770.0,"796,0,1,1,0,,,,"
771,771,Because of the atmospheric pressure,771.0,"797,1,0,0,0,,,,"
772,772,This is because pressure is generated from high places.,772.0,"798,1,0,0,0,,,,"
773,773,No learning,773.0,"799,1,0,1,1,,,,"
774,774,"Because there is pressure at a high place, the bag of snacks does not withstand it.",774.0,"800,1,0,0,0,,,,"
775,775,Because of the pressure,775.0,"801,1,0,1,0,,,,"
776,776,at a low air pressure,776.0,"802,1,0,0,0,,,,"
777,777,It's going to swell,777.0,"803,1,0,0,0,,,,"
778,778,The air pressure in the bag of snacks gets higher and the volume gets bigger,778.0,"804,1,0,0,0,,,,"
779,779,"As the altitude increases, the atmospheric pressure decreases. The pressure and atmospheric pressure of the snack bag must be balanced, but since the amount and temperature of air inside the snack bag are constant, the pressure decreases and the volume increases.",779.0,"805,1,0,0,0,,,,"
780,780,"If the pressure is lowered by Boyle's law, the volume increases.",780.0,"806,1,0,0,0,,,,"
781,781,"As the ambient air pressure rises higher, the volume of the sealed bag of snacks increases.",781.0,"807,1,0,0,0,,,,"
782,782,This is because the air pressure is high.,782.0,"808,1,0,0,0,,,,809,1,0,1,0,,,,"
783,783,"This is because the higher you go, the lower the pressure.",783.0,"810,1,0,0,0,,,,"
784,784,"The higher the mountain, the lower the ambient pressure, which increases the volume of the bag.",784.0,"811,1,0,0,0,,,,"
785,785,"Since the air pressure decreases when climbing a high mountain, the external pressure is lower than the internal pressure of the snack bag and swells.",785.0,"812,1,0,1,0,,,,"
786,786,The volume of air inside the snack bag increased due to the lower pressure around it.,786.0,"813,1,0,0,0,,,,"
787,787,Because of the reduced air pressure,787.0,"814,1,0,1,1,,,,"
788,788,The surrounding pressure is getting smaller,788.0,"815,1,0,0,0,,,,"
789,789,Volume increase due to decrease in external pressure,789.0,"816,1,0,0,0,,,,"
790,790,Because the air pressure is low,790.0,"817,1,0,0,0,,,,"
791,791,"The atmospheric pressure decreases, increasing the difference between the atmospheric pressure and the atmospheric pressure in the snack bag.This is because the pressure has been lowered.",791.0,"818,1,0,1,0,,,,"
792,792,This is because the atmospheric pressure is low.,792.0,"819,1,0,1,0,,,,"
793,793,This is because the pressure is lowered.,793.0,"820,1,0,0,0,,,,"
794,794,Because the pressure is reduced,794.0,"821,1,0,1,0,,,,"
795,795,Oxygen,795.0,"822,0,0,0,0,,,,"
796,796,Because the air pressure is low,796.0,"823,1,0,1,0,,,,"
797,797,"The air in the snack bag is filled according to the atmospheric pressure of the environment in which we usually live, and when going up to the high mountain, the ambient pressure becomes lower than usual, and the external pressure becomes lower than the pressure in the bag, so that the snack bag swells.",797.0,"824,1,1,0,0,,,,"
798,798,Because the gases of high mountains are thinner than those of flat land,798.0,"825,0,1,0,0,,,,"
799,799,This is because the air pressure has risen.,799.0,"826,1,0,0,0,,,,"
800,800,This is because the atmospheric pressure is lowered.,800.0,"827,1,0,0,0,,,,"
801,801,"If you go up to a high altitude, the pressure increases and the temperature decreases",801.0,"828,1,0,0,0,,,,"
802,802,Volume increased due to lower pressure,802.0,"829,1,0,0,0,,,,"
803,803,This is because the pressure on the mountain is lower than below.,803.0,"830,1,1,1,0,,,,"
804,804,at a low air pressure,804.0,"831,1,0,0,0,,,,"
805,805,It's because the pressure decreases and the volume increases,805.0,"832,1,1,1,0,,,,"
806,806,It's because of the atmospheric pressure.,806.0,"833,1,0,0,0,,,,"
807,807,It is because the air pressure around it is lowered.,807.0,"834,0,0,1,0,,,,"
808,808,This is because the air pressure is lowered.,808.0,"835,1,0,0,0,,,,"
809,809,an atmospheric pressure difference,809.0,"836,1,0,0,0,,,,"
810,810,This is because the air pressure is lowered.,810.0,"837,1,1,0,0,,,,"
811,811,"When the pressure is reduced by PV=nRT, the volume increases. Therefore, the higher the mountain, the lower the pressure and the higher the volume.",811.0,"838,1,0,0,0,,,,839,1,0,0,0,,,,"
812,812,This is because the air pressure is lowered.,812.0,"840,1,0,0,0,,,,"
