,Unnamed: 0,"1) Why did the metal ladle, which used to be cold before putting it in hot water, get hot after putting it in water?",Unnamed: 0,", q39_column movement, q39_material, q39_column movement1, q39_material.1"
729,729,"The reason why the metal ladle became hot after putting it in hot water is because of the conduction of heat conduction. As the particles of the ladle in warm water hit each other and transferred energy, the entire ladle, which was cold, received energy and the molecular movement became active, making the cold ladle warm.",729.0,"754,0,0,,"
730,730,This is because heat was transferred from hot water to a metal ladle through a method of conduction.,730.0,"755,1,0,,"
731,731,"When the cold ladle is put in hot water, heat is transferred from the part where it touches the water due to heat conduction, which heats up to the end of the ladle.",731.0,"756,1,0,,"
732,732,"If you put a cold metal ladle in hot water, the heat of the hot water is conducted to a cold metal ladle, which heats up the metal ladle. Heat has a property of conducting heat, and metal is a material that conducts heat well, so it easily heats up when a metal ladle is put in hot water.",732.0,"757,1,0,,"
733,733,"Since it has less specific heat than a wooden ladle, if exposed to heat even in a short period of time, the ladle will get hot.",733.0,"758,1,0,,"
734,734,The steam is coming up,734.0,"759,1,1,,"
735,735,Because heat travels only to iron,735.0,"760,1,0,,"
736,736,Put a ladle in hot water,736.0,"761,1,0,,"
737,737,Because metals react quickly to heat,737.0,"762,0,0,,"
738,738,It's because it's a material that transfers heat,738.0,"763,1,1,,"
739,739,It's heated up,739.0,"764,1,0,,"
740,740,"In the iron, when the heat goes, the heat goes as far as holding it.",740.0,"765,1,1,,"
741,741,Because of number 10,741.0,"766,1,0,,"
742,742,It's melted,742.0,"767,0,0,,"
743,743,"Metal is used to melt hot things to make metal household products, so it's proof that it's heat-transferable and heat-transferable",743.0,"768,1,1,,"
744,744,The metal ladle became hot because of the heat transfer,744.0,"769,1,0,,"
745,745,It's because of the heat of the hot water,745.0,"770,0,1,,"
746,746,This is because the energy in water was applied to the ladle in the form of thermal energy.,746.0,"771,0,1,,"
747,747,The heat of the hot water is transferred to a cold ladle,747.0,"772,0,0,,"
748,748,Metal has high thermal conductivity,748.0,"773,1,0,,"
749,749,.,749.0,"774,0,0,,"
750,750,Because the heat in the hot water was conducted with a cold metal ladle,750.0,"775,1,1,,"
751,751,I don't know.,751.0,"776,1,1,,"
752,752,Heat moves from hot water to a cold ladle,752.0,"777,1,0,,"
753,753,I don't know,753.0,"778,1,0,,779,1,0,,"
754,754,Because of the heat,754.0,"780,1,1,,"
755,755,I didn't learn it.,755.0,"781,1,0,,"
756,756,Because of the heat,756.0,"782,1,1,,"
757,757,The heat was transferred to the ladle,757.0,"783,1,0,,"
758,758,The heat transfer heats up the cold.,758.0,"784,1,0,,"
759,759,"Since the heat is moving,",759.0,"785,1,0,,"
760,760,Metal conducts heat.,760.0,"786,1,0,,"
761,761,It's because the heat has shifted,761.0,"787,1,0,,"
762,762,Because hot heat moves up,762.0,"788,1,0,,"
763,763,"""I don't know",763.0,"789,1,0,,"
764,764,,764.0,"790,1,0,,"
765,765,"""",765.0,"791,1,0,,"
766,766,This is because heat moves actively from metal.,766.0,"792,1,0,,"
767,767,Because of the heat transfer,767.0,"793,1,0,,"
768,768,The heat in the hot water was transferred to the cold metal ladle and the ladle became hot.,768.0,"794,1,1,,"
769,769,The heat in the hot water moved to the ladle.,769.0,"795,1,1,,"
770,770,Pardon?,770.0,"796,1,0,,"
771,771,The characteristic of metal is that it heats up because it is heat-resistant,771.0,"797,1,0,,"
772,772,This is because metal flows heat.,772.0,"798,1,1,,"
773,773,"As the hot air rises, the metal ladle heats up",773.0,"799,1,0,,"
774,774,"""The temperature of hot water changes the temperature of the metal.",774.0,"800,1,0,,"
775,775,"This is because metals change temperatures quickly and easily.""",775.0,"801,1,1,,"
776,776,It's hot water,776.0,"802,1,0,,"
777,777,It's because the heat of hot water is transferred to the ladle.,777.0,"803,1,0,,"
778,778,It's hot,778.0,"804,1,0,,"
779,779,"Metal poles are highly conductive because they are metal, so energy transfer is good. The wooden ladle is an insulator, so it has low conductivity.",779.0,"805,1,0,,"
780,780,"This is because metal has higher thermal conductivity than wood, so it transfers a lot of heat by hand at once.",780.0,"806,1,1,,"
781,781,at thermal equilibrium,781.0,"807,0,0,,"
782,782,The thermal equilibrium state is reached by the 0th law of thermodynamics.,782.0,"808,1,0,,809,1,1,,"
783,783,This is because it achieves thermal equilibrium with water.,783.0,"810,1,1,,"
784,784,This is because the heat of the water was transferred to a metal ladle.,784.0,"811,1,1,,"
785,785,This is because thermal equilibrium has been reached.,785.0,"812,1,0,,"
786,786,This is because heat was transferred to a metal ladle by convection.,786.0,"813,1,0,,"
787,787,Water and ladle reached thermal equilibrium by thermodynamic law,787.0,"814,1,1,,"
788,788,Reaching thermal equilibrium,788.0,"815,1,0,,"
789,789,by heat conduction,789.0,"816,1,0,,"
790,790,heat transfer,790.0,"817,1,1,,"
791,791,in a state ofThe heat is shifting,791.0,"818,1,1,,"
792,792,This is because heat moves to achieve thermal equilibrium.,792.0,"819,0,0,,"
793,793,It is because of the thermal equilibrium.,793.0,"820,1,0,,"
794,794,The heat shifted from nothing to a ladle.,794.0,"821,1,0,,"
795,795,Heat conduction increases temperature.,795.0,"822,0,0,,"
796,796,Heat transferred,796.0,"823,1,1,,"
797,797,Because the heat of the water moved to a metal ladle,797.0,"824,1,0,,"
798,798,This is because the heat of the hot water was conducted and the heat moved to a cold metal ladle.,798.0,"825,1,0,,"
799,799,The heat in the water was transferred,799.0,"826,1,0,,"
800,800,Because the heat was transferred.,800.0,"827,1,0,,"
801,801,The metal ladle heats up quickly because the heat conduction becomes faster.,801.0,"828,1,0,,"
802,802,Because the heat is transferred to the ladle,802.0,"829,0,0,,"
803,803,The heat is transferred,803.0,"830,1,1,,"
804,804,Metal has a high heat conduction and therefore a high rate of heating.,804.0,"831,1,0,,"
805,805,This is because heat is transferred to the ladle by conduction,805.0,"832,1,0,,"
806,806,This is because heat moves from hot to cold to achieve thermal equilibrium.,806.0,"833,1,0,,"
807,807,This is because heat is well conducted.,807.0,"834,0,0,,"
808,808,It is because of the conduction of heat.,808.0,"835,1,1,,"
809,809,This is because metal ladles have high thermal conductivity.,809.0,"836,1,1,,"
810,810,in accordance with the temperature,810.0,"837,1,1,,"
811,811,This is because the heat was conducted.,811.0,"838,1,0,,839,1,0,,"
812,812,Because metal ladle has high thermal conductivity,812.0,"840,1,0,,"
813,813,This is because the heat of hot water was conducted to the metal ladle.,813.0,"841,1,1,,"
814,814,This is because the heat of the hot water was conducted with a metal ladle.,814.0,"842,1,0,,"
815,815,be due to heat conduction,815.0,"843,1,1,,"
816,816,It's because of the heat conduction,816.0,"844,1,1,,"
817,817,The heat of the hot water was conducted with a cold metal ladle.,817.0,"845,1,1,,"
818,818,This is because the heat of the heated ladle met with cold water and conducted heat upward.,818.0,"846,1,1,,"
819,819,This is because the ladle is heated by conduction.,819.0,"847,1,1,,"
820,820,"Due to the first law of thermodynamics, heat was conducted in equilibrium, and the conducted heat spread from inside the metal ladle and became hot.",820.0,"848,1,0,,"
821,821,This is because the metal ladle that used to cool the heat in the hot water absorbed it.,821.0,"849,0,0,,"
822,822,This is because the heat energy in the water moves into a ladle.,822.0,"850,0,0,,"
823,823,This is because heat is conducted.,823.0,"851,1,0,,"
824,824,"The heat in the hot water moved toward the cold ladle to form a heat expansion with the cold ladle, making the ladle hot.",824.0,"852,1,0,,"
825,825,"It gets hot because you put it in hot water. Then it gets cold, right?",825.0,"853,1,0,,"
826,826,This is because heat has moved to a metal ladle due to the conduction of heat.,826.0,"854,0,0,,"
827,827,This is because the heat energy of the water molecules is transferred to the ladle.,827.0,"855,0,0,,"
828,828,The conductivity is fast,828.0,"856,1,0,,"
829,829,It has high thermal conductivity,829.0,"857,1,0,,"
830,830,This is because heat conduction occurs.,830.0,"858,1,1,,"
831,831,It's because it gets heat transfer faster,831.0,"859,1,1,,"
832,832,The ladle takes the heat,832.0,"860,1,0,,"
833,833,This is because heat has moved from hot water to metal ladle.,833.0,"861,1,0,,"
834,834,This is because heat is conducted.,834.0,"862,1,1,,"
835,835,with heat conduction,835.0,"863,1,0,,"
836,836,It's heated up,836.0,"864,1,1,,"
837,837,It's hot,837.0,"865,1,0,,"
838,838,"This transfer of heat in a solid or the like is called conduction. Therefore, the metal ladle is heated to the part where the heat is not directly in contact with the conducted water.",838.0,"866,0,0,,"
839,839,Metal has a fast heat conduction. Absorption good,839.0,"867,1,0,,"
840,840,Metal transfers heat better,840.0,"868,1,1,,869,1,0,,"
841,841,The heat conduction is good,841.0,"870,0,0,,"
842,842,Because of the heat conduction,842.0,"871,1,0,,"
843,843,It's because it's been passed on,843.0,"872,1,0,,"
844,844,This is because the metal ladle is a conductor and heats up quickly due to its low specific heat.,844.0,"873,1,0,,"
845,845,It became hot because heat was transferred from hot water,845.0,"874,1,0,,"
846,846,"As heat moves, metals heat up easily because of good heat conduction.",846.0,"875,1,0,,"
847,847,Because the metal ladle is heated,847.0,"876,0,0,,"
848,848,This is because the metal ladle was conducted to the temperature of the hot water.,848.0,"877,1,1,,"
849,849,This is because the temperature of the hot water was conducted with a metal ladle.,849.0,"878,1,1,,"
850,850,The hot heat was heated by heat transfer to the metal ladle.,850.0,"879,1,0,,"
851,851,Because heat was transferred,851.0,"880,0,0,,"
852,852,Because it's a conductor,852.0,"881,1,0,,"
853,853,Because it's a conductor,853.0,"882,1,1,,"
854,854,"Because of the heat transfer,",854.0,"883,1,0,,"
855,855,It's because the heat moved fast,855.0,"884,1,0,,"
856,856,The heat of the water is transferred to a ladle,856.0,"885,1,0,,"
857,857,k,857.0,"886,1,1,,"
858,858,I don't know,858.0,"887,1,1,,"
859,859,It's because I kept applying heat,859.0,"888,1,1,,"
860,860,"To reach thermal equilibrium,",860.0,"889,1,0,,"
861,861,Metal is because of its fast heat conduction.,861.0,"890,1,0,,"
862,862,Metal ladles move heat well,862.0,"891,1,1,,"
863,863,Because of the thermal equilibrium,863.0,"892,1,1,,"
864,864,It's because it's been passed on.,864.0,"893,1,1,,"
865,865,Metal has good thermal conductivity,865.0,"894,1,0,,"
866,866,heat transfer,866.0,"895,1,0,,"
867,867,"Metals have high thermal conductivity, so heat is easily transferred",867.0,"896,1,1,,"
868,868,Because it has strong heat transfer power,868.0,"897,0,0,,"
869,869,I put it in hot water,869.0,"898,1,0,,899,0,0,,"
870,870,the conduction of heat,870.0,"900,1,0,,"
871,871,This is because the temperature of the hot water was conducted to a cold metal ladle.,871.0,"901,1,0,,"
872,872,It's because the heat was transferred,872.0,"902,1,0,,"
873,873,.,873.0,"903,0,0,,"
874,874,This is because the hot heat was transferred into the ladle.,874.0,"904,1,1,,"
875,875,It's because the heat is transferred,875.0,"905,0,1,,"
876,876,This is because heat conduction occurs.,876.0,"906,1,1,,"
877,877,in a state of,877.0,"907,0,1,,"
878,878,be caused by heat conduction,878.0,"908,0,0,,"
879,879,I don't know,879.0,"909,1,1,,"
880,880,Metal has a greater heat conduction than wood.,880.0,"910,0,0,,"
881,881,Metal has a high heat conduction,881.0,"911,1,0,,"
882,882,Conductivity,882.0,"912,1,1,,"
883,883,"I put it in hot water, so of course",883.0,"913,0,0,,"
884,884,Conduction,884.0,"914,0,0,,"
885,885,This is because the thermal conductivity of the metal ladle is different.,885.0,"915,0,1,,"
886,886,It is hot because heat is transferred by hot water,886.0,"916,1,1,,"
887,887,This is because heat is conducted.,887.0,"917,1,1,,"
888,888,This is because heat conduction is faster.,888.0,"918,0,0,,"
889,889,It is because metal is heat-transmitting.,889.0,"919,1,1,,"
890,890,"The metal ladle heats up by receiving heat from the water.The heat of hot water moved to the ladle, which was cold",890.0,"920,0,0,,"
891,891,This is because the heat of the hot water was conducted with a ladle.,891.0,"921,1,1,,"
892,892,It's because the heat was transferred,892.0,"922,0,1,,"
893,893,This is because metal has a high heat conduction.,893.0,"923,0,0,,"
894,894,Because heat was transferred to the water with a metal ladle,894.0,"924,1,1,,"
895,895,This is because the cold metal conductor was conducted hot by hot water.,895.0,"925,1,1,,"
896,896,"Because the heat energy of the hot water was conducted,",896.0,"926,1,1,,"
897,897,This is because heat was conducted from hot water to a ladle.,897.0,"927,1,0,,"
898,898,This is because metals change temperature easily in heat,898.0,"928,1,1,,929,1,0,,"
899,899,Because it's heated,899.0,"930,1,0,,"
900,900,It is because the heat has been transferred.,900.0,"931,0,0,,"
901,901,ㅇ,901.0,"932,0,0,,"
902,902,"Because of the high thermal conductivity,",902.0,"933,1,1,,"
903,903,The heat conduction is different,903.0,"934,0,1,,"
904,904,This is because heat was transferred to a ladle by hot water.,904.0,"935,0,0,,"
905,905,It's getting hot,905.0,"936,1,1,,"
906,906,This is because the heat in the hot water was conducted with a metal ladle.,906.0,"937,1,1,,"
907,907,This is because hot water is transferred to a metal ladle.,907.0,"938,1,0,,"
908,908,Because of the high metal thermal conductivity,908.0,"939,0,1,,"
909,909,"Because the metal gets hot or cold as the temperature changes nearby,",909.0,"940,1,0,,"
910,910,Go into the hot water,910.0,"941,1,0,,"
911,911,The metal ladle is a conductive object,911.0,"942,1,0,,"
912,912,It's because of the hot water.,912.0,"943,0,0,,"
913,913,Because of the heat,913.0,"944,1,1,,"
914,914,Metal can move heat easily,914.0,"945,1,1,,"
915,915,in hot water,915.0,"946,0,0,,"
916,916,Because the net is hot,916.0,"947,0,0,,"
917,917,The metal got hot,917.0,"948,1,1,,"
918,918,Because metal received hotter heat before it was made,918.0,"949,0,0,,"
919,919,This is because the temperature of the hot water was transferred to a metal ladle,919.0,"950,0,0,,"
920,920,overheated,920.0,"951,1,1,,"
921,921,The metal is heated up,921.0,"952,1,1,,"
922,922,"When water is hot, even cold metals get hot over time.",922.0,"953,0,0,,"
923,923,The metal transfers heat well.,923.0,"954,1,1,,"
924,924,It's a lump of iron,924.0,"955,1,0,,"
925,925,because of the high temperature of the water,925.0,"956,1,1,,"
926,926,This is because the heat conduction on the metal ladle is fast.,926.0,"957,1,1,,"
927,927,"""",927.0,"958,1,1,,959,1,1,,"
928,928,"This is because the heat enters the hot water and is transferred to the metal ladle. Furthermore, metals have high thermal conductivity.",928.0,"960,0,1,,"
929,929,The metal ladle absorbs heat faster,929.0,"961,1,1,,"
930,930,due to heat conduction,930.0,"962,0,0,,"
931,931,This is because metal ladles transfer heat relatively quickly.,931.0,"963,1,0,,"
932,932,It absorbs the heat from the hot water,932.0,"964,0,0,,"
933,933,It absorbs the heat from the hot water,933.0,"965,0,0,,"
934,934,The temperature fluctuates,934.0,"966,1,1,,"
935,935,"carbon dioxide, nitrogen",935.0,"967,1,1,,"
936,936,This is because the metal ladle receives heat more easily and does not cool down easily.,936.0,"968,1,0,,"
937,937,due to the properties of metal,937.0,"969,0,0,,"
938,938,Because the ladle was cold and suddenly hot.,938.0,"970,1,1,,"
939,939,This is because the metal ladle receives heat more easily and does not cool down easily.,939.0,"971,1,1,,"
940,940,The cold metal heats up because the heat is stronger than the cold metal heats up,940.0,"972,0,0,,"
941,941,Because the heat spread throughout.,941.0,"973,0,0,,"
942,942,"Because metal ladle is greatly influenced by temperature, the temperature of the ladle increased with hot water with higher temperature",942.0,"974,1,0,,"
943,943,The heat in the boiling water heats up the ladle,943.0,"975,1,1,,"
944,944,a conductor,944.0,"976,1,0,,"
945,945,The heat from the ladle's head moved to the handle,945.0,"977,1,1,,"
946,946,The metal ladle is hot because it does not absorb water,946.0,"978,0,0,,"
947,947,The metal ladle absorbs heat,947.0,"979,1,1,,"
948,948,Because metal carries temperature,948.0,"980,0,0,,"
949,949,I don't know,949.0,"981,1,1,,"
950,950,I don't know,950.0,"982,0,0,,"
951,951,Because metals are easily affected by heat.,951.0,"983,0,1,,"
952,952,The temperature went up,952.0,"984,0,0,,"
953,953,It's too watery,953.0,"985,0,0,,"
954,954,This is because the high temperature of the water moves heat to a metal ladle.,954.0,"986,1,0,,"
955,955,The heat of the hot water was transferred to the metal ladle,955.0,"987,0,0,,"
956,956,Let's go into the hot water,956.0,"988,1,1,,989,0,0,,"
957,957,This is because heat has moved on the metal ladle.,957.0,"990,0,0,,"
958,958,Heat makes metal hotter than wood,958.0,"991,1,1,,"
959,959,"Because metal absorbs heat, the hot water temperature is absorbed by the metal ladle, which makes the metal ladle hot",959.0,"992,1,1,,"
960,960,This is because metal is a material that transfers heat well.,960.0,"993,1,1,,"
961,961,"Since the metal absorbs heat, the metal ladle absorbs the temperature of hot water and the metal ladle heats up.",961.0,"994,1,0,,"
962,962,This is because the heat of hot water is transferred to a cold metal ladle and the heat rises.,962.0,"995,1,0,,"
963,963,"Metal gets hot quickly when it touches something hot, so the metal ladle gets hot.",963.0,"996,1,0,,"
964,964,"Metal gets hot quickly due to its high thermal conductivity, so when you put a metal ladle in hot water, the metal ladle gets hot quickly.",964.0,"997,1,0,,"
965,965,I don't know.,965.0,"998,1,0,,"
966,966,It's like the heat is coming up with metal and it's getting hot,966.0,"999,1,1,,"
967,967,a wooden ladle,967.0,"1000,1,0,,"
968,968,Hot water is heated in metal,968.0,"1001,1,1,,"
969,969,Metal ladles are hotter than wooden ladles because metal is an object that absorbs heat,969.0,"1002,1,0,,"
970,970,Metal absorbs heat,970.0,"1003,1,0,,"
971,971,"Because of the heat transfer,",971.0,"1004,1,1,,"
972,972,Because it's hot,972.0,"1005,1,0,,"
973,973,Metal is because heat travels,973.0,"1006,1,0,,"
974,974,Because metal transfers heat,974.0,"1007,1,0,,"
975,975,It's because the temperature is going up,975.0,"1008,1,0,,"
976,976,Don't know,976.0,"1009,1,0,,"
977,977,Because of the heat transfer,977.0,"1010,0,0,,"
978,978,Metals are heat-borne,978.0,"1011,1,0,,"
979,979,Because of the high heat conductivity of metal condensation,979.0,"1012,1,1,,"
980,980,Metals are heat transferred quickly,980.0,"1013,0,0,,"
981,981,"No matter how cold it is, it gets hot again when you go into the hot water",981.0,"1014,1,1,,"
982,982,The heat travels through the metal,982.0,"1015,1,0,,"
983,983,I don't know,983.0,"1016,0,0,,"
984,984,The temperature of the water is transferred to a metal ladle,984.0,"1017,0,0,,"
985,985,The water is hot,985.0,"1018,1,0,,1019,0,0,,"
986,986,The metal is on the hotbed,986.0,"1020,0,0,,"
987,987,Because the water is hot.,987.0,"1021,0,0,,"
988,988,The heat is too hot,988.0,"1022,0,0,,"
989,989,Because the heat moved from the water to the ladleIt's because the water is heavy.,989.0,"1023,1,0,,"
990,990,"Metals tend to transfer heat,",990.0,"1024,1,0,,"
991,991,"Because the ladle that was cold was heated in hot water,",991.0,"1025,1,0,,"
992,992,I don't know.,992.0,"1026,1,0,,"
993,993,Metals have the function of absorbing heat,993.0,"1027,0,0,,"
994,994,Because metal is a material that moves heat well,994.0,"1028,0,0,,"
995,995,Because metal is heat-transferable.,995.0,"1029,1,0,,"
996,996,The hot heat is transferred,996.0,"1030,1,0,,"
997,997,a difference in conduction,997.0,"1031,1,0,,"
998,998,thermal equilibrium,998.0,"1032,1,0,,"
999,999,It has high thermal conductivity,999.0,"1033,1,1,,"
1000,1000,Because of the heat conduction phenomenon.,1000.0,"1034,1,0,,"
1001,1001,Metal is hot because of its high thermal conductivity,1001.0,"1035,1,0,,"
1002,1002,"Since the heat is transferred,",1002.0,"1036,1,0,,"
1003,1003,This is because metal transfers heat well.,1003.0,"1037,1,0,,"
1004,1004,This is because the heat was conducted.,1004.0,"1038,1,0,,"
1005,1005,Heat conduction.,1005.0,"1039,1,1,,"
1006,1006,Heat conduction in the cold metal scoop that is because in hot water.,1006.0,"1040,1,0,,"
1007,1007,Heat was transmitted through the ladles of water.,1007.0,"1041,0,0,,"
1008,1008,Heat conduction to.,1008.0,"1042,0,0,,"
1009,1009,Because of thermal equilibrium,1009.0,"1043,0,0,,"
1010,1010,Conduction,1010.0,"1044,1,1,,"
1011,1011,By heat conduction.,1011.0,"1045,0,0,,"
1012,1012,Didn't put in cold water.,1012.0,"1046,1,1,,"
1013,1013,Heat conduction to be.,1013.0,"1047,1,1,,"
1014,1014,Heat moved with his ladle in the water hot metal thermal conductivity is high.,1014.0,"1048,0,0,,1049,0,0,,"
1015,1015,Ladle temperature is hot because they move at a low temperature in cold think it gets hot.,1015.0,"1050,1,1,,"
1016,1016,Strong heating metal spoon to move.,1016.0,"1051,0,0,,"
1017,1017,Heat conduction..,1017.0,"1052,1,1,,"
1018,1018,Unknowingness,1018.0,"1053,1,0,,"
1019,1019,Unknowingness,1019.0,"1054,1,0,,"
1020,1020,A brass spoon is a hot heat go to the cold metal sutkkarak,1020.0,"1055,1,1,,"
1021,1021,If you put their fingers in the hot water cooled? hot? It's kind of weird if you ask me something too obvious,1021.0,"1056,1,1,,"
1022,1022,I don't know.,1022.0,"1057,1,1,,"
1023,1023,I don't know,1023.0,"1058,1,0,,"
1024,1024,I don't know,1024.0,"1059,0,0,,"
1025,1025,the conduction of heat,1025.0,"1060,0,0,,"
1026,1026,It's because the heat was transferred,1026.0,"1061,1,0,,"
1027,1027,Because it's been passed on,1027.0,"1062,1,0,,"
1028,1028,the conduction of heat,1028.0,"1063,0,0,,"
1029,1029,The electrons are moving fast,1029.0,"1064,1,1,,"
1030,1030,Metastasis,1030.0,"1065,1,1,,"
1031,1031,This is because the thermal conductivity is good.,1031.0,"1066,1,1,,"
1032,1032,Molecules become active because of high temperature,1032.0,"1067,0,0,,"
1033,1033,an act of conduction,1033.0,"1068,1,1,,"
1034,1034,It's because the temperature changes,1034.0,"1069,1,0,,"
1035,1035,This is because metals transfer quickly.,1035.0,"1070,1,1,,"
1036,1036,"Since the heat is transferred,",1036.0,"1071,0,0,,"
1037,1037,Because heat conducts better than trees,1037.0,"1072,1,1,,"
1038,1038,It's heat-transferred,1038.0,"1073,1,0,,"
1039,1039,This is because the heat has shifted.,1039.0,"1074,0,0,,"
1040,1040,The temperature of the water is reversed,1040.0,"1075,1,1,,"
1041,1041,This is because the metal ladle takes away the heat from the hot water.,1041.0,"1076,1,1,,"
1042,1042,This is because the heat was conducted.,1042.0,"1077,0,0,,"
1043,1043,I don't know,1043.0,"1078,1,1,,1079,1,1,,"
1044,1044,ㅇ,1044.0,"1080,1,1,,"
1045,1045,ㅇ,1045.0,"1081,0,0,,"
1046,1046,Metal is heat-transferred,1046.0,"1082,0,0,,"
1047,1047,.,1047.0,"1083,1,1,,"
1048,1048,Metal has high thermal conductivity,1048.0,"1084,1,1,,"
1049,1049,This is because metals have high thermal conductivity.,1049.0,"1085,0,0,,"
1050,1050,.,1050.0,"1086,0,1,,"
1051,1051,The water is hot,1051.0,"1087,1,1,,"
1052,1052,This is because metal ladle absorbs heat well.,1052.0,"1088,1,1,,"
1053,1053,High temperature,1053.0,"1089,0,1,,"
1054,1054,Metal has high thermal conductivity,1054.0,"1090,1,1,,"
1055,1055,Because the heat was transferred,1055.0,"1091,1,1,,"
1056,1056,It's because the heat transferred,1056.0,"1092,1,0,,"
1057,1057,The ladle became hot because it was a metal and heat was conducted.,1057.0,"1093,1,1,,"
1058,1058,This is because metals have better thermal conductivity than wood.,1058.0,"1094,1,1,,"
1059,1059,Because the heat of the hot water moved to a metal ladle,1059.0,"1095,1,1,,"
1060,1060,The heat in the hot water is transferred to the metal ladle and heated up,1060.0,"1096,1,1,,"
1061,1061,The ionic molecules in the metal react and become warm,1061.0,"1097,1,1,,"
1062,1062,Put it in hot water,1062.0,"1098,1,1,,"
1063,1063,Conducted,1063.0,"1099,1,1,,"
1064,1064,Because of the high heat conduction,1064.0,"1100,1,0,,"
1065,1065,I don't know.,1065.0,"1101,1,0,,"
1066,1066,This is because the heat from the hot water is transferred to a metal ladle that conducts heat well,1066.0,"1102,1,0,,"
1067,1067,This is because metals have high thermal conductivity and quickly become hot sources.,1067.0,"1103,1,0,,"
1068,1068,"Metal has high thermal conductivity, so the temperature is transferred to the metal in hot water",1068.0,"1104,1,1,,"
1069,1069,It's because I put it in hot water,1069.0,"1105,1,1,,"
1070,1070,Metals have high heat conduction,1070.0,"1106,1,1,,"
1071,1071,It's because of the high thermal conductivity,1071.0,"1107,1,0,,"
1072,1072,This is because heat is conducted from hot water to a metal ladle.,1072.0,"1108,1,1,,1109,1,1,,"
1073,1073,I don't know.,1073.0,"1110,1,0,,"
1074,1074,Metal conducts heat well,1074.0,"1111,1,0,,"
1075,1075,Because the heat was transferred,1075.0,"1112,1,0,,"
1076,1076,I met with hot water and got the temperature delivered,1076.0,"1113,1,0,,"
1077,1077,Because metals have high thermal conductivity,1077.0,"1114,1,0,,"
1078,1078,This is because metals have high thermal conductivity and receive a lot of surrounding heat energy and export a lot.,1078.0,"1115,1,0,,"
1079,1079,Put it in hot water,1079.0,"1116,1,1,,"
1080,1080,The metal ladle is heated because the heat energy in hot water moves to the metal ladle and is used to raise the temperature of the metal ladle.,1080.0,"1117,0,0,,"
1081,1081,"Metals have very high thermal conductivity, so when immersed in hot water containing a lot of heat energy, heat energy moves from water to ladle. The moved thermal energy is used to increase the temperature of the metal ladle, and the temperature of the metal ladle increases.",1081.0,"1118,1,0,,"
1082,1082,Metals have high thermal conductivity,1082.0,"1119,1,0,,"
1083,1083,I don't know.,1083.0,"1120,1,1,,"
1084,1084,I don't know.,1084.0,"1121,1,0,,"
1085,1085,Because metal transfers heat well,1085.0,"1122,1,0,,"
1086,1086,Heat is transferred to a metal ladle,1086.0,"1123,1,0,,"
1087,1087,Because of the difference in specific heat,1087.0,"1124,1,1,,"
1088,1088,The metal ladle went into the hot waterThe hot temperature conducts heat to the metal ladle,1088.0,"1125,0,0,,"
1089,1089,The hot temperature conducts heat to the metal ladle,1089.0,"1126,1,0,,"
1090,1090,It's metal,1090.0,"1127,0,0,,"
1091,1091,This is because the heat of the hot water moves to a cold metal ladle.,1091.0,"1128,1,1,,"
1092,1092,Metal is good for heat transfer,1092.0,"1129,1,0,,"
1093,1093,Heat conduction is fast,1093.0,"1130,1,0,,"
1094,1094,Heat from hot water is transferred to the metal ladle by thermal conductivity,1094.0,"1131,1,0,,"
1095,1095,This is because the heat of the hot water was conducted with a metal ladle.,1095.0,"1132,1,0,,"
1096,1096,Metal is good at heat transfer,1096.0,"1133,1,1,,"
1097,1097,It's because metal transfers heat well,1097.0,"1134,0,1,,"
1098,1098,It is because metal is heat-transmitting well.,1098.0,"1135,1,1,,"
1099,1099,Metal can transfer heat easily,1099.0,"1136,1,0,,"
1100,1100,This is because heat moved from hot water with high temperature to low metal ladle.,1100.0,"1137,1,0,,"
1101,1101,"It is a conduction phenomenon. The heat of hot water activates the molecular motion of the ladle, which causes it to heat up.",1101.0,"1138,1,0,,1139,0,0,,"
1102,1102,heat conduction,1102.0,"1140,0,0,,"
1103,1103,Conduction,1103.0,"1141,1,1,,"
1104,1104,Thermal conduction,1104.0,"1142,0,0,,"
1105,1105,Heat in the water is transferred to a metal ladle (conducting),1105.0,"1143,1,0,,"
1106,1106,Heat transfer to metal ladle due to heat conduction,1106.0,"1144,1,1,,"
1107,1107,"Because of the high thermal conductivity of metals,",1107.0,"1145,1,0,,"
1108,1108,Heat moved from hot water to ladle because it moved from high to low.,1108.0,"1146,1,0,,"
1109,1109,"Metals have high thermal conductivity, so heat from hot water moves",1109.0,"1147,0,1,,"
1110,1110,"Because the heat of the hot water conducted with a metal ladle,",1110.0,"1148,1,0,,"
1111,1111,This is because it formed thermal expansion after putting it in water.,1111.0,"1149,0,0,,"
1112,1112,The conduction is caused by the temperature difference.,1112.0,"1150,1,1,,"
1113,1113,"To achieve thermal equilibrium with water,",1113.0,"1151,1,0,,"
1114,1114,Because energy is increased by conduction,1114.0,"1152,0,0,,"
1115,1115,achieve thermal equilibrium,1115.0,"1153,1,0,,"
1116,1116,Heat is transferred from hot water,1116.0,"1154,0,1,,"
1117,1117,This is because we put a metal ladle with fast heat conduction in hot water.,1117.0,"1155,0,1,,"
1118,1118,"(This is because heat conduction is fast.)""",1118.0,"1156,0,0,,"
1119,1119,The temperature went up,1119.0,"1157,1,0,,"
