,Unnamed: 0,13. Hot air balloons that rise into the sky warm up the air with fire inside balloon-shaped balloons and go up to the sky. Why can you go up to the sky if you heat the air in a hot air balloon? Explain in detail using scientific principles about the properties of gases according to temperature.,Unnamed: 0,", q13_density difference, q13_ buoyancy, q13_rise airflow, q13_evaporation, q13_molecular motion, q13_temperature, q13_air temperature, and q13_density difference.1,q13_ buoyancy. 1,q13_rise airflow.1,q13_evaporation1.,q13_molecular motion1.,q13_temperature1.,q13_air temperature.1"
390,390,"When the air is heated, it is lightly transformed into an underwater machine and goes up. It's using this principle.",390.0,"403,1,0,0,0,0,0,1,,,,,,,"
391,391,"Air molecules become active when heated. As a result, the density decreases and the lighter air rises. Therefore, when the air in the hot air balloon is heated, the air in the hot air balloon becomes relatively lighter than the outside air and rises.",391.0,"404,1,0,1,0,1,1,1,,,,,,,"
392,392,Hot heat goes up because of course,392.0,"405,1,0,1,0,0,1,1,,,,,,,"
393,393,"Hot air goes up, so hot air balloons go up",393.0,"406,0,0,0,0,1,1,1,,,,,,,"
394,394,I don't know,394.0,"407,1,0,1,0,1,0,1,,,,,,,"
395,395,"It is because warm air goes upWarm air is lighter than cold air, so it floats up",395.0,"408,0,0,1,0,0,0,1,,,,,,,"
396,396,I don't know ^^,396.0,"409,1,0,1,0,1,0,1,,,,,,,"
397,397,Because the hot air goes up,397.0,"410,0,0,0,0,0,0,0,,,,,,,"
398,398,Hot air can go up into the sky because it has the property of going up,398.0,"411,0,0,0,0,0,0,0,,,,,,,"
399,399,This is because the air expands by heat.,399.0,"412,1,0,0,0,0,0,1,,,,,,,"
400,400,Fire in the air and the hot air balloon,400.0,"413,0,0,1,0,0,0,1,,,,,,,"
401,401,"Since the hot air is directed upward, the air in the hot air balloon is constantly heated and the hot air balloon is raised",401.0,"414,0,0,1,0,0,0,1,,,,,,,"
402,402,"This is because as the temperature rises, the movement of the molecule becomes more active and as it gets hotter, it goes up.",402.0,"415,0,0,1,0,0,0,1,,,,,,,"
403,403,Because the air in the balloon is lighter than the air outside.,403.0,"416,0,0,1,0,0,0,1,,,,,,,"
404,404,"When heat is applied to the gas, the molecular motion becomes relatively active, making it lighter in mass than cold air, so it floats",404.0,"417,0,0,1,0,0,0,1,,,,,,,"
405,405,This is because hot air goes up and the air expands,405.0,"418,0,0,1,0,0,0,1,,,,,,,419,0,0,1,0,0,0,1,,,,,,,"
406,406,"When the air is heated, it becomes lighter and goes up, and relatively cold air is heavy, causing convection that goes down, so the hot air balloon goes up.",406.0,"420,0,0,1,0,0,0,1,,,,,,,"
407,407,"When the air is heated, the movement of the air becomes active and the density of the air decreases and rises.",407.0,"421,0,0,1,0,0,0,1,,,,,,,"
408,408,"As the temperature rises, the gas becomes lighter. Therefore, when the air is heated in a hot air balloon, the air goes up and can go up into the sky.",408.0,"422,0,0,1,0,0,0,1,,,,,,,"
409,409,This is because warm air goes up.,409.0,"423,0,0,1,0,0,0,1,,,,,,,"
410,410,This is because the warm air goes up as the air circulates,410.0,"424,0,0,1,0,0,0,1,,,,,,,"
411,411,"As the temperature rises, the gap between molecules widens, and then the weight of the gas within a certain volume becomes lighter. Therefore, the air in the balloon is lighter than the outside atmosphere, so a hot air balloon rises.",411.0,"425,0,0,1,0,0,0,1,,,,,,,"
412,412,"When cold air and hot air are compared, hot air is relatively low in density, so hot air rises. When this is applied to a hot air balloon, the fire in the balloon makes the air in the balloon hotter, which is lower in density than the outside air and floats upward.",412.0,"426,0,0,1,0,0,0,1,,,,,,,"
413,413,"As the temperature rises, the distance between gas molecules increases, which reduces the density. The difference in density from the air goes up further.",413.0,"427,0,0,1,0,0,0,0,,,,,,,"
414,414,"When the temperature is high, the molecule's movement becomes active and it goes up into the sky because it has the property of trying to rise above the surrounding air.",414.0,"428,1,0,1,0,1,0,1,,,,,,,"
415,415,"When the air is heated, molecular activity becomes active, expanding in volume and decreasing density, causing the air to rise. So, if you heat the air just below the balloon part above the hot air balloon, the density of the air part decreases and goes up, and the tooth pushes the balloon part and can go up into the sky.",415.0,"429,0,0,0,0,0,0,0,,,,,,,"
416,416,"When the gas is heated, the volume of the gas expands, but the density decreases because the mass is constant. Accordingly, the density of air in the hot air balloon is lower than the density of the surrounding air, and the hot air balloon rises into the sky.",416.0,"430,1,0,1,0,0,0,1,,,,,,,"
417,417,"The density of the gas varies depending on the temperature. When the temperature increases, the molecular motion of the gas becomes active, and thus the density per unit space decreases, and when the temperature decreases, the density per unit space increases. Hot air balloons lower the density of the gas by heating the air. Then, the mass per unit of air with reduced density floats upward because it is lighter than the surrounding air.",417.0,"431,0,0,1,0,0,0,1,,,,,,,"
418,418,"As the temperature rises, the volume of air increases, and the mass decreases compared to the relatively same volume, making it lighter than the surrounding air, so that a hot air balloon rises.",418.0,"432,0,0,0,0,0,0,1,,,,,,,"
419,419,"As the temperature increases, molecules in the air become more active",419.0,"433,0,0,1,0,0,0,1,,,,,,,"
420,420,"When heat is applied to the gas, the motion of the gas molecules increases and the volume increases. As the volume of the gas increases in this way, the density decreases. As the density becomes lower than that of the external air, the hot air balloon rises into the air due to the difference in density.",420.0,"434,0,0,0,0,0,0,0,,,,,,,"
421,421,"When the air gets hot, it goes up. And the cold air goes down.",421.0,"435,0,0,1,0,0,1,1,,,,,,,"
422,422,"When the air is heated, the molecules in the hot air balloon move faster. Then it becomes lighter than the outside air and goes up.",422.0,"436,0,0,1,0,0,1,1,,,,,,,"
423,423,action reaction,423.0,"437,1,0,0,0,0,0,1,,,,,,,"
424,424,Ankimchi. (Ankimchi in Korean),424.0,"438,0,0,1,0,0,0,1,,,,,,,"
425,425,This is because the density decreases as the temperature of the gas moves,425.0,"439,0,0,0,0,0,0,1,,,,,,,"
426,426,This is because gas rises when the temperature rises,426.0,"440,0,0,0,0,0,0,0,,,,,,,"
427,427,Because hot air goes up and cold air goes down,427.0,"441,1,0,0,0,0,0,1,,,,,,,"
428,428,Warm air goes up and cold air goes down,428.0,"442,1,0,1,0,0,1,1,,,,,,,"
429,429,It's because the warm air goes up,429.0,"443,1,0,1,0,1,1,1,,,,,,,"
430,430,The hot air balloon goes up because the warm air goes up and the cold air goes down.,430.0,"444,1,0,0,0,0,0,0,,,,,,,"
431,431,"High-temperature air goes up, so a hot air balloon seems to go up into the sky.",431.0,"445,0,0,1,0,0,0,1,,,,,,,"
432,432,"Air with high temperature goes up, so hot air balloons can go up",432.0,"446,0,0,1,0,0,0,1,,,,,,,"
433,433,Warm air goes up,433.0,"447,1,0,0,0,0,0,1,,,,,,,"
434,434,Warm air goes up,434.0,"448,1,0,1,0,0,0,1,,,,,,,449,1,0,0,0,0,1,1,,,,,,,"
435,435,Because the hot air goes up,435.0,"450,0,0,1,0,0,0,1,,,,,,,"
436,436,"Warm air rises and cold air falls, so a relatively hot air balloon rises",436.0,"451,0,0,1,0,0,1,1,,,,,,,"
437,437,Hot air heats the air with fire because it floats up,437.0,"452,0,0,1,0,0,0,1,,,,,,,"
438,438,"This is because if you heat the air in a hot air balloon with fire, the warm air goes up and the cold air goes down",438.0,"453,0,0,1,0,0,0,1,,,,,,,"
439,439,"Because cold air goes down and hot air goes up, hot air balloons go up into the sky.",439.0,"454,1,0,1,0,0,0,1,,,,,,,"
440,440,There needs to be hot heat to get hot,440.0,"455,1,0,1,0,0,0,1,,,,,,,"
441,441,"A hot air balloon fills the balloon with air and heats it up into the air, which increases the particle motion when heated to the gas. In addition, as the density is lower than that of the outside air, the hot air balloon rises due to the difference in density between the inside and the inside.",441.0,"456,0,0,0,0,0,0,0,,,,,,,"
442,442,Because the top is hot and the bottom is cold.,442.0,"457,1,0,1,0,1,0,1,,,,,,,"
443,443,Hot air molecules become less dense and float upward. Hot air balloons float in the sky because they heat the air inside the hot air balloon with fire,443.0,"458,1,0,1,0,0,1,1,,,,,,,"
444,444,Because warm air goes up and cold air goes down,444.0,"459,0,0,0,0,1,0,1,,,,,,,"
445,445,It makes air with hot heat and jumps to the ground,445.0,"460,0,0,0,0,0,0,1,,,,,,,"
446,446,The hot air is about to go up.,446.0,"461,0,0,0,0,0,0,0,,,,,,,"
447,447,"Since the heat of the fire comes into contact with oxygen,",447.0,"462,1,0,0,0,1,1,1,,,,,,,"
448,448,This is because air with high temperature rises upward.,448.0,"463,0,0,1,0,0,0,0,,,,,,,"
449,449,Because it goes up when the temperature is high,449.0,"464,1,0,0,0,0,0,1,,,,,,,"
450,450,"The hotter the gas is, the lighter it is",450.0,"465,0,0,1,0,0,0,1,,,,,,,"
451,451,Hot air goes up because it floats up.,451.0,"466,0,0,0,0,0,1,0,,,,,,,"
452,452,The hot air balloon is pushed to float.,452.0,"467,1,0,0,0,0,1,1,,,,,,,"
453,453,Because the fire burns the gas and it floats,453.0,"468,1,0,0,0,0,1,1,,,,,,,"
454,454,"When the gas is heated, it becomes lighter",454.0,"469,0,0,0,0,0,0,0,,,,,,,"
455,455,Because the air with higher temperatures decreases in volume and becomes lighter and goes up,455.0,"470,0,0,1,0,0,0,1,,,,,,,"
456,456,"As the temperature rises, molecular motion becomes active and increases in volume, so it flies up into the sky.",456.0,"471,0,0,0,0,0,0,0,,,,,,,"
457,457,It's because the volume gets bigger and bigger,457.0,"472,1,0,0,0,1,1,1,,,,,,,"
458,458,Hot air goes up,458.0,"473,1,0,1,0,0,1,1,,,,,,,"
459,459,Gas rises when it gets hot,459.0,"474,1,0,1,0,0,1,1,,,,,,,"
460,460,"This is because when the air is heated, the volume increases and the density decreases by PV=nRT.",460.0,"475,1,0,0,0,0,0,1,,,,,,,"
461,461,"When the air gets warm, it becomes lighter and goes up So a hot air balloon can fly into the sky.",461.0,"476,0,0,0,0,0,0,0,,,,,,,"
462,462,It gets lighter when the temperature goes up.,462.0,"477,0,0,0,0,0,0,0,,,,,,,"
463,463,This is because hot air goes up through the circulation of the air,463.0,"478,0,0,0,1,0,0,0,,,,,,,479,0,0,0,0,0,0,0,,,,,,,"
464,464,The air rises when the temperature is high.,464.0,"480,0,0,1,0,0,0,1,,,,,,,"
465,465,Air rises when the temperature is high,465.0,"481,1,0,0,0,0,0,1,,,,,,,"
466,466,Hot air rises and floats using its power,466.0,"482,0,0,1,0,0,0,1,,,,,,,"
467,467,It is heated and the density of the air decreases and rises.,467.0,"483,0,0,0,0,0,0,0,,,,,,,"
468,468,The hot air becomes less dense and goes up,468.0,"484,0,0,0,0,0,0,0,,,,,,,"
469,469,jackpot,469.0,"485,0,0,1,0,0,0,1,,,,,,,"
470,470,"It heats up the balloon, expands, activates the exercise, and then goes up",470.0,"486,0,0,1,0,0,0,1,,,,,,,"
471,471,"As the temperature rises, the volume of the gas increases and the hot air balloon rises into the sky",471.0,"487,0,0,1,0,0,0,1,,,,,,,"
472,472,"When the air is heated, the movement is actively carried out, so that the hot air balloon floats.",472.0,"488,0,0,1,0,0,0,1,,,,,,,"
473,473,Air expansion due to higher temperature pressure,473.0,"489,0,0,0,0,0,0,0,,,,,,,"
474,474,sorry,474.0,"490,0,0,0,0,0,0,0,,,,,,,"
475,475,"This is because if the temperature is high, the distance between gases and the movement becomes faster.",475.0,"491,0,0,0,0,0,0,0,,,,,,,"
476,476,due to rising air currents,476.0,"492,0,0,0,0,0,0,1,,,,,,,"
477,477,This is because the air becomes lighter as the temperature goes up.,477.0,"493,0,0,0,0,0,0,0,,,,,,,"
478,478,This is because gases with high temperatures have convection going up.,478.0,"494,0,0,0,0,0,0,0,,,,,,,"
479,479,Pressure difference with temperature,479.0,"495,0,0,0,0,0,0,0,,,,,,,"
480,480,"If the temperature is high, the gas volume increases and the mass decreases according to the unit volume, so it can float.",480.0,"496,0,0,0,0,0,0,0,,,,,,,"
481,481,This is because gases become lighter when the temperature increases.,481.0,"497,0,0,1,0,0,0,0,,,,,,,"
482,482,Because I had a pretty dream of flying in a balloon.,482.0,"498,0,0,0,0,0,0,1,,,,,,,"
483,483,Hot air floats hot air balloons using its upward properties.,483.0,"499,0,0,0,0,1,1,1,,,,,,,"
484,484,"This is because when a yellow balloon flies in the sky, it reminds me of beautiful memories in my heart.",484.0,"500,0,0,0,0,0,0,0,,,,,,,"
485,485,"Increasing the temperature speeds up the molecular motion, which expands the volume of air. Eventually, the density of air decreases, so hot air balloons can go up into the sky.",485.0,"501,0,0,0,0,0,0,0,,,,,,,"
486,486,"When the temperature rises, the volume expands, so the density is smaller than that of the surrounding air, so it rises.",486.0,"502,0,0,0,0,0,0,0,,,,,,,"
487,487,"""As the temperature increases, the gas expands according to Charles' law, although the total number of particles in the gas does not change. Instead, the density decreases as the volume increases.",487.0,"503,0,0,1,0,0,0,1,,,,,,,"
488,488,"The reduced density of air goes up, and the hot air balloon goes up along with the air.""",488.0,"504,0,0,1,0,0,0,1,,,,,,,"
489,489,Hot air is lighter than cold air,489.0,"505,0,0,0,0,0,0,0,,,,,,,"
490,490,Lalalalalalalalalalalalalalalalalalalalalalalalalalalal,490.0,"506,0,0,0,0,0,0,0,,,,,,,"
491,491,Heat travels through the hot air balloon,491.0,"507,0,0,1,0,0,0,1,,,,,,,"
492,492,Because it evaporates,492.0,"508,0,0,1,0,0,0,1,,,,,,,509,0,0,0,0,0,0,0,,,,,,,"
493,493,ㅑㅏ353566 77ㅠ,493.0,"510,0,0,0,0,0,0,1,,,,,,,"
494,494,"If you use fire to heat the surrounding air, the hot air goes up because it goes upWhen the gas gets hot, it becomes lighter and flies high, like a hot air balloon",494.0,"511,0,0,1,0,0,0,1,,,,,,,"
495,495,The hot air goes up,495.0,"512,0,0,1,0,0,0,1,,,,,,,"
496,496,Helium is lighter than air,496.0,"513,0,0,0,0,0,0,0,,,,,,,"
497,497,All right.,497.0,"514,0,0,1,0,0,0,1,,,,,,,"
498,498,"If it's hot, it'll go up!",498.0,"515,0,0,1,0,0,0,1,,,,,,,"
499,499,This is because warm air goes up and cold air goes down.,499.0,"516,0,0,1,0,0,0,0,,,,,,,"
500,500,Warm air goes up,500.0,"517,0,0,0,0,0,0,0,,,,,,,"
501,501,Because hot air goes up,501.0,"518,0,0,0,0,0,0,0,,,,,,,"
502,502,Gases from the fire go up,502.0,"519,0,0,0,0,0,0,0,,,,,,,"
503,503,the principle of air,503.0,"520,0,0,1,0,0,0,1,,,,,,,"
504,504,Hot air balloons fly well.,504.0,"521,0,0,1,0,0,0,1,,,,,,,"
505,505,Hot heat rises in the balloon,505.0,"522,1,0,0,0,0,0,1,,,,,,,"
506,506,Hot air balloons use force on fire.,506.0,"523,1,0,0,0,0,0,0,,,,,,,"
507,507,"If it's cold, the people inside are cold",507.0,"524,0,0,1,0,0,0,1,,,,,,,"
508,508,I don't know.,508.0,"525,0,0,1,0,0,0,1,,,,,,,"
509,509,Don't know,509.0,"526,0,0,1,0,0,0,1,,,,,,,"
510,510,I don't know,510.0,"527,0,0,0,0,0,0,0,,,,,,,"
511,511,Because hot air goes up,511.0,"528,0,0,0,0,0,0,0,,,,,,,"
512,512,"The higher the temperature, the more active it becomes.",512.0,"529,0,0,1,0,0,0,1,,,,,,,"
513,513,I don't know. I forgot.,513.0,"530,0,0,1,0,0,0,1,,,,,,,"
514,514,Yes.,514.0,"531,1,0,1,0,0,1,1,,,,,,,"
515,515,Don't know,515.0,"532,0,0,0,0,0,0,0,,,,,,,"
516,516,The warm air goes up,516.0,"533,0,0,0,1,0,0,0,,,,,,,"
517,517,The warm air goes up,517.0,"534,0,0,1,0,0,0,1,,,,,,,"
518,518,The air is light,518.0,"535,0,0,0,0,0,0,0,,,,,,,"
519,519,.,519.0,"536,0,0,1,0,0,0,1,,,,,,,"
520,520,"Gas goes up when it gets hot, so hot air balloons go up together.",520.0,"537,0,0,1,0,0,0,1,,,,,,,"
521,521,"When the air gets warm, it goes up into the sky",521.0,"538,0,0,1,0,0,0,1,,,,,,,539,0,0,1,0,0,0,1,,,,,,,"
522,522,I don't know,522.0,"540,0,0,0,0,0,0,1,,,,,,,"
523,523,The heat is generated to make the hot air balloon float.,523.0,"541,0,0,0,1,0,0,0,,,,,,,"
524,524,"Hot air goes up and cold air goes down, so it heats up the air and the hot air balloon flies into the sky",524.0,"542,0,0,1,0,0,0,1,,,,,,,"
525,525,"It goes down when it's cold, and it goes up when it's hot",525.0,"543,0,0,0,0,0,0,0,,,,,,,"
526,526,I don't know,526.0,"544,0,0,0,0,0,0,0,,,,,,,"
527,527,"When the air gets warm, it uses the rising property. That is, when the gas is heated, a hot air balloon can be mounted due to the nature of going up to the sky.",527.0,"545,1,0,0,0,0,1,1,,,,,,,"
528,528,"Since hot heat rises upward, hot heat is applied to the balloon of the hot air balloon, which rises due to the nature of heat.",528.0,"546,0,0,0,0,0,0,0,,,,,,,"
529,529,"Heat has the property of rising up, which made a hot air balloon.",529.0,"547,1,0,1,0,0,0,1,,,,,,,"
530,530,diffusion of gas,530.0,"548,1,0,0,0,0,1,1,,,,,,,"
531,531,"This principle allows hot air balloons to rise into the sky because air moves as it moves because high temperatures are filled with particles of air, while low temperatures are less than high temperatures, just as wind blows from the hot sand to the cold sea during the day.",531.0,"549,0,0,1,0,1,0,1,,,,,,,"
532,532,Don't know,532.0,"550,0,0,0,0,0,0,0,,,,,,,"
533,533,The hot air goes up,533.0,"551,0,0,1,0,0,0,1,,,,,,,"
534,534,The air is heated up,534.0,"552,0,0,1,0,0,0,1,,,,,,,"
535,535,"If it's warm, it gets lighter",535.0,"553,1,0,1,0,0,0,1,,,,,,,"
536,536,The air gets lighter and it flies away,536.0,"554,0,0,0,0,0,1,1,,,,,,,"
537,537,The hot wind goes up and the cold wind goes down,537.0,"555,0,0,0,0,0,0,0,,,,,,,"
538,538,The heat goes up and the hot air balloon goes up,538.0,"556,0,0,1,0,0,1,1,,,,,,,"
539,539,"Cold air has the property of sinking, and hot air has the property of rising up, so when you warm the inside of a hot air balloon, the hot air balloon rises.",539.0,"557,0,0,1,0,0,0,1,,,,,,,"
540,540,Because the gas goes up,540.0,"558,0,0,1,0,0,0,1,,,,,,,"
541,541,I don't know,541.0,"559,0,0,1,0,0,0,1,,,,,,,"
542,542,"If you keep it warm when the wind blows, it goes up well",542.0,"560,1,0,0,0,0,0,1,,,,,,,"
543,543,"The hot air goes up and down to the cold air isne Are. Using this principle, the hot air balloon floats with warm air raised by fire.",543.0,"561,0,0,1,0,0,0,1,,,,,,,"
544,544,"As the temperature of the gas increases, the weight of the air becomes lighter, so it can go up into the sky.",544.0,"562,0,0,1,0,0,1,1,,,,,,,"
545,545,I don't know.,545.0,"563,0,0,1,0,0,0,1,,,,,,,"
546,546,It is because the air is burned to a level,546.0,"564,0,0,1,0,0,1,1,,,,,,,"
547,547,This is because hot air has the property of going up and cold air has the property of going down.,547.0,"565,0,0,1,0,0,0,1,,,,,,,"
548,548,"When heated by fire, it floats under the weight of the gas that the fire creates",548.0,"566,0,0,1,0,0,0,1,,,,,,,"
549,549,"Because warm air is above, it is pushed up by cold air.",549.0,"567,0,0,1,0,0,0,1,,,,,,,"
550,550,"When you heat the gas, it goes up (?",550.0,"568,0,0,1,0,0,0,1,,,,,,,569,1,0,1,0,1,1,1,,,,,,,"
551,551,"As far as I know, the warmer it is, the higher it goes up, and the colder it gets, the lower it goes down",551.0,"570,0,0,0,0,0,0,0,,,,,,,"
552,552,"When the air is hot, it becomes light and rises above it, and when it is cold, it becomes heavy and sinks below.",552.0,"571,0,0,0,0,0,0,0,,,,,,,"
553,553,I think it became a hot air balloon by blowing a balloon with hot heat,553.0,"572,0,0,1,0,0,0,1,,,,,,,"
554,554,"It is heated and made into an underwater machine, so the underwater machine is climbed by means of climbing.",554.0,"573,1,0,1,0,1,0,0,,,,,,,"
555,555,"""Table tennis balls shrink when immersed in cold water and swell again when immersed in hot water, and like that, hot air balloons rise up when they meet hot heat.",555.0,"574,1,0,1,0,0,0,1,,,,,,,"
556,556,"So the hot air balloon uses heatThat's why it's a hot air balloon. """,556.0,"575,0,0,0,0,0,0,0,,,,,,,"
557,557,I don't know,557.0,"576,0,0,1,0,0,1,1,,,,,,,"
558,558,I don't know.,558.0,"577,0,0,0,0,0,0,0,,,,,,,"
559,559,We used the characteristics of air that decreases density when the temperature is high,559.0,"578,1,0,0,0,0,0,1,,,,,,,"
560,560,I don't know.,560.0,"579,0,0,0,0,0,1,0,,,,,,,"
561,561,"When the gas is heated, it expands and rises.",561.0,"580,0,0,1,0,0,0,1,,,,,,,"
562,562,"The higher the temperature, the lighter.",562.0,"581,0,0,1,0,0,0,1,,,,,,,"
563,563,"When the characteristics of air are applied with heat, the movement of the molecules becomes increasingly active, and there is a characteristic 이 to go up. That's why when you heat a hot air balloon, it goes up.",563.0,"582,0,0,0,0,0,0,0,,,,,,,"
564,564,"The driver of ""To Go"" in Paris!",564.0,"583,0,0,1,0,0,0,1,,,,,,,"
565,565,"When you make a fire, the air around you gets hot and the hot air goes up, so hot air can go up into the sky.",565.0,"584,0,0,0,0,0,0,0,,,,,,,"
566,566,Warm meat goes up,566.0,"585,0,0,0,0,0,0,0,,,,,,,"
567,567,"This is because when air is heated in a hot air balloon, the temperature inside the hot air balloon is higher than that of the surrounding air. This is because air with high temperature has the property of rising up. I think it's because air with high temperature is low density.",567.0,"586,0,0,1,0,0,0,1,,,,,,,"
568,568,Isn't it because the temperature inside the hot air balloon is higher than the surrounding air?,568.0,"587,1,0,1,0,0,0,1,,,,,,,"
569,569,I don't know.,569.0,"588,1,0,1,0,0,0,1,,,,,,,"
570,570,"This is because the temperature rises above, and when air is heated in the hot air balloon, the temperature inside the hot air balloon is higher than that of the surrounding air.",570.0,"589,0,0,0,0,0,0,0,,,,,,,"
571,571,This is because warm air has the property of going up.,571.0,"590,1,0,1,0,0,0,1,,,,,,,"
572,572,Hot heat tends to go up,572.0,"591,0,0,0,0,0,0,0,,,,,,,"
573,573,Hot air goes up,573.0,"592,0,0,0,1,0,0,1,,,,,,,"
574,574,This is because air expands when heated and becomes relatively lighter than unheated air as it expands.,574.0,"593,0,0,1,0,0,0,1,,,,,,,"
575,575,"When air is heated in a hot air balloon, the temperature inside the hot air balloon is higher than that of the surrounding air. Hot air balloons go up because high-temperature air has the property of going up.",575.0,"594,1,0,0,0,0,0,1,,,,,,,"
576,576,The temperature rises well because it gets hot,576.0,"595,0,0,0,1,0,0,0,,,,,,,"
577,577,"The hot wind is supposed to go up to the sky, so it's a fascinating nature.",577.0,"596,0,0,0,0,0,0,0,,,,,,,"
578,578,This is because the temperature inside the hot air balloon is higher than that of the surrounding airAir with high temperature goes up,578.0,"597,0,0,1,0,0,0,1,,,,,,,"
579,579,"This is because when you heat the air inside the balloon, the temperature inside the balloon is higher than that of the surrounding air. This is because air with high temperature has the property of rising up.",579.0,"598,0,0,0,0,0,1,1,,,,,,,599,1,0,0,0,0,0,0,,,,,,,"
580,580,"""",580.0,"600,0,0,0,0,1,0,1,,,,,,,"
581,581,"Warm air has the property of trying to go up, so the air heated by the fire rises, and the hot air balloon rises to the sky.",581.0,"601,0,0,1,0,0,1,1,,,,,,,"
582,582,This is because air with high temperature floats high into the sky.,582.0,"602,1,0,0,0,0,0,1,,,,,,,"
583,583,This is because air with high temperature has the property of rising up.,583.0,"603,0,0,1,0,0,0,1,,,,,,,"
584,584,"As the temperature increases, the energy of the particles constituting the material increases, and thus the distance between particles may become greater. In the case of a gas, the distance between particles becomes greater due to heat, and when the gases are gathered in a limited space, the mass of the collected gas remains but the density decreases. As a result, the air, which becomes smaller than the density of the surrounding air, rises upward, and a hot air balloon is used.",584.0,"604,0,0,1,0,0,0,1,,,,,,,"
585,585,I don't know.,585.0,"605,1,0,0,0,1,0,1,,,,,,,"
586,586,f,586.0,"606,0,0,1,0,0,0,1,,,,,,,"
587,587,"Since there is a principle of gas that floats to the sky when the temperature is high, it can heat the air in the hot air balloon and fly to the sky.",587.0,"607,0,0,1,0,0,1,1,,,,,,,"
588,588,"When air obtains thermal energy, molecular motion becomes active, and when ㅚ면 increases in volume and decreases in density. When the density is lower than the outside air, it rises upward.",588.0,"608,1,0,0,0,0,1,1,,,,,,,"
589,589,This is because warm air is lighter than cold air and goes up.,589.0,"609,1,0,0,0,1,1,1,,,,,,,"
590,590,I don't know,590.0,"610,0,0,0,0,0,0,1,,,,,,,"
591,591,"The hot air rises when the temperature is hot, so using that principle, a hot air balloon floats",591.0,"611,0,0,1,0,0,0,1,,,,,,,"
592,592,How do I know this...............,592.0,"612,0,0,1,0,0,0,1,,,,,,,"
593,593,Hot gases are lighter than cold gasesBecause of the temperature,593.0,"613,0,0,1,0,0,0,1,,,,,,,"
594,594,This is because hot air goes up.,594.0,"614,0,0,1,0,0,0,1,,,,,,,"
595,595,The hot air goes up,595.0,"615,0,0,1,0,0,0,1,,,,,,,"
596,596,I have no idea.,596.0,"616,0,0,1,0,0,1,1,,,,,,,"
597,597,This is because gases have the property of rising up when heated.,597.0,"617,0,0,0,0,0,0,0,,,,,,,"
598,598,I don't know,598.0,"618,0,0,0,0,0,0,0,,,,,,,"
599,599,I don't know!,599.0,"619,0,0,0,0,0,0,0,,,,,,,"
600,600,"Hot air goes up and cold air goes down The representative thing is the sea breeze, and the hot air fills the hot air balloon and goes up",600.0,"620,0,0,1,0,0,0,1,,,,,,,"
601,601,Because the hot air goes up because it's light,601.0,"621,0,0,1,0,0,0,1,,,,,,,"
602,602,Heat heats the air and lightens it up.,602.0,"622,0,0,1,0,0,0,1,,,,,,,"
603,603,I don't know.,603.0,"623,0,0,1,0,0,0,1,,,,,,,"
604,604,"This is because when the air becomes warm, the air becomes lighter and floats upward.",604.0,"624,0,0,1,0,0,0,1,,,,,,,"
605,605,I don't know,605.0,"625,0,0,1,0,0,1,1,,,,,,,"
606,606,Because the air gets hot and evaporates into the sky,606.0,"626,0,0,0,0,0,0,0,,,,,,,"
607,607,The hot air goes up,607.0,"627,0,0,0,0,0,0,0,,,,,,,"
608,608,Hot makes light.,608.0,"628,0,0,1,0,0,0,1,,,,,,,629,0,0,0,0,1,0,0,,,,,,,"
609,609,the principle of water vapor,609.0,"630,0,0,1,0,0,0,1,,,,,,,"
610,610,I don't know,610.0,"631,1,0,0,0,1,0,1,,,,,,,"
611,611,Because hot air has the characteristic of going up,611.0,"632,0,0,0,0,1,0,0,,,,,,,"
612,612,"This is because the higher the temperature, the higher the density of the gas",612.0,"633,0,0,1,0,0,0,1,,,,,,,"
613,613,"If you heat it, the air expands",613.0,"634,0,0,1,0,0,1,1,,,,,,,"
614,614,Heating activates the movement of gas molecules,614.0,"635,0,0,1,0,1,1,1,,,,,,,"
615,615,"When the temperature goes up, the cold air goes down and the hot air goes up.",615.0,"636,0,0,1,0,0,1,1,,,,,,,"
616,616,"When the gas is heated, the activity rises and the pressure rises and expands. So the weight per volume is lighter than usual, so a hot air balloon comes to mind.",616.0,"637,0,0,1,0,0,0,1,,,,,,,"
617,617,Hot air goes up and cold air goes down,617.0,"638,0,0,1,0,0,1,1,,,,,,,"
618,618,The air circulates inside the hot air balloon and rises with warm air,618.0,"639,0,0,0,0,1,1,1,,,,,,,"
619,619,"When the temperature is increased, the movement of the air molecules in the air bag in the pouch is increased, the space between the molecules is widened, and the volume is increased, so the density of the air is decreased.",619.0,"640,0,0,0,0,1,0,1,,,,,,,"
620,620,"Warm air has the property of going up. Because of this, the hot air balloon goes up.",620.0,"641,0,0,1,0,1,0,1,,,,,,,"
621,621,It's because gases with high temperatures have the properties of going up;,621.0,"642,0,0,0,0,0,0,0,,,,,,,"
622,622,"As the temperature rises, the pressure rises, which increases in volume and decreases in weight and floats into the sky.",622.0,"643,0,0,0,0,0,0,0,,,,,,,"
623,623,"As the temperature increases, the air molecules in the pocket move faster, the distance between the molecules increases, and the volume increases, and the density of the air in the pocket decreases",623.0,"644,0,0,0,0,0,0,0,,,,,,,"
624,624,The air got warm,624.0,"645,0,0,0,0,0,0,0,,,,,,,"
