,Unnamed: 0,"7. The following is a list of car features that many students thought of. Cars have similar characteristics to living things, but we don't call them living things. What is the reason?",Unnamed: 0,", q62_producer, q62_replication, q62_growth, q62_reaction, q62_breathing, q62_cell, q62_material metabolism"
585,585,"The basic unit of living things is cells. Living things have genetic material, ribosomes, etc., so they inherit and synthesize proteins. But cars are machines and don't do genetic or protein synthesis. In addition, cars cannot be said to be creatures because humans are artificially made of iron, rubber, glass, and plastic, unlike creatures that reproduce through reproduction.",585.0,"605,0,1,0,0,0,0,0"
586,586,"First, the reason why cars cannot be separated into living things is that they are machines made by humans. Of course, humans can make an organism artificially, but it is a biological element based on biological principles. However, cars cannot be called creatures because they are made of factors unrelated to biological factors such as fuel, screws, steel plates, and machine parts",586.0,"606,0,0,0,0,0,0,0"
587,587,"It does not metabolize substances, does not function as reproductive functions, does not function as hereditary functions, and does not consist of cells.",587.0,"607,0,1,0,0,0,0,0"
588,588,This is because there are no nuclei and no cells.,588.0,"608,0,0,0,1,0,0,0"
589,589,"It is difficult to define living things, but it can be determined by whether they generally have homeostasis or whether they grow and reproduce. In particular, it can be determined whether it is growing and reproducing. Although cars are organically connected with numerous accessories, they do not grow and even more do not leave their genetic traits in their descendants through reproduction. Therefore, cars are not creatures.",589.0,"609,0,0,0,0,0,0,0"
590,590,"It is true that cars run using fuel and humans also work through food intake, but cars only transfer energy generated by burning fuel to the engine and humans transfer it to the entire body. In addition, unlike living things, cars do not have their own will, so they cannot move on their own unless humans control them.",590.0,"610,0,0,0,0,0,0,1"
591,591,"Do not engage in activities necessary for living things, such as breathing activities, breeding, or growth.",591.0,"611,0,0,0,0,0,0,1"
592,592,"This is because cars do not run with their own thoughts and judgments, and they are not made up of cells.",592.0,"612,0,0,0,0,1,0,1"
593,593,"Cars cannot make their own offspring, they need people to make them. Also, life is not made by the maker. Man cannot create new life forms. And cars don't grow.""Life is an object that has life and maintains its own life. In other words, life is called life, and unlike inanimate objects, living things have a system composed of cells, and they can grow and multiply on their own through metabolism. It is also characterized by responding to external stimuli and adapting to changes in the environment. Cars have something in common with living things in that they have developed over time and are made of materials. However, the reason for not calling a car a creature is simply not fit for the definition of a creature. This is because cars cannot adapt on their own, let alone grow and multiply on their own, and they always need human help.",593.0,"613,0,0,0,1,0,0,0"
594,594,"""",594.0,"614,0,0,0,0,0,0,1"
595,595,Cars cannot reproduce on their own and act on their own.,595.0,"615,0,0,0,0,0,0,0"
596,596,"Living things grow with nutrients, but cars don't grow. Also, living things reproduce, but cars do not reproduce.",596.0,"616,0,1,0,0,0,0,0"
597,597,"This is because cars are caused by manufacturers in the process of development, but life grows and adapts itself to the surrounding environment in the process of development. Also, life is basically breathable, but cars are impossible.",597.0,"617,0,0,0,1,0,0,0"
598,598,"Cars have similar characteristics to living things, but they are not living things. Because cars are like living things",598.0,"618,0,1,0,0,0,0,1"
599,599,They don't photosynthesize or hunt for their own survival,599.0,"619,1,0,0,0,0,0,0"
600,600,"It is driven by fuel injected by humans, and without humans, cars cannot move.",600.0,"620,0,0,0,0,0,1,0"
601,601,"That is why cars are not creatures.""",601.0,"621,0,0,0,1,0,0,0"
602,602,"In order to be determined to be a creature, six conditions must be satisfied. The conditions include whether it is composed of cells, metabolizing substances, responding to stimuli and maintaining homeostasis, generation and growth, reproduction and heredity, adaptation and evolution. Cars are not called creatures because they do not meet these conditions.",602.0,"622,0,0,0,0,0,1,0"
603,603,"Cars can be re-operated at any time if they are fueled without fuel for a long time, but living things cannot survive unless they are supplied with the necessary nutrients for a certain period of time. Living things need water to survive, but cars don't need water. Unlike living things, cars maintain homeostasis and do not grow.",603.0,"623,0,1,0,0,0,0,1"
604,604,"It takes several conditions to call a car a 'life' like other life forms.First of all, cars cannot be viewed as the same category as will-bearing creatures because they move and move through injected fuel, not their own will, but are directly controlled by humans or by man-made programs.Also, cars do not grow, so it is too much to be considered life.",604.0,"624,0,0,0,0,0,0,1"
605,605,"""Birth means being alive in simple terms. Living creatures must be able to breathe, eat nutrients, and spread offspring, and those who cannot do this are said to be nonliving things, not living things. Thus, cars powered by humans, made by someone, unable to reproduce offspring, and produced in large quantities cannot be called creatures.",605.0,"625,0,1,0,1,0,1,1"
606,606,"""",606.0,"626,0,0,0,0,0,0,0"
607,607,"Cars don't make copies of themselves (breeding), don't grow, and don't write them down for the outside environment.",607.0,"627,1,0,0,0,0,0,0"
608,608,"You can't live on your own, you're a machine, not a creature",608.0,"628,0,1,0,0,0,0,0629,0,1,0,0,0,0,0"
609,609,"First of all, cars don't move or think on their own",609.0,"630,0,1,0,0,0,0,1"
610,610,Because it's not alive.,610.0,"631,0,0,0,1,0,0,1"
611,611,Because cars are human-made objects.,611.0,"632,0,0,0,1,0,0,0"
612,612,Don't know,612.0,"633,0,0,0,0,0,1,0"
613,613,It's because I don't do life activities.,613.0,"634,0,1,1,0,1,0,0"
614,614,"This is because cars do not breathe and live on their own like living things, and do not have the same structure as living things. In addition, it is because humans artificially produced in large quantities in factories.",614.0,"635,0,1,0,1,0,0,0"
615,615,This is because they do not act on their own and do not make or consume nutrients on their own.,615.0,"636,0,0,0,1,0,0,1"
616,616,Cars are made by humans,616.0,"637,0,0,0,0,0,0,1"
617,617,"This is because cars do not have cells, so they cannot divide cells and reproduce.",617.0,"638,0,0,0,0,0,0,1"
618,618,It's because humans made it artificially,618.0,"639,0,1,0,0,0,0,0"
619,619,Cars are tools that humans artificially create. This is because cars can't take nutrients and think on their own.,619.0,"640,0,0,0,0,1,0,0"
620,620,Because cars can't act on their own,620.0,"641,0,0,0,0,0,0,1"
621,621,Because it is an invention made using inanimate objects.,621.0,"642,0,0,0,0,0,0,0"
622,622,It's because people use it a lot.,622.0,"643,0,0,0,1,0,0,0"
623,623,Because cars cannot act on their own like living things,623.0,"644,0,0,0,1,0,0,0"
624,624,Because cars are lifeless,624.0,"645,1,0,0,0,0,0,0"
625,625,"Most living things breathe and have their own will. Also, living things have the power to move themselves, but there are no cars.",625.0,"646,0,0,0,0,0,0,0"
626,626,Living things use the seven laws of life in science. But cars don't follow this law.I,626.0,"647,0,0,0,0,1,0,0"
627,627,It is because they are not alive and do not breathe.,627.0,"648,0,0,0,0,0,1,0"
628,628,"It doesn't have genes, evolution, metabolism, reproduction, and development, which are the basic characteristics of living things",628.0,"649,0,0,0,0,0,0,1"
629,629,Cars are not living things because they don't get energy from metabolism.,629.0,"650,1,0,0,0,0,0,0"
630,630,It's not made up of cells,630.0,"651,1,0,0,0,0,0,0"
631,631,This is because it is not composed of cells and does not have genetic materials such as DNA or RNA.,631.0,"652,0,0,0,1,0,0,0"
632,632,"This is because cars need a source of fuel and do not think and move on their own, but move as designed.",632.0,"653,1,0,0,0,0,0,0"
633,633,It does not reproduce.,633.0,"654,1,0,0,0,0,0,0"
634,634,I wonder if we need a reason,634.0,"655,0,0,0,0,0,0,1"
635,635,This is because they cannot produce themselves.,635.0,"656,0,0,0,0,0,0,1"
636,636,I don't think about it,636.0,"657,0,0,0,0,0,0,1"
637,637,failure to act on one's own,637.0,"658,0,0,0,0,0,0,1659,1,0,0,0,1,0,0"
638,638,The car did not generate energy on its own. The reason why it can't be called a creature is because it moves by receiving work from external energy.,638.0,"660,0,0,0,0,0,1,0"
639,639,You can't make your own nutrients,639.0,"661,0,0,0,0,0,0,0"
640,640,Because I don't breathe cells.Because I don't have metabolism.,640.0,"662,0,0,0,0,0,1,0"
641,641,"Cars are called machines, not living things, because they don't have their own thoughts and wills, and they don't have their own egos",641.0,"663,0,0,0,0,0,0,1"
642,642,This is because it does not metabolize matter on its own and is not a living creature.,642.0,"664,0,1,0,0,0,0,0"
643,643,.,643.0,"665,1,0,0,0,0,0,0"
644,644,This is because growth and reproduction do not occur.,644.0,"666,0,0,0,0,0,0,1"
645,645,"You can't move or think on your own. It's not an independent object, it's a command to execute",645.0,"667,1,0,0,0,0,0,0"
646,646,"This is because it does not have characteristics of living things such as self-growth, metabolism, etc.",646.0,"668,0,0,0,0,0,1,0"
647,647,Because it's not an organism.,647.0,"669,0,1,0,0,0,0,1"
648,648,Not made up of cells,648.0,"670,0,0,0,0,0,0,1"
649,649,Cars don't have a constancy.,649.0,"671,0,0,0,0,0,1,0"
650,650,It's not that similar. There are no cells.,650.0,"672,0,0,0,1,0,0,1"
651,651,"No heredity, no metabolism",651.0,"673,0,0,0,0,0,0,0"
652,652,"This is because they cannot metabolize, move, or control substances on their own.",652.0,"674,0,0,0,0,0,0,1"
653,653,"Cars reproduce and reproduce, but they give birth and cannot generate energy by themselves. Automobiles cannot evolve and adapt themselves, are composed of cells, and cannot perform water irradiation.",653.0,"675,0,0,0,0,0,1,0"
654,654,It won't kill you.,654.0,"676,0,1,0,0,0,0,0"
655,655,man-made,655.0,"677,0,0,0,0,0,0,0"
656,656,Because they can't reproduce,656.0,"678,0,0,0,0,0,0,1"
657,657,Because it doesn't reproduce.,657.0,"679,0,0,0,1,1,0,0"
658,658,It doesn't reproduce. have no metabolism,658.0,"680,0,0,0,0,0,1,0"
659,659,"Among the characteristics of living things, metabolism, maintenance, and adaptation are not satisfactory.",659.0,"681,0,0,0,0,0,1,0"
660,660,I can't think.,660.0,"682,0,1,0,0,0,0,1"
661,661,be not made up of cells,661.0,"683,0,0,1,0,0,0,0"
662,662,"It does not have biological characteristics such as breeding, growth, and breathing.",662.0,"684,0,1,1,0,0,1,1"
663,663,"They can't think for themselves, they can't thaw, they can't leave their descendants behind",663.0,"685,0,1,0,0,0,1,1"
664,664,"Jangdong tea cannot make nutrients through its own metabolic process, and it develops in an evolutionary manner, not an evolution, as it changes according to the environment.",664.0,"686,1,1,1,0,1,0,0"
665,665,It doesn't get energy from metabolism.,665.0,"687,0,0,0,0,0,0,0"
666,666,Biology and inanimate objects are classified by whether they can metabolize substances.,666.0,"688,0,0,0,0,0,1,0689,0,0,0,0,0,0,0"
667,667,"Cars are not creatures because they do not move by themselves with their own will, instinctively do not eat the food they need, and do not continue generations",667.0,"690,0,0,0,1,0,1,0"
668,668,Because I don't breathe.,668.0,"691,1,1,1,0,0,0,0"
669,669,Because cars do not have life activities.,669.0,"692,0,1,1,0,0,0,0"
670,670,It is because it does not have the characteristics of living things.,670.0,"693,0,0,0,0,0,1,1"
671,671,"People, animals, plants all have emotions, but cars don't have emotions",671.0,"694,0,0,0,0,0,1,0"
672,672,Because there is no ego.,672.0,"695,0,0,1,1,0,0,1"
673,673,It's a machine that's not alive,673.0,"696,0,1,1,1,0,1,1"
674,674,Because it is connected by parts.,674.0,"697,1,0,0,1,0,0,0"
675,675,It's because I don't do breathing activities.,675.0,"698,0,0,0,0,0,0,0"
676,676,Because there are no cells and there are no structures of living things,676.0,"699,0,0,0,0,0,0,0"
677,677,Cars cannot generate energy on their own and can only move if they are fueled.,677.0,"700,0,0,0,0,1,0,0"
678,678,Iron? It's not nature,678.0,"701,0,0,0,0,0,0,0"
679,679,Because cars are made by humans,679.0,"702,0,0,0,1,0,0,0"
680,680,Because cars cannot move on their own with their egos.,680.0,"703,1,0,0,0,0,0,0"
681,681,A car is nothing but a thing.,681.0,"704,0,0,0,0,0,0,0"
682,682,I make my own cars,682.0,"705,0,0,0,0,1,0,0"
683,683,Because I can't do life activities on my own.,683.0,"706,0,0,0,0,0,0,0"
684,684,This is because they do not metabolize substances like humans.,684.0,"707,0,0,0,0,0,0,0"
685,685,I don't do life activities,685.0,"708,1,0,0,0,0,0,0"
686,686,It does not metabolize matter.,686.0,"709,0,0,0,0,0,0,0"
687,687,This is because it is an artificially made object and does not breathe.,687.0,"710,0,0,0,0,0,0,0"
688,688,There are no cells,688.0,"711,0,0,0,0,1,0,0"
689,689,Because cars are not creatures that can act directly.,689.0,"712,0,0,0,0,0,0,0"
690,690,There are no cells and nuclei,690.0,"713,0,0,0,0,0,0,0"
691,691,Because it does not metabolize matter.,691.0,"714,1,0,0,0,0,0,0"
692,692,"It's because cars don't have cell division, heredityIt's artificial and it can't move on its own",692.0,"715,1,0,0,0,0,0,0"
693,693,I don't have metabolism,693.0,"716,1,0,0,0,0,0,0"
694,694,It's a machine,694.0,"717,0,0,0,0,0,0,0"
695,695,It's because it's not made of cell structure.,695.0,"718,1,0,0,1,0,0,0719,1,0,0,0,0,0,0"
696,696,Do not metabolize matter. It doesn't do heredity and reproduction.,696.0,"720,1,0,0,0,0,0,0"
697,697,I can't metabolize by myself,697.0,"721,0,0,0,0,0,0,0"
698,698,This is because cars do not have the nucleus that living things have.,698.0,"722,1,0,0,0,0,0,0"
699,699,Because it does not metabolize substances and is different from the properties of living things such as constancy.,699.0,"723,1,0,0,0,0,0,0"
700,700,.,700.0,"724,1,0,0,0,0,0,0"
701,701,Because I can't generate energy by myself.,701.0,"725,0,0,0,1,0,0,0"
702,702,"This is because cars do not have genetic material, do not have cell membranes, and do not have ribosomes that can synthesize proteins.",702.0,"726,1,0,0,0,0,0,0"
703,703,They do not make or consume nutrients by themselves and cannot give birth to babies.,703.0,"727,1,0,0,0,0,0,0"
704,704,"This is because there is nothing you can do on your own. This is because living things do their own life activities, but not in the case of cars.",704.0,"728,0,0,0,0,1,0,0"
705,705,"This is because living things metabolize materials that synthesize and use energy by themselves, but cars must be passively supplied with energy.",705.0,"729,0,0,0,1,1,0,0"
706,706,This is because they do not have the ability to think without breathing like humans.,706.0,"730,1,0,0,0,0,0,0"
707,707,"This is because cars do not have cells, the basic unit of living things.",707.0,"731,1,0,0,0,0,0,0"
708,708,"As can be seen in A and B above, cars also get nutrients like living things to generate energy and have complex structures. However, cars are not made up of cells, unlike living things, which are the basic units that make up living things. Therefore, cars cannot be regarded as living things.",708.0,"732,0,0,0,1,0,0,0"
709,709,"The basic conditions of a living body are to be able to perform life activities on their own, to be able to reproduce, that is, to be able to perform life activities. However, cars are not able to do life activities on their own.",709.0,"733,1,0,0,1,0,0,0"
710,710,It doesn't grow.,710.0,"734,0,0,0,0,0,0,0"
711,711,"Cars do not metabolize substances because they do not have enzymes. In addition, it is not composed of cells, so it does not occur or grow, and it does not reproduce for species reproduction.",711.0,"735,0,0,0,0,0,0,1"
712,712,"""Bodies must have material metabolism. Living things must be made up of cells. Living things are",712.0,"736,0,0,0,1,0,0,0"
713,713,"You must have genetic material. However, the car does not satisfy any of the above three conditions. Therefore, cars are not creatures.""",713.0,"737,0,0,0,0,0,0,0"
714,714,"It does not breathe, which is characteristic of living things, nor does it reproduce and grow. It is also because there are manufacturers and designers who manufactured cars.",714.0,"738,1,0,0,0,0,0,0"
715,715,"Living things usually live in a way that they get organic matter and release energy without the help of someone. However, cars do not seem to be called creatures because they need to be fueled by humans and everything that allows them to move is driven by human help. And I think it's hard to be considered a creature because you can't make an object called a car by making and connecting various parts by yourself.",715.0,"739,1,0,0,1,0,0,0"
716,716,"Cars are machines only, and they are not like living things. While living things have cells, cars have no such thing as cells, and living things can use their own way of getting nutrients, cars can run only when humans fuel themselves.",716.0,"740,0,0,0,0,0,0,0"
717,717,"Living things are made up of cells.Cells have genetic material and ribosomes, which reproduce and engage in various life activities.They live by forming proteins through ribosomes to obtain nutrients, and cars are not creatures because they cannot become independent objects and take the initiative because they do not have genetic material, and they cannot move alone without fuel.",717.0,"741,0,0,0,0,0,1,0"
718,718,"Living things are cells and do life activities such as breathing. Although cars have similar characteristics to living things, such as the nutrient of fuel and the structure and accessories of cars are organically organized with each other, they are not called living things because they are not made of cells and do not engage in life activities.",718.0,"742,0,0,0,0,0,1,0"
719,719,"The reason why cars are not living things is that they do not have DNA, a genetic material. Also, cars cannot grow on their own, and crucially, cars are only human-made 'stuff'.",719.0,"743,0,0,0,0,1,0,0"
720,720,"It does not grow and does not have genetic material, so it cannot reproduce.",720.0,"744,0,0,0,0,0,0,0"
721,721,"Living things are made up of cells, and life activities such as cellular respiration must be carried out in the cells. However, cars are not creatures because they only move using fuel and have a structure made up of only accessories.",721.0,"745,0,0,0,0,0,0,0"
722,722,"Someone said, cars are like people. Biology should be self-replicating, but this is not the case. And ribosomes exist, so you have to synthesize proteins, but they're not. DNA, a genetic material, also does not exist, so for these reasons, cars are not called creatures.",722.0,"746,0,0,0,0,0,0,0"
723,723,"Living things are things that have life. It is a generic term for proliferation, growth, substance metabolism, stimulation reactivity, and regulatory properties, and is divided into animals, plants, and microorganisms. However, cars do not have metabolism, do not respond to stimuli, and cannot control themselves. They can't even grow on their own. Therefore, cars are not creatures.",723.0,"747,0,0,0,0,0,0,0"
724,724,"Biology has three capabilities: self-proliferation, energy conversion, and homeostasis.",724.0,"748,1,0,0,0,0,0,0749,0,0,0,0,0,0,0"
725,725,,725.0,"750,1,0,0,0,0,0,0"
726,726,1. Metabolism of substances.,726.0,"751,0,0,0,1,0,0,0"
727,727,a chemical reaction in which necessary substances in the body are synthesized and decomposed,727.0,"752,0,0,0,0,1,0,0"
728,728,Energy must come in and out,728.0,"753,0,0,0,0,0,0,0"
729,729,Enzymes mediate the reaction.,729.0,"754,1,0,0,0,0,0,0"
730,730,,730.0,"755,1,0,0,0,0,0,0"
731,731,2. Stimulation and reaction,731.0,"756,0,0,0,0,0,0,0"
732,732,Sensing and responding to changes in the environment (stimulation) as essential to survival,732.0,"757,0,0,0,1,0,0,0"
733,733,,733.0,"758,1,0,0,0,0,0,1"
734,734,3. Maintain homeostasis,734.0,"759,0,0,0,0,1,0,0"
735,735,"Even if the external environment changes, it has the property of maintaining a constant internal environment.",735.0,"760,0,0,0,1,0,0,0"
736,736,"Maintain body temperature, blood sugar level, fluid concentration, etc",736.0,"761,0,0,0,0,0,0,0"
737,737,,737.0,"762,1,0,0,0,0,0,0"
738,738,4. Reproduction and heredity,738.0,"763,0,0,0,0,0,0,1"
739,739,To leave a descendant who resembles himself in order to maintain his race.,739.0,"764,0,0,0,0,0,0,0"
740,740,,740.0,"765,0,0,0,1,0,1,0"
741,741,5. Occurrence and growth,741.0,"766,0,0,0,0,0,0,0"
742,742,"Cells grow larger, or grow in numbers by cell division.",742.0,"767,0,0,0,0,1,0,0"
743,743,,743.0,"768,0,0,0,0,0,0,0"
744,744,6. Adaptation and Evolution,744.0,"769,0,0,0,0,0,0,1"
745,745,Adapted to the current environment and can change as the environment changes.,745.0,"770,1,0,0,0,0,0,0"
746,746,"Evolutionary theory argues that if a changed trait survives in favor of the environment, it becomes a new species.",746.0,"771,0,0,0,0,0,0,0"
747,747,,747.0,"772,1,0,0,0,0,0,0"
748,748,7. a sophisticated and complex system,748.0,"773,0,0,0,1,0,0,0"
749,749,"All living things are made up of cells.""",749.0,"774,0,0,0,1,0,0,0"
750,750,"Cars cannot be regarded as living things because they do not move based on their own thoughts and act simply according to orders. In addition, life and automobiles are not viewed as creatures with subjects because there are many differences in composition and way of motion, and they are fundamentally created by humans, a kind of creature.",750.0,"775,0,0,0,0,0,0,0"
751,751,It's because there's no brain,751.0,"776,0,0,0,0,0,0,0"
752,752,Cars are not organisms,752.0,"777,0,0,0,0,0,0,0"
753,753,Because I didn't breathe,753.0,"778,0,0,0,1,0,0,0779,0,0,0,0,0,0,0"
754,754,"Living things should be able to move on their own, but cars are not",754.0,"780,0,0,0,0,1,0,0"
755,755,Because I can't think and move on my own.,755.0,"781,1,0,0,0,0,0,0"
756,756,Machine,756.0,"782,0,0,0,0,0,0,0"
757,757,This is because they cannot move or engage in activities on their own.,757.0,"783,0,0,0,0,1,0,0"
758,758,Because they don't live and breathe.,758.0,"784,0,0,0,0,0,0,0"
759,759,I don't know.,759.0,"785,0,0,0,0,0,0,1"
760,760,You can't make or consume nutrients on your own.,760.0,"786,0,0,0,0,0,0,1"
761,761,Because it's artificial,761.0,"787,0,0,0,1,0,0,0"
762,762,Because I'm not alive,762.0,"788,0,0,0,1,0,0,0"
763,763,M and D,763.0,"789,0,0,0,1,0,0,0"
764,764,Because I didn't breathe,764.0,"790,1,0,0,0,0,0,0"
765,765,I know...,765.0,"791,0,0,0,0,0,0,1"
766,766,"Unlike living things, it moves only when there is a subject that makes them move.",766.0,"792,0,0,0,0,0,0,1"
767,767,It's because it's made of artificially made machines,767.0,"793,0,0,0,1,0,0,0"
768,768,Because the accessories that make up the car are inanimate objects,768.0,"794,0,0,0,0,0,0,1"
769,769,Because cars are made by humans,769.0,"795,0,0,0,0,0,0,0"
770,770,"No, no, no. No, no, no",770.0,"796,0,0,1,0,0,0,0"
771,771,"""It is a semiconductor that is developed because it is not capable of emotion and recognition and is made of human hands and knowledge.",771.0,"797,0,0,0,0,0,0,1"
772,772,"It is common knowledge for kindergarteners to call them human-like creatures.""",772.0,"798,0,1,1,0,0,0,0"
773,773,Because it belongs to the humanistic environment created by humans,773.0,"799,0,0,0,0,0,1,0"
774,774,It's a human-made machine,774.0,"800,0,0,0,0,0,1,0"
775,775,This is because living creatures do not have the vitality to have.,775.0,"801,0,0,0,0,0,0,0"
776,776,made by man,776.0,"802,0,0,0,0,0,1,0"
777,777,It was made artificially,777.0,"803,0,0,0,1,0,0,0"
778,778,Cars are made by humans and are not creatures because they have to be controlled by humans rather than driven by themselves,778.0,"804,0,0,0,1,0,0,0"
779,779,Because you don't think for yourself and you don't have feelings,779.0,"805,0,0,0,1,0,0,0"
780,780,It's made by humans,780.0,"806,0,0,0,0,0,0,0"
781,781,Because cars are machines,781.0,"807,0,0,0,0,0,0,0"
782,782,Cars can't breathe,782.0,"808,0,0,0,0,0,0,0809,1,0,0,0,0,0,0"
783,783,This is because a car is just a machine without breathing or acting on its own.,783.0,"810,0,0,0,0,0,0,0"
784,784,Because cars are made of objects and can't move themselves,784.0,"811,0,0,0,0,0,0,0"
785,785,Because they are all made of different materials.,785.0,"812,0,0,0,0,0,0,0"
786,786,I couldn't talk or think,786.0,"813,1,0,0,0,0,0,0"
787,787,This is because it is mechanically made and does not think and feed.,787.0,"814,0,0,0,0,0,0,0"
788,788,This is because the car is only driven by the user's commands and cannot be thought of by itself.,788.0,"815,0,0,0,0,0,0,0"
789,789,Cars are not called creatures because they don't do activities like breathing or photosynthesis,789.0,"816,0,0,0,0,0,0,0"
790,790,Because I can't move alone without thinking like a living thing,790.0,"817,0,0,0,1,0,0,0"
791,791,"Living things can live and move with intelligence on their own and live using nutrients, but cars cannot move on their own in the first place and cannot work to get nutrients, so they are not creatures.Living things are alive and have lives because cars are just machines made by humans and cannot act on their own.",791.0,"818,0,0,0,0,0,0,1"
792,792,"It's because it's made by human lectures, intelligence on the back, and it can be disassembled and assembled",792.0,"819,0,0,0,0,0,0,0"
793,793,Because tea has different kinds and different thoughts.,793.0,"820,0,0,0,1,0,0,0"
794,794,"All living things on earth have cells, because cars don't have cells",794.0,"821,0,0,0,0,0,0,0"
795,795,There are no cells.,795.0,"822,1,0,0,0,0,0,0"
796,796,Who thinks cars are creatures? Do cars breathe?It's because I don't breathe.,796.0,"823,0,0,0,0,0,0,0"
797,797,Because it's stupid to say that a car is a creature,797.0,"824,0,0,0,0,1,0,1"
798,798,"Living things need to be alive, but cars don't That's why it's not called a creature",798.0,"825,0,0,0,1,0,0,0"
799,799,A car can't move its own way,799.0,"826,0,0,0,1,0,0,0"
800,800,He can't move on his own,800.0,"827,0,0,0,0,0,0,0"
801,801,Because it's man-made,801.0,"828,1,0,0,0,0,0,0"
802,802,I don't know.,802.0,"829,0,1,0,0,0,0,0"
803,803,"This is because it is a machine made of scrap, unlike living things.",803.0,"830,0,0,0,0,0,0,1"
804,804,I can't think and feel it,804.0,"831,1,1,0,0,0,0,0"
805,805,Cars don't breathe,805.0,"832,0,0,0,0,0,1,0"
806,806,"This is because living things move spontaneously and breathe and photosynthesize.Cars, on the other hand, tend to be driven passively by humans.",806.0,"833,0,0,0,0,0,0,0"
807,807,It's made up of machines,807.0,"834,0,0,0,0,0,0,1"
808,808,"Organized organically with a variety of accessories, the characteristics of living things are not revealed",808.0,"835,,,,,,,"
809,809,I didn't move by myself,809.0,"836,,,,,,,"
810,810,Cars are not living things because they are not living things,810.0,"837,20.4%,12.1%,6.0%,16.9%,8.7%,9.7%,12.6%"
811,811,It's because you can't move without fuel and it's artificially made,,
812,812,"This is because living things breathe, move, and supply nutrients on their own, but they are not automobiles.",,
813,813,I can't do anything on my own,,
814,814,It's not a creature,,
815,815,"This is because living things do not live and breathe, but they are artificial objects that we make ourselves.",,
816,816,"Living things use their energy sources by their own power, but cars are not called living things because they can move only when we supply fuel.",,
817,817,"""Yes, yes""",,
818,818,"""",,
819,819,It's because there's no emotion and no cell activity,,
820,820,I didn't think about it,,
821,821,Because I didn't breathe,,
822,822,I don't know,,
823,823,They can't get energy and they have to get fuel,,
824,824,"Because it's created by the human head, a creature",,
825,825,"It is because it is characteristic similar to living things, but it is not living things.",,
826,826,Because cars do not look natural.,,
827,827,"This is because living things can maintain their lives by their own abilities, but cars can't move with the help of other beings and act on their own will, and they move under the control of other beings",,
828,828,This is because cars do not think and do not act on their own.,,
829,829,It's not moving,,
830,830,"Is that a creature, you think?",,
831,831,Because living things mean animals and plants,,
832,832,It's because you can only work if you have a user and you don't have a will,,
833,833,Because it's not a creature.,,
834,834,"Living things are alive and breathing, and cars are not alive and breathing.",,
835,835,Cars are not called shrimp-움 bodies because they are human-made objects that are driven by humans.,,
836,836,Because I didn't breathe,,
837,837,I don't have a heart,,
838,838,It's not,,
839,839,Do not breathe cells,,
840,840,do not metabolize matter,,
841,841,Because cars can't think.,,
842,842,"It's because you can't think, feel emotions, and judge yourself",,
843,843,I didn't think about it,,
844,844,It's because it's made by humans,,
845,845,Do not metabolize substances on your own,,
846,846,Because I don't metabolize substances,,
847,847,I didn't think about it,,
848,848,"This is because they are not active using nutrients, and the activity itself moves through human hands rather than self-reliance.",,
849,849,This is because it is not an object that maintains the status quo of life on its own,,
850,850,"I didn't grow up and there was something else, but I don't remember;;",,
851,851,Do not metabolize substances,,
852,852,I didn't divide the cells,,
853,853,Because it's not made up of cells,,
854,854,I don't have any cells,,
855,855,"""Bodies are basically made up of elements such as C, H, O, and N",,
856,856,"Because cars are made of elements such as Fe and Cu,",,
857,857,We think intuitively that there's a difference between these two,,
858,858,"We don't usually call living things cars.""",,
859,859,There are no cells.,,
860,860,I can't think of it,,
861,861,I don't know,,
862,862,Because I don't have an ego,,
863,863,inanimate objects,,
864,864,Because it's not alive.,,
865,865,Because there's no life,,
866,866,It's made by humans,,
867,867,M and D,,
868,868,I don't understand.,,
869,869,Because he's not alive,,
870,870,It's because it's made by humans,,
871,871,Think about it,,
872,872,I didn't poo,,
873,873,It's because it's driven by a machine,,
874,874,I can't think of it,,
875,875,This is because metabolism does not occur in cars,,
876,876,This is because cars are not self-conscious and only follow orders.,,
877,877,There is no emotion and you cannot act on your own.,,
878,878,"""For example, viruses proliferate, but not only do they not have cellular structures, but they are also seen as intermediate forms between living and nonliving things because they can be obtained by the determination of a substance called nuclear protein. Where in the process in the death of a living thing is the boundary with inanimate objects.",,
879,879,"""",,
880,880,Since it's made by a person.,,
881,881,be lifeless,,
882,882,It's because life creates energy through breathing and intake,,
883,883,"This is because there is no emotion and no empathy.Because it is driven by a program, it is not active and passive.",,
884,884,"There are cars that move like living things and can think of themselves these days, but unlike living things, there is no blood that allows body temperature to flow, and even energy consumption is mechanical different from living things.",,
885,885,e,,
886,886,It's because it's made by assembling components and by manipulating them randomly by humans,,
887,887,I can't reproduce,,
888,888,Because cars do not metabolize matter.,,
889,889,This is because cars are made by humans and cannot reproduce.,,
890,890,"Because there are no cells.Because cars are objects, not living.",,
891,891,It's because I can't metabolize things,,
892,892,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,
