,Unnamed: 0,"6. When Hyewon visited the botanical garden, she saw that she was an insectivorous plant that feeds on small insects. Especially, what Hyewon thought was fascinating was the Paris prison. It is said that the flytrap attracts insects with its smell, and when the insect touches the leaves, it closes the leaves to decompose the insects and absorbs nutrients. Hye-won, who read the notice board, has a question. Why are flies in the botanical garden that feed on insects that are animals? Why on earth did the doctors at the botanical garden classify Paris as a plant?",Unnamed: 0,", q61_photosynthesis, q61_motility"
671,671,Originally has the structure of a plant,671.0,"694,1,1"
672,672,"This is because it cannot move like an animal, is in place, and has roots.",672.0,"695,0,0"
673,673,??,673.0,"696,1,0"
674,674,"It eats insects, which are animals, but because Parisian hell itself is a plant,",674.0,"697,0,1"
675,675,This is because it takes root in an area and does not move.,675.0,"698,1,0"
676,676,"To help people around me,",676.0,"699,0,0"
677,677,It seems to be classified as a plant because it has little movement and moves only by a certain reaction,677.0,"700,0,0"
678,678,It has chloroplasts,678.0,"701,0,0"
679,679,This is because Parisian jade makes its own nutrients by photosynthesis.,679.0,"702,0,1"
680,680,"This is because unlike animals, flytrap is impossible to move by itself, although flies use insects as nutrients in general plants that perform photosynthesis.",680.0,"703,0,0"
681,681,I don't think it's an animal...therefore,681.0,"704,0,0"
682,682,It is classified as a plant because it cannot move while taking root.,682.0,"705,1,0"
683,683,Because of the cell wall,683.0,"706,0,0"
684,684,It is because it is composed of roots and stems.,684.0,"707,0,1"
685,685,There are stems and leaves,685.0,"708,1,0"
686,686,It's because they can't move.,686.0,"709,0,0"
687,687,Because Parisian jade is a plant that grows on the ground.,687.0,"710,0,0"
688,688,It's a plant,688.0,"711,0,0"
689,689,I can't move and live with roots,689.0,"712,0,0"
690,690,It's green,690.0,"713,1,0"
691,691,Because it has plant components.,691.0,"714,0,0"
692,692,Because it has chloroplasts and photosynthesis.It is because they live with roots in the ground.,692.0,"715,0,0"
693,693,"The flytrap eats insects, but most people know it as a plant.",693.0,"716,0,0"
694,694,Because it is biologically classified as a plant.,694.0,"717,0,0"
695,695,.,695.0,"718,0,1719,1,1"
696,696,It's photosynthetic because it has chloroplasts,696.0,"720,0,1"
697,697,Because there's chloroplasts that can photosynthesize,697.0,"721,0,1"
698,698,This is because they cannot move on their own and give birth to babies.,698.0,"722,0,0"
699,699,Parisian jade is classified as a plant because it blooms and seeds and breeds.,699.0,"723,1,0"
700,700,"In plant cells, there is a chloroplast that does not exist in animal cells, with which plants photosynthesize, and animals do not photosynthesize. Parisian jade is also classified as a plant because it photosynthesis.",700.0,"724,0,1"
701,701,"""The difference between plants and animals is divided into chloroplasts and cellulose fiber.Parisian jade is made up of cellulose, and because it has chloroplasts, it can photosynthesize",701.0,"725,0,1"
702,702,"It's a plant.""",702.0,"726,1,0"
703,703,"Parisian jade was classified as a ""plant"" from its type and was classified as a plant because it absorbs nutrients by eating and decomposing animals, but has photosynthesis that only plants can do.",703.0,"727,1,0"
704,704,"This is because flytrays also have cell walls in their cells, and photosynthesize with nutrients obtained from insects.",704.0,"728,1,0"
705,705,"Although Parisian jade is right to eat insects. But basically, in order to be classified as an animal, you have to have animal conditions, but isn't Parisian jade classified as a plant because it meets the conditions of the plant more than the conditions of the animal? For example, animals can move, but the flytrap cannot move and is fixed in place.",705.0,"729,1,0"
706,706,It's because it has chloroplasts.,706.0,"730,0,1"
707,707,"Parisian jade forms a cellulose structure that plants must have, and it is classified as a plant because it has chloroplasts.",707.0,"731,1,0"
708,708,"This is because it absorbs nutrients by eating insects, but also absorbs nutrients through photosynthesis. Basically, photosynthesis can be distinguished as a plant.",708.0,"732,0,0"
709,709,"Although it eats insects, it is because it has no mobility at the same time that it breathes through photosynthesis, one of the characteristics of plants.",709.0,"733,0,0"
710,710,"Parisian jade eats insects, which are animals, but it seems to have been classified as plants because the surface color is green by photosynthesis. And because it sticks to the ground, takes root, does not move, and grows.",710.0,"734,0,1"
711,711,"Parisian jade can be classified as a plant in that it is a dicotyledonous plant. Parisian jade can also synthesize organic matter through photosynthesis by itself. However, the reason why insects are decomposed and eaten is because the environment in which they live cannot obtain sufficient nutrients through photosynthesis alone, so they obtain nutrients through insects.",711.0,"735,0,0"
712,712,"The characteristic of plants is that they get nutrients and produce nutrients and live through them.Because insectivorous plants are also plants, they generate nutrients through the ground or sunlight, but the amount of nutrients obtained through this is insufficient, so they are supplemented by catching and eating insects.In other words, part of the process of obtaining nutrients is eaten, and in the basic part, nothing is different from any other plant.",712.0,"736,1,0"
713,713,"The big difference between plants and animals is whether they can't move on their own. Parisian hell feeds on small insects but cannot move alone. And the fly jade is called a plant because it has the structure of plants such as roots, stems, and leaves",713.0,"737,1,0"
714,714,"The fly hell breaks down insects to get nutrients, but chloroplasts exist in the fly hell cells, classifying the fly hell as a plant.",714.0,"738,0,1"
715,715,Live in one place. Organic matter can be synthesized through photosynthesis.,715.0,"739,0,0"
716,716,"The criterion for distinguishing whether it is a plant is composed of cellulose fiber, and the second is whether it can be photosynthesized because it has chloroplasts. Parisian jade is classified as a plant because it satisfies both of these conditions.",716.0,"740,0,0"
717,717,"The flytrap is one plant that closes and opens itself and eats insects. Because it's an independent nutrient that doesn't photosynthesize, and it doesn't move in its place and it just stays there.",717.0,"741,0,0"
718,718,The definition of an animal is an organism that does not have a cell wall in its cell. But the flytrap is a plant because it has cell walls.,718.0,"742,0,1"
719,719,Parisian jade is a plant because it is structured with cellulose and has chloroplasts that can photosynthesized. And plants that get nourishment from animals like Parisian jade are defined as insectivorous plants.,719.0,"743,0,0"
720,720,"Parisian jade differs from most plants in that it is movable and absorbs nutrients through hunting rather than photosynthesis. However, the limitations of plants are revealed in that they cannot move their habitats, and when the cells are observed, they are classified as plants because they have small organs such as cell walls.",720.0,"744,0,0"
721,721,It's because they use sunlight to produce chlorophyll,721.0,"745,1,0"
722,722,"It's a plant, but it only eats animals",722.0,"746,0,1"
723,723,"Since it's a plant, there are leaves",723.0,"747,0,0"
724,724,Because it's a plant,724.0,"748,0,0749,0,0"
725,725,This is because they cannot move freely.,725.0,"750,0,0"
726,726,Ask the doctor about that,726.0,"751,0,1"
727,727,"Because its form is a plant, it is classified as a plant.",727.0,"752,0,0"
728,728,It's because they photosynthesize.,728.0,"753,0,0"
729,729,I don't know.,729.0,"754,0,0"
730,730,This is because they cannot move their position like animals and insects should not get tangled in the botanical garden.,730.0,"755,0,1"
731,731,It's because of photosynthesis.,731.0,"756,0,0"
732,732,It's a glue,732.0,"757,0,0"
733,733,I don't know,733.0,"758,0,1"
734,734,be caused by eating vermin,734.0,"759,0,0"
735,735,I know...,735.0,"760,1,0"
736,736,This is because it has roots and can live in other ways besides insectivores.,736.0,"761,0,0"
737,737,"Since it's a plant, it's classified as a plant.",737.0,"762,0,0"
738,738,Because it has roots and stems,738.0,"763,0,0"
739,739,"Plants are originally life, but they can only see no movement, but insectivorous plants can only see the movement.",739.0,"764,0,0"
740,740,"No, no, no. No, no, no. No, no, no",740.0,"765,0,1"
741,741,Once Parisian hell is not allowed to move. But animals move on their own feet. Plants also have various ways of absorbing nutrients. Isn't Paris one of them?,741.0,"766,0,0"
742,742,"This is because animals usually live in motion, but absorb nutrients in place",742.0,"767,0,0"
743,743,Because it's stuck on the ground,743.0,"768,0,0"
744,744,Because it is an immovable creature.,744.0,"769,0,0"
745,745,I ate worms,745.0,"770,0,0"
746,746,"This is because Parisian jade catches insects and decomposes them into nutrients, but basically photosynthesis occurs",746.0,"771,0,0"
747,747,Because you can't move on your own and stay still in one place,747.0,"772,0,0"
748,748,Because the way you eat without moving is different from other plants,748.0,"773,0,1"
749,749,By photosynthesis?,749.0,"774,0,0"
750,750,I can photosynthesize with the cell walls in Paris,750.0,"775,0,0"
751,751,This is because they photosynthesize themselves and make nutrients.,751.0,"776,0,0"
752,752,"To be classified as a plant, there are standards such as new cloth walls and photosynthesis, and Parisian jade satisfies this.",752.0,"777,0,0"
753,753,Because I can't move by myself,753.0,"778,0,0779,0,0"
754,754,It's because of photosynthesis.,754.0,"780,1,0"
755,755,It's more like a plant than an animal,755.0,"781,0,0"
756,756,"Parisian jade is a plant that is done sensitively, and it is not an animal just because a plant breathes.",756.0,"782,0,1"
757,757,This is because insectivorous plants do not eat animals by moving themselves.,757.0,"783,0,0"
758,758,The flytrap is separated into plants because it consists of root-stemmed leaves like other plants,758.0,"784,0,0"
759,759,It's because they photosynthesize for a while after they digest again,759.0,"785,0,0"
760,760,"Parisian jade will be classified as a special plant because it catches flies and melts them into digestive juices to absorb nutrients, but the animal's characteristic organ does not develop and photosynthesis also occurs.",760.0,"786,0,1"
761,761,"This is because plants do not get nutrients through photosynthesis, and insectivorous plants resemble plants and cannot act like animals.",761.0,"787,0,0"
762,762,Wolrae is because plants evolve differently from cacti where water is maintained,762.0,"788,0,0"
763,763,ㅇ,763.0,"789,0,0"
764,764,"Animals have an engine system, but plants don't have an engine system. Therefore, Parisian jade is classified as a plant because it has no organ system",764.0,"790,0,0"
765,765,This is because they live in one place.,765.0,"791,0,0"
766,766,Because it looks like a plant.,766.0,"792,0,0"
767,767,Because his name is suspicious,767.0,"793,0,0"
768,768,"They eat flies, but they have stems that are characteristic of plants, and they live by getting nutrients from water and soil",768.0,"794,1,0"
769,769,It grows on the ground,769.0,"795,0,0"
770,770,"They catch small insects, they don't make a difference to the ecosystem, and in a way, they eat harmful burrails",770.0,"796,0,0"
771,771,Because it's a plant,771.0,"797,0,0"
772,772,I don't know.,772.0,"798,0,0"
773,773,This is because Parisian jade has roots and you can feel the difference between animals and plants when you cut it.,773.0,"799,0,1"
774,774,I can't walk and move,774.0,"800,1,0"
775,775,"So, is Parisian hell an animal?",775.0,"801,0,0"
776,776,This is because it can maintain the food pyramid in the plant group by eating pests that harm other plants.,776.0,"802,0,0"
777,777,It's a plant,777.0,"803,0,0"
778,778,"It is said that it grows while exposed to water and sun and eats insects, but the fact that it is that it is a plant.",778.0,"804,0,0"
779,779,by eating insects,779.0,"805,0,0"
780,780,"Although it has the characteristics of animals, it is classified as a plant because its structure is a plant",780.0,"806,0,0"
781,781,Because it is in one place and grows on the ground.,781.0,"807,0,0"
782,782,It is a plant because it lives in the sun after drinking water.,782.0,"808,0,0809,1,0"
783,783,Plants are the only creatures that photosynthesize,783.0,"810,0,0"
784,784,It's a plant,784.0,"811,0,0"
785,785,"Although they eat insects, they are classified as plants because they grow with roots in the ground",785.0,"812,0,0"
786,786,"Even though insects, which are animals, are the main food, they are plants",786.0,"813,0,0"
787,787,Yes,787.0,"814,0,0"
788,788,It has roots and it can't move,788.0,"815,0,0"
789,789,Because it's green,789.0,"816,0,0"
790,790,It's green,790.0,"817,0,0"
791,791,I don't knowIt's taking root in the ground,791.0,"818,0,0"
792,792,"Parisian jade is also intended to absorb nutrients before eating insects, so it is the same plant that grows by eating them",792.0,"819,0,0"
793,793,Because insects are disliked by people.,793.0,"820,1,0"
794,794,Because it's a plant.,794.0,"821,0,0"
795,795,Because you can't move on your own will,795.0,"822,0,0"
796,796,Because it is a kind of plant.,796.0,"823,0,0"
797,797,To get rid of unnecessary bugs,797.0,"824,1,0"
798,798,It is because it looks like a plant.,798.0,"825,1,0"
799,799,Because the ingredients of fly silk are similar to plants,799.0,"826,0,0"
800,800,It is because it is a creature included in plants.,800.0,"827,0,0"
801,801,It looks like a plant,801.0,"828,0,0"
802,802,This is because chloroplasts allow photosynthesis.,802.0,"829,0,0"
803,803,"Parisian jade lives on insects, but its appearance and characteristics?It is distinguished as a plant because it is similar to this plant.",803.0,"830,1,0"
804,804,Because it grows on the ground,804.0,"831,0,0"
805,805,It's different from animals,805.0,"832,0,0"
806,806,It's a plant,806.0,"833,1,0"
807,807,There must be chloroplasts,807.0,"834,0,1"
808,808,It doesn't move,808.0,"835,,"
809,809,Because Parisian jade is a dicotyledonous plant.,809.0,"836,,"
810,810,This is because animals do not have essential elements.,810.0,"837,27.3%,20.1%"
811,811,It's a dicotyledonous plant,,
812,812,Paris hell is a plant,,
813,813,It has a lot of plant characteristics such as roots and stems,,
814,814,It's because there's a chloroplast.,,
815,815,Yeah.,,
816,816,This is because it has chloroplasts and can produce nutrients on its own.,,
817,817,It is because they cannot think like animals and have different cell structures from animals.,,
818,818,How would I know?;;;;,,
819,819,Moral,,
820,820,There are chloroplasts in the cells,,
821,821,Because I can't move,,
822,822,This is because chloroplasts allow photosynthesis.,,
823,823,"""The reason is that chlorophyll, which is not present in animals, is present in the stomach",,
824,824,The standard for classifying animals and plants is not whether they eat and live,,
825,825,"There are other standards, so according to those standards, the living thing is a plant",,
826,826,"It's not strange to be in a botanical garden.""",,
827,827,"Unlike animals, there are cell walls and chloroplasts, not cell membranes",,
828,828,It looks like a plant,,
829,829,I don't know,,
830,830,Because the doctors know better,,
831,831,I'm scared,,
832,832,Because it's a plant,,
833,833,An insectivorous plant is also a plant,,
834,834,I live with nutrients,,
835,835,M and D,,
836,836,I don't understand.,,
837,837,I don't know...,,
838,838,"Because it grows on the ground, too",,
839,839,Looks like grass,,
840,840,Because of the roots and stems?,,
841,841,Everything that corresponds to plants,,
842,842,It has chloroplasts,,
843,843,"It's not divided into hair, chest, and belly. It doesn't have arms",,
844,844,It has plant elements,,
845,845,I photosynthesize it,,
846,846,"It grows in mossy wetlands. It is 15 to 45cm high and varies from individual to individual. There is a root stem that looks like a scale stem, and the stem stands straight. Four to eight leaves sprout from the root, are 3 to 12 cm long, and have wide wings on the stem. The leaves are round and the ends are narrow, and long hairs like thorns are formed on the edges. Both sides are closed around the main vein and merge well like a clam.",,
847,847,"There are many lines on the leaves that attract insects. There are three pairs of sensory hairs, and when the insect touches any of them twice, both sides of the leaf suddenly close, and the acid and digestive fluid are secreted from the inner line to decompose and absorb the insect. Flowers bloom white in June, with about 10 flowers hanging at the end of the stem.",,
848,848,"As an insectivorous plant, it is grown for ornamental purposes or teaching materials, and water moss is planted in a pot and is always wet. Maintain enough sunlight and protect against freezing in winter. Breeding is done by flowering and then splitting or seeding. This is because it is distributed in North America and other places.",,
849,849,"""",,
850,850,"It's a plant, so it's in the botanical garden.",,
851,851,It's a plant,,
852,852,Because they photosynthesize,,
853,853,"Although photosynthesis is possible due to the presence of chloroplasts, it has evolved in the direction of eating insects as a way to supplement nutrients in other ways due to lack of nutrients in the habitat.",,
854,854,"Just as there are herbivorous and carnivorous animals among animals, insect-eating plants can also be classified as plants.",,
855,855,e,,
856,856,Because it looks like a plant,,
857,857,It looks like a plant,,
858,858,It's because they photosynthesize.,,
859,859,"On the surface, it may not be considered a plant, but if you observe a cell, it has the characteristics of a plant cell.",,
860,860,It would have been classified as a plant because there are cell walls and chloroplasts that only exist in plant cells.,,
861,861,It's because they photosynthesize.,,
862,862,Because I can't move,,
863,863,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,
