,Unnamed: 0,2) Why is the wind direction different during the day and at night in the sea and on land?,Unnamed: 0,", q46_temperature difference, q46_barometric pressure, q46_temperature difference.1,q46_barometric pressure.1"
482,482,"Sand beaches are easily absorbed and discharged by the sun during the day, and seawater absorbs and discharges heat slower than sandy beaches. Therefore, at night, the temperature changes due to different heat emission and absorption of sand and seawater. Therefore, the direction of the wind is different.",482.0,"498,1,0,,"
483,483,"""Daytime temperatures warm the land faster than the sea, so the air on the land warms up, and the cold air on the sea comes toward the land",483.0,"499,1,0,,"
484,484,"At night, the land cools faster than the sea, so the air on the sea side is higher, so the cold air on the land side moves toward the sea.""",484.0,"500,0,0,,"
485,485,"""During the day, the temperature on the land is higher than the sea, so the air on the land is evaporated a lot, so the air pressure on the land is relatively weak, so the wind blows from the sea to the land",485.0,"501,0,0,,"
486,486,"""At night, the temperature of the sea is higher than that of the land, so the air in the sea side evaporates a lot, so the air pressure in the sea side becomes relatively weak, so the wind blows from land to sea.""",486.0,"502,0,0,,"
487,487,There's sunlight during the day and there's no sunlight at night,487.0,"503,0,0,,"
488,488,This is because the land gets warmer during the day and the water gets warmer at night.,488.0,"504,0,0,,"
489,489,"This is because water has a higher specific heat than sand, so the temperature difference between day and night of sand is greater than that of water, so the temperature of the sandy beach is higher during the day and the temperature of the seawater is higher at night",489.0,"505,0,0,,"
490,490,"Because the temperature change of the sea is slower than that of the land, the temperature of the land is high during the day and the temperature of the sea is low at night.",490.0,"506,0,0,,"
491,491,This is because the air is high on land during the day and the temperature on the sea side at night is relatively high at night.,491.0,"507,0,0,,"
492,492,the same old and West,492.0,"508,0,0,,509,1,0,,"
493,493,"This is because the specific heat of the sandy beach and seawater is different, and accordingly, air pressure differences in the atmosphere occur according to day and night.",493.0,"510,1,0,,"
494,494,"During the day, the temperature of the sea is higher than that of the sandy beach and at night, so the direction of the wind blowing during the day and night is different.During the day, the temperature of the land is high and at night the sea is large, so it preserves heat, so the temperature of the sea is high, so the direction of the wind is different.",494.0,"511,0,0,,"
495,495,Don't know,495.0,"512,1,0,,"
496,496,"During the day, the surface of the soil on the land heats up faster than the sea water, so the temperature rises from the sea to the land, and at night, the temperature of the soil cools down quickly, and the sea slowly cools down, making the sea warmer than the soil.",496.0,"513,0,0,,"
497,497,.,497.0,"514,0,0,,"
498,498,"During the day, the hot air on the land goes toward the sea",498.0,"515,0,1,,"
499,499,"At night, the hot air above the sea goes toward the land.""",499.0,"516,1,0,,"
500,500,"On land, temperature differences occur relatively much faster than on the sea, so during the day when the temperature is high, the land exposed to heat is hotter than the sea, and at night when the temperature is low, the land is colder than the sea. Air flows from high temperature to low temperature, so wind blows from land to sea during the day, and wind blows from sea to land at night.",500.0,"517,1,0,,"
501,501,I don't know,501.0,"518,1,1,,"
502,502,The direction of the wind also changes as the temperature changes during the day and night due to the sandy beach with a small specific heat.,502.0,"519,1,0,,"
503,503,"During the day, the temperature of the sandy beach is high, but at night, the temperature of the sandy beach is lower than that of the sea",503.0,"520,0,0,,"
504,504,There's a difference,504.0,"521,1,1,,"
505,505,Because the moon comes up,505.0,"522,1,0,,"
506,506,"It is because there is a low sun, but there is no sun at night.",506.0,"523,1,0,,"
507,507,In the south by day and in the north by night,507.0,"524,1,0,,"
508,508,depending on where you are,508.0,"525,0,0,,"
509,509,The direction of the moon and the sun rise is different,509.0,"526,1,0,,"
510,510,Because the wind moves in different directions.,510.0,"527,0,0,,"
511,511,The earth is round,511.0,"528,0,0,,"
512,512,Because the wind moves in different directions.,512.0,"529,1,0,,"
513,513,Temperature difference,513.0,"530,0,0,,"
514,514,"""Night: The land cools faster than the sea, and wind blows from the land to the sea.",514.0,"531,0,0,,"
515,515,"Daytime: The land heats up faster than the sea, so the air on the land rises, so wind blows from the sea toward the land.""",515.0,"532,0,0,,"
516,516,"During the day, sea water comes in, waves form, wind enters the land, and at night, the sea fires escape, and the wind blows in the sea",516.0,"533,0,0,,"
517,517,"The temperature above the ground is higher than the temperature above the water, so wind blows from the sea to the land.",517.0,"534,1,0,,"
518,518,Day and night are different on the sea land,518.0,"535,0,0,,"
519,519,Because the earth is spinning.,519.0,"536,1,0,,"
520,520,"""Air pressure flows into high maintenance and replenishes the air on the land to a raised position",520.0,"537,1,0,,"
521,521,"""The wind is coming up""",521.0,"538,0,0,,539,1,0,,"
522,522,This is because of the difference in heat received by the air between the sea and the land.,522.0,"540,1,0,,"
523,523,"""In the daytime, the land is hot,",523.0,"541,1,0,,"
524,524,"""At night, the sea is hot""",524.0,"542,1,0,,"
525,525,"The temperature is different, so the air pressure is different",525.0,"543,1,0,,"
526,526,"Because the temperature difference is different,",526.0,"544,1,0,,"
527,527,Because the sun is setting,527.0,"545,1,0,,"
528,528,"This is because the air pressure moves from high to low, and the wind flows from warm to cold.",528.0,"546,1,0,,"
529,529,This is because the temperature difference between the sea and the land is different.,529.0,"547,1,0,,"
530,530,Because of the temperature difference,530.0,"548,1,0,,"
531,531,"During the day, the temperature of the beach is high and at night, the temperature of the sea is high",531.0,"549,0,0,,"
532,532,I don't know.,532.0,"550,1,0,,"
533,533,Because of the temperature difference,533.0,"551,1,0,,"
534,534,The wind is moving towards the warmer side,534.0,"552,0,0,,"
535,535,Because the earth rotates,535.0,"553,0,0,,"
536,536,The temperature changed,536.0,"554,0,0,,"
537,537,How do I know?,537.0,"555,1,0,,"
538,538,There is a land wind during the day and a sea wind at night,538.0,"556,0,0,,"
539,539,at the time of the earth's door,539.0,"557,0,0,,"
540,540,I know,540.0,"558,0,0,,"
541,541,"Because of the temperature difference,",541.0,"559,0,0,,"
542,542,The direction of the waves is different,542.0,"560,1,0,,"
543,543,"During the day, the temperature of the sand is higher than that of the sea, so the air goes up in the sand, and at night, the temperature of the sea is higher than that of the sand, so the direction of the wind of the day and night is different",543.0,"561,0,0,,"
544,544,"Sand has a large temperature change and sea water does not have a large variation. Because of that, during the day when the sun is hot, the sand is hot, and at night, the sea is hot, so the wind blows toward the sea",544.0,"562,1,0,,"
545,545,The time when the ocean and land are heated up is different,545.0,"563,0,0,,"
546,546,"Because land has a higher rate of temperature change than the sea, during the day the land has a higher temperature and at night the sea has a higher temperature.",546.0,"564,1,0,,"
547,547,The temperature difference between day and night is big,547.0,"565,1,0,,"
548,548,The speed at which the ocean and land are heated varies,548.0,"566,0,0,,"
549,549,"The hot air goes up and the cold air goes down, but it's cold at night and it's hot",549.0,"567,1,0,,"
550,550,"The direction of the wind varies from day to night because the sea heats up slowly, cools down slowly, and cools down quickly, making the land hotter during the hot day than the sea, so the hot air on the land goes toward the sea and the lukewarm air on the sea at night.",550.0,"568,0,0,,569,0,0,,"
551,551,"During the day, the temperature of the sand is higher than that of the sea, so the air goes up in the sand, and at night, the temperature of the sea is higher than that of the sand, so the direction of the wind is different during the day and night",551.0,"570,1,0,,"
552,552,The direction of the wind also changes because the temperature of the sea and land changes during the day and night.,552.0,"571,0,0,,"
553,553,"The heating speed of the sand and the sea is different, which is caused by the circulation of the wind.",553.0,"572,0,0,,"
554,554,It may be because the land is cold at night and the land is hot during the day.,554.0,"573,0,0,,"
555,555,It is because the temperature is different.,555.0,"574,0,0,,"
556,556,Because night and day are different.,556.0,"575,1,0,,"
557,557,Because the temperature is different,557.0,"576,0,0,,"
558,558,This is because the sandy beach is hot during the day and the sea is hot at night.,558.0,"577,1,0,,"
559,559,I don't know.,559.0,"578,0,0,,"
560,560,I don't know,560.0,"579,1,0,,"
561,561,I don't know.,561.0,"580,1,0,,"
562,562,It is because the temperature is different.,562.0,"581,0,0,,"
563,563,I don't know.,563.0,"582,0,0,,"
564,564,I don't know,564.0,"583,1,0,,"
565,565,Because the sea and land are different...?,565.0,"584,1,0,,"
566,566,.,566.0,"585,0,0,,"
567,567,The temperature is different at night and during the day,567.0,"586,0,0,,"
568,568,"The sea is a land full of water, the land is a place where people walk like India, and the night is a dark sky as it means low morning and night means evening",568.0,"587,0,0,,"
569,569,Because the temperature is different between the sea and the land during the day and night,569.0,"588,0,0,,"
570,570,The earth turns itself around.,570.0,"589,0,0,,"
571,571,Because it's hot during the day and cold at night,571.0,"590,0,0,,"
572,572,"During the day, the wind goes from sea to land because the land is hotter, but at night, it goes from land to sea.",572.0,"591,0,0,,"
573,573,Because the windy place is different,573.0,"592,1,0,,"
574,574,"At night, the sea gets cold and the land gets hot in the morning",574.0,"593,1,0,,"
575,575,"During the day, the sea will blow from the sea because the temperature is higher, and at night, the land will blow because the temperature is higher.",575.0,"594,1,0,,"
576,576,I don't know.,576.0,"595,0,1,,"
577,577,"""The sand heats up quickly and cools down quickly, the water heats up slowly and cools down, the hot air rises up and the cold air descends into the Are.",577.0,"596,1,0,,"
578,578,"Also, cold air fills the empty space.",578.0,"597,1,0,,"
579,579,"And the water is warm at night, so the directions are different.""",579.0,"598,0,0,,599,0,0,,"
580,580,I don't know.,580.0,"600,1,0,,"
581,581,It's a secret.,581.0,"601,0,0,,"
582,582,Because there is the sun,582.0,"602,1,0,,"
583,583,I don't know.,583.0,"603,1,0,,"
584,584,There's a different temperature,584.0,"604,0,0,,"
585,585,The tide is divided and the tide?,585.0,"605,0,0,,"
586,586,The temperature in the air,586.0,"606,1,0,,"
587,587,I don't know.,587.0,"607,1,0,,"
588,588,Different temperature of the land and water.,588.0,"608,0,1,,"
589,589,The wind is warm to move towards the disciples because of the time.,589.0,"609,1,0,,"
590,590,?????,590.0,"610,1,0,,"
591,591,Low and the direction of waves of the night is different.,591.0,"611,0,0,,"
592,592,"The land is heated, cooled quickly so as soon as the night on land in the sea during the day the wind.",592.0,"612,0,1,,"
593,593,낮과 밤의 모래사장 온도와 물의 온도가 다르기 때문이다.This is because the movement of the air changes.,593.0,"613,0,1,,"
594,594,I don't know.,594.0,"614,0,1,,"
595,595,I don't know,595.0,"615,1,1,,"
596,596,The hot places are different,596.0,"616,1,0,,"
597,597,It is because the sea wind blows during the day and the land wind blows at night.,597.0,"617,0,0,,"
598,598,?,598.0,"618,1,0,,"
599,599,This is because there is a land wind during the day and a sea wind at night.,599.0,"619,0,0,,"
600,600,The temperature is different between day and night,600.0,"620,0,0,,"
601,601,It's because ond is all different,601.0,"621,0,0,,"
602,602,Because of the temperature difference.,602.0,"622,1,0,,"
603,603,"During the day, the wind blows toward the land because the land is low pressure and the sea is high pressure, and at night, the wind blows toward the sea because the land is high pressure and the sea is low pressure.",603.0,"623,0,0,,"
604,604,"This is because the temperature of sand is higher during the day, but the freezing of water is higher at night.",604.0,"624,1,0,,"
605,605,The temperature of the water and the temperature of the ground vary depending on the day and night,605.0,"625,0,0,,"
606,606,I don't know,606.0,"626,0,0,,"
607,607,This is because the wind flow of the sea and land is different.,607.0,"627,0,0,,"
608,608,The cold and hot places have changed.,608.0,"628,0,0,,629,0,0,,"
609,609,This is because the temperature of the land is hotter during the day and the temperature of the sea is hotter at night.,609.0,"630,1,0,,"
610,610,This is because the temperatures of land and water are different during the day and night.,610.0,"631,1,1,,"
611,611,"Water has a long temperature, but the land cools quickly, so it is the opposite of what is written above",611.0,"632,1,0,,"
612,612,The difference between the tide and the tide?,612.0,"633,1,0,,"
613,613,It's because of the sea wind and the land wind,613.0,"634,0,0,,"
614,614,"At night, the sand cools quickly and blows from land to sea, and during the day, the water heats up faster from sea to land.",614.0,"635,1,0,,"
615,615,"Water has a long temperature, but the land cools quickly, so it is the opposite of what is written above.",615.0,"636,1,0,,"
616,616,The amount of low and high pressure is different,616.0,"637,1,0,,"
617,617,Because the temperature changes,617.0,"638,1,0,,"
618,618,The direction of air convection depends on the temperature,618.0,"639,0,0,,"
619,619,The direction of the wind is different,619.0,"640,1,0,,"
620,620,It is because the amount of high pressure and low pressure is different,620.0,"641,0,0,,"
621,621,The direction in which the wind sees during the day and night is different because the air pressure is different because it is hotter and colder during the day and night.,621.0,"642,1,0,,"
622,622,It is because the air pressure is strong in the face and the air pressure is lowered at night,622.0,"643,0,0,,"
623,623,"It's because of the atmospheric pressure.The ocean doesn't get cold quickly, but there's not much change in temperature This is because the land gets cold quickly and gets very hot.",623.0,"644,1,0,,"
624,624,"The sea does not get cold quickly, but the land gets cold more slowly",624.0,"645,0,0,,"
625,625,solar heat,625.0,"646,1,0,,"
626,626,"This is because the sea has little change in temperature and the land cools faster. Usually, the land on the beach is sand, so it does not cool down quickly.",626.0,"647,1,0,,"
627,627,I don't know.,627.0,"648,1,0,,"
628,628,I don't know.,628.0,"649,1,0,,"
629,629,I don't,629.0,"650,0,0,,"
630,630,This is because the temperature is different between night and day.,630.0,"651,1,0,,"
631,631,I don't know.,631.0,"652,1,0,,"
632,632,"During the day, the temperature of the land is higher, so the wind blows from the land to the sea, and at night, the temperature of the land is lower than that of the sea, so the wind blows from the sea.",632.0,"653,1,0,,"
633,633,I don't know.,633.0,"654,1,0,,"
634,634,The direction of the wind is different,634.0,"655,0,0,,"
635,635,I don't know,635.0,"656,1,0,,"
636,636,a sea breeze,636.0,"657,1,0,,"
637,637,The amount of evaporation during the day and night is different,637.0,"658,1,0,,659,1,0,,"
638,638,The temperature changes during the day and night,638.0,"660,0,0,,"
639,639,The direction of the wind is different because there is a difference in air temperature and air pressure in the sea and land.,639.0,"661,1,0,,"
640,640,This is because the temperature of the sea and land varies depending on day and night.,640.0,"662,1,0,,"
641,641,This is because there is a temperature difference.,641.0,"663,1,0,,"
642,642,Because the speed of circulation is different,642.0,"664,1,0,,"
643,643,This is because the temperature of the air during the day and at night is different.,643.0,"665,1,0,,"
644,644,The temperature changed,644.0,"666,1,0,,"
645,645,"During the day, the sea is colder than the land, so it blows from the sea to the land, and at night, the land is colder than the sea, so the wind blows from the land to the sea",645.0,"667,0,0,,"
646,646,Because the air moves from hot to cold,646.0,"668,0,0,,"
647,647,If you don't know...,647.0,"669,0,0,,"
648,648,"There is a difference in temperature between oil and water (the sand heats up faster than the sea during the day, so the wind blows from the cold sea to the sea because the sand cools faster at night)",648.0,"670,0,0,,"
649,649,I do not remember.,649.0,"671,0,0,,"
650,650,"Hot air goes up and cold air goes down, so the sand beach is hotter during the day due to sunlight and the sea is hotter at night, so the direction of the wind will be different.",650.0,"672,0,0,,"
651,651,…,651.0,"673,1,0,,"
652,652,This is because the temperature of the land is higher during the day and the temperature of the sea is higher at night.,652.0,"674,0,0,,"
653,653,It's supposed to be like that,653.0,"675,1,0,,"
654,654,"Unlike land, which is heated quickly by light and cooled quickly by cold air, the direction is changed due to the sea that is heated slowly by light and cooled slowly by cold air.",654.0,"676,0,0,,"
655,655,"During the day, the land temperature is higher and the sea temperature is higher at night",655.0,"677,0,0,,"
656,656,"This is because the land heats and cools faster than the sea, and the sea heats and cools slower than the land.",656.0,"678,1,0,,"
657,657,"Water has a high specific heat, so the temperature doesn't change much, but the temperature changes when the sun shines and when it doesn't shine on the land",657.0,"679,0,0,,"
658,658,Difference in concentration,658.0,"680,1,0,,"
659,659,Temperature difference,659.0,"681,1,0,,"
660,660,It's because of the temperature difference,660.0,"682,1,0,,"
661,661,The temperature is different.,661.0,"683,0,0,,"
662,662,Because the temperature of the land and the sea is different during the day and night,662.0,"684,0,0,,"
663,663,.,663.0,"685,0,0,,"
664,664,This is because the land is hotter during the day and the sea is relatively hotter at night.,664.0,"686,0,0,,"
665,665,This is because the land heats up quickly during the day and cools quickly at night.,665.0,"687,0,0,,"
666,666,This is because the specific heat is different.,666.0,"688,1,0,,689,0,0,,"
667,667,This is because the temperature of the land is higher than that of the sea during the day and the temperature of the sea at night is higher than that of the,667.0,"690,1,0,,"
668,668,I don't know.,668.0,"691,0,0,,"
669,669,Because the sea is colder than the land during the day and the sea is warmer than the land at night,669.0,"692,0,0,,"
670,670,"Because sand is opaque, it heats up quickly, cools down quickly, and the sea is transparent, so it is not heated quickly, resulting in a temperature difference",670.0,"693,0,0,,"
671,671,"The temperature of the land is high during the day, while the sea is high at night.",671.0,"694,0,0,,"
672,672,"Sand cools and heats quickly because it is opaque, and the sea is transparent, so it heats up late and cools, so wind is generated by temperature differences",672.0,"695,0,0,,"
673,673,"""The opposite direction of the day and night winds on the beach is because the temperatures of the air above the land and the sea are different. During the day, the land heats up faster than the sea",673.0,"696,1,0,,"
674,674,"The heated air on the land rises and fills the empty space created by the air moving from the sea. As the moves like this, the sea breeze blows from the sea to the land.",674.0,"697,0,0,,"
675,675,"On the contrary, at night, when the air above the sea, which is higher than the ground, rises, the empty space is filled by air moving from the land. That's why the wind blows from land to sea at night.",675.0,"698,0,0,,"
676,676,,676.0,"699,0,0,,"
677,677,"""",677.0,"700,1,0,,"
678,678,Because the temperature difference is different,678.0,"701,0,0,,"
679,679,d,679.0,"702,0,0,,"
680,680,The air moves differently,680.0,"703,0,0,,"
681,681,"The direction of the wind is different day and night, such as a land wind or a sea wind.",681.0,"704,1,0,,"
682,682,The direction of the waves is different,682.0,"705,0,0,,"
683,683,Why?,683.0,"706,1,0,,"
684,684,The direction the waves move is different,684.0,"707,0,0,,"
685,685,This is because the temperature is different from each other.,685.0,"708,1,0,,"
686,686,......,686.0,"709,0,0,,"
687,687,The temperature is different,687.0,"710,0,0,,"
688,688,"During the day, hot heat from the ground comes out and the air flows differently",688.0,"711,0,0,,"
689,689,"""There's a land wind in one place",689.0,"712,0,0,,"
690,690,"""",690.0,"713,0,0,,"
691,691,This is because the heating speed of the land and the sea is different.,691.0,"714,1,0,,"
692,692,The wind is differentThis is because the sea heats up slowly and the land heats up quickly,692.0,"715,0,0,,"
693,693,"During the day, the land gets warmer and at night, the sea gets warmer",693.0,"716,1,0,,"
694,694,a difference in temperature difference,694.0,"717,0,0,,"
695,695,be the same as above,695.0,"718,1,0,,719,1,0,,"
696,696,Typhoon direction,696.0,"720,1,1,,"
697,697,I don't know.,697.0,"721,1,0,,"
698,698,I don't know!,698.0,"722,1,0,,"
699,699,There's a difference.,699.0,"723,1,0,,"
700,700,This is because the temperature changes faster on land than on the sea.,700.0,"724,1,0,,"
701,701,??,701.0,"725,1,0,,"
702,702,This is because the temperatures are different from each other.,702.0,"726,1,0,,"
703,703,h,703.0,"727,1,1,,"
704,704,I don't know this,704.0,"728,1,0,,"
705,705,"It's windy during the day, and it's windy at night",705.0,"729,1,1,,"
706,706,The weather is different,706.0,"730,1,0,,"
707,707,"바라Because the direction of the wind changes,",707.0,"731,1,0,,"
708,708,"""The temperature is high during the day,",708.0,"732,1,0,,"
709,709,The temperature is low at night,709.0,"733,0,0,,"
710,710,Hah!,710.0,"734,0,0,,"
711,711,The tide and the ebb have changed,711.0,"735,0,0,,"
712,712,I don't know.,712.0,"736,0,0,,"
713,713,"During the day, the sand is hot and the sea is cold, but at night, the sand is cold and the sea is warm, so the wind blows in the opposite direction.",713.0,"737,0,0,,"
714,714,Hah!,714.0,"738,1,0,,"
715,715,Because there's the sun and the moon,715.0,"739,1,0,,"
716,716,This is because the direction of the wind is different.,716.0,"740,0,0,,"
717,717,The cold wind goes down and the soft wind goes up,717.0,"741,0,0,,"
718,718,Sand is the sea during the day and night,718.0,"742,1,0,,"
719,719,Because the land is hotter during the day and the sea is hotter at night,719.0,"743,0,0,,"
720,720,d,720.0,"744,1,0,,"
721,721,Because the temperature of the air is different between day and night,721.0,"745,0,0,,"
722,722,Just.,722.0,"746,1,0,,"
723,723,It is because there is a land wind and a sea winds.,723.0,"747,1,0,,"
724,724,The place where water evaporates is different,724.0,"748,1,0,,749,1,1,,"
725,725,The wind moves in different directions during the day and night,725.0,"750,0,0,,"
726,726,It's windy at night and on land during the day,726.0,"751,0,0,,"
727,727,"Because the air temperature is different,",727.0,"752,0,0,,"
728,728,It comes up from the sea during the day and from top to bottom at night,728.0,"753,0,0,,"
729,729,"During the day, the temperature of the land (sand) is high, while at night, the temperature of the sea (water) is high. Therefore, the direction of the wind is different because the temperature on the land and the sea is different during the day and night.",729.0,"754,0,0,,"
730,730,The earth turns around,730.0,"755,0,0,,"
731,731,Because cold air goes down and hot air goes up.,731.0,"756,0,0,,"
732,732,"Because the sea is lower in heat than the land, the land with higher heat is hotter during the hot day, so the wind blows from the sea to the land and on cold nights, the land becomes colder due to the higher heat",732.0,"757,0,0,,"
733,733,"During the day, the air temperature on the land side is higher than that of the sea, so the air rises and becomes low pressure. However, the wind blows from high pressure to low pressure, so it blows to land during the day. However, at night, the temperature of the air on the sea side is higher than that of the land, so the air on the sea side rises, and the air on the sea side becomes low pressure, causing the wind to blow toward the sea.",733.0,"758,0,0,,"
734,734,"Due to the difference in specific heat (land specific heat <sea specific heat), the sea gets hotter faster than the land during the day, and the wind blows from the sea to the land at night because the land does not receive sunlight, so the temperature cools down faster and blows to the sea.",734.0,"759,0,0,,"
735,735,"Since the specific heat of the land is small and the specific heat of the sea is large, the temperature of the land is high during the day and the temperature of the sea is low, so the wind blows from the sea to the land at night.",735.0,"760,0,0,,"
736,736,"The reason why the wind blows from the sea to the land during the day is because the hot land air rises up and the sea air fills the empty space, and the wind blows from land to sea because the sea with less temperature difference than the land is hotter at night.",736.0,"761,0,0,,"
737,737,"Rising air currents appear on land because the sandy beach is hotter during the day. Therefore, because the air of the sea moves below it, the wind blows from the sea to the land during the day, and at night, the opposite situation occurs, and the wind blows from the land to the sea.",737.0,"762,0,0,,"
738,738,"This is due to the difference in specific heat between the water constituting the sea and the soil constituting the land. Specific heat refers to the energy required to raise the temperature of an object, which is relatively larger than soil, so water requires more energy than soil to raise the same temperature. When sunlight falls during the day, the land with relatively small heat heats up quickly, raising the air on the land, and the air on the sea descends and blows toward the land, but at night, the air on the sea rises and winds toward the sea.",738.0,"763,0,0,,"
739,739,"During the day, the temperature of the land rises faster, raising the air on the land and blowing wind from the sea to patch up the area. On the contrary, during the day, the temperature of the sea gets colder more slowly, so the air in the sea rises and winds blow from land to sea to make up the area",739.0,"764,0,0,,"
740,740,"This is because there is a change in air density according to the temperature difference between land and sea. Convection occurs due to the difference in specific heat between the sea and the land, and the wind blows toward the sea during the day, and the density of air on the land side decreases at night and the density of air on the sea side is relatively high, causing the wind to blow toward the meat.",740.0,"765,1,0,,"
741,741,The reason why the temperature is different during the day and at night is because the specific heat is different.,741.0,"766,1,0,,"
742,742,"Due to the difference between the specific heat of the sea and the specific heat of the land, the temperature of the land with low specific heat rises rapidly during the day, and the temperature of the sea with high specific heat rises slowly. However, at night, the temperature on land with low specific heat decreases rapidly, and the temperature on the sea with high specific heat decreases slowly, so the temperature is relatively higher than on land. One of the reasons why the wind blows is that there is a difference in the direction of the wind because the temperature is higher during the day and at night.""",742.0,"767,0,0,,"
743,743,"During sunny days, the temperature on land is higher than in the sea. At this time, the air on the land side is also heated and the air rises upward. Then a low pressure is formed on the land side. Then, the relatively high-pressure sea air moves toward the low-pressure land. So during the day, the wind blows from the sea to the land, and at night, the specific heat of the water is larger than that of the land, so the temperature of the sea slowly drops and a low pressure is formed on the sea side. Therefore, high pressure is formed on the land side, so wind blows from the land to the sea.",743.0,"768,0,0,,"
744,744,"During the day, the temperature of the land is higher than the temperature of the sea, so the air from the sea comes in to fill the vacancy of the air from the sea, and at night, the air from the land comes in to fill the vacancy of the air from the sea.",744.0,"769,0,0,,"
745,745,"The temperatures of the sea and land are different during the day and night. During the day, the temperature of the sea rises slowly, but the temperature of the land rises rapidly, so the temperature of the land is higher than that of the sea However, at night, the heat on the land cools quickly, so the temperature on the land decreases a lot, and the sea does not lose heat easily, so the temperature does not decrease much even at night. Therefore, the direction of the wind is also different because the temperature of the sea and land is the opposite during the day and night",745.0,"770,0,0,,"
746,746,"During the day, land with a relatively smaller specific heat than seawater has a higher temperature, but on the contrary, land with a smaller specific heat at night has a lower temperature.",746.0,"771,1,0,,"
747,747,I don't understand.,747.0,"772,0,0,,"
748,748,It's because the sun changes,748.0,"773,0,0,,"
749,749,"It's done by east, west, north, and south",749.0,"774,0,0,,"
750,750,I don't know,750.0,"775,1,0,,"
751,751,Because the direction of the wind is different day and night,751.0,"776,1,0,,"
752,752,"The land is hotter during the day, but the sea is hotter at night",752.0,"777,1,0,,"
753,753,The temperature is wrong,753.0,"778,1,0,,779,1,0,,"
754,754,I don't know.,754.0,"780,0,0,,"
755,755,This is because the heat in the sand cools down.,755.0,"781,1,0,,"
756,756,"Because the heat temperature is different,",756.0,"782,1,0,,"
757,757,I don't understand.,757.0,"783,1,0,,"
758,758,Because of the sea water,758.0,"784,1,0,,"
759,759,"Because the temperature of the sea and land changes day and night,",759.0,"785,1,0,,"
760,760,The ocean heats up slower than the land and cools down,760.0,"786,0,0,,"
761,761,Because of the temperature difference,761.0,"787,0,0,,"
762,762,This is due to the large specific heat of the water.,762.0,"788,0,0,,"
763,763,"During the day, the temperature of the land is higher because the specific heat of the land is small and the temperature rises rapidly, but in the evening, the temperature of the land is lower because the temperature falls sharply. So the direction of the wind is different because the low pressure in the room and the position of the meat rock are changed",763.0,"789,1,0,,"
764,764,I don't know.,764.0,"790,1,0,,"
765,765,I didn't learn it.,765.0,"791,1,0,,"
766,766,Just.,766.0,"792,1,0,,"
767,767,I don't know.,767.0,"793,0,0,,"
768,768,I didn't learn it.,768.0,"794,1,0,,"
769,769,I don't know.,769.0,"795,1,0,,"
770,770,I don't know,770.0,"796,1,0,,"
771,771,I don't know.,771.0,"797,1,0,,"
772,772,It's day and night,772.0,"798,1,0,,"
773,773,Because of the sunlight,773.0,"799,1,0,,"
774,774,Because the earth rotates,774.0,"800,1,0,,"
775,775,I don't know.,775.0,"801,1,0,,"
776,776,I don't know,776.0,"802,1,1,,"
777,777,The answer is the same as above.,777.0,"803,1,0,,"
778,778,the flow of heat,778.0,"804,1,0,,"
779,779,The temperature is different between day and night,779.0,"805,0,0,,"
780,780,"Because the land is hot during the day, the sea is hotter than the land, and at night, the wind blows from the sea to the land.",780.0,"806,0,1,,"
781,781,Pardon?,781.0,"807,0,0,,"
782,782,I don't know,782.0,"808,1,0,,809,1,0,,"
783,783,The air is blowing on the cold side because it is different at night and during the day.,783.0,"810,1,0,,"
784,784,No learning,784.0,"811,1,0,,"
785,785,Because the temperature is different,785.0,"812,1,0,,"
786,786,because of nature,786.0,"813,1,0,,"
787,787,Just.,787.0,"814,1,0,,"
788,788,It's not my part-time job,788.0,"815,0,1,,"
789,789,There is a big difference between water and land heat capacity,789.0,"816,1,0,,"
790,790,This is because the temperature of the beach is high during the day and the temperature of the sea is high at night,790.0,"817,1,0,,"
791,791,"Due to the high specific heat of the sea, the temperature is high even at night, showing the opposite pattern of day at night.The sea with high specific heat has a lower temperature, but the sea with high specific heat has a higher temperature at night.",791.0,"818,0,1,,"
792,792,"During the day, the temperature on the land is higher than the sea, and at night, the temperature on the sea is higher than on the land",792.0,"819,1,0,,"
793,793,This is because the temperature of the land is higher at night and the temperature of the sea is higher during the day.,793.0,"820,1,0,,"
794,794,This is because of the difference in specific heat between the sea and the land.,794.0,"821,1,0,,"
795,795,"This is because the specific heat of the sea is larger than that of the land, so the temperature of the land is higher during the day and the sea is higher at night.",795.0,"822,0,0,,"
796,796,This is because the land heats up faster and cools down faster.,796.0,"823,1,0,,"
797,797,The direction of motion of the air changes during the day and night due to the difference in specific heat between water and sand,797.0,"824,1,0,,"
798,798,"Due to the difference in specific heat, the temperature varies between day and night",798.0,"825,0,0,,"
799,799,the difference in specific heat between land and sea,799.0,"826,0,0,,"
800,800,It's a different proportion,800.0,"827,0,0,,"
801,801,"On land, the specific heat is smaller than water, so the temperature is higher during the day, but it is lower at night, so the wind blows in high temperatures.",801.0,"828,1,0,,"
802,802,This is because the water in the sea has a higher specific heat than the sand on land.,802.0,"829,1,0,,"
803,803,This is because the land gets hotter during the day and cools faster at night.,803.0,"830,1,0,,"
804,804,The temperature of the land during the day and the sea at night is high.,804.0,"831,1,0,,"
805,805,The presence of temperature differences according to the daily temperature range,805.0,"832,1,1,,"
806,806,Sun heat is not transferred,806.0,"833,1,0,,"
