,Unnamed: 0,1) Let's imagine what happens when you collect sunlight with convex lenses,Unnamed: 0,", q49_temperature, q49_refractive, q49_light energy, q49_temperature1, q49_refractive.1,q49_light energy.1"
644,644,I can see it well,644.0,"666,1,1,0,,,"
645,645,The collected part gets hot.,645.0,"667,0,0,0,,,"
646,646,Sunlight is concentrated in the middle.,646.0,"668,1,1,0,,,"
647,647,"The light is concentrated in one place and receives a lot of heat there, so the concentrated part may burn",647.0,"669,1,0,0,,,"
648,648,There's a fire.,648.0,"670,1,0,0,,,"
649,649,"When I see the sunlight, my eyes sting and I feel like I'm going to get rid of them, and I feel hot and paper-like burns",649.0,"671,0,1,0,,,"
650,650,The temperature of the part where the light is gathered increases.,650.0,"672,0,1,0,,,"
651,651,I can see it better,651.0,"673,1,0,0,,,"
652,652,The temperature of the sun's spots will rise,652.0,"674,1,0,0,,,"
653,653,The temperature rises,653.0,"675,0,1,0,,,"
654,654,The light gathers and heats up.,654.0,"676,1,0,0,,,"
655,655,"If you leave an object and reflect the sunlight as it is, the object burns.",655.0,"677,1,0,0,,,"
656,656,The sunlit part of the convex lens will burn.,656.0,"678,1,0,0,,,"
657,657,Fire or shadow,657.0,"679,0,0,0,,,"
658,658,The convex lens can burn ants if they collect sunlight weaker than the light from the Park Geun Hye princess.,658.0,"680,0,1,1,,,"
659,659,It gets hot and there's smoke and fire,659.0,"681,1,0,0,,,"
660,660,Only the middle part of the sun is likely to gather.,660.0,"682,0,1,0,,,"
661,661,Light gathers in one place,661.0,"683,0,0,0,,,"
662,662,The surroundings of the gathered light burn.,662.0,"684,1,0,0,,,"
663,663,The sunburned part burns,663.0,"685,1,1,0,,,"
664,664,Fever can cause burns.,664.0,"686,1,0,0,,,"
665,665,"When sunlight gathers, light gathers, and when sunlight gathers, heat from the sun gathers and catches fire.",665.0,"687,1,0,0,,,"
666,666,Bar,666.0,"688,0,1,0,,,689,1,1,0,,,"
667,667,The temperature rises at the gathering point and burns.,667.0,"690,1,0,0,,,"
668,668,heat generation,668.0,"691,1,1,0,,,"
669,669,There's a fire,669.0,"692,1,1,0,,,"
670,670,Light gathers in one place,670.0,"693,1,1,0,,,"
671,671,be gathered at one point,671.0,"694,1,1,0,,,"
672,672,the temperature rises,672.0,"695,1,0,0,,,"
673,673,It's getting hot,673.0,"696,1,0,0,,,"
674,674,The light is gathering,674.0,"697,1,0,0,,,"
675,675,It's on fire,675.0,"698,1,1,0,,,"
676,676,It's burning,676.0,"699,1,0,0,,,"
677,677,There's a fire,677.0,"700,1,1,0,,,"
678,678,I don't know.,678.0,"701,1,1,0,,,"
679,679,The intensity of the light that gathers at one point becomes stronger,679.0,"702,1,1,0,,,"
680,680,It's getting hot,680.0,"703,1,1,0,,,"
681,681,The energy is gathered in one point,681.0,"704,1,0,0,,,"
682,682,I can see it well,682.0,"705,1,1,0,,,"
683,683,There's a fire.,683.0,"706,1,1,0,,,"
684,684,Sunlight gathers in the middle and burns.,684.0,"707,1,1,0,,,"
685,685,Fireworks form,685.0,"708,1,1,0,,,"
686,686,be heated up,686.0,"709,1,0,1,,,"
687,687,Light gathers in the middle of the convex lens.,687.0,"710,1,1,0,,,"
688,688,to be able to burn something by the concentration of light,688.0,"711,1,1,0,,,"
689,689,Heat it up so it can burn.,689.0,"712,1,0,0,,,"
690,690,The collected part burns,690.0,"713,1,1,0,,,"
691,691,"The convex lens collects light into one place and generates heat, which can cause a fire if left for a long time",691.0,"714,0,1,0,,,"
692,692,Collecting light on paper catches fire.The light that passes through the convex lens will be collected and the paper-like material will burn.,692.0,"715,1,1,0,,,"
693,693,The paper burns / It gets hot,693.0,"716,1,1,0,,,"
694,694,It's on fire,694.0,"717,1,0,0,,,"
695,695,The paper burns,695.0,"718,0,1,0,,,719,1,1,0,,,"
696,696,Collecting light on paper catches fire.,696.0,"720,1,1,0,,,"
697,697,"If you continue to collect sunlight, you will catch fire.",697.0,"721,1,1,0,,,"
698,698,"When light passing through the convex lens gathers, materials such as paper burn.",698.0,"722,1,1,0,,,"
699,699,"When light passing through the convex lens gathers, materials such as paper burn.",699.0,"723,1,0,0,,,"
700,700,"When light passing through the convex lens gathers, materials such as paper burn.",700.0,"724,1,0,0,,,"
701,701,"Because convex lenses refract light, light is gathered to one side and the temperature of the paper will rise to the point of ignition.",701.0,"725,0,0,0,,,"
702,702,"If you put the paper under it, flames, fire, and smoke can come out of the paper.",702.0,"726,0,0,0,,,"
703,703,The light is gathered and burned,703.0,"727,0,0,0,,,"
704,704,Convex lenses can catch fire because light gathers in one place,704.0,"728,1,0,0,,,"
705,705,Smoke comes from where the light is gathered.,705.0,"729,1,0,0,,,"
706,706,"Where the light is gathered, there is smoke and then a fire",706.0,"730,0,1,0,,,"
707,707,Brightness changes and temperatures increase.,707.0,"731,1,0,0,,,"
708,708,"If you shoot a convex lens with light gathered on a white paper, the white paper burns",708.0,"732,1,0,0,,,"
709,709,"If you put it on black paper and shoot it, it'll burn. It'll take about an hour for a man to warm up",709.0,"733,1,1,0,,,"
710,710,"When the convex lens is illuminated on the white paper, the heat rises and burns on the white paper.",710.0,"734,1,1,0,,,"
711,711,"When you shoot a bullock lens with a collection of leaves on a white paper, the paper catches fire.",711.0,"735,0,0,0,,,"
712,712,Light gathers in the middle,712.0,"736,0,0,0,,,"
713,713,"By collecting light with a convex lens, the object in the middle of the convex lens burns.",713.0,"737,1,0,0,,,"
714,714,"What happens when you collect sunlight with a convex lens is that you can collect sunlight with a convex lens, so if you put it in one place and wait, the object burns",714.0,"738,1,1,0,,,"
715,715,Heat is generated,715.0,"739,0,0,0,,,"
716,716,Light gathers in the middle,716.0,"740,0,1,0,,,"
717,717,Sunlight gathers and the matter burns.,717.0,"741,0,0,0,,,"
718,718,The part where the light is gathered starts to burn.,718.0,"742,0,0,0,,,"
719,719,"Where the sunlight gathers, it catches fire.",719.0,"743,0,0,0,,,"
720,720,Sunlight gathers to generate heat,720.0,"744,0,0,0,,,"
721,721,It's on fire,721.0,"745,0,0,1,,,"
722,722,It's burning,722.0,"746,1,1,0,,,"
723,723,Sunlight is dispersed,723.0,"747,1,0,0,,,"
724,724,Sunlight is dispersed,724.0,"748,1,0,0,,,749,1,0,0,,,"
725,725,I don't know.,725.0,"750,1,0,0,,,"
726,726,The temperature is going up,726.0,"751,1,0,0,,,"
727,727,There's a fire,727.0,"752,1,1,0,,,"
728,728,Light gathers in one place,728.0,"753,0,1,0,,,"
729,729,It's on fire,729.0,"754,1,0,0,,,"
730,730,There's a fire,730.0,"755,1,0,0,,,"
731,731,Hot light forms in one place.,731.0,"756,0,1,0,,,"
732,732,Hot light forms in one place.,732.0,"757,1,1,0,,,"
733,733,The light is spreading.,733.0,"758,0,1,0,,,"
734,734,The light is reflected.,734.0,"759,1,0,0,,,"
735,735,The temperature rises at that point.,735.0,"760,0,0,0,,,"
736,736,The light gathers and the temperature of the gathered area rises,736.0,"761,1,0,0,,,"
737,737,The light spreads.,737.0,"762,1,0,0,,,"
738,738,Light gathers in one place,738.0,"763,0,1,0,,,"
739,739,apply properties to convex lenses,739.0,"764,0,1,0,,,"
740,740,I don't know,740.0,"765,0,1,0,,,"
741,741,I don't know.,741.0,"766,1,0,0,,,"
742,742,I don't know.,742.0,"767,1,0,0,,,"
743,743,"If you look at it, it's my real name",743.0,"768,1,0,0,,,"
744,744,Intensive heat transfer,744.0,"769,1,1,0,,,"
745,745,It's getting hot,745.0,"770,0,0,1,,,"
746,746,to be able to ride,746.0,"771,1,1,0,,,"
747,747,It's on fire,747.0,"772,1,0,0,,,"
748,748,Fire,748.0,"773,1,0,0,,,"
749,749,The heat gathers and the fire breaks out,749.0,"774,1,0,0,,,"
750,750,"Where the sunlight gathers, the substances burn",750.0,"775,1,0,0,,,"
751,751,Light gathers in one place,751.0,"776,0,1,0,,,"
752,752,There's a fire,752.0,"777,0,1,0,,,"
753,753,heat generation,753.0,"778,1,1,0,,,779,0,0,0,,,"
754,754,Collect a wide range of light into one place.,754.0,"780,0,0,0,,,"
755,755,Light can be concentrated in one place and burn an object.,755.0,"781,0,0,0,,,"
756,756,Light gathers at a point.,756.0,"782,1,0,0,,,"
757,757,It's on fire.,757.0,"783,0,1,1,,,"
758,758,I can see your eyes well You can see the refracted light coming into the retina as it gets into your eyes,758.0,"784,0,1,0,,,"
759,759,to be able to burn ants,759.0,"785,0,0,0,,,"
760,760,There's a fire,760.0,"786,1,0,0,,,"
761,761,The light deflects without going straight.,761.0,"787,0,1,0,,,"
762,762,The light is brought together.,762.0,"788,1,0,0,,,"
763,763,Gather the light,763.0,"789,0,1,0,,,"
764,764,The fire breaks out while heating,764.0,"790,0,1,0,,,"
765,765,Heated,765.0,"791,1,0,0,,,"
766,766,It's getting hot.,766.0,"792,0,0,0,,,"
767,767,"Things happen, such as light converges and the temperature at that point increases.",767.0,"793,0,1,0,,,"
768,768,the intensity of light,768.0,"794,1,0,0,,,"
769,769,Light gathers in focus and the object in focus burns,769.0,"795,1,1,0,,,"
770,770,It's getting hot.,770.0,"796,0,0,0,,,"
771,771,The temperature of the light receiving part increases.,771.0,"797,0,1,0,,,"
772,772,The gathering part gets hot.,772.0,"798,1,0,0,,,"
773,773,A fire can break out. A typical example is a magnifying glass that collects sunlight.,773.0,"799,1,1,0,,,"
774,774,Light gathers well.,774.0,"800,1,1,1,,,"
775,775,The light is gathering,775.0,"801,1,0,0,,,"
776,776,The light is gathered and burned,776.0,"802,1,1,0,,,"
777,777,It looks convex,777.0,"803,1,1,0,,,"
778,778,I don't understand.,778.0,"804,1,1,0,,,"
779,779,It looks big.,779.0,"805,1,0,0,,,"
780,780,There's a fire,780.0,"806,1,1,0,,,"
781,781,The light gathers and becomes stronger,781.0,"807,0,1,1,,,"
782,782,gather in one place,782.0,"808,0,1,0,,,809,1,1,0,,,"
783,783,I don't know.,783.0,"810,1,0,0,,,"
784,784,It's burning,784.0,"811,1,1,0,,,"
785,785,"When sunlight gathers into focus, it will spread further and further away from focus.",785.0,"812,1,1,0,,,"
786,786,The temperature rises.,786.0,"813,1,0,0,,,"
787,787,Sunlight gathers well.,787.0,"814,1,1,0,,,"
788,788,"The sun is incident parallel to the convex lens. Therefore, it is concentrated in focus.",788.0,"815,1,1,0,,,"
789,789,It catches fire.,789.0,"816,1,1,0,,,"
790,790,I don't know.,790.0,"817,1,1,0,,,"
791,791,"Sunlight gathers into the focus of the convex lens.As light gathers in one place, the target's heat rises.",791.0,"818,1,1,0,,,"
792,792,"Because energy is concentrated, something can be burned.",792.0,"819,1,0,0,,,"
793,793,wtf,793.0,"820,0,0,0,,,"
794,794,The light gathers.,794.0,"821,0,0,0,,,"
795,795,It's hot.,795.0,"822,1,0,0,,,"
796,796,Sunlight refracts and temperatures rise in one place,796.0,"823,1,1,0,,,"
797,797,A lot of light gathers at the point where sunlight gathers and a lot of heat is generated.,797.0,"824,1,0,0,,,"
798,798,The gathered part gets hot,798.0,"825,0,0,0,,,"
799,799,"When sunlight is collected, heat is concentrated in one place, which can burn substances.",799.0,"826,1,0,0,,,"
800,800,"The convex lens focuses the incoming light. When sunlight is collected, sunlight entering in various directions can be collected at the focal point of the convex lens, and the temperature can be raised a lot at that position.",800.0,"827,1,0,0,,,"
801,801,The place is on fire because the sunlight is condensed.,801.0,"828,1,0,0,,,"
802,802,It's on fire,802.0,"829,1,0,0,,,"
803,803,The sun's light energy is concentrated in a narrow area and the temperature rises.,803.0,"830,1,0,0,,,"
804,804,"Light energy gathers. It may be less, but it is omitted because there is not enough time.",804.0,"831,0,0,0,,,"
805,805,Sunlight gathers in one place.,805.0,"832,0,1,0,,,"
806,806,The light is gathered and it gets hot.,806.0,"833,0,0,0,,,"
807,807,"When you collect sunlight with a lens, things burn. (Sunlight energy contains heat energy)",807.0,"834,1,1,0,,,"
808,808,"Convex lenses have the property that straight light is refracted and collected at one point. Therefore, by bringing sunlight together into a single point with a convex lens, that point will be burned.",808.0,"835,1,0,0,,,"
809,809,"When sunlight is collected with convex lenses, light is refracted and gathered into one point, and when sunlight is collected into one point, solar energy is concentrated into one point, and the temperature gradually rises. Due to the increased temperature, the temperature rises above the ignition point and catches fire.",809.0,"836,0,0,0,,,"
810,810,"When sunlight is collected with a convex lens, if there is a de-material, oxygen is supplied and the temperature rises above the ignition point. If that happens, it will burn because it meets the conditions to catch fire.",810.0,"837,0,0,0,,,"
811,811,"If you collect sunlight using convex lenses, you can collect heat and burn materials.",811.0,"838,0,0,0,,,839,1,0,0,,,"
812,812,a shortage of time,812.0,"840,1,0,0,,,"
813,813,"When sunlight is collected, it becomes possible for the heat of sunlight to gather in one place and light it.",813.0,"841,1,0,0,,,"
814,814,Light collects and generates heat.,814.0,"842,1,0,0,,,"
815,815,"A convex lens is a lens that collects light. Therefore, when sunlight with strong heat energy is collected, the focus area becomes fire or hot.",815.0,"843,0,0,0,,,"
816,816,It's burning.,816.0,"844,1,0,0,,,"
817,817,I'm sorry.,817.0,"845,0,1,1,,,"
818,818,..,818.0,"846,1,0,0,,,"
819,819,The fire is burning,819.0,"847,1,0,0,,,"
820,820,It's coming together,820.0,"848,1,1,0,,,"
821,821,"As smoke gradually rises, certain parts burn black.",821.0,"849,1,1,0,,,"
822,822,Nothing happens.,822.0,"850,1,0,0,,,"
823,823,Flames and smoke.,823.0,"851,1,0,0,,,"
824,824,The temperature of the circumferential surface of the convex lens increases and a fire may occur.,824.0,"852,0,1,0,,,"
825,825,Fire,825.0,"853,1,1,0,,,"
826,826,A fire breaks out.,826.0,"854,1,1,0,,,"
827,827,It's burning,827.0,"855,1,0,0,,,"
828,828,M and D,828.0,"856,1,0,0,,,"
829,829,Sunlight gathers in one place.,829.0,"857,1,1,0,,,"
830,830,The light is spreading,830.0,"858,1,1,0,,,"
831,831,The sunlight collects and heats up the area,831.0,"859,1,1,0,,,"
832,832,There's a fire.,832.0,"860,1,0,0,,,"
833,833,I don't know.,833.0,"861,0,0,0,,,"
834,834,.,834.0,"862,1,0,0,,,"
835,835,I don't know.,835.0,"863,1,1,0,,,"
836,836,"If you put the paper on it, the paper burns",836.0,"864,0,1,0,,,"
837,837,There's a fire,837.0,"865,1,0,1,,,"
838,838,There's a fire,838.0,"866,1,1,0,,,"
839,839,There's a fire.,839.0,"867,1,0,0,,,"
840,840,spread without gathering together,840.0,"868,1,0,0,,,869,1,0,0,,,"
841,841,There's a fire,841.0,"870,1,0,0,,,"
842,842,Light gathers and becomes stronger,842.0,"871,1,1,0,,,"
843,843,A fire breaks out because of the heat,843.0,"872,0,0,0,,,"
844,844,It's burning,844.0,"873,1,1,0,,,"
845,845,The temperature rises where the light gathers,845.0,"874,1,1,0,,,"
846,846,There's a fire in the middle,846.0,"875,1,0,0,,,"
847,847,It's a target,847.0,"876,1,0,0,,,"
848,848,There's a fire,848.0,"877,1,1,0,,,"
849,849,Sunlight gathers in one place.,849.0,"878,1,0,0,,,"
850,850,The middle is hotter than the edge,850.0,"879,1,1,0,,,"
851,851,Light gathers and a fire breaks out,851.0,"880,1,1,0,,,"
852,852,It's burning.,852.0,"881,1,1,0,,,"
853,853,Flames fly.,853.0,"882,1,1,0,,,"
854,854,"As light gathers in the middle, it heats up or burns",854.0,"883,1,1,0,,,"
855,855,I only ride the seats where the sunlight is gathered.,855.0,"884,1,1,0,,,"
856,856,The heat of the gathered light rises,856.0,"885,1,1,0,,,"
857,857,There's a fire,857.0,"886,1,0,0,,,"
858,858,.............,858.0,"887,1,0,0,,,"
859,859,a fire breaks out,859.0,"888,1,0,0,,,"
860,860,The light is reflected and the light gathers in different positions,860.0,"889,1,0,0,,,"
861,861,The sunlight gathers in the middle,861.0,"890,1,0,0,,,"
862,862,The temperature rises and brightens.,862.0,"891,1,0,0,,,"
863,863,Light gathers.,863.0,"892,1,0,0,,,"
864,864,It's burning,864.0,"893,1,0,0,,,"
865,865,It's burning,865.0,"894,1,1,0,,,"
866,866,The paper burns because of light and heat,866.0,"895,1,0,0,,,"
867,867,The paper burns because of light and heat.,867.0,"896,1,1,0,,,"
868,868,Collect the light and heat it up.,868.0,"897,1,0,0,,,"
869,869,Nothing happens,869.0,"898,1,0,0,,,899,0,1,0,,,"
870,870,The collected sunlight may heat up and cause things to burn,870.0,"900,1,0,0,,,"
871,871,The collected part gets hot,871.0,"901,1,0,0,,,"
872,872,to be able to burn paper,872.0,"902,1,0,0,,,"
873,873,Objects with paper-like properties can be burned.,873.0,"903,0,1,0,,,"
874,874,The light gathers in the middle and the temperature rises,874.0,"904,1,0,0,,,"
875,875,The paper burns,875.0,"905,1,1,1,,,"
876,876,"When you collect sunlight with a convex lens, light gathers in the middle. If you gather like this, it can generate a lot of heat, so it catches fire.",876.0,"906,1,0,0,,,"
877,877,"If there is paper at the bottom, the light gathered in the middle will go down and the paper at the bottom will burn.",877.0,"907,1,0,0,,,"
878,878,The light gathers in the middle and the temperature rises,878.0,"908,0,1,0,,,"
879,879,"The lenses are convex, so they're gathered in the center.to be able to heat up",879.0,"909,1,0,0,,,"
880,880,A fire breaks out at the gathering place,880.0,"910,1,0,0,,,"
881,881,A fire breaks out at the gathering place,881.0,"911,0,0,0,,,"
882,882,Sunlight gathers in one place and heats up,882.0,"912,1,1,0,,,"
883,883,"Where the light goes, it will get hot",883.0,"913,1,0,0,,,"
884,884,"If there is anything to ride, it burns.",884.0,"914,1,0,0,,,"
885,885,The temperature of the thermometer increases when the desiccant is burned by the heat of light,885.0,"915,0,1,0,,,"
886,886,The temperature rises where it is gathered,886.0,"916,0,1,0,,,"
887,887,"When sunlight is collected with convex lenses, light is generated, and if you place the paper underneath it, you can see the paper burns",887.0,"917,1,1,0,,,"
888,888,"Hot light will form and put the paper underneath it, and the paper will burn.",888.0,"918,1,1,0,,,"
889,889,Put paper under it and it burns.,889.0,"919,0,1,0,,,"
890,890,"The paper underneath will burnBy collecting sunlight well, paper or de-materials can burn slowly.",890.0,"920,1,1,0,,,"
891,891,You can burn paper lanterns that burn well.,891.0,"921,1,0,0,,,"
892,892,I think I can burn paper if I collect sunlight with convex lenses.,892.0,"922,0,1,0,,,"
893,893,The heat is hot enough to make a hole in the paper.,893.0,"923,0,1,0,,,"
894,894,"If you put a black paper under the lens, the paper burns because of the lens",894.0,"924,1,1,0,,,"
895,895,Convex lenses have the property of refracting light and are likely to be reflected by sunlight.,895.0,"925,1,1,0,,,"
896,896,The paper burns because you can see the sunlight,896.0,"926,1,0,0,,,"
897,897,There's a fire,897.0,"927,1,0,0,,,"
898,898,Paper burns on fire,898.0,"928,1,0,0,,,929,1,1,0,,,"
899,899,I think we're going to gather in the middle,899.0,"930,1,0,0,,,"
900,900,It burns or gets hot,900.0,"931,1,1,0,,,"
901,901,Fire. Light up in the middle.,901.0,"932,1,0,0,,,"
902,902,The paper burns,902.0,"933,0,1,0,,,"
903,903,"If it's black paper, we can light it up",903.0,"934,1,1,0,,,"
904,904,I think I can collect the light,904.0,"935,0,0,0,,,"
905,905,"Due to the nature of the convex lens, it emits strong sunlight that also ignites.",905.0,"936,1,0,0,,,"
906,906,The temperature will be higher.,906.0,"937,0,0,0,,,"
907,907,It's because it spreads,907.0,"938,0,0,0,,,"
908,908,It can be concentrated in one place to heat and light paper.,908.0,"939,0,0,0,,,"
909,909,The paper heats up the paper.,909.0,"940,0,0,0,,,"
910,910,The paper is crooked,910.0,"941,0,1,0,,,"
911,911,Sunlight gathers in the middle of the convex.,911.0,"942,1,1,0,,,"
912,912,The light is bent to the thick part of the convex lens and the light is gathered in the middle,912.0,"943,1,0,0,,,"
913,913,"The places you have collected will turn hot and if you collect a lot, you will likely catch a fire.",913.0,"944,0,1,0,,,"
914,914,The heat is applied to the collected place and the part burns.,914.0,"945,0,1,0,,,"
915,915,"Because light gathers in thick parts, light gathers only in the middle.",915.0,"946,0,0,0,,,"
916,916,The collected part will be hotter than the others.,916.0,"947,0,0,0,,,"
917,917,a fiery man,917.0,"948,0,0,0,,,"
918,918,Light is concentrated in one place,918.0,"949,0,0,0,,,"
919,919,The light is gathering,919.0,"950,1,0,0,,,"
920,920,Light can gather at the edge and heat up to make a fire.,920.0,"951,1,0,0,,,"
921,921,The gathering place is hot,921.0,"952,1,0,0,,,"
922,922,There's a fire.,922.0,"953,1,0,0,,,"
923,923,"""I can make a fire.",923.0,"954,1,0,0,,,"
924,924,"""",924.0,"955,1,0,0,,,"
925,925,It burns under the sunlight of the de-matter under the convex lens.,925.0,"956,0,0,0,,,"
926,926,The temperature rises as heat gathers,926.0,"957,0,1,0,,,"
927,927,I have a fever and the paper burns,927.0,"958,0,0,0,,,959,1,1,0,,,"
928,928,Light gathers in one place and burns,928.0,"960,1,0,0,,,"
929,929,It's getting hot,929.0,"961,1,1,0,,,"
930,930,Sunlight is gathering,930.0,"962,0,0,0,,,"
931,931,"If you gather in the middle, it's much hotter than the rest. And if you collect heat, you can make fire",931.0,"963,1,0,0,,,"
932,932,I have no idea.,932.0,"964,0,0,0,,,"
933,933,I think convex lenses can burn if they get too close to the sunlight,933.0,"965,1,1,0,,,"
934,934,.,934.0,"966,0,1,0,,,"
935,935,I don't know,935.0,"967,1,1,1,,,"
936,936,.,936.0,"968,1,1,0,,,"
937,937,I think the lights will be reflected,937.0,"969,1,1,0,,,"
938,938,Sunlight gathers in the middle.,938.0,"970,0,0,0,,,"
939,939,"When the heat of the sun is concentrated and the paper is placed in the concentrated area, the paper burns.",939.0,"971,0,0,0,,,"
940,940,The temperature is going up,940.0,"972,0,0,0,,,"
941,941,Light will gather into one place.,941.0,"973,0,0,0,,,"
942,942,Light gathers in one place,942.0,"974,0,0,0,,,"
943,943,I don't know.,943.0,"975,0,0,0,,,"
944,944,I don't know,944.0,"976,0,0,0,,,"
945,945,..distant,945.0,"977,0,0,0,,,"
946,946,I don't know,946.0,"978,0,1,0,,,"
947,947,Put it on the paper and it will catch fire,947.0,"979,0,0,0,,,"
948,948,It's burning,948.0,"980,0,0,0,,,"
949,949,It's burning,949.0,"981,1,1,0,,,"
950,950,There's a fire.,950.0,"982,0,0,0,,,"
951,951,There's a fire,951.0,"983,0,0,0,,,"
952,952,There's a fire,952.0,"984,0,0,0,,,"
953,953,I can't collect sunlight,953.0,"985,1,0,0,,,"
954,954,It's refracting,954.0,"986,0,0,0,,,"
955,955,The light spreads.,955.0,"987,0,0,0,,,"
956,956,"If you put an object like black paper, heat can gather and burn.",956.0,"988,0,0,0,,,989,0,0,1,,,"
957,957,There's a fire,957.0,"990,0,0,0,,,"
958,958,Light collects and burns objects in some cases,958.0,"991,0,0,1,,,"
959,959,It's impossible,959.0,"992,0,0,0,,,"
960,960,"Collected light can burn objects at high temperatures, in some cases",960.0,"993,1,0,0,,,"
961,961,The light spreads.,961.0,"994,0,1,0,,,"
962,962,"Because convex lenses have the property of collecting light into one place, for example, paper can catch fire if there is paper where light is collected.",962.0,"995,0,0,0,,,"
963,963,Sunlight is gathering,963.0,"996,0,1,0,,,"
964,964,"The middle part is thicker than the edge, so light is refracted from the edge part and gathers to the center part, so light and heat gather. Therefore, collecting sunlight with convex lenses will make it brighter, and the temperature will rise.",964.0,"997,1,0,0,,,"
965,965,Smoke comes from the gathering,965.0,"998,0,0,0,,,"
966,966,Light gathers in one place and burns,966.0,"999,1,0,0,,,"
967,967,I don't know,967.0,"1000,0,1,0,,,"
968,968,I don't know,968.0,"1001,1,1,0,,,"
969,969,The light is reflected,969.0,"1002,0,1,0,,,"
970,970,The light is likely to reflect.,970.0,"1003,1,0,0,,,"
971,971,My eyes are shining,971.0,"1004,1,0,0,,,"
972,972,I don't know,972.0,"1005,1,0,0,,,"
973,973,I don't know,973.0,"1006,1,0,0,,,"
974,974,I don't know because I didn't learn it,974.0,"1007,1,0,0,,,"
975,975,I think there's going to be a refraction,975.0,"1008,1,1,0,,,"
976,976,You have not learned refraction/refraction.,976.0,"1009,1,0,0,,,"
977,977,I don't know.,977.0,"1010,1,1,0,,,"
978,978,I think the sunlight will gather in the middle and catch fire,978.0,"1011,1,1,0,,,"
979,979,I think the light will reflect,979.0,"1012,1,1,0,,,"
980,980,I don't know because I didn't learn it.,980.0,"1013,1,0,0,,,"
981,981,I don't know.,981.0,"1014,0,0,0,,,"
982,982,to be able to cause a fire,982.0,"1015,1,0,0,,,"
983,983,When you make a fire in the wild.,983.0,"1016,0,0,0,,,"
984,984,I don't know.,984.0,"1017,0,1,0,,,"
985,985,I don't know,985.0,"1018,1,1,0,,,1019,0,0,0,,,"
986,986,I think it'll look brighter.,986.0,"1020,0,1,0,,,"
987,987,I don't know!,987.0,"1021,1,0,0,,,"
988,988,My eyes are going to hurt.,988.0,"1022,0,1,0,,,"
989,989,I don't know.I'm getting a fever,989.0,"1023,0,0,0,,,"
990,990,Light gathers in one spot,990.0,"1024,0,0,0,,,"
991,991,I don't know,991.0,"1025,1,1,0,,,"
992,992,The light is refracted,992.0,"1026,1,1,1,,,"
993,993,It's getting hot,993.0,"1027,1,1,0,,,"
994,994,?,994.0,"1028,0,0,0,,,"
995,995,It's getting hot,995.0,"1029,1,1,0,,,"
996,996,It's refracting,996.0,"1030,1,1,0,,,"
997,997,The part where the sunlight is gathered catches fire,997.0,"1031,0,1,0,,,"
998,998,Collecting light,998.0,"1032,0,1,0,,,"
999,999,Heat is generated,999.0,"1033,1,1,0,,,"
1000,1000,The temperature is getting hot,1000.0,"1034,1,0,0,,,"
1001,1001,a fiery man,1001.0,"1035,1,1,0,,,"
1002,1002,The fire is burning,1002.0,"1036,0,1,0,,,"
1003,1003,There's a fire,1003.0,"1037,0,1,0,,,"
1004,1004,The temperature of the place where the light is gathered increases,1004.0,"1038,1,1,0,,,"
1005,1005,The convex lens gets hot.,1005.0,"1039,1,0,0,,,"
1006,1006,"As it gathers, it burns when it's placed on black paper",1006.0,"1040,1,0,0,,,"
1007,1007,Heat is generated in one area and can be burned if collected for a long time,1007.0,"1041,1,0,0,,,"
1008,1008,The part burns because the light is concentrated in one place and energy is concentrated there.,1008.0,"1042,0,0,0,,,"
1009,1009,There's a fire,1009.0,"1043,1,0,0,,,"
1010,1010,I don't know,1010.0,"1044,1,0,0,,,"
1011,1011,The ants are burning. I'll give you a ride on your head,1011.0,"1045,1,0,0,,,"
1012,1012,I don't want to,1012.0,"1046,1,0,0,,,"
1013,1013,"Since the middle part is thicker than the edge, it will refract sunlight and collect it in one place.",1013.0,"1047,1,1,0,,,"
1014,1014,The middle part is getting hot,1014.0,"1048,0,1,0,,,1049,1,0,0,,,"
1015,1015,Well,1015.0,"1050,1,1,1,,,"
1016,1016,Sunlight gathers at the focus of the convex lens.,1016.0,"1051,0,1,0,,,"
1017,1017,It can burn ants.,1017.0,"1052,1,0,0,,,"
1018,1018,The light is gathering,1018.0,"1053,1,0,0,,,"
1019,1019,"Hair loss, hair loss",1019.0,"1054,1,1,0,,,"
1020,1020,You can kill ants through the lens.,1020.0,"1055,1,1,0,,,"
1021,1021,Heat is generated in the gathered area,1021.0,"1056,1,1,0,,,"
1022,1022,Strong light gathers to generate heat,1022.0,"1057,0,0,0,,,"
1023,1023,"Concentrating a point of light concentrates energy. With that energy, you can burn paper, etc",1023.0,"1058,1,1,0,,,"
1024,1024,It's getting stronger,1024.0,"1059,1,0,0,,,"
1025,1025,You can collect light and burn something like black paper.,1025.0,"1060,0,1,0,,,"
1026,1026,"When sunlight is collected, sunlight is concentrated at the gathering point, so you can cook there and eat delicious pork belly, and if you can't make a fire, you can use convex lenses to make a fire.",1026.0,"1061,0,1,0,,,"
1027,1027,Solar energy radiation increases at the point where sunlight gathers.,1027.0,"1062,1,1,0,,,"
1028,1028,"When parallel sunlight passes through the convex lens, the focus is focused on the convex side.",1028.0,"1063,0,0,0,,,"
1029,1029,Light collection temperature rises in focus very hot fire can occur,1029.0,"1064,1,0,0,,,"
