,Unnamed: 0,"16. The particles that make up the material do not stay still and move constantly on their own. This is called particle motion, and what are some of the natural phenomena caused by particle motion? Let's explain it in detail using our knowledge of particle motion. ",Unnamed: 0,", q16_Diffusion, q16_Atmosphere, q16_Heat conduction, q16_State change, q16_Diffusion1, q16_Atmospheric pressure1, q16_Heat conduction1, q16_State change.1"
632,632,static electricity,632.0,"653,0,0,0,0,,,,"
633,633,a hurricane,633.0,"654,0,0,0,0,,,,"
634,634,the flow of liquid,634.0,"655,0,0,0,0,,,,"
635,635,I don't know. Sorry,635.0,"656,0,0,0,0,,,,"
636,636,the spread of smell,636.0,"657,0,0,0,0,,,,"
637,637,a hurricane,637.0,"658,0,0,0,0,,,,659,0,0,0,0,,,,"
638,638,Fire,638.0,"660,0,0,0,0,,,,"
639,639,the flow of liquid,639.0,"661,0,0,0,0,,,,"
640,640,a wave of water,640.0,"662,0,0,0,0,,,,"
641,641,"""Water boils at 100 degrees. As the temperature increases, the movement of the particles in the water becomes active, and the number of collisions increases, which releases a large amount of heat.",641.0,"663,1,0,0,1,,,,"
642,642,"When it reaches 100 degrees, water vaporizes into water vapor by boiling.""",642.0,"664,0,0,0,0,,,,"
643,643,Fire,643.0,"665,0,0,0,0,,,,"
644,644,I think it's an earthquake,644.0,"666,1,0,0,0,,,,"
645,645,"Earthquake, bungeo-ppe",645.0,"667,1,0,0,0,,,,"
646,646,I don't know.,646.0,"668,0,0,0,0,,,,"
647,647,"""Temperature means how actively a particle moves, and in science it is usually called thermal energy.",647.0,"669,0,0,0,0,,,,"
648,648,,648.0,"670,0,0,0,0,,,,"
649,649,"Of course, the higher the temperature, the faster the particle vibrates.",649.0,"671,0,0,0,0,,,,"
650,650,"When the temperature rises, solids or liquids do not increase their volume significantly because they are relatively attached to each other (as compared to gases), but in gases, the volume increases as the particles vibrate actively, which is called Charles' Law.""",650.0,"672,1,0,0,1,,,,"
651,651,when the water freezes,651.0,"673,0,0,0,0,,,,"
652,652,"When the water freezes and the particles move,",652.0,"674,0,0,0,0,,,,"
653,653,when the water freezes,653.0,"675,0,0,0,0,,,,"
654,654,"As the water freezes, the particles change more and more regularly",654.0,"676,0,0,0,0,,,,"
655,655,the freezing of liquid water and turning it into a solid,655.0,"677,0,0,0,0,,,,"
656,656,"Just as the air in the world circulates, I think the movement of particles acts on various objects and nature.",656.0,"678,0,0,0,0,,,,"
657,657,A liquid turns into a solid,657.0,"679,0,0,0,0,,,,"
658,658,"The water particles move on their own, and the water in the fish tank evaporates, and the perfume particles move on their own and the smell spreads.",658.0,"680,0,0,0,0,,,,"
659,659,"The water particles move on their own, and the water in the fish tank evaporates, and the perfume particles move on their own and the smell spreads.",659.0,"681,0,0,0,0,,,,"
660,660,"The water particles move on their own, the water in the fish tank evaporates, and the perfume particles move on their own, and the smell spreads.",660.0,"682,0,0,0,0,,,,"
661,661,Water evaporates when hot water is poured.,661.0,"683,0,0,0,0,,,,"
662,662,The smell spreads but smells,662.0,"684,0,0,0,0,,,,"
663,663,"When water is boiled in a pot, it evaporates into gas and flies away",663.0,"685,0,0,0,0,,,,"
664,664,Water evaporates,664.0,"686,0,0,0,0,,,,"
665,665,"If you spray perfume, the particles move on their own",665.0,"687,0,0,0,0,,,,"
666,666,"When the water is poured, the water particles evaporate and the water decreases gradually.",666.0,"688,0,0,0,0,,,,689,0,0,0,0,,,,"
667,667,"When the water is poured, the water particles evaporate and the water decreases gradually. When you spray perfume, the particles exercise and the smell spreads.",667.0,"690,0,0,0,0,,,,"
668,668,"There is evaporation, and an example of evaporation is that the wet laundry dries.",668.0,"691,0,0,0,0,,,,"
669,669,"Because the particles of water move by themselves, the water in the fish tank evaporates, and the particles come out by themselves",669.0,"692,0,0,0,0,,,,"
670,670,"The wind blows, and the smell of perfume spreads.",670.0,"693,0,0,0,0,,,,"
671,671,"Because the water particles moved by themselves, the water in the fish tank evaporated, and the perfume particles moved by themselves",671.0,"694,0,0,0,0,,,,"
672,672,"Because the water particles moved by themselves, the water in the fish tank evaporated, and the perfume particles moved by themselves,",672.0,"695,0,0,0,1,,,,"
673,673,"The water particles move by themselves, the water in the fish tank evaporates, and the perfume particles move by themselves, spreading the smell",673.0,"696,0,0,0,0,,,,"
674,674,I don't know.,674.0,"697,0,0,0,0,,,,"
675,675,Unknowingness,675.0,"698,0,0,0,0,,,,"
676,676,Mr,676.0,"699,0,0,0,0,,,,"
677,677,I don't understand.,677.0,"700,0,0,0,0,,,,"
678,678,Mr,678.0,"701,0,0,0,0,,,,"
679,679,"""",679.0,"702,0,0,0,0,,,,"
680,680,I don't understand.,680.0,"703,0,0,0,0,,,,"
681,681,"""",681.0,"704,0,0,0,0,,,,"
682,682,(Playing the guitar sound,682.0,"705,0,0,0,0,,,,"
683,683,Mr,683.0,"706,0,0,0,0,,,,"
684,684,I don't understand.,684.0,"707,0,0,0,0,,,,"
685,685,Mall,685.0,"708,0,0,0,0,,,,"
686,686,I don't know,686.0,"709,0,0,0,0,,,,"
687,687,I don't understand.,687.0,"710,0,0,0,0,,,,"
688,688,I don't understand.,688.0,"711,0,0,0,0,,,,"
689,689,Mr,689.0,"712,0,0,0,0,,,,"
690,690,I don't understand.,690.0,"713,0,0,0,0,,,,"
691,691,I don't know.,691.0,"714,0,0,0,0,,,,"
692,692,I don't know. What else is there?I don't know.,692.0,"715,0,0,0,0,,,,"
693,693,Mr,693.0,"716,0,0,0,0,,,,"
694,694,Unknowingness,694.0,"717,0,0,0,0,,,,"
695,695,I don't understand.,695.0,"718,0,0,0,0,,,,719,1,0,0,0,,,,"
696,696,"The water particles move by themselves, so the water in the fish tank evaporates, and the perfume particles move by themselves, so the smell spreads",696.0,"720,0,0,0,0,,,,"
697,697,Hot air balloon float by hot air balloon heat movement,697.0,"721,1,0,0,0,,,,"
698,698,"The movement of the particles creates an aurora, which suddenly releases a huge amount of energy as the magnetic field recombines between the sun and the earth, which reacts with Earth's air molecules",698.0,"722,1,1,1,1,,,,"
699,699,"Particles in the water move themselves, evaporating water in the water or tank in the fish tank, reducing the amount of water.",699.0,"723,0,0,0,0,,,,"
700,700,"The water particles move by themselves, the water in the fish tank evaporates, and the perfume particles move by themselves, so the smell spreads",700.0,"724,0,0,0,0,,,,"
701,701,.,701.0,"725,0,0,0,0,,,,"
702,702,Mr,702.0,"726,0,0,0,0,,,,"
703,703,I don't know.,703.0,"727,0,0,0,0,,,,"
704,704,Particles move,704.0,"728,0,0,0,0,,,,"
705,705,diffusion and evaporation,705.0,"729,0,0,0,0,,,,"
706,706,I don't know,706.0,"730,0,0,0,0,,,,"
707,707,Unknowingness,707.0,"731,0,0,0,0,,,,"
708,708,I don't know.,708.0,"732,0,0,0,0,,,,"
709,709,Don't know,709.0,"733,0,0,0,0,,,,"
710,710,Unknowingness,710.0,"734,0,0,0,0,,,,"
711,711,?,711.0,"735,0,0,0,0,,,,"
712,712,Don't know,712.0,"736,0,0,0,0,,,,"
713,713,It has become more convenient.,713.0,"737,0,0,0,0,,,,"
714,714,An earthquake?,714.0,"738,0,0,0,0,,,,"
715,715,I don't know.,715.0,"739,0,0,0,0,,,,"
716,716,Jambo. (Jambo),716.0,"740,0,0,0,0,,,,"
717,717,?,717.0,"741,0,0,0,0,,,,"
718,718,Particle movement is difficult,718.0,"742,0,0,0,0,,,,"
719,719,It's rotting.,719.0,"743,0,0,0,0,,,,"
720,720,It's rotting,720.0,"744,0,0,0,0,,,,"
721,721,The particles move blood as they move.,721.0,"745,0,0,0,0,,,,"
722,722,It breeds,722.0,"746,0,0,0,0,,,,"
723,723,It's because the oppressor moves and the blood moves in our bodies,723.0,"747,0,0,0,0,,,,"
724,724,"The solid has particles attached, and the liquid little by little has particles away from the air.",724.0,"748,0,0,0,0,,,,749,0,0,0,0,,,,"
725,725,"I don't know the particle movement, so I can't explain it in detail",725.0,"750,0,0,0,0,,,,"
726,726,"C, c, d",726.0,"751,0,0,0,0,,,,"
727,727,I don't know.,727.0,"752,0,0,0,0,,,,"
728,728,The water evaporates upward and ascends to heaven,728.0,"753,0,0,0,0,,,,"
729,729,Particles continue to undergo photosynthesis,729.0,"754,0,0,0,0,,,,"
730,730,???,730.0,"755,0,0,0,0,,,,"
731,731,"Solid, liquid, and gas are all composed of particles, and in the case of solid, there is no gap in particles, so the shape is not easily disturbed, and liquid has more gap in particles than solid, so the shape changes easily.Gas is invisible to the eyes because it has a wider gap between particles than solids and liquids.",731.0,"756,0,0,0,0,,,,"
732,732,I don't know...,732.0,"757,0,0,0,0,,,,"
733,733,I don't know. Close it,733.0,"758,0,1,0,0,,,,"
734,734,The particles combine to form muscles,734.0,"759,0,0,0,0,,,,"
735,735,I don't know.,735.0,"760,0,0,0,0,,,,"
736,736,"It's stuck together in a solid state, it's a little bit apart in a liquid state, it's a lot of gas apart.",736.0,"761,0,0,0,0,,,,"
737,737,The particles are attached to each other and separated in a liquid state,737.0,"762,0,0,0,0,,,,"
738,738,"When a person moves, many organs are active, but the particles themselves move",738.0,"763,0,0,0,0,,,,"
739,739,"The particles move and form matter in nature, which makes trees grow in the environment",739.0,"764,0,0,0,0,,,,"
740,740,have the same life expectancy,740.0,"765,0,0,0,0,,,,"
741,741,I don't know.,741.0,"766,0,0,0,0,,,,"
742,742,Pass.,742.0,"767,0,0,0,0,,,,"
743,743,I don't know,743.0,"768,1,0,0,0,,,,"
744,744,Breathing,744.0,"769,1,0,0,1,,,,"
745,745,Earthquake,745.0,"770,0,0,0,0,,,,"
746,746,PASS,746.0,"771,1,0,0,0,,,,"
747,747,I don't understand.,747.0,"772,0,0,0,0,,,,"
748,748,"""I don't know.""",748.0,"773,1,0,0,0,,,,"
749,749,"""",749.0,"774,1,0,0,0,,,,"
750,750,An earthquake?,750.0,"775,1,0,0,0,,,,"
751,751,the movements of the people,751.0,"776,0,0,0,0,,,,"
752,752,Particle motion is commonly found in pollen.,752.0,"777,1,0,0,1,,,,"
753,753,"diffusion, convection, eruption",753.0,"778,1,0,0,0,,,,779,1,0,0,0,,,,"
754,754,Water boils or air circulates.,754.0,"780,0,1,0,0,,,,"
755,755,diffusion and eruption,755.0,"781,0,0,0,0,,,,"
756,756,"Evaporation, diffusion, ejection, gas pressure, conduction, convection",756.0,"782,0,0,0,0,,,,"
757,757,I don'm not sure...,757.0,"783,0,0,0,0,,,,"
758,758,1234,758.0,"784,0,0,0,0,,,,"
759,759,I don't know,759.0,"785,1,0,0,0,,,,"
760,760,123,760.0,"786,0,0,0,0,,,,"
761,761,123,761.0,"787,0,0,0,0,,,,"
762,762,123,762.0,"788,0,0,0,0,,,,"
763,763,"Oh, my",763.0,"789,0,0,0,0,,,,"
764,764,bravely,764.0,"790,0,0,0,0,,,,"
765,765,I don't know. No,765.0,"791,0,0,0,0,,,,"
766,766,I don't know.,766.0,"792,0,0,0,0,,,,"
767,767,I don't know~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,767.0,"793,0,0,0,0,,,,"
768,768,What do I do?,768.0,"794,0,0,0,0,,,,"
769,769,123,769.0,"795,0,0,0,0,,,,"
770,770,123,770.0,"796,0,1,0,0,,,,"
771,771,Mora,771.0,"797,0,0,0,0,,,,"
772,772,123,772.0,"798,0,0,0,0,,,,"
773,773,I'm sweating,773.0,"799,0,0,0,0,,,,"
774,774,123,774.0,"800,0,0,0,0,,,,"
775,775,I don't know,775.0,"801,0,0,0,0,,,,"
776,776,I don't know.,776.0,"802,0,0,0,0,,,,"
777,777,I don't know,777.0,"803,0,0,0,0,,,,"
778,778,I can live comfortably without causing any inconvenience to my health,778.0,"804,0,0,0,0,,,,"
779,779,This is not our level,779.0,"805,0,0,0,0,,,,"
780,780,713,780.0,"806,0,0,0,0,,,,"
781,781,It helps us,781.0,"807,0,0,0,0,,,,"
782,782,I need to work out to improve my body,782.0,"808,0,0,0,0,,,,809,0,0,0,0,,,,"
783,783,I don't know.,783.0,"810,0,0,0,0,,,,"
784,784,Moreugesseum,784.0,"811,0,0,0,0,,,,"
785,785,Unknowingness,785.0,"812,0,0,0,0,,,,"
786,786,Nitrogen,786.0,"813,1,0,0,0,,,,"
787,787,.......,787.0,"814,0,0,0,0,,,,"
788,788,Earthquake,788.0,"815,0,0,0,0,,,,"
789,789,I don't know.,789.0,"816,0,0,0,0,,,,"
790,790,"""I don't know,""",790.0,"817,0,0,0,0,,,,"
791,791,"따It's open""I don't understand.",791.0,"818,0,0,0,0,,,,"
792,792,"Put air in the balloon and over time, the balloon becomes smaller",792.0,"819,0,0,0,0,,,,"
793,793,....,793.0,"820,0,0,0,0,,,,"
794,794,Distinguish solid liquid gases,794.0,"821,0,0,0,0,,,,"
795,795,The air circulates.,795.0,"822,0,0,0,0,,,,"
796,796,"""The particles rise together when the temperature rises and fall together when the temperature drops. If you put the particles in a certain volume and raise the temperature, they float.",796.0,"823,0,0,0,0,,,,"
797,797,"""",797.0,"824,1,0,0,0,,,,"
798,798,The rubber band is an example,798.0,"825,0,0,0,0,,,,"
799,799,I don't know.,799.0,"826,0,0,0,0,,,,"
800,800,I don't know.,800.0,"827,1,0,0,0,,,,"
801,801,It explodes when the particle is trapped in a certain volume and the temperature is increased.,801.0,"828,0,0,0,0,,,,"
802,802,thermos,802.0,"829,0,0,0,0,,,,"
803,803,"convection, diffusion, eruption, osmosis",803.0,"830,0,0,0,0,,,,"
804,804,Evaporation,804.0,"831,0,0,0,0,,,,"
805,805,phase change,805.0,"832,0,0,0,0,,,,"
806,806,Spreading,806.0,"833,0,0,0,0,,,,"
807,807,The degree of motion of the particles can be expressed by temperature. by diffusion or particle motion,807.0,"834,0,0,0,0,,,,"
808,808,There is a spread.,808.0,"835,0,0,0,0,,,,"
809,809,"Diffusion, Brownian movement. It is moved by the difference in partial pressure.",809.0,"836,0,0,0,0,,,,"
810,810,Spreading,810.0,"837,0,0,0,0,,,,"
811,811,"Thermal Energy, Temperature",811.0,"838,0,1,0,0,,,,839,0,0,0,0,,,,"
812,812,"Evaporation, diffusion, etc. on the surface of a liquid",812.0,"840,0,0,0,0,,,,"
813,813,"Diffusion, Brownian motion",813.0,"841,1,0,0,0,,,,"
814,814,"Diffusion, pressure, Brownian motion",814.0,"842,0,0,0,0,,,,"
815,815,thermal expansion,815.0,"843,0,0,0,0,,,,"
816,816,Ephep,816.0,"844,0,0,0,0,,,,"
817,817,The silver is rusting,817.0,"845,0,0,0,0,,,,"
818,818,Lightning strikes and rains.,818.0,"846,1,0,0,0,,,,"
819,819,"When you fart, the person next to you smells",819.0,"847,1,0,0,0,,,,"
820,820,"When a friend wears perfume, the scent spreads from the place where he wears it to quite a distance",820.0,"848,0,0,0,0,,,,"
821,821,Fine dust from China is a representative example.,821.0,"849,0,0,0,0,,,,"
822,822,Unable to know.,822.0,"850,0,0,0,0,,,,"
823,823,I don't know,823.0,"851,0,0,0,0,,,,"
824,824,I don't know,824.0,"852,0,0,0,0,,,,"
825,825,Unknowingness,825.0,"853,0,0,0,0,,,,"
826,826,growth,826.0,"854,0,0,0,0,,,,"
827,827,I don't know.,827.0,"855,0,0,0,0,,,,"
828,828,There is a phenomenon called water boiling due to rapid motion on the particles that make up water.,828.0,"856,,,,,,,,"
829,829,...,829.0,"857,,,,,,,,"
830,830,I don't know,830.0,"858,11.6%,7.4%,1.4%,7.6%,,,,"
831,831,Wind,,
832,832,Thunder,,
833,833,I don't know.,,
834,834,It's going to be far,,
835,835,a fever,,
836,836,Unknowingness,,
837,837,We can't go through the wall because the particles are moving,,
838,838,Light,,
839,839,Growth.,,
840,840,"There's light, there's a wave, and this particle can be seen through a fog box experiment",,
841,841,"As the particles do not move still and move, electrons do not hit the central protons and neutrons, but revolve around them and do not collide and destroy them. In other words, it allows all substances to be composed and present due to the movement of the particles.",,
842,842,Water,,
843,843,The earth rotates because of the motility of the particles.,,
844,844,There are many things,,
845,845,?,,
846,846,The forest fires that spread,,
847,847,There's a lot of little things It's separating,,
848,848,"The phenomenon of diffusion is also caused by the movement of particles, for example, when you spray perfume on your body, but a certain part of it doesn't smell and spreads and smells",,
849,849,I know how to exercise hard,,
850,850,"""If ice is solid, particles are gathered because there is no space, and when water becomes water, there is more space to play around The gas becomes water vapor and there is so much space that particles fly around./",,
851,851,"""",,
852,852,Fruit,,
853,853,the activity of a child,,
854,854,Particles attempt to escape.,,
855,855,I don't know.,,
856,856,Particle motion is thermal energy.,,
857,857,Particle movement is.,,
858,858,I don't know. I didn't study at this time. I hated science at this time.,,
859,859,We can assume the cells in our skin.,,
860,860,"As for the spread of smell, odor particles spread around where the particles stayed.",,
861,861,Rainbows are caused by the motion of particles.,,
862,862,My friend doesn't stay still,,
863,863,It spreads when you spray perfume.,,
864,864,"As the particles continue to move, friction between the particles occurs, resulting in a vestibule. Based on this phenomenon, lightning appears in reality",,
865,865,Unknowingness,,
866,866,"When you spray perfume on your body in the room, the whole room smells of perfume.",,
867,867,"When you spray perfume on your body in the room, the whole room smells of perfume.",,
868,868,"When you put paint in a liquid, it mixes.",,
869,869,"conduction, radiation, etc",,
870,870,"Ice freezes and melts, and railways increase in hot weather.",,
871,871,Warm air expands because the speed of motion of the particles varies depending on the temperature.,,
872,872,I don't know.,,
873,873,Unknowingness,,
874,874,Wind,,
875,875,Unknowingness,,
876,876,Unknowingness,,
877,877,"Diffusion occurs due to particle motion of air. You can't see the motion of gases and liquid particles with your eyes, but when you spray perfume to spread the smell, or when you drop the ink into a drop of water and the whole color changes, you can see diffusion. This is a phenomenon that occurs because the solid does not stay still and moves constantly on its own. It also occurs in convection or conduction when temperature is transmitted, and this phenomenon is also transmitted as a medium because the solid is constantly moving. The reason why we can hear the sound of people far away is also because of the movement of particles.",,
878,878,I don't know,,
879,879,Unknowingness,,
880,880,I don't know,,
881,881,"The brown effect occurs when the ink is poured into the water. In the former case, spin motion is also performed.",,
882,882,"There is diffusion, convection, etc. They say diffusion in a liquid or gas phase is the movement of matter from the concentration of the substance to the soft spot.",,
883,883,"There is a diffusion phenomenon that occurs when a gas or liquid moves. And even if an electric field is applied, electrons do not accelerate and flow a constant current may be due to the motion of the particles that flow constantly flowing.",,
884,884,Unknowingness,,
885,885,Unknowingness,,
886,886,Unknowingness,,
887,887,There are too many. Everything that exists is particle motion,,
888,888,Unknowingness,,
889,889,"""Hydrogen Binding",,
890,890,"Hydrogen bonding refers to bonding through electrostatic interactions with elements with high electronegativity such as nitrogen and oxygen. Large and small electronegativity materials are driven by attractive forces that pull each other and form close instantaneous bonds.""I have no idea.",,
891,891,Active particle motion releases a lot of heat energy and raises the temperature,,
892,892,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,
