,Unnamed: 0,"2) What happens in the future if you use a lot of fossil energy, such as coal or oil?",Unnamed: 0,", q44_depleted, q44_environmental pollution, q44_depleted.1,q44_environmental pollution.1"
444,444,"""If we continue to use coal and oil a lot, greenhouse gas emissions will continue to increase",444.0,"459,1,1,,"
445,445,"As a result, global warming is accelerated and the environment of the Earth continues to be destroyed.""",445.0,"460,0,0,,"
446,446,There is a lot of greenhouse gases and global warming occurs.,446.0,"461,1,1,,"
447,447,"Resource war, becomes a desolate nature.",447.0,"462,0,0,,"
448,448,"Global warming becomes more rapid, and abnormal weather occurs more frequently, leading to the end of the world.",448.0,"463,0,1,,"
449,449,"If you use a lot of fossil energy, it hurts the environment due to exhaust gas generated while using it, and if you continue to use it, it will run out one day and you cannot prepare for it, so you need to replace it with renewable energy as soon as possible.",449.0,"464,0,1,,"
450,450,"Global pollution is rapidly disappearing, and the North and South Poles are disappearing",450.0,"465,0,1,,"
451,451,"Carbon dioxide is a greenhouse gas, but when it's generated a lot, the greenhouse effect gets worse",451.0,"466,0,1,,"
452,452,run out of energy,452.0,"467,0,1,,"
453,453,"""In the future, we may move into space",453.0,"468,0,1,,"
454,454,"""I don't know""",454.0,"469,0,1,,"
455,455,Global warming,455.0,"470,1,1,,"
456,456,"More carbon emissions will worsen global warming, melting glaciers and reducing land area.",456.0,"471,0,1,,"
457,457,ㄹ and ㅂ,457.0,"472,0,1,,"
458,458,I don't know,458.0,"473,0,0,,"
459,459,He he,459.0,"474,0,1,,"
460,460,Global warming accelerates and endangered animals become extinct.,460.0,"475,0,1,,"
461,461,More carbon dioxide,461.0,"476,0,1,,"
462,462,Global Warming Occurrence,462.0,"477,0,1,,"
463,463,The ozone layer is destroyed and the spacecraft enters,463.0,"478,0,1,,479,0,1,,"
464,464,Global warming,464.0,"480,0,0,,"
465,465,?,465.0,"481,0,0,,"
466,466,Increased use of fossil fuels causes global warming.,466.0,"482,1,1,,"
467,467,Environmental pollution and no use of coal and oil,467.0,"483,0,1,,"
468,468,"Energy is depleted, and later fossil energy becomes unavailable and the environment is polluted",468.0,"484,1,1,,"
469,469,.,469.0,"485,0,1,,"
470,470,There will be a lot of carbon dioxide that will thicken the atmosphere and run out of fossil energy that we can use.,470.0,"486,0,1,,"
471,471,I don't think it's going to be good,471.0,"487,1,1,,"
472,472,The greenhouse effect strengthens and promotes global warming,472.0,"488,1,1,,"
473,473,Increased carbon monoxide destroys the ozone layer and causes global warming due to greenhouse gases,473.0,"489,0,0,,"
474,474,"In the process of burning coal and petroleum, a large amount of carbon dioxide is generated, which poses a great risk to the environment.",474.0,"490,1,0,,"
475,475,The future generation environment deteriorates.,475.0,"491,1,1,,"
476,476,"Although the Earth is balanced by carbon circulation, a large amount of carbon dioxide adds to the greenhouse effect, raising the average temperature of the Earth, melting glaciers, raising the sea level, flooding most islands. It also destroys the ozone layer, failing to block ultraviolet rays and becoming an uninhabitable earth.",476.0,"492,0,0,,"
477,477,Carbon dioxide from coal and oil accelerates global warming,477.0,"493,1,1,,"
478,478,"Greenhouse gases continue to be emitted, accelerating global warming, and eventually destroying the world",478.0,"494,0,1,,"
479,479,"Fossil energy resources may be depleted in the future, and exhaust gases from fossil energy use may be emitted, causing environmental pollution.",479.0,"495,0,1,,"
480,480,be contaminated,480.0,"496,0,1,,"
481,481,Global warming occurs due to the thickening of the ozone layer,481.0,"497,1,0,,"
482,482,1.23123E+12,482.0,"498,0,0,,"
483,483,The environmental pollution will be severe difficulty breathing due to air pollution,483.0,"499,1,0,,"
484,484,Global warming intensifies and the atmosphere becomes dirty,484.0,"500,1,0,,"
485,485,The problem of global warming will be bigger because pollutants are released.,485.0,"501,1,0,,"
486,486,Global warming accelerates further,486.0,"502,1,0,,"
487,487,Global warming happens quickly,487.0,"503,1,0,,"
488,488,"As the CO2 content in the atmosphere increases, the greenhouse effect increases and the temperature of the atmosphere rises",488.0,"504,0,0,,"
489,489,.,489.0,"505,0,0,,"
490,490,There will be no global warming,490.0,"506,0,1,,"
491,491,Fossil energy runs out and becomes expensive,491.0,"507,0,0,,"
492,492,It's environmental pollution,492.0,"508,0,1,,509,0,0,,"
493,493,The environment is destroyed,493.0,"510,1,0,,"
494,494,"The amount of fossil energy is insufficient. The ozone layer will be destroyed by the gas generated by fossil energy, increasing human exposure to ultraviolet rays.Global warming will become serious due to huge greenhouse gas emissions, making the Earth a nonliving environment.",494.0,"511,1,0,,"
495,495,"There is no future. (The average temperature of the Earth increases as carbon in the Earth moves to abstain, and the energy emitted from the Earth increases due to greenhouse gases, leaving it unable to release and remaining on Earth.) In addition, as the carbon content of abstention increases, the ozone layer will be destroyed and ultraviolet rays from the sun will not be able to be blocked, making it an environment in which living things cannot live, such as melting the surface and burning human flesh.",495.0,"512,1,0,,"
496,496,There is a lack of resources for power generation and the use of fossil fuels makes the environment worse.,496.0,"513,0,0,,"
497,497,resources run out The environment is destroyed,497.0,"514,0,0,,"
498,498,"The atmosphere turns into an environment unfit for human habitation, and as the atmosphere changes, soil and water resources also change in a chain. Eventually, in the future, the Earth will no longer be a suitable environment for humans to live in.",498.0,"515,0,0,,"
499,499,"If resources are diminished and future generations of offspring may not have enough to use, the worst-case war to take over them, or a nation-wide enterprise that already monopolizes them, can manipulate the price of resources at will and bring about economic chaos.",499.0,"516,0,0,,"
500,500,The environment will be polluted and resources will be lost and development will be cut off.,500.0,"517,0,1,,"
501,501,Don't know,501.0,"518,0,0,,"
502,502,"The environment will be polluted as it is, and resources will be depleted, which will be fatal to our lives.",502.0,"519,0,1,,"
503,503,Global warming will come sooner,503.0,"520,0,0,,"
504,504,"Using a lot of fossil energy releases a lot of greenhouse gases, accelerating global warming. Then, disaster disasters increase and eventually it becomes difficult to live.",504.0,"521,0,0,,"
505,505,The environment is polluted.,505.0,"522,1,1,,"
506,506,All the coal is gone,506.0,"523,0,1,,"
507,507,The ozone hole causes ultraviolet rays to enter,507.0,"524,1,0,,"
508,508,"When fossil energy is depleted, primitive times return",508.0,"525,0,0,,"
509,509,We're running out,509.0,"526,1,0,,"
510,510,The earth will come back to life when the West Yuna or coal falls,510.0,"527,1,0,,"
511,511,It's going to be hard to live because it's all depleted.,511.0,"528,1,0,,"
512,512,"There is no oil or coal, so chaos and humanity is likely to perish",512.0,"529,0,1,,"
513,513,The food is gone,513.0,"530,0,0,,"
514,514,You'll be in trouble,514.0,"531,0,0,,"
515,515,environmental pollution,515.0,"532,0,0,,"
516,516,"I can't move my car, so I stay at home, and I can't come to Korea for food, so I starve",516.0,"533,1,0,,"
517,517,environmental pollution,517.0,"534,0,0,,"
518,518,I don't think it's going to be alive,518.0,"535,1,1,,"
519,519,It's disappearing,519.0,"536,1,0,,"
520,520,"I can't ride a car, train, plane, etc. because I don't have enough oil",520.0,"537,0,1,,"
521,521,The world is doomed because oil is gone,521.0,"538,1,0,,539,1,0,,"
522,522,It seems that coal or oil can be blown by fossil energy,522.0,"540,1,0,,"
523,523,Don't know,523.0,"541,1,0,,"
524,524,I don't know,524.0,"542,0,1,,"
525,525,The environment changes beautifully.,525.0,"543,0,1,,"
526,526,The sky will turn black and only the air will remain,526.0,"544,0,0,,"
527,527,The lives of future descendants become uncomfortable,527.0,"545,0,0,,"
528,528,The environment is polluted,528.0,"546,0,1,,"
529,529,Don't know,529.0,"547,1,0,,"
530,530,The electricity disappears. It's walking around.,530.0,"548,1,0,,"
531,531,Resources will become scarce faster and the maximum damage caused by environmental pollution will be accelerated.,531.0,"549,0,0,,"
532,532,Global warming,532.0,"550,1,1,,"
533,533,I'm running out of advice,533.0,"551,1,0,,"
534,534,That's nice,534.0,"552,1,0,,"
535,535,feel uncomfortable being depleted,535.0,"553,0,1,,"
536,536,"Fossil energy disappears, and everything that can be used as electricity or fossil energy becomes obsolete, causing damage to our lives and inconvenience.",536.0,"554,0,0,,"
537,537,I'm not gonna use it anymore,537.0,"555,0,1,,"
538,538,"Global warming becomes serious The North Pole, the South Pole, etc",538.0,"556,1,0,,"
539,539,h,539.0,"557,1,0,,"
540,540,......I don't know,540.0,"558,1,0,,"
541,541,I don't know.,541.0,"559,1,0,,"
542,542,I'm afraid I'm running out of coal or oil,542.0,"560,0,1,,"
543,543,Energy can be saved,543.0,"561,0,0,,"
544,544,"Not only will there be a lot of environmental pollution, but there will be a shortage of oil and coal, so things that we need in our lives, such as oil and electricity, will become scarce",544.0,"562,1,1,,"
545,545,We're running out of resources,545.0,"563,1,0,,"
546,546,Because global warming turns the earth into an uninhabitable environment,546.0,"564,0,0,,"
547,547,We can't use coal oil in the future,547.0,"565,0,1,,"
548,548,Resources run out.,548.0,"566,0,1,,"
549,549,We are doomed because of lack of resources,549.0,"567,1,1,,"
550,550,It will disappear and become unusable,550.0,"568,0,1,,569,0,0,,"
551,551,Environmental pollution is getting worse and the world is ruined,551.0,"570,1,0,,"
552,552,The environment is polluted.,552.0,"571,1,0,,"
553,553,We won't be able to use it when we really need it,553.0,"572,0,0,,"
554,554,I'll study harder.,554.0,"573,1,0,,"
555,555,"It will be much hotter than now, and the ecosystem will change.",555.0,"574,1,0,,"
556,556,It will be difficult to live in the future due to lack of fossil energy.,556.0,"575,1,0,,"
557,557,There will be a shortage of resources.,557.0,"576,1,0,,"
558,558,I think the earth will change a little.,558.0,"577,1,0,,"
559,559,Environmental pollution is severe and exhausting.,559.0,"578,0,0,,"
560,560,People will be in a lot of trouble because coal and oil are gone.,560.0,"579,1,0,,"
561,561,"Because the amount is not constant, when it is cut off, there is little energy to replace it, which leads to confusion.",561.0,"580,1,0,,"
562,562,The environment will be destroyed.,562.0,"581,1,0,,"
563,563,I don't know.,563.0,"582,1,0,,"
564,564,The environment is becoming more polluted and the earth is likely to get hotter.,564.0,"583,1,1,,"
565,565,Coal or oil is gone and fossil energy cannot be created.,565.0,"584,0,1,,"
566,566,"If you rely on fossil energy, you won't be able to live if you run out of it",566.0,"585,1,1,,"
567,567,"In the future, fossil energy such as coal and oil will not be available",567.0,"586,1,0,,"
568,568,"""When fossil energy is scarce, there is not enough energy to use it",568.0,"587,1,0,,"
569,569,That can cause a lot of problems,569.0,"588,1,0,,"
570,570,The air pollution is getting worse and we need to buy oxygen,570.0,"589,0,1,,"
571,571,electromagnetic waves,571.0,"590,0,1,,"
572,572,"Earth's environment is dirty, there seems to be a war over fossil energy, and future generations will suffer from lack of energy",572.0,"591,1,0,,"
573,573,Fossil energy is gone,573.0,"592,1,0,,"
574,574,The earth could be ruined.,574.0,"593,1,0,,"
575,575,The air can get bad.,575.0,"594,1,0,,"
576,576,"In the future, the air can be bad.",576.0,"595,1,0,,"
577,577,The air pollution will get worse and coal and oil will gradually.,577.0,"596,1,1,,"
578,578,The environment and ecosystem will be destroyed and eventually even humans will be damaged.,578.0,"597,1,0,,"
579,579,I think it will be a hard earth for people to live in.,579.0,"598,1,0,,599,0,0,,"
580,580,"Our descendants will not be able to see the fossils, and our descendants will not be able to use fossil energy.",580.0,"600,0,0,,"
581,581,Resources will run out.,581.0,"601,1,0,,"
582,582,"As the earth's ozone layer is pierced, there will be a lot of ultraviolet and visible light coming from the sun.",582.0,"602,1,0,,"
583,583,We're running out of energy and we're doomed,583.0,"603,0,0,,"
584,584,"Using a lot of fossil energy, such as coal and oil, may not have enough resources to use in the future, causing electricity cuts across the country and inconvenience to life.",584.0,"604,1,0,,"
585,585,"In the future, fossil energy will be lost and inconvenient.",585.0,"605,0,1,,"
586,586,Fossil energy is not available when it is absolutely necessary,586.0,"606,1,0,,"
587,587,Fossil energy will be lost in the future because it is limited,587.0,"607,1,1,,"
588,588,I don't know.,588.0,"608,0,0,,"
589,589,"In the future, oil and coal will be reduced and things that need oil and coal will not be available.",589.0,"609,0,1,,"
590,590,"If we don't develop renewable energy because it's a limited resource, there will be an energy crisis",590.0,"610,1,1,,"
591,591,"When resources are depleted and scarce, we feel uncomfortable in our lives",591.0,"611,0,1,,"
592,592,"In the future, fossil energy will be depleted and fossil energy will not be available.",592.0,"612,1,0,,"
593,593,"The environment will be polluted, fossil energy will gradually be depleted, and electricity will not be available, resulting in blackouts, and eventually a difficult world to live in.The environment is likely to be contaminated a lot, and it will cause great damage to future generations.",593.0,"613,1,1,,"
594,594,"The material from burning fossil fuels will contaminate the environment and run out of coal or oil, making it impossible to use it where necessary.",594.0,"614,0,1,,"
595,595,"If you use a lot of fossil energy, it can disappear altogether in the future.",595.0,"615,0,1,,"
596,596,The moment of disappearance will come.,596.0,"616,1,0,,"
597,597,"There's no coal and oil, so there's a blackout",597.0,"617,1,0,,"
598,598,"The environment will be dirty because it will harm Hankyung, which will prevent us from farming and cause a lot of damage.",598.0,"618,0,1,,"
599,599,The air is getting worse,599.0,"619,0,0,,"
600,600,"Resources such as coal and oil are depleted, making people's lives difficult.",600.0,"620,1,1,,"
601,601,"In the future, there won't be much fossil energy left, and then we'll have to live with new energy, not fossil energy",601.0,"621,1,0,,"
602,602,I'm running out of energy,602.0,"622,0,1,,"
603,603,"""We can only use coal or oil as much as we can, so if we use it a lot, we can use it in the future",603.0,"623,0,0,,"
604,604,"I think I might not be able to.""",604.0,"624,0,1,,"
605,605,Fossil energy' will run out and no longer develop.,605.0,"625,0,0,,"
606,606,Energy will run out and people will suffer from energy shortages and the natural environment will be damaged.,606.0,"626,0,0,,"
607,607,"Fossil energy is used up, and energy sources become scarce or disappear.",607.0,"627,1,0,,"
608,608,There seems to be no energy in the future,608.0,"628,1,1,,629,0,1,,"
609,609,a global explosion,609.0,"630,0,1,,"
610,610,I'm doomed because I don't have money.,610.0,"631,1,0,,"
611,611,Oil or coal will disappear and you won't be able to create energy.,611.0,"632,0,1,,"
612,612,All resources will be exhausted and eventually all will be unavailable.,612.0,"633,0,1,,"
613,613,Unlearned,613.0,"634,1,0,,"
614,614,"Fossil energy costs a lot of money and manpower in the process of digging and burning, and fossil energy is at risk of drying up quickly, so it is better for the environment and us to use hydroelectric energy, solar energy, and 에너 energy rather than using a lot.",614.0,"635,1,1,,"
615,615,The earth is polluted and we cannot see the beautiful environment,615.0,"636,0,1,,"
616,616,Fossil energy is depleted and is no longer usable.,616.0,"637,0,1,,"
617,617,The fossil will run out of energy.And the environment will be polluted,617.0,"638,0,1,,"
618,618,There will be no land and war on fossil energy.,618.0,"639,1,1,,"
619,619,environmental pollution,619.0,"640,0,1,,"
620,620,"The earth is depleted of energy, so there is no energy available to mankind.  The Earth in Rigo is Contaminated",620.0,"641,0,1,,"
621,621,The environment gets worse.,621.0,"642,1,0,,"
622,622,"Fossil energy on Earth is lost, so there is no energy available to mankind",622.0,"643,0,1,,"
623,623,"Fossil energy such as coal and oil is limited, and it is not infinite, so if we continue to use this energy, we will run out of energy in the future, and we will not be able to ride vehicles that are moved to gasoline or petroleum. However, electric cars, whose electricity is energy, are likely to be able to ride. And, other energy, underwater energy, solar energy, seems to be available. Finally, if you burn oil, environmental pollution becomes worse.",623.0,"644,1,1,,"
624,624,Air pollution is getting worse and we cannot breathe clean air,624.0,"645,0,1,,"
625,625,"Of course, it would be nice, but if you use a lot of those things, environmental pollution or global warming will occur. And the inconvenience can be inconvenient because oil and coal are limited.",625.0,"646,0,0,,"
626,626,"There is no fossil energy to use later, we have to walk around",626.0,"647,0,1,,"
627,627,Coal or oil will one day reach a fixed amount and become unusable.,627.0,"648,0,1,,"
628,628,There is a risk of contamination.,628.0,"649,0,0,,"
629,629,I don't know,629.0,"650,0,0,,"
630,630,"Environmental pollution, exhaustion",630.0,"651,0,0,,"
631,631,resources run out,631.0,"652,1,0,,"
632,632,The environment is polluted.,632.0,"653,1,0,,"
633,633,I don't know.,633.0,"654,1,0,,"
634,634,Environmental pollution will get worse.,634.0,"655,1,1,,"
635,635,The ozone layer is destroyed and people get skin cancer.,635.0,"656,1,0,,"
636,636,I'm going to screw up,636.0,"657,0,0,,"
637,637,Later it will gradually disappear and things used for coal or oil will disappear,637.0,"658,0,1,,659,0,1,,"
638,638,The natural environment will be destroyed and fossil energy will be depleted,638.0,"660,1,0,,"
639,639,"Carbon dioxide and methane gas in the air increase, which encourages global warming.",639.0,"661,0,1,,"
640,640,"Fossil fuels are often burned and used, so they are the main culprits of air pollution, and if you continue to dig for coal and oil, the environment may be destroyed and become uninhabitable.",640.0,"662,0,1,,"
641,641,"There will be no resources available in the future, which will have a lot of impact on daily life.",641.0,"663,0,1,,"
642,642,"If we use a lot of oil and coal, we will generate a lot of carbon dioxide, and global warming will worsen rapidly And I think there will be a lot of damage if I use up both oil and coal and start to be interested in renewable energy from then on",642.0,"664,1,0,,"
643,643,Environmental pollution will become more serious and live through all kinds of natural disasters.,643.0,"665,1,1,,"
644,644,Life will be inconvenient because of the depletion of energy.,644.0,"666,1,1,,"
645,645,"If it promotes global warming and runs out, it will be desperate to use alternative energy or find a place where new fossil energy is buried. The rich and the poor will get worse.",645.0,"667,0,1,,"
646,646,severe global warming,646.0,"668,1,0,,"
647,647,"If fossil energy is used a lot, it can be the main culprit of environmental pollution, and because of global warming, there will be islands and countries that will disappear due to rising temperatures and sea levels",647.0,"669,1,0,,"
648,648,"Fossil energy still causes a lot of damage (global warming, greenhouse gas emissions, etc.), but if you continue to use this energy, more global warming or greenhouse effects will occur, causing ecological disturbance and skin cancer, and the earth to deteriorate a lot",648.0,"670,1,0,,"
649,649,Earth's energy will be depleted and environmental pollution will become serious.,649.0,"671,0,0,,"
650,650,"Environmental pollution becomes more serious, and not only global warming, but also soil pollution can further damage the ecosystem, which can lead to loss of our habitat.",650.0,"672,1,0,,"
651,651,Global warming,651.0,"673,1,0,,"
652,652,"Later, all the energy will be exhausted and the energy to be used will disappear, making it difficult.",652.0,"674,1,0,,"
653,653,"Environmental pollution and global warming will accelerate and later run out of resources, making it difficult to use electricity.",653.0,"675,0,0,,"
654,654,"Environmental pollution, such as global warming, and later fossil energy will be depleted and no longer available.",654.0,"676,1,0,,"
655,655,Nature is so destroyed that it's east.It's gonna be hard for plants to live,655.0,"677,1,1,,"
656,656,"If fossil energy is used a lot, I think sinkholes will increase due to empty spaces created by taking out coal and oil that were buried in the ground",656.0,"678,0,1,,"
657,657,The Earth Sickens,657.0,"679,1,0,,"
658,658,Global warming and environmental pollution will intensify and become an environment where humans can no longer live,658.0,"680,0,1,,"
659,659,We're disappear.,659.0,"681,1,0,,"
660,660,Lower sea levels and promote desertification,660.0,"682,1,0,,"
661,661,It will perish.,661.0,"683,1,0,,"
662,662,I'm running out,662.0,"684,0,0,,"
663,663,"This will also run out, right?",663.0,"685,1,0,,"
664,664,"In the future, coal and oil will all disappear.",664.0,"686,0,1,,"
665,665,"Global warming and depletion, etc",665.0,"687,1,0,,"
666,666,"Since the amount of fossil energy resources is limited, if you continue to use it, it will all be depleted in the future.",666.0,"688,1,0,,689,1,0,,"
667,667,Become a beggar.,667.0,"690,1,0,,"
668,668,"Global warming will intensify, temperatures will rise, polar glaciers will melt, sea levels will rise and disappear, and global temperatures will rise, affecting the ecosystem around the world.",668.0,"691,0,0,,"
669,669,Global warming intensifies due to the increase in greenhouse gases.,669.0,"692,1,0,,"
670,670,"If you use a lot of fossil energy, you may run out at some point and not be able to use it in the future, and you will run out of resources due to the use of a lot of fossil energy.",670.0,"693,0,1,,"
671,671,"The greenhouse effect increases, resulting in many changes in living things",671.0,"694,1,1,,"
672,672,The era of buying and selling oxygen due to air pollution comes. The respiratory disease becomes severe.,672.0,"695,0,0,,"
673,673,"Global warming accelerates, and there is no high-quality fossil fuel",673.0,"696,0,1,,"
674,674,There will be more smog-like phenomena and energy depletion.,674.0,"697,0,1,,"
675,675,"Fossil energy such as coal and oil has been steadily helping since the Industrial Revolution. However, if mankind continues to rely on fossil energy as it is now, it will soon run out. This is because fossil energy, such as coal and oil, is a finite resource. If that happens, there will be problems with the entire basic life that humans need. First of all, the clothes we're wearing now, the processed foods like canned tuna that we enjoy eating, the house we live in right now, will no longer be able to be created. This is because most of the basic food, clothing, and shelter life that humans need is fossil energy. In addition, oil and coal cause various environmental problems because they emit a lot of pollutants.",675.0,"698,1,0,,"
676,676,"In the future, the basic resources are depleted and the environmental problems become serious, which is costly",676.0,"699,0,0,,"
677,677,"Using fossil energy increases the greenhouse effect due to an increase in greenhouse gas emissions such as carbon dioxide. Therefore, global warming will intensify, resulting in flooding of low-lying areas due to rising sea levels, abnormal weather due to rising global average temperatures, and changes in ecosystems.",677.0,"700,1,0,,"
678,678,"In the future, coal or oil will all disappear and you will not be able to live.",678.0,"701,0,1,,"
679,679,"Eventually, fossil energy such as oil and coal will disappear in the future, and people will find other renewable energy.",679.0,"702,1,0,,"
680,680,"Later, the resources are exhausted.",680.0,"703,1,0,,"
681,681,I don't know ^^,681.0,"704,0,1,,"
682,682,"Fossil energy, such as coal and oil, is likely to be used up in the distant future and no longer available",682.0,"705,0,0,,"
683,683,"Due to lack of resources, I will live harder than now.",683.0,"706,0,1,,"
684,684,be unable to use fossil energy,684.0,"707,0,0,,"
685,685,be unable to develop autonomously,685.0,"708,0,1,,"
686,686,Fossil energy is likely to disappear and other enagies are likely to arise,686.0,"709,0,1,,"
687,687,"The environment will be very bad, and resources will be depleted, making it difficult for people to live in.",687.0,"710,0,1,,"
688,688,The environment is so polluted that life becomes uncomfortable.,688.0,"711,0,1,,"
689,689,"If we use too much coal or oil, we will lose coal or oil to use in the future, so our lives are very uncomfortable and if it is severe, everyone will die.",689.0,"712,0,1,,"
690,690,"The environment may deteriorate and the atmosphere may deteriorate, so you may have to carry an oxygen respirator.",690.0,"713,0,1,,"
691,691,"Coal and oil are lost, and all the oil, coal-related goods and goods that are used in our daily lives are not available",691.0,"714,0,0,,"
692,692,Things like coal and oil will eventually run out in the future because they have finiteness.Coal' oil may be lost in the future because the amount of resources is finite,692.0,"715,1,0,,"
693,693,I'm going to screw up,693.0,"716,0,0,,"
694,694,"In the future, coal or oil will disappear and solar power will be used to live.",694.0,"717,0,1,,"
695,695,Global warming will continue and disappear from Earth.,695.0,"718,1,1,,719,0,1,,"
696,696,It's slowly disappearing.,696.0,"720,0,1,,"
697,697,"Because it is not infinite, if you continue to use it, it will run out and cause problems around the world.",697.0,"721,0,1,,"
698,698,"Coal and oil disappear, causing food shortages and not being able to ride cars.",698.0,"722,0,1,,"
699,699,"Fossil energy helps us a lot in our lives, so we can't use food and energy.",699.0,"723,1,1,,"
700,700,N and M,700.0,"724,0,1,,"
701,701,Fossils could have fallen and made life uncomfortable.,701.0,"725,1,1,,"
702,702,Global warming gets worse,702.0,"726,0,1,,"
703,703,It is because resources are lost and the earth is polluted,703.0,"727,1,1,,"
704,704,There's a lot of methane,704.0,"728,0,1,,"
705,705,It causes environmental pollution.,705.0,"729,0,1,,"
706,706,The environment is not good because of the air pollution,706.0,"730,0,1,,"
707,707,It's hard to live because of lack of coal,707.0,"731,1,1,,"
708,708,"The World's End, Kugungguㅜㅜㅜ~~~~ㅎㅇㄹ하ㅇㄿ~~",708.0,"732,0,1,,"
709,709,I think it will have a bad effect on the future because it will run out later.,709.0,"733,0,1,,"
710,710,The environment is not good because of the air pollution.,710.0,"734,0,0,,"
711,711,"Cars won't be able to drive because they don't have enough resources, so you have to save a lot",711.0,"735,0,1,,"
712,712,I think there will be a lot of coal and oil gone in the future.,712.0,"736,0,1,,"
713,713,The air is getting worse,713.0,"737,1,0,,"
714,714,"That's fine, but history may be a little off the mark",714.0,"738,1,0,,"
715,715,Global warming intensifies when factories are operated to use fossil energy,715.0,"739,1,0,,"
716,716,se,716.0,"740,1,0,,"
717,717,Environmental pollution occurs,717.0,"741,1,0,,"
718,718,Environmental pollution is likely to get worse.,718.0,"742,0,1,,"
719,719,It is likely to cause a bad tendency for the environment. Pollution will destroy nature and make it difficult to live.,719.0,"743,0,0,,"
720,720,"The world is likely to end in the future as ice in the Antarctic and the Arctic melts and air pollution, environmental pollution, and natural disasters are at risk.",720.0,"744,1,0,,"
721,721,because of environmental pollution,721.0,"745,0,1,,"
722,722,"The environment will be polluted, and people will refrain from wearing masks and going outside, and there will be many accidents.",722.0,"746,0,1,,"
723,723,I don't think I can use the air,723.0,"747,0,1,,"
724,724,"If I use a lot of coal and oil, I think a lot of oil and coal will disappear",724.0,"748,0,1,,749,0,1,,"
725,725,Forests will be destroyed and various animals and plants will be extinct.,725.0,"750,0,0,,"
726,726,The environment was polluted and the fresh air disappeared,726.0,"751,1,0,,"
727,727,"Fossil energy is limited compared to renewable energy, so it will all disappear and environmental pollution will become serious.",727.0,"752,0,0,,"
728,728,"If fossil energy is used a lot, greenhouse gases such as carbon dioxide are generated from burning fossil fuels, which will accelerate global warming, and various natural disasters such as sea level rise, glacial thaw, abnormal climate, and acid rain will cause harmful effects on humans",728.0,"753,1,1,,"
729,729,"When carbon inside coal or oil burns, it is oxidized to carbon dioxide, a greenhouse gas, which will strengthen the greenhouse effect and cause global warming.  Global warming will cause polar glaciers to melt, and coastal lowlands to be flooded as sea levels rise. And as the Earth's environment changes, the unadaptable creatures will become extinct, and biodiversity will decrease. In addition, there will be more natural disasters such as floods, heat waves, droughts, and heavy snow.",729.0,"754,1,0,,"
730,730,"If environmental pollution occurs a lot, causing damage to future generations, and using a lot of fossil energy, it will be difficult to develop and change the next technology because you are only used to it.",730.0,"755,1,1,,"
731,731,"If fossil energy such as coal and oil is used a lot, global warming will intensify due to greenhouse gas emissions, which will cause a lot of environmental problems and disrupt the ecosystem. This will adversely affect human life. In addition, air pollution, water pollution, and soil pollution such as smog will occur due to pollutants and harmful substances generated in the process of using fossil fuels, which will adversely affect human life.",731.0,"756,0,0,,"
732,732,Oil or coal is depleted and air is polluted.,732.0,"757,0,0,,"
733,733,"Since fossil energy emits a lot of greenhouse gases when burned, it is the main culprit of global warming, and it also emits substances that cause acid rain or fine dust such as nitrogen oxides and sulfur oxides. Therefore, if fossil energy is used a lot, the Earth, which has become more destructive to the environment, will become a planet where few living things can live.",733.0,"758,1,0,,"
734,734,"If large amounts of fossil energy are used continuously, fossil energy with limited reserves will be depleted in decades. The main component of fossil fuels is carbon, which will increase the concentration of carbon dioxide in the atmosphere if it combines with oxygen in the air to produce carbon dioxide in the process of burning fossil energy, which will lead to an increase in the average temperature of the Earth. In addition, various pollutants are mixed in the fumes from factories or transportation that use fossil energy, which will increase the generation of fine dust or acid rain. In addition, petroleum is used in various materials, including plastic, and if fossil energy is used a lot depending on fossil energy, it will cause confusion because it will not be able to find alternatives when fossil energy is depleted in the future.",734.0,"759,1,0,,"
735,735,"Using a lot of fossil energy increases the amount of greenhouse gases emitted by burning fossil fuels, which increases the greenhouse effect, which intensifies global warming. As global warming worsens, polar glaciers will melt, sea levels will rise, and submerged areas will increase, and research will be conducted to live in new areas and terrain to expand the space for people to live in. There will also be extinct species and new evolutionary species in the ecosystem",735.0,"760,1,0,,"
736,736,"Since the amount of fossil fuels is not infinite, it will be insufficient in the future, and global warming will intensify, doubling the amount damaged by global warming now, and various phenomena that have adverse effects will occur. And on a global level, countries around the world will make promises to come up with solutions to global warming.",736.0,"761,0,0,,"
737,737,"Fossil energy, such as coal and oil, can be used to obtain energy, but also environmental pollutants such as carbon dioxide, which pollute the environment. These greenhouse gases are also called global warming greenhouse gases, which will increase the average temperature of the Earth, and the damage caused by themselves.",737.0,"762,1,0,,"
738,738,"The use of fossil energy such as coal and oil creates excessive greenhouse gases. Over-exhausted greenhouse gases will accelerate global warming, and as the average temperature of the Earth rises, the melting speed of glaciers will also accelerate, raising sea levels. Rising sea levels will cause flooded areas, and changes in ocean currents can lead to changes in weather and climate",738.0,"763,1,0,,"
