,Unnamed: 0,2) Why did the fire go out after spraying water on the lit iron?,Unnamed: 0,", ""20. If the kidney (kidney) has abnormal function, various diseases may occur, and in serious cases, death may occur. What does the kidney do in our body, so if something goes wrong, will the disease appear? Let's use our knowledge of kidney function to explain it in detail. "",q20_Ozoom,q20_Hormone,q20_Hormone,q20_Waste,q20_Reabsorption,q20_Waste.1,q20_Hormone.1,q20_Hormone.1,q20_Waste.1,q20_Waste.1"
474,474,It may be because water can extinguish the fire.,474.0,"475, I don't know.,0,0,0,0,0,,,,,"
475,475,as the fire was extinguished by the water,475.0,"476, red beans, 0, 0, 0, 0, 0"
476,476,"When fire and water meet, the fire goes out",476.0,"477, hmm... Why is that? 0, 0, 0, 0, 0,"
477,477,"If you spray water, the fire will go out",477.0,"478, I don't know, 0, 0, 0, 0, 0"
478,478,Because the fire goes out when it meets water,478.0,"479, 더ㅑㅓㅑ0, 0, 0, 0, 0,"
479,479,This is because fire is the opposite of water.,479.0,"480 ""filters bad substances, scraps, etc. in the body"", 0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
480,480,frictional force,480.0,"481, a deadly disease, 0, 0, 0, 0, 0"
481,481,Because water blocks oxygen,481.0,"482, there is a filter, 0, 0, 0, 0, 1,,,,"
482,482,The water cools down when it meets cold hot water,482.0,"483, disease, 0, 0, 0, 0, 0"
483,483,This is because the heat subsides when you put it in water,483.0,"484,I don't know,0,0,0,0,0"
484,484,Cold makes it worse,484.0,"485, because I can't excrete... ...the excretion takes bad things out of my body, and when he's broken, I cry"
485,485,The cold one cools you down the hot one,485.0,"486, it sends out the poison in our bodies.,0,0,0,1,0,,,,,"
486,486,Water can extinguish a fire.,486.0,"487, I don't know, 0, 0, 0, 0, 0,"
487,487,Because the heat is gone out of the three necessary things.,487.0,"488, It breaks down toxins in our bodies and releases them.,0,0,0,1,0,,,,,"
488,488,It's cold,488.0,"489, because it couldn't filter out the waste (pee), 1,0,1,0"
489,489,Pour something cold in the hot water,489.0,"490, you have to take good care of it, 0, 0, 0, 0, 0"
490,490,Because you can put out the fire with water.,490.0,"491, I don't knowㅕㅕㅕㅕㅕㅕㅕㅕㅕㅕㅕㅕ^^,0,0,0,0,0,,,,,"
491,491,I sprayed water to lower the temperature,491.0,"492, I think it's good for you, 0, 0, 0, 0, 0"
492,492,It prevents oxygen from being supplied,492.0,"493, kidney disease I don't know.,0,0,0,0,0,,,,,494, it makes something like a secretion that allows us to digest. 1,0,0,0,0"
493,493,The temperature went down,493.0,"495, The kidneys are the organs that filter the body's bowels.Therefore, if you don't filter the excrement well, your body will have problems. 0,0,0,1,0,,,,,"
494,494,Oxygen doesn't come in,494.0,"496,I don't know,0,0,0,0,0"
495,495,I lowered the temperature below the ignition point,495.0,"497, I don't know, 0, 0, 0, 0, 0"
496,496,"Because the water lowered the temperature of the fire,",496.0,"498, waste excretion, 0, 0, 1,,,,,,"
497,497,The temperature went down,497.0,"499, used to digest and dispose of the wastes smoothly, 0, 0, 0, 1, 0,,,,,"
498,498,I lowered the temperature,498.0,"500,The function of the kidney has an excretion function that filters metabolites and wastes out to urine, 1,0,1,0,,,,,"
499,499,..,499.0,"501, waste collection, 0, 0, 0, 1, 0"
500,500,Because the water lowers the temperature.,500.0,"502, purifies the blood in the body, 0, 0, 1, 0"
501,501,Water is a cold liquid,501.0,"503,""The function of the kidney can be summarized as: first, excretion to filter metabolites and wastes out to urine; second, biostatic maintenance to keep body water, electrolytes, and acidity constant within a narrow range; and third, endocrine function to produce and activate various hormones important for blood pressure, anemia, and calcium and phosphorus."",0,1,1,1,0,,,,,"
502,502,The fire goes out easily with water,502.0,"504 ""The function of the kidneys can be summarized as: first, excretion to filter metabolites and waste into urine; second, biostatic maintenance to maintain body water, electrolytes, and acidity within a narrow range; and third, endocrine function to produce and activate various hormones important for blood pressure, anemia correction and calcium and phosphorus""0,1,1,0"
503,503,I don't know,503.0,"505,The kidneys filter waste out of our bodies.,0,0,0,1,0,,,,,"
504,504,out of temperature,504.0,"506,.,0,0,0,0,0,,,,,"
505,505,I have no idea.,505.0,"507, Arrest waste and turn dirty blood into clean blood.,0,0,0,1,0,,,,,"
506,506,"If you turn it off with water, it'll turn off",506.0,"508,.,0,0,0,0,0,,,,,"
507,507,"""It's better than the ignition point temperature""",507.0,"509,You may die of abnormalities in your body as you accumulate old objects in every corner of your body,0,0,0,1,0,,,,,,,,,"
508,508,"""",508.0,"510, there are two kidneys in the human body, and if there are any abnormalities in two kidneys, a person dies. 0,0,0,0,0"
509,509,I don't know.,509.0,"511, the disease occurs because the kidneys filter out waste from the body and release it"
510,510,I don't know...,510.0,"512, you have a disease, 0, 0, 0, 0, 0"
511,511,--,511.0,"513, No excretion is allowed.,0,0,0,1,0,,,,,"
512,512,I lost my temper,512.0,"514,""As waste accumulates in every corner of our body, we can die from abnormalities in our body."" In other words, kidneys are places that dispose of waste in our bodies."",0,0,0,1,0,,,,,"
513,513,M and D,513.0,"515,""I don't remember..."",0,0,0,0,0..."""
514,514,"It's not an oil fire, it's just a fire that goes out into the water.",514.0,"516, the kidneys release toxins into the body as urine because they are at a disadvantage. However, without the kidneys, toxins are not at a disadvantage, so they can reach death. 1,0,0,1,0,,,,,,,"
515,515,I don't know.,515.0,"517,I don't know,0,0,0,0,0"
516,516,".........water is low temperature and fire is high temperature, so as we meet each other, the temperature is warm and the bottom light is out.",516.0,"518,"" Kidney is an organ that makes urine, in other words, collects and discharges waste. However, if this kidney is damaged, the waste cannot be discharged properly, which can cause abnormalities in the body.""1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
517,517,Let's cool it down,517.0,"519, I don't remember.,0,0,0,0,0,,,,,"
518,518,Because it's cooled down.,518.0,"520,the disease is not over,0,0,0,0,,,"
519,519,I don't know.,519.0,"521, store urination, 0, 0, 0, 1, 0"
520,520,The temperature got better because of the cold water,520.0,"522, I run hard, 0, 0, 0, 0, 0"
521,521,This is because the temperature was lowered by spraying water on the hot fire.,521.0,"523, important role, 0, 0, 0, 0,,,,524, the lungs allow you to breathe and the heart keeps you alive"
522,522,"""Because I sprayed water on the cloth,",522.0,"525, it could be someone else who has a disease, or it could be just because they don't have immunity.,0,0,0,0,0,,,,,"
523,523,"""",523.0,"526, because of the accumulation of oil in the kidneys while eating fast food, 0, 0, 0, 0, 0"
524,524,The iron plate is hot and water evaporates if you put it in,524.0,"527, urinating, 1,0,0,0"
525,525,I don't know.,525.0,"528, can't distinguish the west, 0, 0, 0, 0,"
526,526,"Because water has the property of cooling or not sinking hot things,",526.0,"529, collecting urine and sending it down, 0, 0, 0, 1, 0"
527,527,It's a building that can get rid of fire,527.0,"530, I don't know, 0, 0, 0, 0, 0,"
528,528,Fire can be extinguished with water.,528.0,"531, I don't know, 0, 0, 0, 0, 0"
529,529,Water has the property of extinguishing the fire,529.0,"532, I don't know, 0, 0, 0, 0, 0,"
530,530,Because the temperature goes down,530.0,"533, the kidneys are moving, 0, 0, 0, 0,"
531,531,It's not a big fire...,531.0,"534, If there is an abnormality in the kidney, bubbles appear in the urine, so I think it has a function that makes things like urine come out well"
532,532,You can turn off the fire with water,532.0,"535, the kidneys can control our nerves, or the speed of our hearts, or create or control the air we breathe, but if any one of them is abnormal, of course it will cause physical problems"
533,533,It's water,533.0,"536, I don't know, 0, 0, 0, 0,"
534,534,I don't know,534.0,"537, wow, it's really hard, 0, 0, 0, 0,"
535,535,It's because the water is strong.,535.0,"538, I don't know much about the human body, so let's move on"
536,536,Wow,536.0,"539,""The kidneys pick up the wastes in the blood and send them to the bladder to discharge them into liquid, and if the kidneys do not do so, the wastes accumulate in the blood and eventually die of blood pain."""",0,0,0,1,0,,,,,"
537,537,"Oxygen is needed to catch fire, because spraying water can block oxygen.",537.0,"540, the kidneys pick strange substances or scraps and turn into urine. 1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
538,538,Water lowered the temperature and blocked oxygen from entering the fire.,538.0,"541, I don't know, 0, 0, 0, 0, 0"
539,539,This is because the oxygen was blocked and the heat cooled heat.,539.0,"542, I don't know, 0, 0, 0, 0, 0"
540,540,This is because the water dropped the temperature.,540.0,"543, perhaps because the kidneys filter out urine, if there is a problem, diabetes develops"
541,541,"This is because the water lowered the temperature of the iron plate. When water is poured into the iron plate and cooled, the temperature of the iron plate decreases, which does not meet the heat of the three conditions of combustion. It can also serve to block oxygen gas.",541.0,"544, I don't know, 0, 0, 0, 0, 0"
542,542,Because the water extinguished the fire,542.0,"545, toxins accumulate in the body because the wastes in the body are not filtered, and abnormalities occur in the body and lead to death.,0,0,0,1,0,,,,,"
543,543,This is because water blocks the oxygen supply of fire and allows the temperature to fall below the ignition point.,543.0,"546, make pee cheap?,0,0,0,1,0,,,,,"
544,544,This is because the temperature of the iron plate was lowered due to wetting and difficulty in contact with oxygen.,544.0,"547, It plays a role in filtering blood waste. ,0,0,0,1,0,,,,,"
545,545,"Because the fire was caused by the high temperature, the fire could be extinguished easily with water",545.0,"548, It plays a role in filtering blood waste, so if there is a problem, toxins accumulate in the body and die. 0,0,0,1,0,,,"
546,546,"This is because the temperature was lowered to water under conditions of temperature (ignition point), oxygen, and de-materials that can catch fire.",546.0,"549,In the kidneys, it plays a role in filtering waste generated from our bodies. If the kidneys that play this role fail, the body cannot properly filter and detoxify waste, and the body accumulates waste and becomes sick.,0,0,0,1,0,,,,,"
547,547,"If any of the above three conditions of combustion, temperature above the ignition point, de-material, or oxygen are not satisfied, combustion does not occur, and water lowers the temperature below the ignition point or blocks oxygen to extinguish the fire.",547.0,"550, I'm a warrior... ...0,0,0,0,0"
548,548,"Oxygen is needed to catch fire, and spraying water not only lowers the temperature but also blocks oxygen.",548.0,"551, Filter the blood, excrete the final product of body metabolism in the form of urine, and adjust the concentration of the electrolyte.,0,0,1,1,1,,,,,"
549,549,It blocks oxygen,549.0,"552, excretion, 0, 0, 0, 1,,,,"
550,550,This is because the water lowered the temperature of the iron plate below the ignition point.,550.0,"553, Our bodies generate waste products in the process of using nutrients to create and use energy needed for our bodies. The kidneys filter out waste from the blood and make urine. ,1,0,0,1,0,,,,,554, I don't know...............................0,0,0,0,0"
551,551,"This is because oxygen around the iron plate was temporarily blocked, and the temperature of the iron plate fell below the firing point.",551.0,"555, If you smoke, your kidneys will get worse, 0, 0, 0, 0, 0"
552,552,"Above, there were elements that satisfied the de-matter and firing temperature. However, by spraying water on the lit iron plate, the cloth, which is a de-material, becomes wet and eventually becomes non-de-material. Therefore, the fire was extinguished because it did not satisfy the firing conditions.",552.0,"556, cellular respiration, etc., we use nutrients to create and use energy, which produces waste products. The presence of this waste product in the body is harmful to our body. These wastes are excreted as urine, which makes this urine in the kidneys. Therefore, abnormalities in the kidneys can occur. 1,0,0,1,0,,,,,"
553,553,"Fire can only be created and maintained when oxygen is present. If water is sprayed on the place where the fire broke out, oxygen is blocked and the fire cannot be maintained.",553.0,"557, Strain the impurities. When kidney problems occur, impurities cannot be filtered, causing abnormalities in the body. 0,0,0,1,0,,,,,"
554,554,This is because water takes off the energy of the iron plate and cuts off the oxygen supply.,554.0,"558, filter out the necessary parts of the urine and remove the toxicity, 0, 0, 0, 1, 0,,,"
555,555,"Fire occurs when high temperatures, burning substances, and oxygen are provided. If water is sprayed, the temperature of the fire will be lowered. In addition, since oxygen is blocked, the fire is extinguished because the conditions under which the fire is generated are not satisfied.",555.0,"559 ""Because kidneys filter out impurities in the body, the body's immunity decreases without kidneys."
556,556,The fire was extinguished by causing the temperature of the iron plate on which the water was lit to fall below the ignition point.,556.0,""",0,0,0,1,0,,,,,"
557,557,"When water is sprayed on the lit iron plate, the water evaporates by the heat of the iron plate and evaporates with the heat of the iron plate. Therefore, the fire is extinguished because the temperature of the iron plate is lower than the temperature of the burning point of the cloth.",557.0,"560, kidneys play a role in filtering waste in our blood. Therefore, if there is a kidney problem, various diseases related to waste can occur.,0,0,0,1,0,,,,,"
558,558,"Oxygen is an essential factor for a fire to burn. Without oxygen, fire cannot burn, but by spraying water, oxygen can be instantly blocked and the fire can be extinguished.",558.0,"561, Because we discharge our body's waste through the kidneys, if we have a problem with the kidneys, it is difficult to discharge the waste. 0, 0, 0, 1, 0"
559,559,"This is because the temperature of the iron plate on fire was lowered through water. The temperature of the iron plate, which was raised above the ignition point, was lowered below the ignition point to extinguish the fire.",559.0,"562, the kidney is an important role, 0, 0, 0, 0"
560,560,"There is de-material, there is oxygen. However, the fire was extinguished because the temperature was lowered by spraying water.",560.0,"563, ""The kidneys... Well, I do something very important, so... I have a problem with my kidney problem. Look, um... ""0,0,0,0,0,0,0..."""
561,561,The fire goes out in the water.,561.0,"564, The kidneys play an important role, so if the kidneys are in trouble, their health becomes poor, and if it is severe, it becomes Samam"
562,562,I'll lower the temperature,562.0,"565 ""Our bodies generate waste products in the process of using nutrients to create and use the energy they need. It is harmful if waste remains in our bodies. The kidneys filter out waste from the blood and make urine. Blood is sent back into the body, and urine is sent out of the body through the bladder. The process of releasing waste from the blood out of the body is called excretion, and the kidneys are involved in excretion.""1,0,0,1,0,,,,,,,"
563,563,The water is colder,563.0,"566, ""It produces urine, releases toxins, and filters out waste.It also balances the acid and alkali of the body fluid, helps absorb potassium, and regulates stenosis and red blood cell levels."",1,0,1,1,0,,,,,"
564,564,The water is unique,564.0,"567, Strain waste through blood to make urine. It also filters out the waste and keeps the blood clean. 1,0,0,1,0"
565,565,.,565.0,"568, filter waste through the blood to make urine. 1,0,0,1,0,,,,,"
566,566,"This is because the water was covered, blocking oxygen/ or lowering the temperature of the temperature.",566.0,"569, ""The kidneys play a role in removing waste matter from the blood. Therefore, if a kidney problem occurs, the waste product in the blood cannot be removed, which can lead to diabetes or high blood pressure."",0,0,0,0,0,,,,,"
567,567,oxygen blocking,567.0,"570, The kidneys function to release nope water, but if the kidneys fail to function, various toxins in nope water harm the body and cause disease accordingly.,0,0,0,1,0,,,,,"
568,568,Because the temperature is low,568.0,"571,r,0,0,0,0,0,,,,,"
569,569,There's nothing more to burn,569.0,"572, The kidneys filter out waste from the blood and release urine from the bladder, and the clean blood from which the waste is filtered back into the body, 1,0,0,1,0,,,,,,,,,,,,,,,"
570,570,"Since I sprayed water, the fire will turn off, right?",570.0,"573, The kidneys store toxic elements and release them out of the body with water through the urethra. 0, 0, 0, 1, 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
571,571,Since I sprayed water,571.0,"574, Strain waste.,0,0,0,1,0,,,,,"
572,572,I don't know.,572.0,"575, I don't know, 0, 0, 0, 0, 0"
573,573,This is because the temperature was lowered.,573.0,"576, if the kidneys fail to work, they cannot throw away the waste matter in their bodies, and the dead blood continues to wander, and our bodies get sick and die, 0, 0, 0, 1, 0"
574,574,turn off the heat,574.0,"577, I don't know... ...0,0,0,0,0"
575,575,"Because the temperature went down,",575.0,"578, waste discharge, 0, 0, 1,,,,,,"
576,576,Water has hydrogen bonds in its molecular composition and takes away heat,576.0,"579, I couldn't filter out the old water...0,0,0,1,0"
577,577,The fire goes out with water,577.0,"580,""It's to pee what the kidneys do, but if you have problems with your kidneys, you can't pee."",0,0,0,1,0,,,,,"
578,578,?,578.0,"581 ""The function of the kidney is, first, excretion function that filters metabolites and wastes out to urine"", 0,0,0,1,0,,,,,"
579,579,I turned off the water,579.0,"582,""In chronic kidney disease, kidney function gradually decreases over months or years. In the beginning, most patients' bodies are compensated or adapted to metabolic abnormalities, so they are relatively less likely to feel symptoms. However, when kidney function is severely degraded, symptoms due to uremia or water retention begin to occur.What are the symptoms of chronic kidney disease?"
580,580,The air supply is cut off,580.0,Symptoms of chronic kidney disease vary depending on the degree of kidney damage. Chronic kidney disease is divided into five stages according to kidney function and glomerular filtration rate (GFR). The glomerular filtration rate can be calculated with serum creatinine and should normally exceed 90 mL/min.
581,581,Because fire is lost to water.,581.0,
582,582,Because I can put out the fire with water,582.0,Chronic kidney disease stage 1 (kidney function 90-100%)
583,583,below the ignition temperature,583.0,"Stage 1 chronic kidney disease refers to cases where glomerular filtration rate is greater than 90 mL/min/1.73 m2 but only tests such as proteinuria are accompanied; there is structural damage to the kidneys in X-rays, ultrasound, MRI, or CT; or family history of polycystic kidney disease. There are no symptoms that you feel at this stage."
584,584,Because the water can extinguish the fire.,584.0,
585,585,This is because fire and water are extreme.,585.0,Chronic kidney disease stage 2 (60-89% kidney function)
586,586,It is because water has the property of extinguishing the fire,586.0,"In stage 2 chronic kidney disease or mild chronic kidney disease, glomerular filtration rate is 60-89 mL/min/1.73 m2. There are usually no symptoms at this stage, but some patients may urinate frequently at night, have high blood pressure, have normal serum creatinine, have a small increase, or have abnormal urine tests."",0,0,0,0,0,,,,,"
587,587,It's cold,587.0,"583, Since the kidneys play a role in filtering out waste in the blood, if there is a function problem, they cannot filter out waste and get sick.,0,0,0,1,0,,,,,"
588,588,"Since I sprayed water, it's good for digestion",588.0,"584, I don't know, 0, 0, 0, 0, 0,"
589,589,This is because the heat on the iron plate was temporarily lowered by spraying cold water.,589.0,"585, I don't know, 0, 0, 0, 0, 0,"
590,590,This is because carbon blocks oxygen.,590.0,"586, collect the residue from our bodies and discharge it, 0, 0, 0, 1, 0"
591,591,taking away the heat,591.0,"587, it filters out blood waste, 0, 0, 0, 1,"
592,592,Because water takes away heat,592.0,"588, It is very dangerous because if a kidney abnormality occurs, the residue cannot be discharged or the residue can remain in the body"
593,593,Because water can extinguish a fire,593.0,"589, I don't know.,0,0,0,0,0,,,,,"
594,594,"If you spray water, the fire will turn off",594.0,"590 ""Because if there is a kidney problem, waste and residue cannot be filtered out,""0,0,0,1,0,,,,,"
595,595,"Because if you spray water, the fire goes out",595.0,"591, I don't know, 0, 0, 0, 0, 0,"
596,596,It's because water puts out the fire,596.0,"592, I don't know, 0, 0, 0, 0,"
597,597,This is because the temperature has decreased.,597.0,"593, I don't know, 0, 0, 0, 0,"
598,598,Because water and fire are extreme. ex)Pocket Monster Lizamong vs Turtle King,598.0,"594, strain our body's waste and make urine.',1,0,0,1,0,,,,,"
599,599,"This is because as water evaporated, it absorbed the surrounding heat energy and lowered the ambient temperature to a temperature below the ignition point.",599.0,"595, I don't know, 0, 0, 0, 0,"
600,600,Not to get oxygen,600.0,"596 The kidneys filter out waste and make clean blood.,0,0,0,1,0,,,,,"
601,601,Water can extinguish the fire,601.0,"597, It plays a role in filtering elements in the blood to drain out of the body.,0,0,0,1,0,,,,,"
602,602,"Since I turned off the heat,",602.0,"598, believer, 0, 0, 0, 0, 0"
603,603,It's off because I sprayed water,603.0,"599, the kidney is our body, so we do many things, but it breaks because it breaks, 0, 0, 0, 0, 0"
604,604,I want to go to the bathroom.,604.0,"600,""The kidney prevents substances such as red blood cells, proteins, and fats from being released out of the body, and reabsorbs glucose and amino acids to excrete only urea and water wastes,""0,0,1,0,,,,,"
605,605,"Since I sprayed water on the fire,",605.0,"601, I know it's okay not to have a single height, 0, 0, 0, 0,"
606,606,Because water is stronger than fire,606.0,"602, it filters out waste from the blood through the kidneys. 0,0,0,1,0"
607,607,oxygen blocking,607.0,"603, Kidney is one of the organs of ship design and filters waste. If the function fails, the waste accumulates in the body and causes various diseases, 0, 0, 0, 1,,,,604, It discharges the nope water from the body, 0, 0, 0, 1,,,,,,"
608,608,Water helps block oxygen,608.0,"605, It circulates blood or nutrients in the body, and if the tooth is broken, abnormalities appear in the body.,0,0,0,0,0,,,,,"
609,609,I don't understand.,609.0,"606, Since kidneys contribute to homeostasis in the body, abnormalities in the kidneys cause the body's balance to collapse and cause diseases such as diabetes.,0,0,0,1,0,,,,,"
610,610,Because it went down to the temperature below the point of discord,610.0,"607, The kidneys filter various wastes in the blood to clean the blood. Therefore, if there is a kidney problem, it will be very difficult. 0,0,0,1,1,,,,"
611,611,This is because pouring water blocks oxygen and lowers the temperature.,611.0,"608, If there is a problem with this kidney, the waste transferred through the blood is discharged from the kidney, the waste cannot be discharged normally. 0,0,0,1,0,,,,,"
612,612,It's because water blocks oxygen,612.0,"609, Because it cannot absorb water, it causes urticaria, 0, 0, 0, 1,,,,"
613,613,It's blocked,613.0,"610, blood is filtered from the kidneys, 0, 0, 0, 1,"
614,614,It's because the temperature has gone down,614.0,"611 Because kidneys contribute to homeostasis in the body, abnormalities in the kidneys cause the body's balance to collapse and cause diseases such as diabetes.,0,0,1,0,0,,,,,"
615,615,with a low temperature,615.0,"612, Strain the elements in the blood and reabsorb the water. 0,0,0,1,1,,,,"
616,616,"The temperature of the water is low, so the temperature of the cloth is lowered, so the heat is lower than the ignition point, and the fire is extinguished because the water blocks oxygen",616.0,"613,The kidneys are the organs that help us digest. Digestion is a very important action in the process of human metabolism, and if there is an abnormality in the digestive process, secretions caused by metabolism cannot be discharged out of the body, causing waste to accumulate in our bodies. You get sick from accumulated waste. 0,0,0,1,0"
617,617,This is because the water cut off oxygen supply from the fire.,617.0,"614, It plays a role in filtering and purifying toxic substances or residues in our bodies, 0,0,0,1,0,,,"
618,618,This is because the temperature was below the ignition point and oxygen was blocked by water.,618.0,"615, the disease occurs because the body is maintained by removing waste and reabsorbing moisture"
619,619,This is because the fire was not allowed to burn by lowering the temperature.,619.0,"616,If a person with a weak kidney from birth sees this problem, he will cry.,0,0,0,0,0,,,,,"
620,620,"This is because it eliminated elements that catch fire, such as lowering the burning point or blocking oxygen.",620.0,"617,I don't know,0,0,0,0,0"
621,621,"If you spray water on the fire, it goes out",621.0,"618 The function of the kidney can be summarized as: first, excretion to filter metabolites and wastes out to urine; second, biostatic maintenance to keep body water, electrolytes, and acidity constant within a narrow range; and third, endocrine function to produce and activate various hormones important for blood pressure, anemia correction, and calcium and phosphorus."",0,1,1,1,0,,,,,"
622,622,It is because the temperature was lowered.,622.0,"619,""Draining blood, sending clear blood to the pain, and the residue"
623,623,This is because the water lowered the temperature of the iron plate.,623.0,"It serves to send it to the Ojubo,""0,0,1,0,,,,,"
624,624,The water turned off the heat,624.0,"620, fine dust enters the body, 0, 0, 0, 1, 0"
625,625,The water turns on the fire,625.0,"621, I don't know, 0, 0, 0, 0, 0"
626,626,Cooling digestion,626.0,"622, the kidneys seem to play a very important role because they manage our bodies and do many things"
627,627,Rising ignition point due to water and blocking oxygen supply,627.0,"623, kidneys help digestion, 0, 0, 0, 0,"
628,628,This is because the water blocks oxygen and drops the temperature.,628.0,"624, because waste cannot be filtered better than before, the risk of getting sick increases and the immunity decreases"
629,629,This is because the temperature was lowered below the ignition point due to water.,629.0,"625, kidneys help digestion. 0,0,0,0,0,,,"
630,630,This is because oxygen is blocked and heat goes down.,630.0,"626,""The amount of moisture, acid base balance, and osmotic pressure are controlled, and if abnormal substances are present in the blood or if there is an excess of normal substances, they are excreted and normalized. It is also the only organ that excrete protein metabolites and removes drugs and toxic substances.""0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
631,631,lowering the temperature,631.0,"627, If the kidney is damaged and the function is deteriorated, waste products caused by the decomposition of proteins accumulate in the body.,0,0,0,1,0,,,,,"
632,632,Let's see. Sexy,632.0,"628, removal of waste from the blood, 0, 0, 0, 1,"
633,633,This is because water prevents the supply of oxygen that needs fire.,633.0,"629, helps with digestion.,0,0,0,0,0,,,,,"
634,634,I think the light went out because the water went in.,634.0,"630,""The kidneys are located in pairs on the back of the lower abdomen and are one of the important organs that excrete waste and maintain body homeostasis such as acid bases and electrolyte metabolism. The total weight of both kidneys is only about 0.4% of the total weight, but it is difficult to maintain life if the function of the kidneys is severely degraded or lost. Since it performs a physiological function that is very important for maintaining life, 20 to 25% of total cardiac output flows into the kidneys. As a unit structure responsible for the function of the kidneys, there is nephron, which is the basic unit for urine production."
635,635,Water in the hot heat will extinguish the fire,635.0,
636,636,"Air is needed for a fire to burn, because water and underwater air block the air by spraying water.",636.0,"In normal people, the amount of blood filtered from the kidneys per day reaches 180L, but most of it is reabsorbed and the amount of urine actually excreted is only 1 to 2L. This is because moisture and nutrients needed in the human body are reabsorbed, and substances that need more excretion are secreted, and urine is finally produced."",1,0,1,1,0,,,,,631 ""If the kidneys fail to function for various reasons, protein or blood may flow out of the urine, accumulate waste in the blood, and symptoms such as water and electrolyte imbalance, decreased urine volume, edema, and high blood pressure appear"
637,637,This is because water lowers the temperature needed to burn,637.0,""",0,0,0,1,0,,,,,"
638,638,"Temperature drop, oxygen shut off",638.0,"632, role to help digestion, 0, 0, 0, 0,"
639,639,"This is because when fire and water meet, water blocks fire from meeting oxygen.",639.0,"633, the kidney removes the old product of the blood, but when the kidney disappears, the blood gets clogged and becomes sick, 0, 0, 0, 1, 0"
640,640,Because water can extinguish the fire,640.0,"634, If you have a kidney problem, your hands, feet, and face may swell, and you may feel that it is not cool even if you urinate often or urinate.,0,0,0,0,0,,,,,"
641,641,This is because the temperature of the fire is lower than the ignition point,641.0,"635,"" If you have a kidney problem, your face, hands, and feet swell easily, and you may have tinnitus, headaches, hiccups, etc., and you may not feel cool even if you urinate often or urinate."",0,0,0,0,0,,,,,"
642,642,I think it's because I cooled the hot heat of the iron.,642.0,"636, ""If there is a kidney abnormality, kidney cancer and kidney stones may occur."",0,0,0,0,0,,,,,"
643,643,"When you pour water, the fire usually goes out.",643.0,"637, filter out the waste  But when it's gone, waste accumulates in the body, making blood dirty, and blood doesn't flow well, 0, 0, 0, 1, 0"
644,644,"As I sprayed water, the heat cooled down and water went into the iron",644.0,"638, Strain waste and send urine to the bladder.,0,0,0,1,0,,,,,"
645,645,Oxygen is blocked,645.0,"639 ""When abnormalities occur in the kidneys, tinnitus, headache, hiccups, etc., and various symptoms such as cold hands and feet appear in the body,""0,0,0,0,,,"
646,646,The water is cold,646.0,"640, ""If there is a kidney abnormality, tinnitus, headache, hiccups, and various symptoms such as cold hands and feet appear in the body."",0,0,0,0,0,,,"
647,647,There's no oxygen in the water,647.0,"641,""Diabetes is"
648,648,The heat has cooled down,648.0,"look"",0,0,0,0,0,,,,,"
649,649,This is because oxygen is blocked.,649.0,"642, I don't know, 0, 0, 0, 0, 0,"
650,650,"Since water absorbs heat from the iron plate and evaporates into water vapor, the temperature of the iron plate decreases and the fire is extinguished.",650.0,"643, I don't know, 0, 0, 0, 0, 0,"
651,651,Fire is like wind,651.0,"644, ㄹ,, 0, 0, 0, 0, 0"
652,652,be caused by pouring water,652.0,"645,I don't know,0,0,0,0,0"
653,653,The temperature of the iron plate was lowered and the fire was extinguished because it did not meet the combustion conditions.,653.0,"646, ㄹ,, 0, 0, 0, 0, 0"
654,654,"Because the fire was sprayed with water, the fire was extinguished because it did not create a temperature to maintain the fire",654.0,"647,"""
655,655,The heat on the hot iron cooled down and the fire seemed to go out.,655.0,I don't understand.
656,656,This is because there is an ingredient that goes out when water touches the fire,656.0,""",0,0,0,0,0,,,,,"
657,657,"This is because when water is sprayed, oxygen transferred to the fire is blocked, so that the condition of combustion is not established.",657.0,"648, ㅎㄳㅎ ㄳㅎ0, 0, 0, 0, 0,"
658,658,Fire is like air,658.0,"649, M,, 0, 0, 0, 0, 0"
659,659,Because water can extinguish the fire,659.0,"650,I don't know,0,0,0,0,0"
660,660,Because the fire is weak with water,660.0,"651, mall, 0, 0, 0, 0,"
661,661,Water blocks oxygen supply,661.0,"652, I don't know, 0, 0, 0, 0, 0"
662,662,Common sense is that fire is lost to water.,662.0,"653, I don't know.,0,0,0,0,0,,,,,"
663,663,It's because of the heat,663.0,"654,I don't know,0,0,0,0,0"
664,664,The fire is hot and the water is cold,664.0,"655, M,, 0, 0, 0, 0, 0"
