,Unnamed: 0,"23. After the long winter, the warm spring came and it became a hot summer. It's cool autumn again, and it's already cold winter. How does the seasonal change that repeats every year come about? Let's explain the process in detail using our knowledge of Earth and seasonal changes. ",Unnamed: 0,", q23_rotation, q23_altitude variation, q23_magnitude axis, q23_distance difference, q23_rotation, q23_altitude variation.1, q23_altitude variation.1,q23_Motor axis 1.q23_Distance difference.1,q23_Biograph.1"
503,503,"As the earth orbits, the angle to the sun makes four seasons.",503.0,"520,1,0,0,0,0,,,,,"
504,504,Four seasons,504.0,"521,0,0,0,0,0,,,,,"
505,505,"As the earth rotates, the parts that touch the sun are different",505.0,"522,0,0,0,0,0,,,,,"
506,506,"Because the earth revolves around the sun,",506.0,"523,0,0,0,0,0,,,,,"
507,507,Because of the revolution of the earth,507.0,"524,0,0,0,0,0,,,,,"
508,508,the revolution of the earth,508.0,"525,1,0,0,0,0,,,,,"
509,509,The reason why the seasons change is because the amount of clouds changes,509.0,"526,1,0,0,0,0,,,,,"
510,510,I don't know.,510.0,"527,0,0,0,0,1,,,,,"
511,511,"The earth revolves around the sun, and the seasons occur depending on the location of the earth",511.0,"528,0,0,0,0,1,,,,,"
512,512,I don't know.,512.0,"529,0,0,0,0,0,,,,,"
513,513,"As the sun revolves around the Earth's sun, the amount of sunlight received changes, and a season occurs",513.0,"530,0,0,0,0,0,,,,,"
514,514,This is because the earth revolves around the sun.,514.0,"531,1,0,0,0,1,,,,,"
515,515,"Because the earth is spinning, the degree of sunlight changes",515.0,"532,1,0,0,0,0,,,,,"
516,516,the earth's process,516.0,"533,0,0,0,0,0,,,,,"
517,517,This is because the earth revolves once a year.,517.0,"534,1,0,0,1,0,,,,,"
518,518,"As the Earth revolves around the sun, the amount of sunlight received by the sun changes, resulting in a season.",518.0,"535,1,0,0,1,0,,,,,"
519,519,"As the earth revolves around it, the sun rotates, the country close to the sun gets hot, and the country away from the sun gets cold, and the season changes.",519.0,"536,0,0,0,0,1,,,,,"
520,520,"Spring, summer, fall, and winter are born because the Earth co-exists the sun in space.",520.0,"537,0,0,0,0,1,,,,,"
521,521,"The earth revolves around the sun for a year, so there are four seasons.",521.0,"538,1,0,0,0,0,,,,,539,1,0,0,1,1,,,,,"
522,522,"As the Earth rotates and rotates repeatedly, the seasons change because our position in space changes and the distance from the sun changes.",522.0,"540,1,0,0,0,1,,,,,"
523,523,Because the Earth revolves around the sun at constant speed and revolves around the axis of rotation,523.0,"541,0,0,0,0,1,,,,,"
524,524,The earth revolves around,524.0,"542,0,0,0,1,1,,,,,"
525,525,.,525.0,"543,1,0,0,0,1,,,,,"
526,526,Because the earth is spinning,526.0,"544,1,0,0,1,0,,,,,"
527,527,the principle of the earth,527.0,"545,1,0,0,1,0,,,,,"
528,528,Because it's the law of the earth,528.0,"546,1,0,1,0,0,,,,,"
529,529,"As the earth rotates around the sun, the seasons began",529.0,"547,1,0,1,0,0,,,,,"
530,530,It revolves around the sun,530.0,"548,1,1,1,0,0,,,,,"
531,531,the rotation of the earth,531.0,"549,1,1,1,0,0,,,,,"
532,532,The seasons change as the earth rotates,532.0,"550,0,0,0,0,0,,,,,"
533,533,"The earth revolves around and spring, summer, fall, and winter appear.",533.0,"551,1,1,0,0,0,,,,,"
534,534,Unknowingness,534.0,"552,1,1,0,0,0,,,,,"
535,535,"When the Earth goes around the sun, it faces the sun, and when it turns its back on the sun, the seasons occur.",535.0,"553,1,1,1,0,0,,,,,"
536,536,The earth revolves around and changes according to the influence of the sun and whether or not it is not.,536.0,"554,1,0,0,0,0,,,,,"
537,537,Global On Nana,537.0,"555,1,0,0,0,1,,,,,"
538,538,This is because the orbit of the earth is located close to the sun in summer and the orbit of the earth is located far from the sun in winter.,538.0,"556,1,0,1,0,1,,,,,"
539,539,"""The change of seasons is that the earth revolves around, which takes a year",539.0,"557,1,0,0,0,0,,,,,"
540,540,"During the revolution, spring and autumn became the middle of the distance from the sun, and summer was relatively small",540.0,"558,1,0,0,0,0,,,,,"
541,541,"to have a very close distance Winter is twice the distance of spring """,541.0,"559,1,0,0,0,0,,,,,"
542,542,Seasonal changes occur because the earth rotates,542.0,"560,1,0,1,0,0,,,,,"
543,543,"If the earth rotates and is in front of the sun, it is winter if it is in the back of summer.",543.0,"561,1,1,1,0,0,,,,,"
544,544,"The Earth rotates on its own, and this is called a rotation It's called revolving around the sun. This situation is revolving rather than rotating There will be a temperature difference around the sun",544.0,"562,1,0,0,0,0,,,,,"
545,545,"As the Earth rotates around the Earth's orbit and rotation, the closer it is reflected to the sun, the warmer it gets, and the colder it gets, the weather changes, which sometimes changes the season.",545.0,"563,1,0,0,0,0,,,,,"
546,546,The earth rotates and revolves around the sun once a day.,546.0,"564,1,0,0,1,0,,,,,"
547,547,"If the sun moves around the earth for a year, it is summer when the sun is facing our country and winter when it is on the other side of our country",547.0,"565,1,1,1,0,0,,,,,"
548,548,"When the earth rotates, it becomes close to the sun or far away, but when it is far away, it becomes cold and hot, so there are spring, summer, autumn, and winter.",548.0,"566,1,0,1,0,0,,,,,"
549,549,It is winter when the earth turns around the sun and our country looks toward the sun and the other side of the summer sun.,549.0,"567,1,0,0,0,0,,,,,"
550,550,"The Earth goes around the sun, and as it turns, it gets hotter and colder as it gets closer to the sun.",550.0,"568,1,0,1,0,0,,,,,569,1,1,1,0,1,,,,,"
551,551,"The Earth orbits the Sun, which changes the distance between the Earth and the Sun. This explains the periodic appearance of the season, and given that the temperature changes depending on the distance, the change in the meter can be seen as due to the rotation of the earth.",551.0,"570,0,0,0,0,0,,,,,"
552,552,Seasonal changes because the Earth's axis of rotation orbits the Sun at an inclination of 23.5 degrees,552.0,"571,0,0,0,0,0,,,,,"
553,553,It's because the Earth tilts 23.5 degrees,553.0,"572,1,0,0,0,0,,,,,"
554,554,"This is because the Earth orbits at an inclination, so the degree of sunlight reaches is different.",554.0,"573,1,1,1,0,0,,,,,"
555,555,"The change in the Earth's seasons comes because the Earth's axis of rotation is tilted. This is because the Earth's axis of rotation is tilted, resulting in a difference in the amount of solar radiation energy received at each latitude, and the degree to which the Earth receives solar radiation energy varies as it orbits the sun.",555.0,"574,1,1,0,0,0,,,,,"
556,556,So hot! So hot!,556.0,"575,1,0,0,0,0,,,,,"
557,557,"The earth revolves around, causing a difference in the area where sunlight touches, resulting in seasonal changes.",557.0,"576,1,0,0,0,0,,,,,"
558,558,The Sun's south-central elevation keeps changing because the Earth orbits the Sun,558.0,"577,1,0,0,0,0,,,,,"
559,559,"Because the axis of rotation of the sphere is tilted with respect to the orbital plane, the sun's south-central elevation continues to change. The length of the day depends on the season. Therefore, the temperature of the air seems to vary with the relay.",559.0,"578,0,0,0,0,1,,,,,"
560,560,This is because the earth revolves.,560.0,"579,1,0,0,0,1,,,,,"
561,561,"""No, I don't",561.0,"580,1,0,0,0,0,,,,,"
562,562,"rotate the earth and around the sun""",562.0,"581,1,0,0,0,0,,,,,"
563,563,"The Earth rotates once a year around the sun and rotates once a day based on its axis. If the Earth were to orbit and rotate, there would be no change of seasons and the same climate throughout the year. However, since the axis of rotation is tilted 23.5 degrees, the climate of the region changes depending on the location of the Earth, resulting in seasonal changes.",563.0,"582,0,0,0,0,0,,,,,"
564,564,The seasons change due to the revolution of the earth.,564.0,"583,1,0,0,0,0,,,,,"
565,565,The seasons change because the earth revolves around the sun,565.0,"584,0,0,0,0,1,,,,,"
566,566,Because the earth revolves,566.0,"585,0,0,0,0,0,,,,,"
567,567,"The rotation axis is tilted 23.5 degrees as the Earth orbits the sun, so the seasons are all different",567.0,"586,1,1,0,0,1,,,,,"
568,568,"Because the Earth's axis of rotation orbits solar attention, the amount of solar energy it receives varies depending on its location.  So there is a change of course",568.0,"587,1,0,0,0,0,,,,,"
569,569,Because the earth revolves,569.0,"588,0,0,0,1,1,,,,,"
570,570,"As the earth revolves, four seasons arise.",570.0,"589,0,0,0,0,0,,,,,"
571,571,"It feels like summer when the Earth is near the sun as it orbits, and winter when it is on the other side.",571.0,"590,0,0,0,1,1,,,,,"
572,572,"The rotation axis of the sphere is tilted relative to the orbital plane and orbits around the sun, so the sun's south-central elevation continues to change. The length of the day depends on the season.  The temperature of the air depends on the relay.",572.0,"591,0,0,0,0,0,,,,,"
573,573,The change of seasons is because the Earth orbits with 23.7 degrees of solar attention,573.0,"592,1,0,0,0,0,,,,,"
574,574,This is because the earth revolves around the sun.,574.0,"593,0,0,0,0,0,,,,,"
575,575,This is because the earth is tilted and revolves around the sun.,575.0,"594,0,0,0,0,1,,,,,"
576,576,"The Earth rotates with its rotation axis tilted 23.5 degrees, and as it rotates while rotating like this, the sun's south middle altitude changes, resulting in a difference in sunlight, resulting in a difference in seasons.",576.0,"595,0,0,0,0,0,,,,,"
577,577,I don't know.,577.0,"596,1,0,0,0,0,,,,,"
578,578,f,578.0,"597,0,0,1,0,0,,,,,"
579,579,This is because the earth revolves around the sun.,579.0,"598,1,0,0,0,0,,,,,599,0,1,1,0,0,,,,,"
580,580,"The Earth orbits around the sun with its axis tilted by about 23.5 degrees, and in the process, the angle at which sunlight enters varies. The smaller the angle of incidence, the higher the temperature as solar energy is concentrated in one place, and the larger the angle of incidence, the wider the solar energy is dispersed, the lower the temperature, and winter comes.",580.0,"600,1,0,0,0,0,,,,,"
581,581,It seems to be due to the change in the sun's south middle altitude and the revolution of the earth.,581.0,"601,0,0,0,0,0,,,,,"
582,582,the revolution,582.0,"602,0,0,1,0,0,,,,,"
583,583,The earth is spinning,583.0,"603,0,0,0,0,0,,,,,"
584,584,Because the earth revolves?,584.0,"604,1,1,0,0,0,,,,,"
585,585,It is caused by the rotation of the earth and the rotation of the sun.,585.0,"605,0,0,0,0,1,,,,,"
586,586,in the revolution and rotation of the earth,586.0,"606,1,1,1,0,0,,,,,"
587,587,Seasons change due to the revolution of the earth.,587.0,"607,1,1,1,0,0,,,,,"
588,588,Change due to the revolution of the earth,588.0,"608,1,0,0,0,0,,,,,"
589,589,The current climate on the Korean Peninsula is warm at the equator and at the top of the Korean Peninsula except for North Korea.,589.0,"609,1,0,0,0,0,,,,,"
590,590,,590.0,"610,1,0,0,0,0,,,,,"
591,591,,591.0,"611,1,1,1,0,0,,,,,"
592,592,"These days, the news or many people say that there is no spring or fall due to climate change, but if there is no spring or fall, it has to be either a winter climate or a summer tropical climate all year long.Simply put, there is no need to complain that it is cold like winter weather in spring and hot like summer weather in autumn.",592.0,"612,1,0,1,0,0,,,,,"
593,593,,593.0,"613,1,0,0,1,0,,,,,"
594,594,,594.0,"614,1,1,1,0,1,,,,,"
595,595,"Anyway, as long as we are alive until we die, we are currently living well with our eyes open.",595.0,"615,1,0,0,0,0,,,,,"
596,596,,596.0,"616,1,0,0,0,0,,,,,"
597,597,,597.0,"617,1,0,0,0,0,,,,,"
598,598,"Our country is neither a cold climate nor a tropical climate, but there is no spring or autumn prematurely I'd like to reiterate that I can't say.",598.0,"618,1,0,0,0,1,,,,,"
599,599,,599.0,"619,1,0,0,0,0,,,,,"
600,600,,600.0,"620,1,0,1,0,0,,,,,"
601,601,"For example, in the case of the weather in 2010, 2012, and April 2013, spring has definitely entered, but there were many colder and strange days than usual, and I felt like spring was missing, but the weather of the year alone is not an extension of winter.",601.0,"621,1,0,0,0,0,,,,,"
602,602,,602.0,"622,1,0,0,1,0,,,,,"
603,603,,603.0,"623,1,0,0,0,0,,,,,"
604,604,"People are busy working in their daily lives, so there are many times when they are absent due to personal reasons or diseases, and there are many mistakes on the day due to poor working conditions, and the weather is similar to that of the whole planet.",604.0,"624,1,0,0,1,0,,,,,"
605,605,,605.0,"625,1,0,0,0,0,,,,,"
606,606,,606.0,"626,1,0,0,0,1,,,,,"
607,607,"You have experienced many weather experiences in spring and autumn, which are colder and hotter than usual, but it is believed that there will be many similar weather in the Three Kingdoms Period and Joseon Dynasty in the past.",607.0,"627,1,0,0,0,0,,,,,"
608,608,,608.0,"628,1,0,0,0,0,,,,,629,1,0,0,0,0,,,,,"
609,609,,609.0,"630,1,0,0,0,1,,,,,"
610,610,"The conclusion is that we are living well with our eyes open and breathing, and without one season, it would not be an environment where real people would live, and Korea has a warm climate, not a tropical climate or a cold climate, so there are four seasons.""",610.0,"631,1,0,0,0,0,,,,,"
611,611,The seasons change due to the revolution of the earth around the sun.,611.0,"632,1,0,0,0,0,,,,,"
612,612,"Because it rotates around the earth, there are four seasons.",612.0,"633,1,0,0,0,0,,,,,"
613,613,Unknowingness,613.0,"634,1,0,1,0,0,,,,,"
614,614,"Earth's rotation: Because the Earth rotates around the sun once a year, the area that it closes with the sun changes",614.0,"635,1,0,1,0,0,,,,,"
615,615,Because the earth revolves,615.0,"636,1,0,1,0,0,,,,,"
616,616,It is a phenomenon caused by the rotation of the Earth as Korea moves away from or approaches the sun.,616.0,"637,1,0,0,0,1,,,,,"
617,617,The current climate on the Korean Peninsula is warm at the equator and at the top of the Korean Peninsula except for North Korea.,617.0,"638,1,0,1,0,1,,,,,"
618,618,,618.0,"639,1,0,0,0,0,,,,,"
619,619,,619.0,"640,1,0,0,0,0,,,,,"
620,620,"These days, the news or many people say that there is no spring or fall due to climate change, but if there is no spring or fall, it has to be either a winter climate or a summer tropical climate all year long.",620.0,"641,1,0,0,0,0,,,,,"
621,621,,621.0,"642,0,0,0,0,0,,,,,"
622,622,,622.0,"643,0,0,0,0,0,,,,,"
623,623,"Simply put, there is no need to complain that it is cold like winter weather in spring and hot like summer weather in autumn.",623.0,"644,0,0,0,0,0,,,,,"
624,624,,624.0,"645,0,0,0,0,0,,,,,"
625,625,,625.0,"646,0,0,0,0,0,,,,,"
626,626,"Anyway, as long as we are alive until we die, we are currently living well with our eyes open.",626.0,"647,0,0,0,0,0,,,,,"
627,627,,627.0,"648,0,0,0,0,0,,,,,"
628,628,,628.0,"649,0,0,0,0,0,,,,,"
629,629,"Our country is neither a cold climate nor a tropical climate, but there is no spring or autumn prematurely I'd like to reiterate that I can't say.",629.0,"650,0,0,0,0,0,,,,,"
630,630,,630.0,"651,0,0,0,0,0,,,,,"
631,631,,631.0,"652,0,0,0,0,0,,,,,"
632,632,"For example, in the case of the weather in 2010, 2012, and April 2013, spring has definitely entered, but there were many colder and strange days than usual, and I felt like spring was missing, but the weather of the year alone is not an extension of winter.",632.0,"653,1,0,0,0,0,,,,,"
633,633,,633.0,"654,0,0,0,0,0,,,,,"
634,634,,634.0,"655,0,0,0,0,0,,,,,"
635,635,"People are busy working in their daily lives, so there are many times when they are absent due to personal reasons or diseases, and there are many mistakes on the day due to poor working conditions, and the weather is similar to that of the whole planet.",635.0,"656,0,0,0,0,0,,,,,"
636,636,,636.0,"657,0,0,0,0,0,,,,,"
637,637,,637.0,"658,1,0,0,0,0,,,,,659,0,0,0,0,0,,,,,"
638,638,"You have experienced many weather experiences in spring and autumn, which are colder and hotter than usual, but it is believed that there will be many similar weather in the Three Kingdoms Period and Joseon Dynasty in the past.",638.0,"660,0,0,0,0,0,,,,,"
639,639,,639.0,"661,0,0,0,0,0,,,,,"
640,640,,640.0,"662,0,0,0,0,0,,,,,"
641,641,"The conclusion is that we are living well with our eyes open and breathing, and without one season, it would not be an environment where real people would live, and Korea has a warm climate, not a tropical climate or a cold climate, so there are four seasons.",641.0,"663,1,0,0,0,0,,,,,"
642,642,,642.0,"664,1,0,0,0,0,,,,,"
643,643,"Facebook Twitter List""",643.0,"665,1,0,1,0,0,,,,,"
644,644,"Because of the Earth's rotation, our country becomes distant and closer to the sun,",644.0,"666,1,0,0,0,1,,,,,"
645,645,I don't know,645.0,"667,1,0,0,0,0,,,,,"
646,646,The seasons change due to the revolution of the earth.,646.0,"668,1,0,0,0,0,,,,,"
647,647,I don't understand.,647.0,"669,1,0,0,0,0,,,,,"
648,648,"The Earth rotates, so the seasons vary depending on the location.",648.0,"670,0,0,0,0,0,,,,,"
649,649,by temperature difference,649.0,"671,0,0,1,0,0,,,,,"
650,650,"As the Earth orbits around the sun, seasonal changes occur depending on the time it orbits.",650.0,"672,1,0,0,0,0,,,,,"
651,651,This is because the Earth's axis of rotation is tilted.,651.0,"673,1,0,0,1,0,,,,,"
652,652,Because of the revolution of the earth,652.0,"674,0,0,0,0,0,,,,,"
653,653,"The Earth is tilted to some extent relative to the axis of rotation, so the seasons appear differently because different regions receive solar heat.",653.0,"675,0,0,0,0,0,,,,,"
654,654,the revolution of the earth,654.0,"676,0,0,0,0,0,,,,,"
655,655,"If it's summer, do you always feel sad?""",655.0,"677,1,1,0,0,0,,,,,"
656,656,"The Earth's axis of rotation is 23.5 degrees, so there is a difference in temperature by latitude when it orbits. That's why the seasons come on.",656.0,"678,0,0,0,0,1,,,,,"
657,657,the revolution of the earth,657.0,"679,0,0,0,0,1,,,,,"
658,658,The weather changes because there is a difference in the amount of solar heat received by the Earth's orbit.,658.0,"680,1,0,0,0,1,,,,,"
659,659,The earth rotates,659.0,"681,0,0,0,0,0,,,,,"
660,660,"Due to the rotation of the Earth around the sun and the tilt of the Earth's axis of rotation, different amounts of solar radiation are transmitted to the ground from time to time, resulting in seasons.",660.0,"682,0,0,0,0,0,,,,,"
661,661,"This is because when the Earth orbits, the Earth's axis of rotation is tilted, so the area that receives solar energy changes.",661.0,"683,0,0,0,0,0,,,,,"
662,662,This is because the earth revolves around the sun.,662.0,"684,1,0,0,0,0,,,,,"
663,663,It's spinning,663.0,"685,0,0,0,0,0,,,,,"
664,664,the change of seasons due to the revolution of the earth,664.0,"686,1,0,0,0,0,,,,,"
665,665,"Due to the rotation of the Earth around the sun and the tilt of the Earth's axis of rotation, different amounts of solar radiation are transmitted to the ground from time to time, resulting in seasons.",665.0,"687,1,0,0,0,0,,,,,"
666,666,It is caused by the Earth's axis of rotation being tilted and orbiting.,666.0,"688,1,0,0,1,0,,,,,689,1,0,0,0,0,,,,,"
667,667,"Because of the revolution of the earth, four seasons appear. It orbits the sun in an oval shape, making it summer if it is close to the sun, and winter if it is far away.",667.0,"690,1,0,0,1,0,,,,,"
668,668,"As the Earth rotates around 23.5 degrees, the energy of the sun's light varies depending on its latitude, and it goes around once every year",668.0,"691,0,0,0,1,1,,,,,"
669,669,be the revolution of the earth,669.0,"692,1,0,0,0,0,,,,,"
670,670,The orbit of the Earth and the Sun is an ellipse,670.0,"693,1,0,0,0,0,,,,,"
671,671,It orbits around the sun,671.0,"694,1,0,0,0,0,,,,,"
672,672,The earth revolves around or rotates the sun,672.0,"695,1,0,0,1,0,,,,,"
673,673,The earth revolves around,673.0,"696,1,0,0,0,0,,,,,"
674,674,This is because the Earth's axis of rotation orbits at an inclination of about 23.5 degrees,674.0,"697,0,0,0,0,0,,,,,"
675,675,The earth revolves around,675.0,"698,0,0,0,0,0,,,,,"
676,676,"The beautiful earth that we live in revolves and revolves constantly, moving away from the sun, and moving away from it",676.0,"699,0,0,0,0,0,,,,,"
677,677,It's because the Earth revolved^^..,677.0,"700,1,0,0,0,0,,,,,"
678,678,I think that the orbit of the Earth makes the sun and the Earth seem to the earth.,678.0,"701,1,0,0,0,0,,,,,"
679,679,This is because the earth revolves.,679.0,"702,1,0,0,0,0,,,,,"
680,680,This is because rotation and rotation of the Earth appear.,680.0,"703,1,0,0,0,0,,,,,"
681,681,Because the earth revolves,681.0,"704,1,0,0,0,0,,,,,"
682,682,It is a phenomenon that occurs when the earth revolves around the sun,682.0,"705,0,0,0,0,0,,,,,"
683,683,Because the earth revolves,683.0,"706,1,1,0,0,1,,,,,"
684,684,"Because of the sun's gravity, the earth rotates around the sun, resulting in four seasons",684.0,"707,0,0,0,0,0,,,,,"
685,685,It orbits around the sun,685.0,"708,0,0,0,0,0,,,,,"
686,686,Because the earth revolves,686.0,"709,0,0,0,0,0,,,,,"
687,687,"When the earth revolves around, the weather changes and seasons arise",687.0,"710,1,0,0,0,1,,,,,"
688,688,Because the Earth's axis of rotation rotates around the sun at an angle,688.0,"711,0,0,0,0,1,,,,,"
689,689,Seasonal changes occur because the Earth orbits the sun with its axis tilted at 23.8 degrees.,689.0,"712,1,0,0,0,1,,,,,"
690,690,This is because the Earth's axis of rotation rotates around the sun at an angle.the change of seasons to the opposite or opposite side of the sun due to the revolution of the earth,690.0,"713,0,0,0,0,0,,,,,"
691,691,"This is because the earth rotates and rotates, and the axis of rotation is inclined at 66.5 degrees.",691.0,"714,0,0,0,0,1,,,,,"
692,692,"Because it orbits around the sun, the seasons change",692.0,"715,0,0,0,0,0,,,,,"
693,693,the revolution of the earth,693.0,"716,0,0,0,0,0,,,,,"
694,694,Because it revolves around the sun,694.0,"717,1,0,0,1,1,,,,,"
695,695,I don't know.,695.0,"718,1,0,1,0,0,,,,,719,0,1,1,0,0,,,,,"
696,696,Unknowingness,696.0,"720,1,1,1,0,0,,,,,"
697,697,M and D,697.0,"721,0,0,0,0,0,,,,,"
698,698,I don't understand.,698.0,"722,0,1,0,0,0,,,,,"
699,699,M and D,699.0,"723,1,0,0,0,1,,,,,"
700,700,"""",700.0,"724,0,0,0,0,0,,,,,"
701,701,I don't understand.,701.0,"725,0,0,0,0,0,,,,,"
702,702,"""",702.0,"726,0,0,0,0,0,,,,,"
703,703,M and D,703.0,"727,0,0,0,0,0,,,,,"
704,704,M and D,704.0,"728,1,0,0,0,0,,,,,"
705,705,I don't understand.,705.0,"729,0,0,0,0,0,,,,,"
706,706,Mall,706.0,"730,0,0,0,0,0,,,,,"
707,707,I don't know,707.0,"731,0,0,0,0,0,,,,,"
708,708,the revolution of the earth,708.0,"732,0,0,0,0,0,,,,,"
709,709,I don't understand.,709.0,"733,1,0,0,0,0,,,,,"
710,710,M and D,710.0,"734,1,0,0,0,0,,,,,"
711,711,I don't understand.,711.0,"735,0,0,0,0,0,,,,,"
712,712,"In summer, it comes up from the downstream and is hot, and in winter, the wind comes down from the upper stream and is spring clouds.",712.0,"736,0,0,0,0,0,,,,,"
713,713,This is because the earth revolves around the sun.,713.0,"737,0,0,0,0,0,,,,,"
714,714,the earth turns round,714.0,"738,0,0,0,0,0,,,,,"
715,715,M and D,715.0,"739,0,0,0,0,0,,,,,"
716,716,Unknowingness,716.0,"740,0,0,0,0,0,,,,,"
717,717,I don't understand.,717.0,"741,0,0,0,0,0,,,,,"
718,718,It's because it's revolving,718.0,"742,1,0,0,0,0,,,,,"
719,719,the revolution of the earth,719.0,"743,0,0,0,0,0,,,,,"
720,720,"It is a movement in which the earth rotates around the sun once a year. The Earth rotates with its axis tilted 23.5 degrees, which causes seasonal changes",720.0,"744,0,0,0,0,0,,,,,"
721,721,This is because the rotation and rotation of the earth occurs,721.0,"745,0,0,0,0,0,,,,,"
722,722,"Because the earth revolves around the sun, it becomes summer when the sun comes and winter when it doesn't",722.0,"746,0,0,0,0,0,,,,,"
723,723,the revolution,723.0,"747,0,0,0,0,0,,,,,"
724,724,the revolution of the earth,724.0,"748,0,0,0,0,0,,,,,749,0,0,0,0,0,,,,,"
725,725,I don't know.,725.0,"750,0,0,0,0,0,,,,,"
726,726,"If the Earth's axis of rotation is inclined toward the sun, the northern hemisphere has a summer heating zone in winter.",726.0,"751,0,0,0,1,0,,,,,"
727,727,the revolution of the earth,727.0,"752,0,0,0,0,1,,,,,"
728,728,"When the Earth revolves around the sun, the orbit is close to and distant from the sun, which causes a regulation",728.0,"753,0,0,0,0,0,,,,,"
729,729,Unknowingness,729.0,"754,0,0,0,0,0,,,,,"
730,730,I don't know.,730.0,"755,0,0,0,0,1,,,,,"
731,731,I don't know,731.0,"756,0,0,0,0,0,,,,,"
732,732,"As the earth revolves around, the amount of sunlight that receives changes",732.0,"757,0,0,0,0,0,,,,,"
733,733,the rotation of the earth,733.0,"758,0,0,0,1,0,,,,,"
734,734,the rotation of the earth,734.0,"759,1,0,0,0,0,,,,,"
735,735,The earth rotates around the sun for a year.,735.0,"760,0,0,0,0,0,,,,,"
736,736,The earth is spinning,736.0,"761,1,0,0,0,0,,,,,"
737,737,"As time goes by,",737.0,"762,1,1,0,0,0,,,,,"
738,738,"Uh, um, um, I don't know (Laughing) (Laughing)",738.0,"763,1,0,0,0,1,,,,,"
739,739,the revolution of the earth,739.0,"764,1,0,0,1,1,,,,,"
740,740,Um... I don't know,740.0,"765,0,0,0,0,0,,,,,"
741,741,the revolution of the earth,741.0,"766,0,0,0,0,0,,,,,"
742,742,the revolution of the earth,742.0,"767,0,0,0,0,0,,,,,"
743,743,"As the earth moves around the sun, the seasons vary depending on the distance of the sun.",743.0,"768,0,0,0,0,0,,,,,"
744,744,Isn't it because the earth revolves?,744.0,"769,1,0,1,0,0,,,,,"
745,745,"As the earth moves around the sun, the seasons change depending on the distance of the sun.",745.0,"770,0,0,1,0,0,,,,,"
746,746,This is because the distance from the sun changes as the Earth rotates,746.0,"771,1,0,1,0,0,,,,,"
747,747,the revolution of the earth,747.0,"772,1,1,1,0,0,,,,,"
748,748,"""",748.0,"773,1,0,1,0,0,,,,,"
749,749,Because of the revolution of the earth,749.0,"774,1,0,1,0,0,,,,,"
750,750,"Because of the revolution on Earth,",750.0,"775,1,0,1,0,0,,,,,"
751,751,"As the earth revolved, the distance from the sun became close and distant for a year",751.0,"776,1,0,0,1,0,,,,,"
752,752,"Because the Earth is orbiting, you know, we live.",752.0,"777,1,0,1,0,0,,,,,"
753,753,수중기가 올라와 구름이되는데 날씨가 추우면 얼어서 눈이되고 녹으면 비가 된다,753.0,"778,0,0,0,1,0,,,,,779,0,0,1,0,0,,,,,"
754,754,The wind is blowing in the African continent is hot and cold wind in the Siberian side.Spring and autumn is between..,754.0,"780,0,0,1,0,0,,,,,"
755,755,"In the summer, is on the sunny location on Earth and sun in the winter sun is it in place that does not listen.",755.0,"781,0,0,0,0,0,,,,,"
756,756,지구의회전 즉 공전을 하며 위치가 달라짐과 함께 계절도 바뀐다,756.0,"782,1,0,0,0,0,,,,,"
757,757,Due to Earth to gagongjeon,757.0,"783,1,1,0,0,0,,,,,"
758,758,The location of the Earth changed in the revolution of the earth around the season.,758.0,"784,1,0,0,0,0,,,,,"
759,759,"The earth rotates around the sun, the weather is changing repeated.",759.0,"785,1,0,0,0,0,,,,,"
760,760,"The earth rotates around the sun, the weather is changing repeated.",760.0,"786,1,0,0,0,0,,,,,"
761,761,Abnormal climate changes according to the season,761.0,"787,1,0,0,0,1,,,,,"
762,762,The Earth spin around its axis and the night the temperature and time changes day and night and will vary so changes in the season.,762.0,"788,0,0,0,0,1,,,,,"
763,763,Why on Earth.,763.0,"789,0,0,1,0,0,,,,,"
764,764,The earth turns ...,764.0,"790,1,0,0,0,0,,,,,"
765,765,We have four distinct seasons in accordance with latitude or only or to do.,765.0,"791,1,0,0,0,1,,,,,"
766,766,Because of the earth´s revolution and rotation.,766.0,"792,1,0,0,0,0,,,,,"
767,767,the rotation of the earth,767.0,"793,1,0,1,0,0,,,,,"
768,768,It is a phenomenon that occurs when the earth rotates around the sun.,768.0,"794,1,0,1,0,0,,,,,"
769,769,PASS,769.0,"795,1,0,0,0,0,,,,,"
770,770,the rotation of the earth and the rotation of the sun,770.0,"796,1,0,0,0,0,,,,,"
771,771,Four seasons,771.0,"797,1,0,0,0,0,,,,,"
772,772,Ilakovy,772.0,"798,0,0,0,0,1,,,,,"
773,773,"As the sun orbits and rotates the earth, the seasons change depending on the position of the sun and the earth",773.0,"799,1,0,1,0,0,,,,,"
774,774,"The earth revolves around the sun, and the earth is elliptical, and the earth is tilted at about 67 degrees, which changes the center point at which it receives light from the sun each time the earth revolves around the sun. Therefore, the earth has a season.",774.0,"800,1,0,1,0,0,,,,,"
775,775,"The earth is tilted 23.5 degrees and Korea is in the northern hemisphere, so the earth moves elliptically with the sun as a focus. This difference in solar radiation causes seasonal changes.",775.0,"801,1,0,0,0,0,,,,,"
776,776,"The Earth orbits in a tilted state, which changes the solar energy effect every time.",776.0,"802,1,0,1,0,0,,,,,"
